"","3 Y 2019-05-07 to 2022-05-08","3 Y 2019-06-07 to 2022-06-08","3 Y 2019-07-08 to 2022-07-08","3 Y 2019-08-07 to 2022-08-08","3 Y 2019-09-09 to 2022-09-08"
"1",NA,NA,NA,NA,NA
"P Annualized Returns",55.033,24.909,26.38,45.252,49.031
"B Annualized Returns",13.894,11.521,12.111,17.462,17.625
"AR DIFF(P-B)",41.139,13.388,14.269,27.79,31.406
"P Volatility",31.51,27.94,27.2,32.66,31.74
"B Volatility",22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",8.58,4.76,4.14,9.33,8.48
"P Tracking Error",18.54,11.54,11.1,17.93,18.44
"B Tracking Error",NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA
"P Information Ratio",2.22,1.16,1.29,1.55,1.7
"B Information Ratio",NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA
"P Alpha Stat",2.65,0.95,1.01,1.86,2.2
"B Alpha Stat",NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.1,1.08,1.18,1.12
"B Beta Stat",NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA
"P R-Squared",65.07,83.18,83.29,70.75,65.98
"B R-Squared",NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA
"P Max Drawdown",-38.4531,-38.1148,-38.7475,-40.4144,-38.5077
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-0.147599999999997,0.1907,-0.442,-2.1089,-0.202199999999998
