"","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",6.043,7.949,5.264,16.829,12.045,10.998,10.406,10.848,0.675,7.67,11.044,10.852,12.919,14.955,19.35,10.619,13.957,32.759,21.071,20.365,21.006,27.565,18.127,19.707,18.291,13.438,14.02,23.09,23.604
"B Annualized Returns",-2.08,0.14,1.721,3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",8.123,7.809,3.543,13.179,8.528,7.664,4.16,2.43,-9.004,-5.238,-1.981,0.34,1.905,1.836,6.01,-2.359,-1.42,13.188,2.516,4.032,2.568,9.857,4.179,4.344,5.711,3.431,2.607,5.243,5.317
"P Volatility",21.74,22.32,22.27,24.25,26.94,25.24,23.89,24.77,24.48,24.54,24.59,24.59,25.05,24.5,25.89,26.24,26.55,28.81,26.28,27.86,29.35,30.04,29.96,31.04,33.58,34.21,29.93,33.95,34.49
"B Volatility",21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",0.729999999999997,1.32,0.98,2.57,5.26,3.82,2.42,2.42,1.81,2.11,1.79,1.75,2.21,1.62,3.28,3.66,4.12,6.7,4.21,5.54,7.08,7.8,7.36,8.12,10.65,11.03,6.87,10.62,11.23
"P Tracking Error",11.89,12.28,12.63,14.46,15.82,14.97,16.36,16.48,13.73,12.3,12.52,10.23,9.61,10.03,11.18,10.43,11.1,14.58,12.15,13.37,14.29,14.55,14.93,15.51,17.42,18.43,16.07,18.02,18.33
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
