"","3 Y 2016-11-16 to 2019-11-17","3 Y 2016-12-16 to 2019-12-17","3 Y 2017-01-16 to 2020-01-17","3 Y 2017-02-16 to 2020-02-17","3 Y 2017-03-16 to 2020-03-17","3 Y 2017-04-17 to 2020-04-17","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.03,17.004,17.054,15.581,1.897,1.19,1.338,2.056,14.054,12.687,9.999,13.492,19.938,18.754,27.4,31.893,34.718,33.786,16.917,19.672,19.691,22.184,32.475,39.441,45.085,38.505,70.513,28.98,27.03,32.25,32.554,23.236,58.955,71.506,68.313
"B Annualized Returns",12.86,13.285,12.808,10.666,-0.559,-1.199,-2.08,0.14,1.721,3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",5.17,3.719,4.246,4.915,2.456,2.389,3.418,1.916,12.333,9.037,6.482,10.158,13.692,10.336,17.721,18.985,21.693,23.274,5.903,6.553,6.351,9.206,17.098,19.87,26.53,22.172,52.075,11.272,13.082,16.887,19.974,13.229,47.542,53.659,50.026
"P Volatility",19.52,20.24,18.1,19.04,19.99,27.45,28.94,28.27,27.41,26.52,26.53,23.9,24.57,24.44,27.04,28.87,29.7,25.46,22.71,24.02,23.35,22.34,23.39,22.82,26.75,24.57,32.96,24.95,27.39,29.18,33.18,31.59,40.19,39.3,35.54
"B Volatility",12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",6.68,7.53,5.77,6.81,7.58,7.5,7.93,7.27,6.12,4.84,4.85,2.48,3.1,2.09,4.37,6.44,6.9,2.62,-0.129999999999999,1.14,0.740000000000002,-0.239999999999998,0.960000000000001,0.710000000000001,4.68,2.25,10.69,2.71,4.79,6.26,10.25,8.41,17.13,15.97,12.28
"P Tracking Error",11.94,12.23,11.59,12.25,12.24,12.72,11.96,11.86,10.75,11.08,10.89,12.06,12.02,10.93,13.41,14.3,14.02,13.91,10.55,8.75,9.63,11.62,11.26,12.87,12.41,15.09,22.97,14.49,13.49,13.73,18.82,16.06,29.52,28.41,26.67
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
