"","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-16 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16","3 Y 2018-11-15 to 2021-11-16","3 Y 2018-12-17 to 2021-12-16","3 Y 2019-01-15 to 2022-01-16","3 Y 2019-02-15 to 2022-02-16","3 Y 2019-03-15 to 2022-03-16","3 Y 2019-04-15 to 2022-04-16","3 Y 2019-05-15 to 2022-05-16","3 Y 2019-06-17 to 2022-06-16","3 Y 2019-07-15 to 2022-07-16","3 Y 2019-08-16 to 2022-08-16","3 Y 2019-09-16 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",41.193,42.724,38.583,33.135,43.672,49.951,47.441,44.299,49.407,46.814,43.246,47.15,44.06,37.968,44.94,55.4,57.112
"B Annualized Returns",10.832,13.38,13.34,12.65,15.172,19.884,19.211,16.323,18.431,17.785,13.23,14.883,12.774,10.787,11.663,17.502,18.287
"AR DIFF(P-B)",30.361,29.344,25.243,20.485,28.5,30.067,28.23,27.976,30.976,29.029,30.016,32.267,31.286,27.181,33.277,37.898,38.825
"P Volatility",35.22,33.84,32.83,30.6,29.28,30.09,27.05,27.06,26.88,26.18,26.97,26.66,26.89,28.87,29.36,28.76,28.98
"B Volatility",22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",12.38,10.96,10.22,8.02,6.85,7.98,4.98,4.74,4.61,3.94,4.37,3.74,3.96,5.69,6.3,5.43,5.72
"P Tracking Error",19.29,18.24,17.23,15.96,13.74,14.41,13.4,12.5,12.87,13.42,13.17,13.47,14.66,15.11,15.11,16.2,17.17
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.57,1.61,1.47,1.28,2.07,2.09,2.11,2.24,2.41,2.16,2.28,2.4,2.13,1.8,2.2,2.34,2.26
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.87,1.87,1.71,1.45,1.8,1.67,1.71,1.94,1.94,1.99,2,2.25,2.39,1.89,2.14,2.33,2.58
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.33,1.28,1.26,1.17,1.16,1.21,1.07,1.08,1.06,1.01,1.04,1,0.98,1.06,1.1,1.02,1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",73.9,73.63,75.02,73.58,78.96,78.93,75.05,78.43,76.65,72.95,75.57,73.72,69.4,72.03,73.33,67.32,63.85
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-42.1422,-41.0229,-40.2723,-38.4465,-37.9806,-37.5894,-34.1479,-34.4099,-33.0682,-32.4768,-33.5252,-32.5731,-32.7637,-33.8349,-35.1296,-31.708,-30.9682
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-3.8367,-2.7174,-1.9668,-0.140999999999998,0.3249,0.716100000000004,4.1576,3.8956,5.2373,5.8287,4.7803,5.73240000000001,5.5418,4.4706,3.1759,6.5975,7.3373
