"","3 Y 2016-11-16 to 2019-11-17","3 Y 2016-12-16 to 2019-12-17","3 Y 2017-01-16 to 2020-01-17","3 Y 2017-02-16 to 2020-02-17","3 Y 2017-03-16 to 2020-03-17","3 Y 2017-04-17 to 2020-04-17","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",20.538,18.498,18.675,13.564,0.296,6.841,3.557,2.765,11.076,11.586,7.798,6.427,14.124,11.426,17.034,19.035,23.461,24.761,19.565,23.192,24.495,21.854,24.761,32.187,32.454,28.99,48.83,55.49,46.466,34.315,57.948,19.038,40.686,51.742,48.055
"B Annualized Returns",12.86,13.285,12.808,10.666,-0.559,-1.199,-2.08,0.14,1.721,3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",7.678,5.213,5.867,2.898,0.855,8.04,5.637,2.625,9.355,7.936,4.281,3.093,7.878,3.008,7.355,6.127,10.436,14.249,8.551,10.073,11.155,8.876,9.384,12.616,13.899,12.657,30.392,37.782,32.518,18.952,45.368,9.031,29.273,33.895,29.768
"P Volatility",17.31,16.21,15.66,15.94,16.09,22.02,24.23,23.61,24,23.93,24.78,23.28,23.98,22.54,24.7,26.81,29.1,25.26,23.39,24.91,26.06,25.29,24.35,24.18,27.83,25.31,31.14,31.35,32.18,27.94,35.66,29.27,34.29,33.53,32.37
"B Volatility",12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",4.47,3.5,3.33,3.71,3.68,2.07,3.22,2.61,2.71,2.25,3.1,1.86,2.51,0.189999999999998,2.03,4.38,6.3,2.42,0.550000000000001,2.03,3.45,2.71,1.92,2.07,5.76,2.99,8.87,9.11,9.58,5.02,12.73,6.09,11.23,10.2,9.11
"P Tracking Error",9.7,8.13,9.11,9.48,9.43,9.75,9.14,8.23,8.66,9.6,9.14,10.37,10.76,9.71,10.59,10.06,9.97,11.73,9.03,8.5,9.23,9.42,9.18,8.57,10.55,11.04,18.09,20.53,20.05,12.07,22.69,11.92,22.13,19.82,19.12
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.79,0.64,0.64,0.31,0.09,0.82,0.62,0.32,1.08,0.83,0.47,0.3,0.73,0.31,0.69,0.61,1.05,1.21,0.95,1.19,1.21,0.94,1.02,1.47,1.32,1.15,1.68,1.84,1.62,1.57,2,0.76,1.32,1.71,1.56
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.45,0.21,0.31,0.21,0.09,0.46,0.62,0.26,0.8,0.55,0.32,0.36,0.68,0.24,0.72,0.29,0.56,1.05,0.63,0.7,0.74,0.66,0.76,0.64,0.64,1.09,1.76,2.35,2.32,1.2,3.08,0.68,2.03,2.15,2.21
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.11,1.03,1.05,1.05,0.99,1.07,1.06,1.05,1.01,1.06,0.97,1,0.91,0.98,1.11,1.22,0.98,0.95,1.02,1.08,1.04,1.01,1.02,1.18,1.02,1.15,1.07,1.12,1.1,1.22,1.17,1.15,1.17,1.13
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",68.56,74.83,65.24,63.72,64.8,79.82,85.73,87.72,86.82,83.43,86.33,79.61,79.25,81.64,81.1,86.42,90.92,77.82,84.93,88.06,87.58,85.83,85.36,87.09,87.29,80.43,66.37,56.07,60.74,81.54,60.34,84.67,58.09,65.45,64.97
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.53,-18.5155,-18.3907,-16.7059,-29.2501,-35.4713,-36.4324,-35.9137,-35.2395,-33.8092,-36.8572,-34.4123,-33.9681,-33.9085,-35.2769,-37.3631,-38.7297,-33.6181,-34.0682,-35.6774,-36.5445,-35.3117,-35.349,-35.665,-40.1374,-36.556,-37.5884,-38.0969,-37.9776,-37.7864,-41.0979,-41.2302,-39.8663,-39.7636,-39.9859
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-2.5511,-4.5366,-4.4118,-2.727,-3.916,2.8342,1.8731,2.3918,3.066,4.49630000000001,1.4483,3.8932,4.3374,4.39700000000001,3.0286,0.942399999999999,-0.424199999999999,4.6874,4.2373,2.6281,1.761,2.9938,2.95650000000001,2.6405,-1.8319,1.7495,0.717100000000002,0.208600000000004,0.3279,0.519100000000002,-2.7924,-2.9247,-1.5608,-1.45809999999999,-1.6804
