"","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-16 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16","3 Y 2018-11-15 to 2021-11-16","3 Y 2018-12-17 to 2021-12-16","3 Y 2019-01-15 to 2022-01-16","3 Y 2019-02-15 to 2022-02-16","3 Y 2019-03-15 to 2022-03-16","3 Y 2019-04-15 to 2022-04-16","3 Y 2019-05-15 to 2022-05-16","3 Y 2019-06-17 to 2022-06-16","3 Y 2019-07-15 to 2022-07-16","3 Y 2019-08-16 to 2022-08-16","3 Y 2019-09-16 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",20.074,19.625,22.37,22.481,19.117,21.432,20.479,22.352,18.711,22.602,20.908,13.723,14.953,12.577,9.698,20.956,22.053
"B Annualized Returns",10.832,13.38,13.34,12.65,15.172,19.884,19.211,16.323,18.431,17.785,13.23,14.883,12.774,10.787,11.663,17.502,18.287
"AR DIFF(P-B)",9.242,6.245,9.03,9.831,3.945,1.548,1.268,6.029,0.279999999999998,4.817,7.678,-1.16,2.179,1.79,-1.965,3.454,3.766
"P Volatility",22.98,23.27,24.8,24.38,24.45,23.68,24.93,25.31,25.95,27.9,27.38,28.37,30.5,29.51,28.79,32.9,32.02
"B Volatility",22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",0.140000000000001,0.390000000000001,2.19,1.8,2.02,1.57,2.86,2.99,3.68,5.66,4.78,5.45,7.57,6.33,5.73,9.57,8.76
"P Tracking Error",14.99,12.62,11.24,11.93,11.57,9.27,13.21,12.72,13.87,14.32,13.96,14.03,15.42,14.7,15.22,17.87,17.28
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.62,0.49,0.8,0.82,0.34,0.17,0.1,0.47,0.02,0.34,0.55,-0.08,0.14,0.12,-0.13,0.19,0.22
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.92,0.59,0.65,0.87,0.39,0.12,0.21,0.5,0.2,0.27,0.66,-0.12,0.17,0.21,-0.12,0.2,0.41
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.79,0.87,0.98,0.94,0.96,0.99,0.96,0.98,0.98,1.08,1.04,1.08,1.16,1.11,1.06,1.2,1.17
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",60.59,71.52,78.88,75.6,77.07,84.24,71.19,74.01,70.6,73.26,73.36,75.22,75.12,75.18,71.46,71.69,71.58
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-30.0383,-32.6568,-33.5423,-32.7341,-35.4591,-36.5058,-35.6671,-37.0609,-41.3674,-42.4582,-39.5755,-44.8053,-44.8248,-43.2654,-43.7966,-47.1901,-46.5188
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",8.2672,5.64870000000001,4.7632,5.5714,2.8464,1.7997,2.6384,1.24460000000001,-3.0619,-4.1527,-1.27,-6.4998,-6.5193,-4.9599,-5.4911,-8.8846,-8.2133
