"","3 Y 2016-11-16 to 2019-11-17","3 Y 2016-12-16 to 2019-12-17","3 Y 2017-01-16 to 2020-01-17","3 Y 2017-02-16 to 2020-02-17","3 Y 2017-03-16 to 2020-03-17","3 Y 2017-04-17 to 2020-04-17","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.957,19.934,20.254,11.481,-1.357,11.998,5.662,3.459,7.95,10.473,5.515,-1.819,7.693,3.015,4.424,2.62,9.642,14.165,22.085,26.539,28.904,21.523,15.793,23.845,16.965,17.832,17.959,74.894,61.925,36.322,76.882,14.51,15.725,25.124,19.103
"B Annualized Returns",12.86,13.285,12.808,10.666,-0.559,-1.199,-2.08,0.14,1.721,3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",10.097,6.649,7.446,0.815,-0.798,13.197,7.742,3.319,6.229,6.823,1.998,-5.153,1.447,-5.403,-5.255,-10.288,-3.383,3.653,11.071,13.42,15.564,8.545,0.415999999999999,4.274,-1.59,1.499,-0.478999999999999,57.186,47.977,20.959,64.302,4.503,4.312,7.277,0.816000000000003
"P Volatility",17.24,14.26,14.8,14.64,13.14,18.51,21.76,22.5,23.79,24.5,24.95,23.87,24.33,21.43,23.86,26.42,30.55,27.27,25.67,27.15,30.73,32.35,27.16,28.24,32.27,29.23,30.48,41.35,41.55,29.54,42.67,30.24,28.49,30.82,33.34
"B Volatility",12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",4.4,1.55,2.47,2.41,0.73,-1.44,0.75,1.5,2.5,2.82,3.27,2.45,2.86,-0.920000000000002,1.19,3.99,7.75,4.43,2.83,4.27,8.12,9.77,4.73,6.13,10.2,6.91,8.21,19.11,18.95,6.62,19.74,7.06,5.43,7.49,10.08
"P Tracking Error",10.95,8.05,9.24,10.14,10,12.1,13.88,15.36,15.07,14.98,12.39,11.15,11.66,11.48,12.25,10.11,10.68,13.35,11.38,11.87,14.41,16.29,11.51,10.99,15.81,12.76,13.92,31.96,31.93,16.2,32.07,15.03,15.95,16.51,17.02
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.92,0.83,0.81,0.08,-0.08,1.09,0.56,0.22,0.41,0.46,0.16,-0.46,0.12,-0.47,-0.43,-1.02,-0.32,0.27,0.97,1.13,1.08,0.52,0.04,0.39,-0.1,0.12,-0.03,1.79,1.5,1.29,2.01,0.3,0.27,0.44,0.05
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
