"","1 Y 2017-08-16 to 2020-08-17","1 Y 2017-09-18 to 2020-09-17","1 Y 2017-10-16 to 2020-10-17","1 Y 2017-11-16 to 2020-11-17","1 Y 2017-12-18 to 2020-12-17","1 Y 2018-01-16 to 2021-01-17","1 Y 2018-02-16 to 2021-02-17","1 Y 2018-03-16 to 2021-03-17","1 Y 2018-04-16 to 2021-04-17","1 Y 2018-05-16 to 2021-05-17","1 Y 2018-06-18 to 2021-06-17","1 Y 2018-07-16 to 2021-07-17","1 Y 2018-08-16 to 2021-08-17","1 Y 2018-09-17 to 2021-09-17","1 Y 2018-10-16 to 2021-10-17","1 Y 2018-11-16 to 2021-11-17","1 Y 2018-12-17 to 2021-12-17","1 Y 2019-01-16 to 2022-01-17","1 Y 2019-02-18 to 2022-02-17","1 Y 2019-03-18 to 2022-03-17","1 Y 2019-04-16 to 2022-04-17","2 Y 2017-08-16 to 2020-08-17","2 Y 2017-09-18 to 2020-09-17","2 Y 2017-10-16 to 2020-10-17","2 Y 2017-11-16 to 2020-11-17","2 Y 2017-12-18 to 2020-12-17","2 Y 2018-01-16 to 2021-01-17","2 Y 2018-02-16 to 2021-02-17","2 Y 2018-03-16 to 2021-03-17","2 Y 2018-04-16 to 2021-04-17","2 Y 2018-05-16 to 2021-05-17","2 Y 2018-06-18 to 2021-06-17","2 Y 2018-07-16 to 2021-07-17","2 Y 2018-08-16 to 2021-08-17","2 Y 2018-09-17 to 2021-09-17","2 Y 2018-10-16 to 2021-10-17","2 Y 2018-11-16 to 2021-11-17","2 Y 2018-12-17 to 2021-12-17","2 Y 2019-01-16 to 2022-01-17","2 Y 2019-02-18 to 2022-02-17","2 Y 2019-03-18 to 2022-03-17","2 Y 2019-04-16 to 2022-04-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.464","15.429","10.323","18.876","35.569","41.195","46.669","96.011","101.715","91.13","116.04","80.515","81.995","89.663","86.502","75.679","54.881","45.873","31.791","33.64","32.447","2.681","4.312","11.676","14.143","23.25","30.275","34.849","29.577","30.964","34.554","42.599","34.909","47.852","51.27","44.492","43.653","40.128","38.606","37.999","57.995","58.053","6.902","6.653","6.31","9.959","13.927","17.792","20.283","22.239","21.835","22.543","29.104","23.752","27.582","32.262","34.028","33.465","29.577","29.726","32.593","27.779","28.971"
"B Annualized Returns","3.788","7.195","1.597","6.923","13.166","18.662","27.429","62.399","62.758","61.374","60.176","51.683","47.791","52.789","54.558","42.108","27.171","25.868","13.632","14.049","24.217","-0.805","0.262","4.036","8.545","11.265","14.975","19.804","13.898","11.464","15.876","16.848","17.293","22.849","27.977","27.337","23.877","19.964","22.038","20.333","36.093","41.06","3.65","3.517","3.334","6.246","8.418","9.679","12.908","13.025","10.512","11.014","13.119","13.34","12.978","15.377","19.571","18.555","16.333","18.438","17.708","13.948","15.363"
"AR DIFF(P-B)","8.676","8.234","8.726","11.953","22.403","22.533","19.24","33.612","38.957","29.756","55.864","28.832","34.204","36.874","31.944","33.571","27.71","20.005","18.159","19.591","8.23","3.486","4.05","7.64","5.598","11.985","15.3","15.045","15.679","19.5","18.678","25.751","17.616","25.003","23.293","17.155","19.776","20.164","16.568","17.666","21.902","16.993","3.252","3.136","2.976","3.713","5.509","8.113","7.375","9.214","11.323","11.529","15.985","10.412","14.604","16.885","14.457","14.91","13.244","11.288","14.885","13.831","13.608"
"P Volatility","37.76","38.73","38.73","39.08","37.9","39.45","39.66","22.91","18.62","14.61","17.56","16.01","18.02","17.62","15.21","16.9","16.19","12.15","10.29","13.26","14.73","27.56","27.38","27.46","27.93","27.29","28.42","29.23","31.06","30.65","28.31","31.06","27.21","28.38","28.55","27.21","28.18","27.29","27.89","27.61","19.26","16.05","23.79","24.27","24.1","24.53","23.93","25.06","25.37","26.84","26.37","24.22","26.68","24.28","25.18","24.41","23.29","24.29","23.58","23.92","24.34","25.84","25.46"
"B Volatility","34.39","34.17","33.99","34.08","36","36.6","36.2","16.52","16.92","16.36","15.64","15.39","15.66","15.63","15.64","13.43","14.1","13.84","11.29","13.53","15.27","25.14","24.71","24.41","24.34","25.54","25.97","25.98","26.4","26.57","26.56","26.64","25.98","25.89","26.17","26.15","26.16","26.5","26.46","26.14","16.82","16.01","21.68","21.68","21.42","21.47","22.35","22.67","22.43","22.8","22.84","22.84","22.88","22.61","22.58","22.43","22.11","22.07","22.32","22.27","22.24","22.6","22.92"
"V DIFF(P-B)","3.37","4.56","4.73999999999999","5","1.9","2.85","3.45999999999999","6.39","1.7","-1.75","1.92","0.620000000000001","2.36","1.99","-0.43","3.47","2.09","-1.69","-1","-0.27","-0.539999999999999","2.42","2.67","3.05","3.59","1.75","2.45","3.25","4.66","4.08","1.75","4.42","1.23","2.49","2.38","1.06","2.02","0.789999999999999","1.43","1.47","2.44","0.0399999999999991","2.11","2.59","2.68","3.06","1.58","2.39","2.94","4.04","3.53","1.38","3.8","1.67","2.6","1.98","1.18","2.22","1.26","1.65","2.1","3.24","2.54"
"P Tracking Error","9.45","9.39","10.42","10.53","11.52","11.75","10.01","11.29","12.88","10.42","13.17","11.29","11.76","10.78","8.7","11.72","12.74","9.53","10.51","6.86","6.76","8.19","7.97","8.4","8.83","9.43","9.75","8.7","9.67","11.03","9.93","11.8","10.26","10.66","10.08","9.27","9.96","10.8","9.4","9.59","10.01","8.95","8.6","8.43","8.75","9.37","9.61","9.48","8.4","9.45","10.09","8.74","10.47","8.92","9.36","8.75","8.16","8.89","9.78","8.52","9.14","9.37","9.31"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.92","0.88","0.84","1.14","1.94","1.92","1.92","2.98","3.02","2.86","4.24","2.55","2.91","3.42","3.67","2.86","2.18","2.1","1.73","2.86","1.22","0.43","0.51","0.91","0.63","1.27","1.57","1.73","1.62","1.77","1.88","2.18","1.72","2.35","2.31","1.85","1.99","1.87","1.76","1.84","2.19","1.9","0.38","0.37","0.34","0.4","0.57","0.86","0.88","0.98","1.12","1.32","1.53","1.17","1.56","1.93","1.77","1.68","1.35","1.32","1.63","1.48","1.46"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.46","0.95","1.07","1.17","1.47","1.58","1.08","0.73","2.91","2.48","3.83","2.4","2.41","2.32","2.08","1.87","2.56","2.31","2.3","1.1","1.04","0.2","0.41","0.54","0.51","0.85","1.16","0.72","0.96","1.36","1.24","1.8","1.38","1.59","1.54","0.99","1.22","1.59","1.18","1.5","1.6","1.49","0.19","0.24","0.31","0.36","0.39","0.79","0.4","0.58","0.78","0.82","1.13","0.79","1.06","1.24","0.81","0.91","1.11","0.84","1.02","1","0.97"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.06","1.1","1.1","1.11","1","1.03","1.06","1.23","0.82","0.7","0.78","0.77","0.88","0.9","0.82","0.91","0.75","0.65","0.48","0.85","0.87","1.05","1.06","1.07","1.09","1","1.03","1.08","1.13","1.08","1","1.08","0.97","1.02","1.02","0.98","1.01","0.95","0.99","0.99","0.98","0.85","1.02","1.05","1.05","1.06","0.98","1.02","1.07","1.11","1.07","0.99","1.08","1","1.04","1.02","0.99","1.02","0.96","1","1.01","1.07","1.03"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","93.43","94.41","92.85","92.95","89.74","90.23","93.27","76.02","49.98","56.32","41.97","50.12","53.88","59.36","67.55","47.1","36.39","49.45","19.97","72.84","78.69","90.96","91.44","90.63","90.21","87.48","87.73","91.19","91.04","86.92","87.1","85.39","85.19","85.24","86.99","87.9","86.91","83.86","88.1","87.36","71.74","69.9","86.58","87.79","86.6","85.25","83.42","85.3","89.09","88.06","85.3","86.6","84.57","86.08","85.86","86.79","87.38","86.27","82.42","86.94","85.48","86.81","86.3"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-36.0276","-35.9435","-36.0294","-36.3732","-33.8501","-34.0056","-35.4212","-13.9945","-7.135","-6.7573","-6.5688","-6.6739","-6.5765","-6.5291","-6.365","-6.7594","-7.1686","-8.7957","-8.8283","-13.9435","-14.4804","-36.0276","-35.9435","-36.0294","-36.3732","-33.8501","-34.0056","-35.4221","-35.8896","-35.5312","-33.4562","-35.9188","-33.9427","-34.7676","-35.1264","-35.0519","-34.9179","-34.2857","-35.3319","-35.5966","-14.9451","-14.4804","-36.0276","-35.9435","-36.0294","-36.3732","-33.8501","-34.0056","-35.4221","-35.8896","-35.5312","-33.4562","-35.9188","-33.9427","-34.7676","-35.1264","-35.0519","-34.9179","-34.2857","-35.3319","-36.1291","-36.7851","-36.415"
"B Max Drawdown","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-37.1618","-17.3725","-7.3471","-6.9018","-6.9018","-6.9018","-6.9018","-6.9018","-6.3375","-6.3375","-8.2939","-10.2422","-10.2422","-14.3334","-14.3334","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-37.1618","-17.3725","-14.3334","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055"
