"","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.352,-0.735,1.959,9.937,6.65,15.426,19.183,2.106,0.283,4.633,4.624,11.263,17.608,19.301,26.194,29.297,32.478,33.759,42.213,35.605,40.073,27.283,42.992,46.356,62.052,68.205,75.862,65.817,57.772,43.634,64.643,54.896,42.862,55.661,18.099,21.48,78.089,36.174
"B Annualized Returns",3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",-1.229,-3.345,-2.255,4.03,1.011,9.934,12.212,7.862,8.918,13.014,9.585,13.191,18.521,19.039,22.158,21.578,21.213,18.779,22.409,21.707,27.942,11.824,26.144,29.063,39.203,40.228,49.166,41.94,37.808,21.555,44.31,18.803,2.358,20.97,-6.871,-1.418,51.503,10.802
"P Volatility",18.97,19.06,18.18,19.89,18.77,19.22,19.89,21.34,29.16,26.49,30.04,24.94,26.23,26.19,23.78,25.84,22.79,25.76,24.83,28.67,27.83,27.03,29.25,30.1,30.38,31.01,36.58,35.14,34.99,33.3,38.19,22.46,16.07,19.43,19.84,18.45,29.4,20.52
"B Volatility",13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",5.31,5.43,4.86,6.39,5.3,6.02,7.26,8.58,6.37,2.07,5.64,0.280000000000001,1.09,1.48,-0.629999999999999,1.5,-2.75,-0.209999999999997,-1.15,2.27,1.26,0.470000000000002,2.61,4.12,4.49,4.84,10.43,8.98,8.49,6.84,12.05,5.64,0.0599999999999987,3.5,3.62,1.86,12.21,3.44
"P Tracking Error",10.59,10.4,10.05,12.74,11.31,10.74,11.47,12.64,11.31,8.78,10.42,9.45,9.96,9.25,11.13,10.66,11.9,9.56,10.71,8.77,10.92,11,11.07,10.92,13.19,14.45,22.52,21.64,19.63,17.18,24.68,15.35,14.04,16.12,14.64,13.17,22.49,14.32
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
