"","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.741,11.26,7.952,8.06,3.496,6.179,7.507,5.856,6.009,8.841,-4.681,-3.15,-3.809,-2.061,6.184,5.401,6.632,14.46,15.878,20.363,23.704,27.45,25.153,29.512,36.826,37.839,52.082,39.058,45.3,53.894,49.959,45.874,48.195,44.227,63.181,63.148,64.602,33.223,35.298,43.164,46.701
"B Annualized Returns",7.156,9.772,7.18,3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",1.585,1.488,0.772,4.479,0.886,1.965,1.6,0.217,0.517,1.87,1.075,5.485,4.572,2.9,8.112,6.314,6.37,10.424,8.159,9.098,8.724,7.646,11.255,17.381,21.367,20.991,34.789,16.209,17.323,27.198,26.082,25.91,26.116,23.894,27.088,22.644,29.911,8.253,12.4,16.578,21.329
"P Volatility",15.48,15.04,14.59,16.6,16.39,15.43,16.29,15.69,15.32,15.42,16.58,23.06,25.76,27.24,26.39,25.58,25.96,25.16,25.08,25.73,29.48,28.29,31.06,32.76,35.64,36.34,35.94,32.56,31.9,34.25,35.02,33.32,35.32,31.05,21.89,18.67,20.06,20.04,20.19,20.85,23.49
"B Volatility",13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",2.15,1.75,1.84,2.94,2.76,2.11,2.79,2.22,2.12,2.79,3.82,0.27,1.34,2.84,1.73,0.439999999999998,1.25,0.75,0.739999999999998,0.190000000000001,3.51,2.31,4.66,6.19,9.08,9.7,9.96,6.67,5.73,8.1,8.86,6.82,8.86,4.91,5.07,2.66,4.13,3.82,3.6,3.66,6.41
"P Tracking Error",8.41,8.9,8.75,9.4,9.68,9.38,10.33,10.1,7.57,8.37,9.93,7.16,7.46,7,7.92,7.22,8.07,7.58,9.03,9.46,9.68,9.69,11.14,12.18,13.9,15.21,19.41,12.69,12.31,15.36,16.76,16.32,17.49,13.31,11.94,10.94,11.89,10.85,10.56,8.79,11.53
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
