"","2 Y 2017-11-14 to 2019-11-15","2 Y 2017-12-14 to 2019-12-15","2 Y 2018-01-15 to 2020-01-15","2 Y 2018-02-14 to 2020-02-15","2 Y 2018-03-14 to 2020-03-15","2 Y 2018-04-16 to 2020-04-15","2 Y 2018-05-14 to 2020-05-15","2 Y 2018-06-14 to 2020-06-15","2 Y 2018-07-16 to 2020-07-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",1.859,0.96,-1.336,1.395,-1.869,-6.977,-1.86,-2.726,-5.548,-1.499,-1.694,-1.625,3.62,3.654,10.305,19.025,17.835,10.354,22.939,25.391,20.897,31.541,31.833,49.18,41.603,35.448,25.422,28.756,72.607,85.559,70.731,58.237,51.71,41.034,34.01
"B Annualized Returns",5.997,5.96,5.178,6.121,-5.225,-10.084,-8.582,-5.124,-2.049,-0.913,-0.486,5.722,8.545,10.758,14.975,18.469,15.038,10.471,15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",-4.138,-5,-6.514,-4.726,3.356,3.107,6.722,2.398,-3.499,-0.586,-1.208,-7.347,-4.925,-7.104,-4.67,0.555999999999997,2.797,-0.117000000000001,7.392,8.341,3.435,9.172,5.766,21.843,18.106,14.564,3.384,10.037,36.926,44.499,38.777,31.275,28.223,14.942,7.425
"P Volatility",14.25,13.8,13.43,13.49,13.21,19.43,27.16,26.69,29.58,29.66,28.77,28.72,28.4,31.88,30.01,29.55,35.22,35.59,37.2,37.54,38.39,38.88,39.44,42.32,41.09,37.99,37.02,34.99,28.1,24.99,27.04,27.63,28.42,27.25,26.43
"B Volatility",13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",0.75,0.33,0.23,0.859999999999999,0.450000000000001,-3.36,2.74,2.29,4.92,4.52,4.06,4.31,4.06,6.34,4.04,3.57,8.82,9.02,10.64,10.9,12.41,12.99,13.27,16.17,14.93,11.49,10.56,8.85,11.28,8.98,11.11,11.41,11.83,10.06,9.35
"P Tracking Error",13.32,13.16,10.85,9.86,10.1,9.8,11.89,12.49,12.91,11.66,12.09,10.52,12.3,13.69,11.71,10.61,14.79,15.93,16.58,17.46,19.01,19.75,20.74,22.92,22.52,19.78,19.79,16.68,18.76,17.4,18.92,19.17,18.49,16.87,15.3
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
