"","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","2018-01-2024-11"
"Annualized Returns",,,,,,,
"2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","30.841","22.032","13.62","23.416","18.276","18.929","17.359"
"2018-01-04_to_2024-11-04_^BSESN","24.412","14.41","9.92","18.999","14.627","14.693","13.304"
"Volatility",,,,,,,
"2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","15.4","13.35","18.36","17.56","21.5","20.33","20.03"
"2018-01-04_to_2024-11-04_^BSESN","12.84","11.27","12.38","13.1","18.81","17.64","17.5"
"Tracking Error",,,,,,,
"2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","4.74","4.84","9.44","8.66","7.91","7.88","7.62"
"2018-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-"
"Information Ratio",,,,,,,
"2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.36","1.57","0.39","0.51","0.46","0.54","0.53"
"2018-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-"
"Alpha Stat",,,,,,,
"2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.01","0.54","-0.04","0.08","0.26","0.28","0.32"
"2018-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-"
"Beta Stat",,,,,,,
"2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.15","1.11","1.31","1.18","1.06","1.06","1.06"
"2018-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-"
"R-Squared",,,,,,,
"2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","91.25","87.11","77.25","76.98","86.56","85.06","85.61"
"2018-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-"
"Max Drawdown",,,,,,,
"2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-9.9165","-9.9165","-25.6429","-25.6429","-37.7344","-37.7344","-37.7344"
"2018-01-04_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462","-38.0701","-38.0701","-38.0701"
