"","2014-03-11_to_2015-03-12_ValuePortfolio_5QRank","2014-04-11_to_2015-04-12_ValuePortfolio_5QRank","2014-05-12_to_2015-05-12_ValuePortfolio_5QRank","2014-06-11_to_2015-06-12_ValuePortfolio_5QRank","2014-07-11_to_2015-07-12_ValuePortfolio_5QRank","2014-08-11_to_2015-08-12_ValuePortfolio_5QRank","2014-09-11_to_2015-09-12_ValuePortfolio_5QRank","2014-10-13_to_2015-10-12_ValuePortfolio_5QRank","2014-11-11_to_2015-11-12_ValuePortfolio_5QRank","2014-12-11_to_2015-12-12_ValuePortfolio_5QRank","2015-01-12_to_2016-01-12_ValuePortfolio_5QRank","2015-02-11_to_2016-02-12_ValuePortfolio_5QRank","2015-03-11_to_2016-03-12_ValuePortfolio_5QRank","2015-04-13_to_2016-04-12_ValuePortfolio_5QRank","2015-05-11_to_2016-05-12_ValuePortfolio_5QRank","2015-06-11_to_2016-06-12_ValuePortfolio_5QRank","2015-07-13_to_2016-07-12_ValuePortfolio_5QRank","2015-08-11_to_2016-08-12_ValuePortfolio_5QRank","2015-09-11_to_2016-09-12_ValuePortfolio_5QRank","2015-10-12_to_2016-10-12_ValuePortfolio_5QRank","2015-11-11_to_2016-11-12_ValuePortfolio_5QRank","2015-12-11_to_2016-12-12_ValuePortfolio_5QRank","2016-01-11_to_2017-01-12_ValuePortfolio_5QRank","2016-02-11_to_2017-02-12_ValuePortfolio_5QRank","2016-03-11_to_2017-03-12_ValuePortfolio_5QRank","2016-04-11_to_2017-04-12_ValuePortfolio_5QRank","2016-05-11_to_2017-05-12_ValuePortfolio_5QRank","2016-06-13_to_2017-06-12_ValuePortfolio_5QRank","2016-07-11_to_2017-07-12_ValuePortfolio_5QRank","2016-08-11_to_2017-08-12_ValuePortfolio_5QRank","2016-09-12_to_2017-09-12_ValuePortfolio_5QRank","2016-10-11_to_2017-10-12_ValuePortfolio_5QRank","2016-11-11_to_2017-11-12_ValuePortfolio_5QRank","2016-12-12_to_2017-12-12_ValuePortfolio_5QRank","2017-01-11_to_2018-01-12_ValuePortfolio_5QRank","2017-02-13_to_2018-02-12_ValuePortfolio_5QRank","2017-03-13_to_2018-03-12_ValuePortfolio_5QRank","2017-04-11_to_2018-04-12_ValuePortfolio_5QRank","2017-05-11_to_2018-05-12_ValuePortfolio_5QRank","2017-06-12_to_2018-06-12_ValuePortfolio_5QRank","2017-07-11_to_2018-07-12_ValuePortfolio_5QRank","2017-08-11_to_2018-08-12_ValuePortfolio_5QRank","2017-09-11_to_2018-09-12_ValuePortfolio_5QRank","2017-10-11_to_2018-10-12_ValuePortfolio_5QRank","2017-11-13_to_2018-11-12_ValuePortfolio_5QRank","2017-12-11_to_2018-12-12_ValuePortfolio_5QRank","2018-01-11_to_2019-01-12_ValuePortfolio_5QRank","2018-02-12_to_2019-02-12_ValuePortfolio_5QRank","2018-03-12_to_2019-03-12_ValuePortfolio_5QRank","2018-04-11_to_2019-04-12_ValuePortfolio_5QRank","2018-05-11_to_2019-05-12_ValuePortfolio_5QRank","2018-06-11_to_2019-06-12_ValuePortfolio_5QRank","2018-07-11_to_2019-07-12_ValuePortfolio_5QRank","2018-08-13_to_2019-08-12_ValuePortfolio_5QRank","2018-09-11_to_2019-09-12_ValuePortfolio_5QRank","2018-10-11_to_2019-10-12_ValuePortfolio_5QRank","2018-11-12_to_2019-11-12_ValuePortfolio_5QRank","2018-12-11_to_2019-12-12_ValuePortfolio_5QRank","2019-01-11_to_2020-01-12_ValuePortfolio_5QRank","2019-02-11_to_2020-02-12_ValuePortfolio_5QRank","2019-03-11_to_2020-03-12_ValuePortfolio_5QRank","2019-04-11_to_2020-04-12_ValuePortfolio_5QRank","2019-05-13_to_2020-05-12_ValuePortfolio_5QRank","2019-06-11_to_2020-06-12_ValuePortfolio_5QRank","2019-07-11_to_2020-07-12_ValuePortfolio_5QRank","2019-08-12_to_2020-08-12_ValuePortfolio_5QRank","2019-09-11_to_2020-09-12_ValuePortfolio_5QRank","2019-10-11_to_2020-10-12_ValuePortfolio_5QRank","2019-11-11_to_2020-11-12_ValuePortfolio_5QRank","2019-12-11_to_2020-12-12_ValuePortfolio_5QRank","2020-01-13_to_2021-01-12_ValuePortfolio_5QRank","2020-02-11_to_2021-02-12_ValuePortfolio_5QRank","2020-03-11_to_2021-03-12_ValuePortfolio_5QRank","2020-04-13_to_2021-04-12_ValuePortfolio_5QRank","2020-05-11_to_2021-05-12_ValuePortfolio_5QRank","2020-06-11_to_2021-06-12_ValuePortfolio_5QRank","2020-07-13_to_2021-07-12_ValuePortfolio_5QRank","2020-08-11_to_2021-08-12_ValuePortfolio_5QRank","2020-09-11_to_2021-09-12_ValuePortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","9.51","9.525","6.73","6.906","6.121","7.237","-4.019","8.723","2.767","0.504","0.605","-14.019","-1.027","-1.721","-3.353","-3.372","3.722","6.112","10.704","5.096","10.317","19.221","29.518","50.601","27.785","21.433","23.912","22.834","22.65","20.031","20.355","23.767","15.096","19.396","13.947","8.813","4.519","-0.867","-2.32","-0.121","3.807","-0.822","7.927","2.149","2.655","-6.607","-7.955","-0.002","-4.221","2.842","8.072","5.332","11.059","6.428","7.29","7.605","11.589","19.596","17.128","15.181","-20.628","-9.818","8.187","15.898","29.658","43.474","39.479","52.587","-1.313","7.567","-4.432","6.899","82.127","74.416","78.692","63.824","63.005","58.291","61.552"
"B Annualized Returns","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","-0.713000000000001","-4.651","-3.087","-0.936","1.244","0.293","-0.848","2.593","1.711","-1.233","3.959","-4.907","0.125","-1.806","-2.654","-3.187","0.941","0.755","-0.546999999999999","-1.978","5.463","9.004","10.456","27.772","10.057","8.071","8.535","6.334","9.508","8.236","4.999","5.294","-3.915","0.943000000000001","-8.896","-5.745","-11.977","-13.678","-15.835","-14.407","-10.945","-16.923","-8.065","-7.506","-3.566","-6.23","-1.717","-2.55","-4.655","-6.579","1.807","1.514","3.153","4.678","3.183","-0.751999999999999","-2.196","-0.518000000000001","-10.165","-10.701","-11.083","-9.662","1.802","6.661","17.956","22.742","23.117","27.942","-19.282","-11.307","-21.884","-12.258","23.076","25.666","39.493","23.673","25.613","27.225","26.619"
"P Volatility","7","7.45","6.9","5.85","6.14","6.5","10.91","12.64","15.73","16.49","17.24","14.9","14.31","17.56","15.48","15.57","15.2","15.53","16.12","14.52","12.77","14.68","12.31","16.12","14.61","14.84","12.91","12.55","13.11","13.57","10.67","10.99","7.15","6.13","6.07","7.97","8.98","9.64","9.14","9.55","9.93","9.98","10.89","10.76","11.82","11.4","15.13","15.79","15.07","15.62","16.85","17.27","17.7","19.12","18.5","19.97","22.18","20.87","16.55","19.34","22.46","27.33","23.6","26.33","25.07","27.64","34.55","34.88","22.85","26.87","28.48","29.4","22.16","21.93","23.43","22.33","23.2","27.37","24.62"
"B Volatility","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-2.3","-2.58","-3.08","-4.1","-4.08","-3.42","-1.04","0.440000000000001","-0.52","0.209999999999997","1.8","-0.129999999999999","-0.559999999999999","1.25","-0.789999999999999","-0.600000000000001","-0.770000000000001","0.809999999999999","2.07","4.75","2.86","4.71","4.34","8.58","8.44","8.61","6.67","6.42","7.59","8.12","5.36","6.73","3","1.87","1.81","2.4","1","0.0899999999999999","-0.43","-0.139999999999999","0.289999999999999","-0.16","0.440000000000001","0.33","-1.22","-1.65","0.33","-0.670000000000002","-1","-0.540000000000001","0.350000000000001","-1.18","-1.64","0.0700000000000003","-0.690000000000001","2.38","4.5","7.41","4.2","6.94","6.28","8.19","1.38","4.82","3.48","5.83","11.43","10.64","-1.77","0.510000000000002","2.07","5.51","3.23","6.06","7.34","5.98","7.13","13.04","12.54"
"P Tracking Error","7.14","4.88","3.71","5.26","5.16","6.45","3.32","4.63","4.32","4.35","4.47","4.8","4.78","4.62","5.59","5.76","6.79","6.83","7.9","7.36","5.93","6.91","7.39","12.19","11.93","11.89","9.52","9.62","11.54","11.32","8.79","9.63","6.69","5.5","4.21","6.08","4.28","5.41","7.3","6.63","7.4","7.97","6.25","5.93","6.81","7.63","7.7","3.73","4.74","6.43","8.81","7.98","8.35","6.09","7.46","4.78","6.8","9.56","5.45","7.96","8.32","11.14","9.13","8.43","9.51","8.82","16.23","15.91","8.05","7.22","10.76","12.67","13.95","18.37","19.16","19.43","18.98","21","19.96"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.1","-0.95","-0.83","-0.18","0.24","0.05","-0.26","0.56","0.4","-0.28","0.89","-1.02","0.03","-0.39","-0.47","-0.55","0.14","0.11","-0.07","-0.27","0.92","1.3","1.41","2.28","0.84","0.68","0.9","0.66","0.82","0.73","0.57","0.55","-0.59","0.17","-2.11","-0.94","-2.8","-2.53","-2.17","-2.17","-1.48","-2.12","-1.29","-1.27","-0.52","-0.82","-0.22","-0.68","-0.98","-1.02","0.21","0.19","0.38","0.77","0.43","-0.16","-0.32","-0.05","-1.87","-1.34","-1.33","-0.87","0.2","0.79","1.89","2.58","1.42","1.76","-2.4","-1.57","-2.03","-0.97","1.65","1.4","2.06","1.22","1.35","1.3","1.33"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.42","-0.06","0.12","0.2","0.19","0.2","-0.23","0.4","-0.03","0.13","0.43","-0.66","-0.12","-0.33","-0.07","-0.19","0.36","0.27","-0.06","0.05","0.39","0.38","0.67","0.63","0.33","-0.23","-0.02","0.1","0.57","0.11","0.25","-0.04","0.19","0.48","-0.56","-0.45","-0.94","-0.87","-0.68","-0.93","-0.66","-0.84","-0.71","-0.31","-0.41","-0.48","-0.1","0.15","-0.42","-0.42","0.04","-0.07","0.21","0.46","0.37","-0.21","-0.41","-0.88","-1.37","-1.52","-0.66","-0.49","0.62","0.35","0.71","1.24","1.74","1.22","-1.44","-0.9","-1.81","-1.09","1.07","2.57","2.01","2.66","2.69","1.98","1.7"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
