"","2015-12-11_to_2018-12-12_ALLPortfolio_12QRank","2016-01-11_to_2019-01-12_ALLPortfolio_12QRank","2016-02-11_to_2019-02-12_ALLPortfolio_12QRank","2016-03-11_to_2019-03-12_ALLPortfolio_12QRank","2016-04-11_to_2019-04-12_ALLPortfolio_12QRank","2016-05-11_to_2019-05-12_ALLPortfolio_12QRank","2016-06-13_to_2019-06-12_ALLPortfolio_12QRank","2016-07-11_to_2019-07-12_ALLPortfolio_12QRank","2016-08-11_to_2019-08-12_ALLPortfolio_12QRank","2016-09-12_to_2019-09-12_ALLPortfolio_12QRank","2016-10-11_to_2019-10-12_ALLPortfolio_12QRank","2016-11-11_to_2019-11-12_ALLPortfolio_12QRank","2016-12-12_to_2019-12-12_ALLPortfolio_12QRank","2017-01-11_to_2020-01-12_ALLPortfolio_12QRank","2017-02-13_to_2020-02-12_ALLPortfolio_12QRank","2017-03-13_to_2020-03-12_ALLPortfolio_12QRank","2017-04-11_to_2020-04-12_ALLPortfolio_12QRank","2017-05-11_to_2020-05-12_ALLPortfolio_12QRank","2017-06-12_to_2020-06-12_ALLPortfolio_12QRank","2017-07-11_to_2020-07-12_ALLPortfolio_12QRank","2017-08-11_to_2020-08-12_ALLPortfolio_12QRank","2017-09-11_to_2020-09-12_ALLPortfolio_12QRank","2017-10-11_to_2020-10-12_ALLPortfolio_12QRank","2017-11-13_to_2020-11-12_ALLPortfolio_12QRank","2017-12-11_to_2020-12-12_ALLPortfolio_12QRank","2018-01-11_to_2021-01-12_ALLPortfolio_12QRank","2018-02-12_to_2021-02-12_ALLPortfolio_12QRank","2018-03-12_to_2021-03-12_ALLPortfolio_12QRank","2018-04-11_to_2021-04-12_ALLPortfolio_12QRank","2018-05-11_to_2021-05-12_ALLPortfolio_12QRank","2018-06-11_to_2021-06-12_ALLPortfolio_12QRank","2018-07-11_to_2021-07-12_ALLPortfolio_12QRank","2018-08-13_to_2021-08-12_ALLPortfolio_12QRank","2018-09-11_to_2021-09-12_ALLPortfolio_12QRank","2018-10-11_to_2021-10-12_ALLPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.855","14.575","19.967","15.333","16.556","16.038","15.956","16.071","14.178","15.687","14.194","14.204","12.548","14.79","14.783","4.355","8.92","9.9","10.223","11.684","13.348","12.369","12.069","12.941","13.409","12.27","14.276","13.166","15.354","13.953","13.865","17.092","17.054","16.718","19.225"
"B Annualized Returns","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","3.875","4.339","7.276","4.15","4.57","4.457","4.462","4.123","3.901","4.109","3.056","1.216","0.516999999999999","1.413","1.078","-1.177","2.006","1.464","1.481","0.565","1.282","0.183999999999999","0.00500000000000078","0.0530000000000008","0.815000000000001","0.0640000000000001","-0.9","-0.209999999999999","-1.853","-2.16","-2.511","-0.541","-0.594000000000001","-1.055","-1.238"
"P Volatility","10.48","11.9","13.44","12.7","12.58","12.55","13.73","14.48","14.28","14.14","13.64","12.5","12.95","12.96","13.24","14","16.6","18.61","19.63","19.65","19.52","20.95","19.77","19.96","20.39","19.71","19.83","19.77","20.31","19.99","20.39","20.15","20.76","20.37","20.52"
"B Volatility","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","0.690000000000001","1.74","2.66","2.34","2.21","1.91","2.44","3.05","2.85","2.64","2.17","1.04","1.4","1.37","1.78","0.99","1.93","2.28","3.23","3.19","2.95","3.53","2.02","2.16","2.06","1.48","1.85","2.01","2.51","1.98","2.35","2.15","2.78","2.38","2.96"
"P Tracking Error","4.51","4.55","5.35","4.67","4.69","4.92","5.03","5.49","5.46","5.26","5.01","4.59","4.74","4.54","4.97","5.07","5.66","5.75","6.77","6.75","6.3","6.56","6.15","6.03","6.08","6.01","6.25","6.69","6.69","6.48","6.82","6.75","7.18","6.88","7.31"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.86","0.95","1.36","0.89","0.97","0.91","0.89","0.75","0.71","0.78","0.61","0.26","0.11","0.31","0.22","-0.23","0.35","0.25","0.22","0.08","0.2","0.03","0","0.01","0.13","0.01","-0.14","-0.03","-0.28","-0.33","-0.37","-0.08","-0.08","-0.15","-0.17"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.33","0.21","0.24","0.19","0.26","0.22","0.19","0.17","0.16","0.1","0.04","0.15","0.03","0.04","-0.08","0.17","0.01","-0.03","0.07","-0.04","-0.04","-0.12","-0.05","-0.06","0.1","0.01","-0.1","-0.09","-0.17","-0.25","-0.25","-0.02","-0.13","-0.13","-0.19"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","1.09","1.15","1.15","1.13","1.09","1.14","1.19","1.17","1.15","1.11","1.01","1.04","1.05","1.07","1","1.07","1.09","1.13","1.13","1.12","1.15","1.06","1.07","1.06","1.03","1.05","1.05","1.08","1.05","1.07","1.06","1.09","1.07","1.1"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","81.02","85.5","85.28","87.64","86.94","84.74","87.56","87.45","86.76","87.32","87.02","86.13","86.37","87.55","85.86","86.47","88.38","90.78","88.97","89.05","90.36","91.55","90.32","91.01","91.19","90.5","89.96","88.39","89.33","89.39","88.83","88.71","88.27","88.63","87.6"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.6788","-22.6854","-24.2087","-23.6352","-22.942","-22.5639","-22.858","-23.2699","-23.0304","-22.823","-22.2977","-19.8861","-20.5425","-20.7159","-21.2508","-27.0978","-30.8139","-31.639","-32.4918","-32.0999","-32.3172","-32.6706","-31.3934","-31.0858","-30.0624","-30.6028","-30.783","-30.827","-31.0247","-30.6931","-31.7276","-31.1207","-31.7657","-31.9486","-32.1488"
