"","2014-06-11_to_2017-06-12_ALLPortfolio_6QRank","2014-07-11_to_2017-07-12_ALLPortfolio_6QRank","2014-08-11_to_2017-08-12_ALLPortfolio_6QRank","2014-09-11_to_2017-09-12_ALLPortfolio_6QRank","2014-10-13_to_2017-10-12_ALLPortfolio_6QRank","2014-11-11_to_2017-11-12_ALLPortfolio_6QRank","2014-12-11_to_2017-12-12_ALLPortfolio_6QRank","2015-01-12_to_2018-01-12_ALLPortfolio_6QRank","2015-02-11_to_2018-02-12_ALLPortfolio_6QRank","2015-03-11_to_2018-03-12_ALLPortfolio_6QRank","2015-04-13_to_2018-04-12_ALLPortfolio_6QRank","2015-05-11_to_2018-05-12_ALLPortfolio_6QRank","2015-06-11_to_2018-06-12_ALLPortfolio_6QRank","2015-07-13_to_2018-07-12_ALLPortfolio_6QRank","2015-08-11_to_2018-08-12_ALLPortfolio_6QRank","2015-09-11_to_2018-09-12_ALLPortfolio_6QRank","2015-10-12_to_2018-10-12_ALLPortfolio_6QRank","2015-11-11_to_2018-11-12_ALLPortfolio_6QRank","2015-12-11_to_2018-12-12_ALLPortfolio_6QRank","2016-01-11_to_2019-01-12_ALLPortfolio_6QRank","2016-02-11_to_2019-02-12_ALLPortfolio_6QRank","2016-03-11_to_2019-03-12_ALLPortfolio_6QRank","2016-04-11_to_2019-04-12_ALLPortfolio_6QRank","2016-05-11_to_2019-05-12_ALLPortfolio_6QRank","2016-06-13_to_2019-06-12_ALLPortfolio_6QRank","2016-07-11_to_2019-07-12_ALLPortfolio_6QRank","2016-08-11_to_2019-08-12_ALLPortfolio_6QRank","2016-09-12_to_2019-09-12_ALLPortfolio_6QRank","2016-10-11_to_2019-10-12_ALLPortfolio_6QRank","2016-11-11_to_2019-11-12_ALLPortfolio_6QRank","2016-12-12_to_2019-12-12_ALLPortfolio_6QRank","2017-01-11_to_2020-01-12_ALLPortfolio_6QRank","2017-02-13_to_2020-02-12_ALLPortfolio_6QRank","2017-03-13_to_2020-03-12_ALLPortfolio_6QRank","2017-04-11_to_2020-04-12_ALLPortfolio_6QRank","2017-05-11_to_2020-05-12_ALLPortfolio_6QRank","2017-06-12_to_2020-06-12_ALLPortfolio_6QRank","2017-07-11_to_2020-07-12_ALLPortfolio_6QRank","2017-08-11_to_2020-08-12_ALLPortfolio_6QRank","2017-09-11_to_2020-09-12_ALLPortfolio_6QRank","2017-10-11_to_2020-10-12_ALLPortfolio_6QRank","2017-11-13_to_2020-11-12_ALLPortfolio_6QRank","2017-12-11_to_2020-12-12_ALLPortfolio_6QRank","2018-01-11_to_2021-01-12_ALLPortfolio_6QRank","2018-02-12_to_2021-02-12_ALLPortfolio_6QRank","2018-03-12_to_2021-03-12_ALLPortfolio_6QRank","2018-04-11_to_2021-04-12_ALLPortfolio_6QRank","2018-05-11_to_2021-05-12_ALLPortfolio_6QRank","2018-06-11_to_2021-06-12_ALLPortfolio_6QRank","2018-07-11_to_2021-07-12_ALLPortfolio_6QRank","2018-08-13_to_2021-08-12_ALLPortfolio_6QRank","2018-09-11_to_2021-09-12_ALLPortfolio_6QRank","2018-10-11_to_2021-10-12_ALLPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.901","15.291","14.896","12.158","13.744","12.482","13.523","15.461","15.196","16.433","14.458","9.675","16.604","11.336","15.099","14.803","17.395","16.069","13.499","15.415","19.131","14.726","17.218","17.609","16.038","16.121","14.011","15.74","14.497","15.685","15.281","15.828","14.087","3.6","7.568","9.671","9.301","12.979","13.032","13.409","11.306","11.496","12","10.808","14.779","16.876","20.177","17.411","18.421","17.879","17.501","17.536","25.727"
"B Annualized Returns","7.617","6.829","7.876","7.371","10.341","8.065","9.282","11.044","7.849","10.471","8.266","8.966","9.593","9.718","11.306","14.186","10.832","10.473","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","4.284","8.462","7.02","4.787","3.403","4.417","4.241","4.417","7.347","5.962","6.192","0.709000000000001","7.011","1.618","3.793","0.617000000000001","6.563","5.596","4.519","5.179","6.44","3.543","5.232","6.028","4.544","4.173","3.734","4.162","3.359","2.697","3.25","2.451","0.382","-1.932","0.654","1.235","0.558999999999999","1.86","0.965999999999999","1.224","-0.758000000000001","-1.392","-0.593999999999999","-1.398","-0.397","3.5","2.97","1.298","2.045","0.246000000000002","-0.146999999999998","-0.236999999999998","5.264"
"P Volatility","10.73","10.91","11.34","10.53","10.86","10.28","10.65","10.92","11.75","11.57","11.59","10.7","11.68","11.16","10.61","9.88","9.82","11.09","11.38","12.2","13.35","12.99","13.3","12.94","13.88","14.47","14.51","13.8","13.41","12.8","12.64","12.32","11.9","12.84","16.03","17.45","18.55","18.62","18.76","20.63","19.63","19.6","20.89","20.45","20.04","21.43","21.75","21.25","21.42","20.69","20.32","20.4","22.41"
"B Volatility","11.38","11.35","11.25","11.23","11.23","11.15","11.21","10.91","10.97","11.11","11.42","11.41","11.28","11.21","10.51","10.31","8.86","9.89","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","-0.65","-0.44","0.0899999999999999","-0.700000000000001","-0.370000000000001","-0.870000000000001","-0.56","0.00999999999999979","0.779999999999999","0.460000000000001","0.17","-0.710000000000001","0.4","-0.0500000000000007","0.0999999999999996","-0.43","0.960000000000001","1.2","1.59","2.04","2.57","2.63","2.93","2.3","2.59","3.04","3.08","2.3","1.94","1.34","1.09","0.73","0.44","-0.17","1.36","1.12","2.15","2.16","2.19","3.21","1.88","1.8","2.56","2.22","2.06","3.67","3.95","3.24","3.38","2.69","2.34","2.41","4.85"
"P Tracking Error","5.5","5.88","6.17","5.66","5.3","5.46","5.29","5.02","5.83","5.63","5.75","5.23","6.17","4.82","5.49","4.05","4.82","4.76","4.75","4.94","5.14","4.89","5.31","5.05","5.09","5.57","5.75","5.22","5.24","4.7","4.56","4.25","4.44","4.49","5.31","5.1","6.59","6.17","6.09","6.44","6.19","5.88","6.37","6.18","6.29","7.22","7.42","7.26","7.16","6.53","6.88","7.04","8.43"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
