"","2017-12-12_to_2020-12-13_CorePortfolio_20QRank","2018-01-12_to_2021-01-13_CorePortfolio_20QRank","2018-02-12_to_2021-02-13_CorePortfolio_20QRank","2018-03-12_to_2021-03-13_CorePortfolio_20QRank","2018-04-12_to_2021-04-13_CorePortfolio_20QRank","2018-05-14_to_2021-05-13_CorePortfolio_20QRank","2018-06-12_to_2021-06-13_CorePortfolio_20QRank","2018-07-12_to_2021-07-13_CorePortfolio_20QRank","2018-08-13_to_2021-08-13_CorePortfolio_20QRank","2018-09-12_to_2021-09-13_CorePortfolio_20QRank","2018-10-12_to_2021-10-13_CorePortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.682","8.362","10.893","9.93","12.81","13.919","13.554","12.955","14.302","18.282","20.673"
"B Annualized Returns","12.464","12.089","15.304","13.316","17.307","15.715","16.395","17.614","17.883","17.724","19.762"
"AR DIFF(P-B)","-4.782","-3.727","-4.411","-3.386","-4.497","-1.796","-2.841","-4.659","-3.581","0.558","0.910999999999998"
"P Volatility","18","17.85","17.37","17.45","17.41","17.28","17.26","17.1","17.18","19.07","19.65"
"B Volatility","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-0.780000000000001","-0.789999999999999","-1.06","-0.740000000000002","-0.84","-1.12","-1.15","-1.28","-1.16","0.699999999999999","1.68"
"P Tracking Error","4.23","4.14","4.28","4.74","5.31","5.38","5.83","5.95","5.83","5.57","5.59"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-1.13","-0.9","-1.03","-0.71","-0.85","-0.33","-0.49","-0.78","-0.61","0.1","0.16"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.31","-0.28","-0.22","-0.23","-0.14","-0.11","-0.02","-0.22","-0.15","0.09","-0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.93","0.93","0.92","0.93","0.91","0.9","0.89","0.88","0.89","0.99","1.05"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.8","94.95","94.54","93.02","91.3","91.22","89.69","89.21","89.6","91.22","91.87"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-33.2896","-33.2725","-33.2968","-33.9329","-33.8705","-34.0378","-34.1225","-33.8801","-33.4","-34.0497","-34.6828"
"B Max Drawdown","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-1.7584","-1.7413","-1.7656","-2.4017","-2.3393","-2.5066","-2.5913","-2.3489","-1.8688","-2.5185","-3.1516"
