"","1 Y 2015-12-11 to 2018-12-12","1 Y 2016-01-11 to 2019-01-12","1 Y 2016-02-11 to 2019-02-12","1 Y 2016-03-11 to 2019-03-12","1 Y 2016-04-11 to 2019-04-12","1 Y 2016-05-11 to 2019-05-12","1 Y 2016-06-13 to 2019-06-12","1 Y 2016-07-11 to 2019-07-12","1 Y 2016-08-11 to 2019-08-12","1 Y 2016-09-12 to 2019-09-12","1 Y 2016-10-11 to 2019-10-12","1 Y 2016-11-11 to 2019-11-12","1 Y 2016-12-12 to 2019-12-12","1 Y 2017-01-11 to 2020-01-12","1 Y 2017-02-13 to 2020-02-12","1 Y 2017-03-13 to 2020-03-12","1 Y 2017-04-11 to 2020-04-12","1 Y 2017-05-11 to 2020-05-12","1 Y 2017-06-12 to 2020-06-12","1 Y 2017-07-11 to 2020-07-12","1 Y 2017-08-11 to 2020-08-12","1 Y 2017-09-11 to 2020-09-12","1 Y 2017-10-11 to 2020-10-12","1 Y 2017-11-13 to 2020-11-12","1 Y 2017-12-11 to 2020-12-12","1 Y 2018-01-11 to 2021-01-12","1 Y 2018-02-12 to 2021-02-12","1 Y 2018-03-12 to 2021-03-12","1 Y 2018-04-11 to 2021-04-12","1 Y 2018-05-11 to 2021-05-12","1 Y 2018-06-11 to 2021-06-12","1 Y 2018-07-11 to 2021-07-12","1 Y 2018-08-13 to 2021-08-12","1 Y 2018-09-11 to 2021-09-12","1 Y 2018-10-11 to 2021-10-12","2 Y 2015-12-11 to 2018-12-12","2 Y 2016-01-11 to 2019-01-12","2 Y 2016-02-11 to 2019-02-12","2 Y 2016-03-11 to 2019-03-12","2 Y 2016-04-11 to 2019-04-12","2 Y 2016-05-11 to 2019-05-12","2 Y 2016-06-13 to 2019-06-12","2 Y 2016-07-11 to 2019-07-12","2 Y 2016-08-11 to 2019-08-12","2 Y 2016-09-12 to 2019-09-12","2 Y 2016-10-11 to 2019-10-12","2 Y 2016-11-11 to 2019-11-12","2 Y 2016-12-12 to 2019-12-12","2 Y 2017-01-11 to 2020-01-12","2 Y 2017-02-13 to 2020-02-12","2 Y 2017-03-13 to 2020-03-12","2 Y 2017-04-11 to 2020-04-12","2 Y 2017-05-11 to 2020-05-12","2 Y 2017-06-12 to 2020-06-12","2 Y 2017-07-11 to 2020-07-12","2 Y 2017-08-11 to 2020-08-12","2 Y 2017-09-11 to 2020-09-12","2 Y 2017-10-11 to 2020-10-12","2 Y 2017-11-13 to 2020-11-12","2 Y 2017-12-11 to 2020-12-12","2 Y 2018-01-11 to 2021-01-12","2 Y 2018-02-12 to 2021-02-12","2 Y 2018-03-12 to 2021-03-12","2 Y 2018-04-11 to 2021-04-12","2 Y 2018-05-11 to 2021-05-12","2 Y 2018-06-11 to 2021-06-12","2 Y 2018-07-11 to 2021-07-12","2 Y 2018-08-13 to 2021-08-12","2 Y 2018-09-11 to 2021-09-12","2 Y 2018-10-11 to 2021-10-12","3 Y 2015-12-11 to 2018-12-12","3 Y 2016-01-11 to 2019-01-12","3 Y 2016-02-11 to 2019-02-12","3 Y 2016-03-11 to 2019-03-12","3 Y 2016-04-11 to 2019-04-12","3 Y 2016-05-11 to 2019-05-12","3 Y 2016-06-13 to 2019-06-12","3 Y 2016-07-11 to 2019-07-12","3 Y 2016-08-11 to 2019-08-12","3 Y 2016-09-12 to 2019-09-12","3 Y 2016-10-11 to 2019-10-12","3 Y 2016-11-11 to 2019-11-12","3 Y 2016-12-12 to 2019-12-12","3 Y 2017-01-11 to 2020-01-12","3 Y 2017-02-13 to 2020-02-12","3 Y 2017-03-13 to 2020-03-12","3 Y 2017-04-11 to 2020-04-12","3 Y 2017-05-11 to 2020-05-12","3 Y 2017-06-12 to 2020-06-12","3 Y 2017-07-11 to 2020-07-12","3 Y 2017-08-11 to 2020-08-12","3 Y 2017-09-11 to 2020-09-12","3 Y 2017-10-11 to 2020-10-12","3 Y 2017-11-13 to 2020-11-12","3 Y 2017-12-11 to 2020-12-12","3 Y 2018-01-11 to 2021-01-12","3 Y 2018-02-12 to 2021-02-12","3 Y 2018-03-12 to 2021-03-12","3 Y 2018-04-11 to 2021-04-12","3 Y 2018-05-11 to 2021-05-12","3 Y 2018-06-11 to 2021-06-12","3 Y 2018-07-11 to 2021-07-12","3 Y 2018-08-13 to 2021-08-12","3 Y 2018-09-11 to 2021-09-12","3 Y 2018-10-11 to 2021-10-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-1.769","-10.961","-5.438","-2.975","4.294","6.567","-0.981","4.688","-1.086","1.946","3.069","8.18","11.026","16.664","11.308","-13.93","-9.75","-12.823","-10.729","-12.064","0.058","-10.324","-1.042","-5.275","2.21","3.235","5.348","46.128","36.838","34.61","40.784","44.214","37.126","32.521","34.565","4.112","2.445","4.304","4.78","8.097","10.471","7.947","8.84","6.034","8.562","2.171","5.407","3.766","3.013","4.891","-7.387","-2.75","-5.742","-6.024","-6.208","-1.68","-7.05","-0.404","1.121","6.953","9.256","7.792","9.586","10.449","11.693","11.76","16.631","11.695","8.179","6.633","8.814","8.627","15.296","8.952","9.665","10.553","11.605","11.973","8.149","9.882","8.219","7.61","5.626","7.426","7.703","-0.76","1.26","0.715","0.66","-0.543","2.256","-0.881","0.826","2.054","3.52","3.08","6.139","7.501","6.235","7.22","5.458","11.95","7.2","4.774","5.091"
"B Annualized Returns","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","30.588","8.631","6.838","8.379","8.156","11.103","9.725","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.564","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.777","25.777","9.156","9.928","12.976","11.194","11.851","11.683","11.39","11.895","9.599","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.765","9.041","11.51","12.65","12.006","13.292","12.553","12.464","11.897","15.216","13.617","17.248","15.292","16.395","17.663","17.821","17.718","20.396"
"AR DIFF(P-B)","-1.392","-4.723","-7.986","-3.409","-5.127","0.0570000000000004","-4.799","-3.218","-2.836","-2.161","-5.288","-5.605","-9.088","-10.531","-14.574","-4.385","-9.594","-19.208","-19.966","-23.766","-20.674","-26.686","-25.687","-23.244","-16.664","-14.217","-13.809","-12.923","-11.912","-4.589","0.632999999999996","6.822","6.06","1.933","3.977","-4.519","-4.393","-4.075","-3.376","-3.006","0.746","-0.979","-2.437","-2.406","-1.327","-5.789","-4.536","-5.624","-6.551","-8.727","-3.414","-7.407","-10.654","-12.936","-16.343","-13.39","-17.114","-15.594","-14.864","-12.539","-13.762","-14.342","-10.36","-10.718","-9.998","-11.483","-6.262","-14.098","-17.598","-19.144","-0.342000000000001","-1.301","2.32","-2.242","-2.186","-1.13","0.215","0.0780000000000012","-1.45","-1.8","-3.287","-5.25","-6.705","-5.824","-6.227","-2.902","-5.647","-7.05","-8.381","-12.053","-10.394","-12.887","-12.466","-10.499","-8.944","-8.817","-9.077","-6.116","-11.013","-8.072","-10.937","-5.713","-10.621","-12.944","-15.305"
"P Volatility","11.63","14.22","18.34","16.76","15.32","16.04","20.27","24.28","23.19","23.41","20.81","16.72","13.95","13.54","15.07","17.72","22.31","25.84","27.59","26.52","27.16","30.5","25.54","24.28","24.65","22.36","22.41","15.17","15.72","14.02","14.32","14.1","15.61","13.94","15.23","8.8","11.7","14.66","13.1","12.6","12.99","16.1","18.65","17.72","17.63","16.28","12.98","14.59","15.07","14.72","15.53","19.18","21.23","23.38","22.7","22.9","25.2","20.91","20.61","18.67","16.54","18.8","18.63","20.23","17.38","18.62","17.61","19.59","18.22","20.11","9.19","11.35","14.44","11.61","11.4","11.56","14.74","16.59","15.53","15.9","14.65","11.03","12.18","12.78","13.19","14.05","16.93","18.3","19.85","19.58","19.76","21.25","18.29","18.03","17.7","15.89","17.09","16.79","18.4","17.34","18.86","17.34","19.34","18.61","20.09"
"B Volatility","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.08","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37","18.37","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-1.42","-0.58","1.88","0.690000000000001","-0.84","-0.460000000000001","1.82","4.94","4.14","4.22","3.22","-0.960000000000001","0.489999999999998","1.19","2.67","1.54","3.17","3.62","6.08","4.93","5.35","7.38","1.3","-0.34","-1.71","-4.05","-1.48","-3.76","-0.149999999999999","-2.07","-2.03","-1.97","1.28","1.86","3.15","-0.66","-0.210000000000001","2.12","0.49","-0.0600000000000005","0.0800000000000001","1.99","3.88","2.95","2.74","1.41","-1.88","-0.42","0.42","0.5","0.109999999999999","1.82","1.71","3.73","3.14","3.15","4.61","0.66","0.0799999999999983","-1.33","-3.15","-0.949999999999999","-1.11","0.5","-1.45","0.0800000000000018","-0.949999999999999","1.24","-0.150000000000002","1.74","-0.200000000000001","0.77","3.31","0.879999999999999","0.65","0.630000000000001","2.87","4.32","3.28","3.55","2.38","-1.24","-0.16","0.379999999999999","0.92","0.600000000000001","2","1.73","3.19","2.9","2.87","3.74","0.439999999999998","0.0300000000000011","-1.08","-2.75","-1.34","-1.4","0.149999999999999","-1.06","0.449999999999999","-1.04","1","0.239999999999998","2.12"
"P Tracking Error","7.41","5.35","5.69","4.82","4.4","4.99","5.35","7.93","6.1","6.28","5.63","4.39","4.03","4.67","6.39","4.99","7.52","8.03","9.64","9.07","9.1","10.47","8.08","7.55","9","9.98","10.08","10.68","8.85","8.47","10.04","9.59","10.2","10.02","12.57","5.51","4.99","6.13","4.81","5.05","5.36","5.76","7.09","6.23","5.41","4.94","6.31","5.4","4.79","5.6","4.84","5.82","6.35","7.53","7.09","7.29","8.44","6.61","6.57","7.31","8.08","7.95","8.16","8.22","7.5","9.09","8.32","10.78","10.42","11.94","6.31","5.48","7.55","4.89","5.18","5.23","7.29","8.49","7.3","7.5","6.48","5.52","4.77","4.51","5.18","4.6","5.79","6.16","6.95","6.81","7.23","7.56","6.54","6.33","6.72","7.65","7.41","7.41","7.35","6.8","8.15","7.45","9.63","9.71","10.83"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
