"","2015-12-11_to_2017-12-12_GrowthPortfolio_12QRank","2016-01-11_to_2018-01-12_GrowthPortfolio_12QRank","2016-02-11_to_2018-02-12_GrowthPortfolio_12QRank","2016-03-11_to_2018-03-12_GrowthPortfolio_12QRank","2016-04-11_to_2018-04-12_GrowthPortfolio_12QRank","2016-05-11_to_2018-05-12_GrowthPortfolio_12QRank","2016-06-13_to_2018-06-12_GrowthPortfolio_12QRank","2016-07-11_to_2018-07-12_GrowthPortfolio_12QRank","2016-08-11_to_2018-08-12_GrowthPortfolio_12QRank","2016-09-12_to_2018-09-12_GrowthPortfolio_12QRank","2016-10-11_to_2018-10-12_GrowthPortfolio_12QRank","2016-11-11_to_2018-11-12_GrowthPortfolio_12QRank","2016-12-12_to_2018-12-12_GrowthPortfolio_12QRank","2017-01-11_to_2019-01-12_GrowthPortfolio_12QRank","2017-02-13_to_2019-02-12_GrowthPortfolio_12QRank","2017-03-13_to_2019-03-12_GrowthPortfolio_12QRank","2017-04-11_to_2019-04-12_GrowthPortfolio_12QRank","2017-05-11_to_2019-05-12_GrowthPortfolio_12QRank","2017-06-12_to_2019-06-12_GrowthPortfolio_12QRank","2017-07-11_to_2019-07-12_GrowthPortfolio_12QRank","2017-08-11_to_2019-08-12_GrowthPortfolio_12QRank","2017-09-11_to_2019-09-12_GrowthPortfolio_12QRank","2017-10-11_to_2019-10-12_GrowthPortfolio_12QRank","2017-11-13_to_2019-11-12_GrowthPortfolio_12QRank","2017-12-11_to_2019-12-12_GrowthPortfolio_12QRank","2018-01-11_to_2020-01-12_GrowthPortfolio_12QRank","2018-02-12_to_2020-02-12_GrowthPortfolio_12QRank","2018-03-12_to_2020-03-12_GrowthPortfolio_12QRank","2018-04-11_to_2020-04-12_GrowthPortfolio_12QRank","2018-05-11_to_2020-05-12_GrowthPortfolio_12QRank","2018-06-11_to_2020-06-12_GrowthPortfolio_12QRank","2018-07-11_to_2020-07-12_GrowthPortfolio_12QRank","2018-08-13_to_2020-08-12_GrowthPortfolio_12QRank","2018-09-11_to_2020-09-12_GrowthPortfolio_12QRank","2018-10-11_to_2020-10-12_GrowthPortfolio_12QRank","2018-11-12_to_2020-11-12_GrowthPortfolio_12QRank","2018-12-11_to_2020-12-12_GrowthPortfolio_12QRank","2019-01-11_to_2021-01-12_GrowthPortfolio_12QRank","2019-02-11_to_2021-02-12_GrowthPortfolio_12QRank","2019-03-11_to_2021-03-12_GrowthPortfolio_12QRank","2019-04-11_to_2021-04-12_GrowthPortfolio_12QRank","2019-05-13_to_2021-05-12_GrowthPortfolio_12QRank","2019-06-11_to_2021-06-12_GrowthPortfolio_12QRank","2019-07-11_to_2021-07-12_GrowthPortfolio_12QRank","2019-08-12_to_2021-08-12_GrowthPortfolio_12QRank","2019-09-11_to_2021-09-12_GrowthPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","26.6","36.714","43.494","38.792","34.156","34.237","36.448","33.49","33.33","33.792","30.595","23.367","18.245","16.896","16.581","16.681","21.115","18.462","15.134","23.308","18.877","19.051","14.365","17.496","17.687","15.952","17.579","-2.378","7.431","6.617","9.106","15.076","19.874","19.695","30.311","32.337","30.305","31.249","49.762","27.139","29.649","28.341","31.995","31.644","35.116","36.566"
"B Annualized Returns","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","13.169","16.826","24.599","21.802","20.534","19.75","21.062","19.245","19.405","18.118","16.602","10.966","9.614","10.058","8.202","8.525","10.164","8.627","6.208","11.676","10.437","8.952","6.405","7.553","8.124","6.727","3.961","1.953","2.774","1.642","2.366","4.941","8.164","9.63","14.231","16.492","10.539","8.624","26.716","6.651","8.139","6.65","8.941","8.527","8.369","11.17"
"P Volatility","11.27","9.63","12.34","12.19","12.94","12.47","12.19","12.01","12","11.85","11.48","14.53","14.54","15.35","17.31","17.57","17.71","16.72","17.74","19.18","18.59","18.65","18.15","17.82","18.16","16.73","17.36","16.83","18.95","21.33","21.35","21.84","22.38","22.57","20.83","19.97","18.79","19.18","27.51","20.27","20.55","19.97","18.91","19.7","19.68","18.11"
"B Volatility","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","3.74","3.52","5.73","5.32","5.23","4.74","4.43","4.48","4.22","3.94","3.84","5.02","5.08","3.44","4.77","4.96","5.05","3.81","3.63","4.41","3.82","3.76","3.28","2.96","3.15","2.08","3.14","1.41","1.59","1.81","1.7","2.28","2.63","1.98","0.579999999999998","-0.560000000000002","-1.21","-0.510000000000002","7.76","0.530000000000001","0.82","1.14","0.370000000000001","1.14","1.33","-0.260000000000002"
"P Tracking Error","7.15","7.76","9.5","8.93","9.24","8.44","8.27","8.21","9.04","8.68","8.37","8.48","8.6","8.15","8.19","8.41","8.94","7.92","7.02","8.06","7.29","7.89","7.75","7.17","7.36","5.92","6.19","5.82","5.49","5.35","5.59","5.35","5.7","5.36","4.74","5.89","6.52","5.37","11.21","5.84","5.53","5.97","5.74","5.24","6.29","6.25"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
