"","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.006","11.102","12.085","2.297","10.824","5.973","7.054","0.873","-7.971","0.119","2.366","1.996","3.644","2.849","8.564","7.568","9.864","11.42","14.57","25.404","37.408","24.855","21.612","26.763","27.439","24.974","22.148","25.631","27.887","25.844","24.536","28.564","17.259","21.255","17.774","16.485","16.977","17.477","14.059","15.63","6.758","8.734","-0.831","-6.641","2.739","0.336","6.481","5.349","1.771","7.44","4.195","4.221","6.329","12.24","15.92","21.089","21.172","-11.841","-3.539","6.454","12.101","16.952","28.409","24.028","35.406","18.242","19.003","28.611","22.235","76.092","59.598","62.954","52.365","48.579","41.963","42.181"
"B Annualized Returns","7.8","2.974","6.679","-3.18","5.943","2.407","1.741","-4.163","-8.783","-1.446","-0.893","-0.738","0.552","2.209","5.298","12.344","6.405","3.607","9.383","16.38","22.52","17.753","14.76","15.467","16.955","13.025","11.632","14.93","18.951","19.843","18.104","21.738","11.418","14.792","11.553","13.273","14.212","14.311","16.08","16.434","7.565","9.628","-0.541","-6.245","1.178","0.16","9.702","5.836","4.184","8.589","3.739","3.815","7.278","13.662","19.721","28.636","26.794","0.479","-0.156","8.455","8.375","10.532","20.717","16.806","21.097","19.006","19.875","17.643","18.359","44.413","48.22","39.453","40.072","36.05","32.52","34.146"
"AR DIFF(P-B)","5.206","8.128","5.406","5.477","4.881","3.566","5.313","5.036","0.811999999999999","1.565","3.259","2.734","3.092","0.64","3.266","-4.776","3.459","7.813","5.187","9.024","14.888","7.102","6.852","11.296","10.484","11.949","10.516","10.701","8.936","6.001","6.432","6.826","5.841","6.463","6.221","3.212","2.765","3.166","-2.021","-0.804","-0.807","-0.894","-0.29","-0.396","1.561","0.176","-3.221","-0.487","-2.413","-1.149","0.456","0.406","-0.949","-1.422","-3.801","-7.547","-5.622","-12.32","-3.383","-2.001","3.726","6.42","7.692","7.222","14.309","-0.763999999999999","-0.872","10.968","3.876","31.679","11.378","23.501","12.293","12.529","9.443","8.035"
"P Volatility","9.28","9.46","9.09","13.36","13.17","14.32","14.74","15.33","15.68","15.1","15.73","15.08","15.41","15.51","13.14","12.66","10.32","10.76","11.28","8.14","9.01","8.33","9.13","8.93","8.21","8.17","8.09","7.4","6.29","5.34","4.97","5.01","6.48","8.94","9.84","9.53","9.76","9.82","9.03","10.77","10.42","12.39","12.79","13.72","15.92","15.01","15.44","15.13","16.83","19.11","18.12","19.05","17.47","18.3","14.84","11.32","12.06","15.18","22.43","25.69","26.57","25.82","26.39","29.04","29.2","27.96","30.73","31.85","28.96","20.02","18.93","19.28","17.81","17.46","17.93","16.44"
"B Volatility","9.14","9.68","9.58","11.95","12.35","16.04","16.07","15.63","16.43","16.36","17.68","17.59","17.35","17.09","15.7","15.06","11.26","11.26","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","0.139999999999999","-0.219999999999999","-0.49","1.41","0.82","-1.72","-1.33","-0.300000000000001","-0.75","-1.26","-1.95","-2.51","-1.94","-1.58","-2.56","-2.4","-0.94","-0.5","-0.0300000000000011","0.77","1.61","2.33","3.07","2.83","2.22","2.71","2.75","2.55","2.04","1.12","0.79","0.88","1.51","1.31","0.609999999999999","0.279999999999999","0.359999999999999","0.41","-0.890000000000001","0.51","0.220000000000001","-0.52","-0.0200000000000014","-0.449999999999999","0.0199999999999996","-0.49","-0.0899999999999999","-0.949999999999998","-0.610000000000003","1.46","0.760000000000002","1.54","1.74","2.48","2.98","0.77","1.55","-0.57","3.48","3.08","4.2","3.33","3.91","4.8","3.89","2.58","4.22","5.25","5.63","2.02","4.19","4.14","2.23","1.97","4.98","6.11"
"P Tracking Error","4.38","4.58","4.69","5.31","7.09","8.01","7.76","7.51","7.13","7.47","7.22","7.81","7.68","6.89","6.07","4.19","3.15","3.89","3.64","3.44","4.77","4.61","5.53","5.09","4.78","5.78","5.56","4.95","4.45","3.91","3.87","3.35","3.23","3.32","3.32","3.7","3.51","3.15","3.14","3.24","3.78","3.63","3.53","3.94","3.65","2.72","3.24","3.41","3.51","3.85","4.61","5.58","5.22","5.89","5.91","5.26","5.77","6.39","7.26","7.68","9.46","8.9","8.95","8.71","8.18","8.2","9.55","9.47","9.44","8.21","10.61","10.52","9.32","10.87","11.7","12.01"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.19","1.77","1.15","1.03","0.69","0.45","0.68","0.67","0.11","0.21","0.45","0.35","0.4","0.09","0.54","-1.14","1.1","2.01","1.43","2.62","3.12","1.54","1.24","2.22","2.19","2.07","1.89","2.16","2.01","1.53","1.66","2.04","1.81","1.95","1.87","0.87","0.79","1.01","-0.64","-0.25","-0.21","-0.25","-0.08","-0.1","0.43","0.06","-0.99","-0.14","-0.69","-0.3","0.1","0.07","-0.18","-0.24","-0.64","-1.43","-0.97","-1.93","-0.47","-0.26","0.39","0.72","0.86","0.83","1.75","-0.09","-0.09","1.16","0.41","3.86","1.07","2.23","1.32","1.15","0.81","0.67"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
