"","2014-12-11_to_2015-12-12_GrowthPortfolio_8QRank","2015-01-12_to_2016-01-12_GrowthPortfolio_8QRank","2015-02-11_to_2016-02-12_GrowthPortfolio_8QRank","2015-03-11_to_2016-03-12_GrowthPortfolio_8QRank","2015-04-13_to_2016-04-12_GrowthPortfolio_8QRank","2015-05-11_to_2016-05-12_GrowthPortfolio_8QRank","2015-06-11_to_2016-06-12_GrowthPortfolio_8QRank","2015-07-13_to_2016-07-12_GrowthPortfolio_8QRank","2015-08-11_to_2016-08-12_GrowthPortfolio_8QRank","2015-09-11_to_2016-09-12_GrowthPortfolio_8QRank","2015-10-12_to_2016-10-12_GrowthPortfolio_8QRank","2015-11-11_to_2016-11-12_GrowthPortfolio_8QRank","2015-12-11_to_2016-12-12_GrowthPortfolio_8QRank","2016-01-11_to_2017-01-12_GrowthPortfolio_8QRank","2016-02-11_to_2017-02-12_GrowthPortfolio_8QRank","2016-03-11_to_2017-03-12_GrowthPortfolio_8QRank","2016-04-11_to_2017-04-12_GrowthPortfolio_8QRank","2016-05-11_to_2017-05-12_GrowthPortfolio_8QRank","2016-06-13_to_2017-06-12_GrowthPortfolio_8QRank","2016-07-11_to_2017-07-12_GrowthPortfolio_8QRank","2016-08-11_to_2017-08-12_GrowthPortfolio_8QRank","2016-09-12_to_2017-09-12_GrowthPortfolio_8QRank","2016-10-11_to_2017-10-12_GrowthPortfolio_8QRank","2016-11-11_to_2017-11-12_GrowthPortfolio_8QRank","2016-12-12_to_2017-12-12_GrowthPortfolio_8QRank","2017-01-11_to_2018-01-12_GrowthPortfolio_8QRank","2017-02-13_to_2018-02-12_GrowthPortfolio_8QRank","2017-03-13_to_2018-03-12_GrowthPortfolio_8QRank","2017-04-11_to_2018-04-12_GrowthPortfolio_8QRank","2017-05-11_to_2018-05-12_GrowthPortfolio_8QRank","2017-06-12_to_2018-06-12_GrowthPortfolio_8QRank","2017-07-11_to_2018-07-12_GrowthPortfolio_8QRank","2017-08-11_to_2018-08-12_GrowthPortfolio_8QRank","2017-09-11_to_2018-09-12_GrowthPortfolio_8QRank","2017-10-11_to_2018-10-12_GrowthPortfolio_8QRank","2017-11-13_to_2018-11-12_GrowthPortfolio_8QRank","2017-12-11_to_2018-12-12_GrowthPortfolio_8QRank","2018-01-11_to_2019-01-12_GrowthPortfolio_8QRank","2018-02-12_to_2019-02-12_GrowthPortfolio_8QRank","2018-03-12_to_2019-03-12_GrowthPortfolio_8QRank","2018-04-11_to_2019-04-12_GrowthPortfolio_8QRank","2018-05-11_to_2019-05-12_GrowthPortfolio_8QRank","2018-06-11_to_2019-06-12_GrowthPortfolio_8QRank","2018-07-11_to_2019-07-12_GrowthPortfolio_8QRank","2018-08-13_to_2019-08-12_GrowthPortfolio_8QRank","2018-09-11_to_2019-09-12_GrowthPortfolio_8QRank","2018-10-11_to_2019-10-12_GrowthPortfolio_8QRank","2018-11-12_to_2019-11-12_GrowthPortfolio_8QRank","2018-12-11_to_2019-12-12_GrowthPortfolio_8QRank","2019-01-11_to_2020-01-12_GrowthPortfolio_8QRank","2019-02-11_to_2020-02-12_GrowthPortfolio_8QRank","2019-03-11_to_2020-03-12_GrowthPortfolio_8QRank","2019-04-11_to_2020-04-12_GrowthPortfolio_8QRank","2019-05-13_to_2020-05-12_GrowthPortfolio_8QRank","2019-06-11_to_2020-06-12_GrowthPortfolio_8QRank","2019-07-11_to_2020-07-12_GrowthPortfolio_8QRank","2019-08-12_to_2020-08-12_GrowthPortfolio_8QRank","2019-09-11_to_2020-09-12_GrowthPortfolio_8QRank","2019-10-11_to_2020-10-12_GrowthPortfolio_8QRank","2019-11-11_to_2020-11-12_GrowthPortfolio_8QRank","2019-12-11_to_2020-12-12_GrowthPortfolio_8QRank","2020-01-13_to_2021-01-12_GrowthPortfolio_8QRank","2020-02-11_to_2021-02-12_GrowthPortfolio_8QRank","2020-03-11_to_2021-03-12_GrowthPortfolio_8QRank","2020-04-13_to_2021-04-12_GrowthPortfolio_8QRank","2020-05-11_to_2021-05-12_GrowthPortfolio_8QRank","2020-06-11_to_2021-06-12_GrowthPortfolio_8QRank","2020-07-13_to_2021-07-12_GrowthPortfolio_8QRank","2020-08-11_to_2021-08-12_GrowthPortfolio_8QRank","2020-09-11_to_2021-09-12_GrowthPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.841","12.152","-5.739","3.854","6.844","7.254","0.491","-0.896","14.871","7.683","13.759","13.761","13.845","28.449","42.921","28.576","25.445","32.894","28.998","24.248","27.917","33.392","38.667","37.294","33.853","35.968","30.192","36.76","32.283","26.547","24.497","30.568","26.068","30.008","17.415","11.943","2.042","-3.623","3.879","-2.163","5.802","8.624","2.661","7.595","-2.033","3.646","8.469","17.924","20.437","25.916","27.229","-6.55","6.181","10.362","13.702","18.753","29.054","28.162","46.996","39.333","39.063","61.301","52.342","75.895","65.028","45.494","46.997","46.529","36.918","39.523"
"B Annualized Returns","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","10.104","15.506","3.373","5.006","6.759","7.953","0.676","-3.677","9.514","-3.568","6.685","8.907","3.628","9.387","20.092","10.848","12.083","17.517","12.498","11.106","16.122","18.036","20.194","18.283","15.4","13.125","15.634","20.264","19.472","13.032","10.211","15.816","9.967","14.016","7.76","5.722","2.419","2.615","1.331","-2.597","-3.619","2.359","-1.157","-0.311","-3.783","-0.461","0.112","4.139","0.323","-1.377","1.347","2.995","6.337","3.977","4.465","7.051","8.322","11.8","22.351","21.364","20.189","43.849","33.185","16.844","16.278","6.295","6.846","9.137","5.852","4.59"
"P Volatility","14.17","13.77","14.95","14.45","16.77","15.84","14.16","13.52","14.23","11.3","10.57","11.75","11.86","8.59","8.36","7.32","7.36","6.87","6.96","7.85","8.3","7.93","8.59","8.88","8.13","7.69","12.12","13.18","14.45","13.51","13.35","13.43","14.27","13.93","14.87","18.08","15.7","17.68","20.58","19.97","21.2","19.93","22.24","23.56","21.93","22.34","19.22","16.44","12.52","9.89","9.29","13.93","16.1","19.47","20.57","20.39","21.48","22.84","23.15","23.4","22.64","28.8","24.98","22.59","21.81","21.08","20.83","17.88","15.57","13.88"
"B Volatility","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-2.11","-1.67","-0.0800000000000001","-0.42","0.460000000000001","-0.43","-2.01","-2.45","-0.49","-2.75","0.800000000000001","1.84","1.89","0.62","0.819999999999999","1.15","1.13","0.63","0.83","2.33","2.85","2.62","4.33","4.73","3.87","3.43","6.55","5.2","4.9","3.94","3.66","3.79","4.13","3.48","4.44","5.04","2.65","2.88","4.12","3.9","5.04","3.43","3.79","4.22","2.88","3.15","1.63","-1.24","-0.940000000000001","-2.46","-3.11","-2.25","-3.04","-2.75","-0.940000000000001","-1.2","-0.329999999999998","-0.280000000000001","-1.09","-1.22","-3.72","2.39","1.09","3.66","5.94","4.99","4.48","1.81","1.24","1.8"
"P Tracking Error","8.88","8.5","8.77","8.49","8.26","7.34","7.42","7.28","7","5.44","3.88","3.36","3.48","2.74","4.86","5.46","5.96","4.61","6.31","6.82","8.26","7.49","9.04","8.68","8.05","7.14","8.68","8.89","9.1","7.43","7.44","7.13","8.93","8.43","8.81","9.11","5.07","7.85","6.74","6.98","7.15","6.6","6.34","6.03","4.86","5.31","4.53","5.24","5","5.66","5.25","4.94","5.65","6.69","7.01","7.22","6.87","4.89","3.97","4.35","7.17","7.85","5.94","9.04","10.31","10.88","9.78","9.51","7.66","7.87"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
