"","2015-12-11_to_2017-12-12_VGPortfolio_12QRank","2016-01-11_to_2018-01-12_VGPortfolio_12QRank","2016-02-11_to_2018-02-12_VGPortfolio_12QRank","2016-03-11_to_2018-03-12_VGPortfolio_12QRank","2016-04-11_to_2018-04-12_VGPortfolio_12QRank","2016-05-11_to_2018-05-12_VGPortfolio_12QRank","2016-06-13_to_2018-06-12_VGPortfolio_12QRank","2016-07-11_to_2018-07-12_VGPortfolio_12QRank","2016-08-11_to_2018-08-12_VGPortfolio_12QRank","2016-09-12_to_2018-09-12_VGPortfolio_12QRank","2016-10-11_to_2018-10-12_VGPortfolio_12QRank","2016-11-11_to_2018-11-12_VGPortfolio_12QRank","2016-12-12_to_2018-12-12_VGPortfolio_12QRank","2017-01-11_to_2019-01-12_VGPortfolio_12QRank","2017-02-13_to_2019-02-12_VGPortfolio_12QRank","2017-03-13_to_2019-03-12_VGPortfolio_12QRank","2017-04-11_to_2019-04-12_VGPortfolio_12QRank","2017-05-11_to_2019-05-12_VGPortfolio_12QRank","2017-06-12_to_2019-06-12_VGPortfolio_12QRank","2017-07-11_to_2019-07-12_VGPortfolio_12QRank","2017-08-11_to_2019-08-12_VGPortfolio_12QRank","2017-09-11_to_2019-09-12_VGPortfolio_12QRank","2017-10-11_to_2019-10-12_VGPortfolio_12QRank","2017-11-13_to_2019-11-12_VGPortfolio_12QRank","2017-12-11_to_2019-12-12_VGPortfolio_12QRank","2018-01-11_to_2020-01-12_VGPortfolio_12QRank","2018-02-12_to_2020-02-12_VGPortfolio_12QRank","2018-03-12_to_2020-03-12_VGPortfolio_12QRank","2018-04-11_to_2020-04-12_VGPortfolio_12QRank","2018-05-11_to_2020-05-12_VGPortfolio_12QRank","2018-06-11_to_2020-06-12_VGPortfolio_12QRank","2018-07-11_to_2020-07-12_VGPortfolio_12QRank","2018-08-13_to_2020-08-12_VGPortfolio_12QRank","2018-09-11_to_2020-09-12_VGPortfolio_12QRank","2018-10-11_to_2020-10-12_VGPortfolio_12QRank","2018-11-12_to_2020-11-12_VGPortfolio_12QRank","2018-12-11_to_2020-12-12_VGPortfolio_12QRank","2019-01-11_to_2021-01-12_VGPortfolio_12QRank","2019-02-11_to_2021-02-12_VGPortfolio_12QRank","2019-03-11_to_2021-03-12_VGPortfolio_12QRank","2019-04-11_to_2021-04-12_VGPortfolio_12QRank","2019-05-13_to_2021-05-12_VGPortfolio_12QRank","2019-06-11_to_2021-06-12_VGPortfolio_12QRank","2019-07-11_to_2021-07-12_VGPortfolio_12QRank","2019-08-12_to_2021-08-12_VGPortfolio_12QRank","2019-09-11_to_2021-09-12_VGPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","19.962","28.357","34.308","27.597","23.546","24.006","28.659","24.832","23.831","25.293","21.295","17.001","10.424","10.482","11.122","11.609","14.819","13.903","10.734","14.581","11.485","11.88","8.333","12.182","11.149","9.346","12.221","-4.831","0.62","1.673","0.718","7.171","7.751","6.644","11.826","17.285","17.331","19.211","28.3","18.316","18.795","19.737","34.819","20.402","21.718","22.21"
"B Annualized Returns","14.092","19.494","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.117","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.854","20.593","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","5.87","8.863","17.012","11.308","10.401","9.64","13.309","11.166","9.45","9.613","8.18","2.529","2.056","3.629","3.462","3.589","4.195","4.221","1.658","3.168","2.44","1.936","0.912","2.303","2.029","-0.0570000000000004","-1.061","-5.287","-4.044","-4.252","-5.399","-2.384","-3.091","-3.475","-2.564","0.919","-2.467","-3.915","5.446","-2.277","-2.366","-3.266","11.822","-2.045","-4.763","-3.318"
"P Volatility","8.53","7.23","9.22","9.41","9.81","9.87","10.21","10.34","10.03","10.08","9.31","10.26","10.67","12.51","14.26","14.27","14.65","13.8","15.41","16.83","16.34","16.63","15.53","15.54","15.21","13.81","13.86","14.69","19.1","20.97","22.35","21.86","23.11","23.3","23.29","23.29","23.13","21.22","25.61","22.1","21.48","21.45","26.84","21.23","21.47","20.46"
"B Volatility","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","0.17","1.51","2.9","2.83","2.33","2.37","2.68","3","2.41","2.43","1.8","0.82","1.32","1.07","2.17","2.09","2.46","1.24","2.02","3.12","2.61","2.76","1.7","1.72","1.2","0.120000000000001","0.609999999999999","-0.23","2.01","1.7","2.98","2.55","3.75","2.79","3.14","3.01","3.51","1.92","6.32","2.76","2.24","2.71","8.13","2.49","2.94","1.93"
"P Tracking Error","5.26","4.76","5.86","4.9","5.11","5.33","5.35","5.72","6.06","5.89","5.4","5.1","4.93","4.46","4.89","4.77","5.44","4.67","4.69","5.43","5.27","5.34","5.37","5.06","4.98","4.58","4.73","5.27","5.87","5.49","6.7","6.35","7.03","6.82","7.36","7.49","8.84","7.48","10.44","8.36","8.21","8.4","11.97","8.25","8.7","7.9"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.12","1.86","2.9","2.31","2.04","1.81","2.49","1.95","1.56","1.63","1.51","0.5","0.42","0.81","0.71","0.75","0.77","0.9","0.35","0.58","0.46","0.36","0.17","0.46","0.41","-0.01","-0.22","-1","-0.69","-0.77","-0.81","-0.38","-0.44","-0.51","-0.35","0.12","-0.28","-0.52","0.52","-0.27","-0.29","-0.39","0.99","-0.25","-0.55","-0.42"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.68","0.57","0.68","0.3","0.63","0.56","0.79","0.65","0.66","0.46","0.52","0.4","0.2","0.16","0.15","0.22","0.21","0.18","0.1","0.1","0.05","0.06","-0.01","0.19","0.15","0.1","-0.12","-0.03","-0.46","-0.51","-0.5","-0.1","-0.26","-0.32","-0.28","-0.06","-0.18","-0.34","0.04","-0.22","-0.08","-0.17","0.32","-0.12","-0.33","-0.18"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.82","0.95","1.13","1.25","1.13","1.11","1.17","1.19","1.05","1.07","1.01","0.94","1.01","1.02","1.11","1.11","1.12","1.03","1.1","1.18","1.13","1.14","1.06","1.07","1.03","0.95","0.98","0.92","1.07","1.05","1.11","1.09","1.15","1.09","1.1","1.09","1.09","1.03","1.23","1.06","1.03","1.05","1.32","1.04","1.06","1.02"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","63.36","54.6","58.56","74.72","72.51","70.19","72.89","69.8","61.97","64.59","64.73","74.42","77.67","86.71","88.66","89.22","86.64","88.14","91.07","91.22","90.47","90.74","87.72","89.26","88.83","88.7","87.8","87.18","90.47","93.04","91.48","91.77","91.89","91.69","90.32","89.84","85.36","87.05","85.86","85.28","84.8","84.17","84.47","84.34","83.08","84.4"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
