"","1 Y 2013-09-11 to 2014-09-12","1 Y 2013-10-11 to 2014-10-12","1 Y 2013-11-11 to 2014-11-12","1 Y 2013-12-11 to 2014-12-12","1 Y 2014-01-13 to 2015-01-12","1 Y 2014-02-11 to 2015-02-12","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.468","15.89","17.224","18.121","13.868","16.016","10.73","24.155","20.923","17.08","17.752","15.116","4.364","17.608","9.775","9.747","6.672","-6.717","-1.061","1.217","1.418","0.077","5.818","9.016","18.339","13.157","12.889","17.483","27.667","43.743","25.28","23.149","28.384","25.702","21.946","21.628","24.746","25.79","23.859","21.04","24.067","19.555","18.472","16.381","16.406","19.279","15.994","15.805","15.574","10.027","7.77","0.955","-2.873","4.868","-1.908","9.497","6.43","3.456","8.028","6.086","3.835","4.784","13.448","13.796","21.552","16.909","-11.041","0.663","5.869","12.766","7.672","30.911","22.793","38.465","8.951","10.942","30.556","22.161","78.361","65.346","66.236","61.829","54.634","48.014","50.739"
"B Annualized Returns","17.4","12.657","14.605","11.808","10.7","14.273","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","1.068","3.233","2.619","6.313","3.168","1.743","0.507","9.979","11.106","9.238","12.875","8.172","7.535","11.478","8.719","8.01","10.026","2.395","0.091","1.132","2.117","0.262","3.037","3.659","7.088","6.083","8.035","7.266","8.605","20.914","7.552","9.787","13.007","9.202","8.804","9.833","9.39","7.317","4.848","2.587","1.224","4.997","1.976","3.57","2.891","4.993","1.242","-0.295999999999999","-0.418000000000001","0.372","1.549","1.332","3.365","2.32","-2.342","0.0760000000000005","0.165","-0.362","0.122000000000001","4.336","-0.272","-3.573","-0.337","-6.318","-5.741","-8.973","-1.496","0.819","-0.516","3.529","-4.03","10.179","6.431","13.82","-9.018","-7.932","13.104","3.004","19.31","16.596","27.037","21.678","17.242","16.948","15.806"
"P Volatility","7.64","9.07","8.89","8.97","8.12","6.69","8.1","11.35","9.05","8.99","8.16","8.1","11.79","11.86","14.19","15.19","14.21","14.08","14.05","14.86","15.69","13.83","13.11","12.57","12.91","11","10.99","11.85","9.19","9.73","8.41","8.37","8.72","6.28","5.45","7.34","5.56","3.52","4.9","3.51","3.76","6.65","8.68","9.64","10.78","10.29","10.14","10.47","10.47","10.25","13.38","12.94","13.85","15.16","15.12","15.05","16.14","18.14","20.39","18.76","20.35","19.18","18.01","14.47","13.04","12.27","15.1","17.33","21.61","22.02","19.43","24.25","28.17","27.03","23.36","26.78","30.99","26.62","21.15","19.77","19.81","18.14","18.09","17.6","16.46"
"B Volatility","8.4","7.94","7.69","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-0.760000000000001","1.13","1.2","1.25","3.02","-0.97","-1.2","1.32","-0.93","-0.959999999999999","-2.06","-1.82","-0.16","-0.34","-2.06","-1.09","-1.23","-0.949999999999999","-0.819999999999999","-1.45","-0.58","-2.34","-2.86","-2.15","-1.14","1.23","1.08","1.88","1.22","2.19","2.24","2.14","2.48","0.15","-0.0699999999999994","1.89","0.25","-0.74","0.75","-0.75","-0.5","1.08","0.699999999999999","0.0899999999999999","1.21","0.6","0.5","0.33","0.0200000000000014","-0.18","0.340000000000002","-0.110000000000001","-0.950000000000001","-1.3","-0.950000000000001","-1.11","-0.359999999999999","-0.309999999999999","1.05","-0.289999999999999","1.16","1.59","0.330000000000002","1.01","0.69","-0.130000000000001","-1.08","-1.81","-0.609999999999999","0.509999999999998","-2.16","2.44","5.05","2.79","-1.26","0.420000000000002","4.58","2.73","2.22","3.9","3.72","1.79","2.02","3.27","4.38"
"P Tracking Error","5.48","5.84","5.34","5.87","4.45","7.24","4.97","5.14","5.42","4.43","5.34","5.84","4.68","4.51","5.9","4.11","2.84","3.45","4.22","3.69","4.08","5.52","5.46","3.98","4.39","2.24","2.16","2.89","3.21","4.89","4.52","5.29","5.41","2.66","3.62","4.96","2.6","2.86","1.97","2.31","2.14","2.14","3.08","3.08","3.08","2.64","2.36","3.23","2.74","3.74","2.91","3.34","2.31","2.37","3.65","2.6","3.75","3.41","3.08","3.66","4.29","3.73","1.99","3.44","1.91","1.35","2.54","3.13","2.25","2.57","5.08","4.21","7.22","6.05","5","6.28","6.24","6.4","8.04","9.61","9.39","8.35","8.11","9.04","9.83"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
