"","2015-12-11_to_2018-12-12_VGPortfolio_12QRank","2016-01-11_to_2019-01-12_VGPortfolio_12QRank","2016-02-11_to_2019-02-12_VGPortfolio_12QRank","2016-03-11_to_2019-03-12_VGPortfolio_12QRank","2016-04-11_to_2019-04-12_VGPortfolio_12QRank","2016-05-11_to_2019-05-12_VGPortfolio_12QRank","2016-06-13_to_2019-06-12_VGPortfolio_12QRank","2016-07-11_to_2019-07-12_VGPortfolio_12QRank","2016-08-11_to_2019-08-12_VGPortfolio_12QRank","2016-09-12_to_2019-09-12_VGPortfolio_12QRank","2016-10-11_to_2019-10-12_VGPortfolio_12QRank","2016-11-11_to_2019-11-12_VGPortfolio_12QRank","2016-12-12_to_2019-12-12_VGPortfolio_12QRank","2017-01-11_to_2020-01-12_VGPortfolio_12QRank","2017-02-13_to_2020-02-12_VGPortfolio_12QRank","2017-03-13_to_2020-03-12_VGPortfolio_12QRank","2017-04-11_to_2020-04-12_VGPortfolio_12QRank","2017-05-11_to_2020-05-12_VGPortfolio_12QRank","2017-06-12_to_2020-06-12_VGPortfolio_12QRank","2017-07-11_to_2020-07-12_VGPortfolio_12QRank","2017-08-11_to_2020-08-12_VGPortfolio_12QRank","2017-09-11_to_2020-09-12_VGPortfolio_12QRank","2017-10-11_to_2020-10-12_VGPortfolio_12QRank","2017-11-13_to_2020-11-12_VGPortfolio_12QRank","2017-12-11_to_2020-12-12_VGPortfolio_12QRank","2018-01-11_to_2021-01-12_VGPortfolio_12QRank","2018-02-12_to_2021-02-12_VGPortfolio_12QRank","2018-03-12_to_2021-03-12_VGPortfolio_12QRank","2018-04-11_to_2021-04-12_VGPortfolio_12QRank","2018-05-11_to_2021-05-12_VGPortfolio_12QRank","2018-06-11_to_2021-06-12_VGPortfolio_12QRank","2018-07-11_to_2021-07-12_VGPortfolio_12QRank","2018-08-13_to_2021-08-12_VGPortfolio_12QRank","2018-09-11_to_2021-09-12_VGPortfolio_12QRank","2018-10-11_to_2021-10-12_VGPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.727","15.616","21.419","15.996","17.773","17.235","17.354","17.351","15.643","16.799","15.057","14.8","12.581","15.502","15.344","5.395","9.955","11.458","11.396","12.519","14.36","13.175","12.124","13.593","13.895","11.969","13.856","12.975","14.661","12.87","12.613","16.997","16.616","16.008","18.468"
"B Annualized Returns","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","4.747","5.38","8.728","4.813","5.787","5.654","5.86","5.403","5.366","5.221","3.919","1.812","0.549999999999999","2.125","1.639","-0.137","3.041","3.022","2.654","1.4","2.294","0.99","0.0600000000000005","0.705","1.301","-0.237","-1.32","-0.401","-2.546","-3.243","-3.763","-0.635999999999999","-1.032","-1.765","-1.995"
"P Volatility","10.92","12.47","14.27","13.34","13.19","13.16","14.51","15.43","15.21","15.05","14.41","12.81","13.5","13.53","14.05","14.68","17.07","19.13","20.39","20.47","20.18","21.92","20.17","20.33","20.31","19.43","19.75","19.75","20.46","20.01","20.69","20.23","21.11","20.38","20.54"
"B Volatility","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","1.13","2.31","3.49","2.98","2.82","2.52","3.22","4","3.78","3.55","2.94","1.35","1.95","1.94","2.59","1.67","2.4","2.8","3.99","4.01","3.61","4.5","2.42","2.53","1.98","1.2","1.77","1.99","2.66","2","2.65","2.23","3.13","2.39","2.98"
"P Tracking Error","5.37","5.35","6.37","5.48","5.54","5.79","5.98","6.58","6.52","6.24","5.83","5.14","5.32","5.14","5.72","5.87","6.38","6.47","7.6","7.65","6.96","7.47","6.69","6.43","6.17","6.08","6.37","7.05","7.08","6.65","7.19","6.97","7.51","7.02","7.63"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.88","1.01","1.37","0.88","1.04","0.98","0.98","0.82","0.82","0.84","0.67","0.35","0.1","0.41","0.29","-0.02","0.48","0.47","0.35","0.18","0.33","0.13","0.01","0.11","0.21","-0.04","-0.21","-0.06","-0.36","-0.49","-0.52","-0.09","-0.14","-0.25","-0.26"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.38","0.25","0.29","0.2","0.33","0.28","0.26","0.22","0.23","0.12","0.05","0.19","0","0.05","-0.08","0.24","0.1","0.06","0.14","0","0","-0.09","-0.05","-0.02","0.16","0.03","-0.13","-0.09","-0.23","-0.33","-0.37","-0.01","-0.17","-0.18","-0.22"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","1.11","1.2","1.19","1.17","1.12","1.19","1.25","1.22","1.21","1.16","1.02","1.08","1.08","1.13","1.04","1.08","1.11","1.17","1.17","1.15","1.2","1.07","1.09","1.06","1.01","1.04","1.04","1.08","1.05","1.08","1.06","1.1","1.07","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","75.11","81.92","81.86","84.81","83.58","80.98","84.67","84.68","83.97","84.93","84.8","83.49","84.48","85.63","84","83.66","86.12","89.11","87.51","87.45","89.36","90.65","89.11","90.28","90.78","89.91","89.43","86.99","88.16","88.82","88.04","88.01","87.72","88.11","86.4"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.9107","-23.88","-25.7873","-25.2135","-24.2727","-23.7489","-24.2911","-24.9092","-24.6642","-24.4702","-23.8346","-20.5614","-21.5961","-21.8838","-22.6814","-27.2628","-30.5764","-31.7773","-33.0585","-32.5366","-32.8168","-33.2646","-31.4906","-30.9904","-29.4972","-30.3139","-30.5092","-30.5609","-30.8419","-30.3965","-31.9613","-30.9228","-31.8283","-32.0118","-32.2902"
"B Max Drawdown","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-4.3296","-3.9207","-5.828","-5.2542","-4.3134","-3.7896","-4.3318","-4.9499","-4.7049","-4.5109","-3.8753","-0.6021","-1.6368","-1.9245","-2.7221","-7.3035","0.954799999999999","-0.246100000000002","-1.5273","-1.0054","-1.2856","-1.7334","0.0405999999999977","0.540799999999997","2.034","1.2173","1.022","0.970299999999998","0.689299999999999","1.1347","-0.430100000000003","0.6084","-0.2971","-0.480600000000003","-0.759"
