"","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.955","26.084","38.976","23.907","18.83","21.802","27.364","23.45","19.654","24.548","28.062","23.706","19.579","27.911","18.763","24.492","19.496","19.008","20.171","20.875","18.799","19.832","9.754","10.829","2.625","-3.559","3.986","1.731","6.19","5.371","-0.399","6.661","1.911","3.431","5.801","13.671","17.008","21.144","20.823","-12.406","-4.518","0.441","9.504","5.252","14.324","11.924","21.149","23.39","30.04","29.083","26.481","80.603","60.624","59.521","50.398","49.166","41.285","41.94"
"B Annualized Returns","9.383","16.38","22.52","17.753","14.76","15.467","16.955","13.025","11.632","14.93","18.951","19.843","18.104","21.738","11.418","14.792","11.553","13.273","14.212","14.311","16.08","16.434","7.565","9.628","-0.541","-6.245","1.178","0.16","9.702","5.836","4.184","8.589","3.739","3.815","7.278","13.662","19.721","28.636","26.794","0.479","-0.156","8.455","8.375","10.532","20.717","16.806","21.097","19.006","19.875","17.643","18.359","44.413","48.22","39.453","40.072","36.05","32.52","34.146"
"AR DIFF(P-B)","5.572","9.704","16.456","6.154","4.07","6.335","10.409","10.425","8.022","9.618","9.111","3.863","1.475","6.173","7.345","9.7","7.943","5.735","5.959","6.564","2.719","3.398","2.189","1.201","3.166","2.686","2.808","1.571","-3.512","-0.465","-4.583","-1.928","-1.828","-0.384","-1.477","0.00899999999999856","-2.713","-7.492","-5.971","-12.885","-4.362","-8.014","1.129","-5.28","-6.393","-4.882","0.0519999999999996","4.384","10.165","11.44","8.122","36.19","12.404","20.068","10.326","13.116","8.76499999999999","7.794"
"P Volatility","10.44","8.32","8.72","7.22","7.73","7.99","8.22","8.14","7.74","7.64","6.68","6.18","5.82","5.32","7.47","10.18","10.91","10.41","10.95","11.33","10.62","10.96","10.8","13.49","13.25","13.73","16.07","15.44","15.94","16.28","17.91","18.78","19.27","18.92","18","18.39","14.25","11.06","11.5","14.92","21.98","25.23","27.65","26.37","27.04","27.67","27.86","30.96","34.94","33.98","31.19","21.44","18.53","18.35","17.15","16.63","17.04","16.43"
"B Volatility","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","-0.870000000000001","0.95","1.32","1.22","1.67","1.89","2.23","2.68","2.4","2.79","2.43","1.96","1.64","1.19","2.5","2.55","1.68","1.16","1.55","1.92","0.699999999999999","0.700000000000001","0.600000000000001","0.58","0.44","-0.44","0.17","-0.0600000000000005","0.41","0.200000000000003","0.469999999999999","1.13","1.91","1.41","2.27","2.57","2.39","0.51","0.99","-0.83","3.03","2.62","5.28","3.88","4.56","3.43","2.55","5.58","8.43","7.38","7.86","3.44","3.79","3.21","1.57","1.14","4.09","6.1"
"P Tracking Error","3.98","3.06","4.45","3.18","3.54","3.92","4.86","5.45","5.3","5.11","4.67","4.5","4.18","3.81","4.11","4.08","4.99","4.25","3.89","4.16","4.37","4.17","4.27","3.82","3.28","3.25","3.17","2.56","2.98","2.98","3.42","3.85","4.79","4.49","4.83","5.47","6.08","4.68","5.77","5.62","7.52","7.4","9.95","8.98","9.26","8.72","8.28","9.6","12.09","11.03","10.58","8.09","8.59","10.11","8.99","9.51","10.49","12.01"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
