"","2014-06-11_to_2017-06-12_ValuePortfolio_6QRank","2014-07-11_to_2017-07-12_ValuePortfolio_6QRank","2014-08-11_to_2017-08-12_ValuePortfolio_6QRank","2014-09-11_to_2017-09-12_ValuePortfolio_6QRank","2014-10-13_to_2017-10-12_ValuePortfolio_6QRank","2014-11-11_to_2017-11-12_ValuePortfolio_6QRank","2014-12-11_to_2017-12-12_ValuePortfolio_6QRank","2015-01-12_to_2018-01-12_ValuePortfolio_6QRank","2015-02-11_to_2018-02-12_ValuePortfolio_6QRank","2015-03-11_to_2018-03-12_ValuePortfolio_6QRank","2015-04-13_to_2018-04-12_ValuePortfolio_6QRank","2015-05-11_to_2018-05-12_ValuePortfolio_6QRank","2015-06-11_to_2018-06-12_ValuePortfolio_6QRank","2015-07-13_to_2018-07-12_ValuePortfolio_6QRank","2015-08-11_to_2018-08-12_ValuePortfolio_6QRank","2015-09-11_to_2018-09-12_ValuePortfolio_6QRank","2015-10-12_to_2018-10-12_ValuePortfolio_6QRank","2015-11-11_to_2018-11-12_ValuePortfolio_6QRank","2015-12-11_to_2018-12-12_ValuePortfolio_6QRank","2016-01-11_to_2019-01-12_ValuePortfolio_6QRank","2016-02-11_to_2019-02-12_ValuePortfolio_6QRank","2016-03-11_to_2019-03-12_ValuePortfolio_6QRank","2016-04-11_to_2019-04-12_ValuePortfolio_6QRank","2016-05-11_to_2019-05-12_ValuePortfolio_6QRank","2016-06-13_to_2019-06-12_ValuePortfolio_6QRank","2016-07-11_to_2019-07-12_ValuePortfolio_6QRank","2016-08-11_to_2019-08-12_ValuePortfolio_6QRank","2016-09-12_to_2019-09-12_ValuePortfolio_6QRank","2016-10-11_to_2019-10-12_ValuePortfolio_6QRank","2016-11-11_to_2019-11-12_ValuePortfolio_6QRank","2016-12-12_to_2019-12-12_ValuePortfolio_6QRank","2017-01-11_to_2020-01-12_ValuePortfolio_6QRank","2017-02-13_to_2020-02-12_ValuePortfolio_6QRank","2017-03-13_to_2020-03-12_ValuePortfolio_6QRank","2017-04-11_to_2020-04-12_ValuePortfolio_6QRank","2017-05-11_to_2020-05-12_ValuePortfolio_6QRank","2017-06-12_to_2020-06-12_ValuePortfolio_6QRank","2017-07-11_to_2020-07-12_ValuePortfolio_6QRank","2017-08-11_to_2020-08-12_ValuePortfolio_6QRank","2017-09-11_to_2020-09-12_ValuePortfolio_6QRank","2017-10-11_to_2020-10-12_ValuePortfolio_6QRank","2017-11-13_to_2020-11-12_ValuePortfolio_6QRank","2017-12-11_to_2020-12-12_ValuePortfolio_6QRank","2018-01-11_to_2021-01-12_ValuePortfolio_6QRank","2018-02-12_to_2021-02-12_ValuePortfolio_6QRank","2018-03-12_to_2021-03-12_ValuePortfolio_6QRank","2018-04-11_to_2021-04-12_ValuePortfolio_6QRank","2018-05-11_to_2021-05-12_ValuePortfolio_6QRank","2018-06-11_to_2021-06-12_ValuePortfolio_6QRank","2018-07-11_to_2021-07-12_ValuePortfolio_6QRank","2018-08-13_to_2021-08-12_ValuePortfolio_6QRank","2018-09-11_to_2021-09-12_ValuePortfolio_6QRank","2018-10-11_to_2021-10-12_ValuePortfolio_6QRank"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.07","-0.06","-0.11","-0.06","-0.14","-0.17","-0.22","0.06","-0.29","-0.44","-0.31","-0.41","-0.13","-0.18","-0.29","-0.25","-0.14","0.08","0","0.08","0.14","-0.02","-0.36","0.15","0.1","-0.02","-0.06","0.03","-0.13","0.01","0.15","0.08","-0.06","-0.05","-0.41","-0.4","-0.38","-0.19","-0.63","-0.84","-0.68","-0.75","-0.72","-0.87","-0.27","-0.33","-0.34","-0.63","-0.59","-0.61","-0.54","-0.53","0.09"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.63","0.73","0.69","0.69","0.77","0.73","0.85","1.04","0.94","0.89","0.88","0.78","0.85","0.96","1.02","1.03","0.96","0.85","1.03","1","1.1","1.11","1.18","1.07","1.18","1.22","1.2","1.09","1.04","0.91","0.86","0.85","0.8","0.85","0.94","0.9","0.9","0.82","0.76","0.9","0.8","0.78","0.77","0.69","0.72","0.73","0.77","0.77","0.88","1","0.94","0.92","1.3"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","60.7","76.31","64.54","70.46","77.22","72.22","80.56","85.93","79.07","73.19","76.98","68.53","81.85","83.88","79.3","72.53","69.97","66.88","72.74","74.02","70.52","68.4","67.2","74.41","79.42","76.82","76.53","81.02","78.05","89.11","76.09","75.84","72.63","83.85","84.58","85.8","86.27","84.85","78.04","86.47","81.18","82.34","79.98","75.32","79.21","82.39","84.5","83.28","80.27","82.46","75.73","73.25","81.31"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.7628","-12.9648","-13.632","-12.5451","-13.6297","-13.1645","-14.8406","-14.736","-16.2032","-17.5052","-16.7403","-16.4686","-13.4646","-14.7309","-15.5144","-17.8279","-13.9681","-11.8186","-13.2531","-19.4642","-23.9099","-25.228","-26.8432","-22.3756","-23.5804","-25.9739","-24.6621","-21.9364","-20.4834","-19.1056","-18.089","-17.1224","-14.4357","-27.4819","-32.6124","-33.128","-32.4533","-29.5406","-30.2217","-33.7235","-32.9153","-31.9872","-30.1186","-31.9219","-30.4894","-31.6742","-31.2877","-31.1161","-36.6328","-37.613","-37.6452","-36.1624","-36.5638"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","2.5651","0.363099999999999","-0.3041","0.7828","-0.3018","0.163399999999999","-1.5127","-1.4081","-2.8753","-4.1773","-3.4124","-3.1407","-0.136700000000001","-1.403","-3.6782","-5.9917","-2.1319","-0.404999999999999","-2.0803","0.495099999999997","-3.9506","-5.2687","-6.8839","-2.4163","-3.6211","-6.0146","-4.7028","-1.9771","-0.524100000000001","0.8538","1.8703","2.8369","5.5236","-1.4433","-1.0812","-1.5968","-0.9221","1.9906","1.3095","-2.1923","-1.3841","-0.456000000000003","1.4126","-0.390700000000002","1.0418","-0.143000000000001","0.243499999999997","0.415099999999999","-5.1016","-6.0818","-6.114","-4.6312","-5.0326"
