"","2013-09-11_to_2016-09-12_VGPortfolio_3QRank","2013-10-11_to_2016-10-12_VGPortfolio_3QRank","2013-11-11_to_2016-11-12_VGPortfolio_3QRank","2013-12-11_to_2016-12-12_VGPortfolio_3QRank","2014-01-13_to_2017-01-12_VGPortfolio_3QRank","2014-02-11_to_2017-02-12_VGPortfolio_3QRank","2014-03-11_to_2017-03-12_VGPortfolio_3QRank","2014-04-11_to_2017-04-12_VGPortfolio_3QRank","2014-05-12_to_2017-05-12_VGPortfolio_3QRank","2014-06-11_to_2017-06-12_VGPortfolio_3QRank","2014-07-11_to_2017-07-12_VGPortfolio_3QRank","2014-08-11_to_2017-08-12_VGPortfolio_3QRank","2014-09-11_to_2017-09-12_VGPortfolio_3QRank","2014-10-13_to_2017-10-12_VGPortfolio_3QRank","2014-11-11_to_2017-11-12_VGPortfolio_3QRank","2014-12-11_to_2017-12-12_VGPortfolio_3QRank","2015-01-12_to_2018-01-12_VGPortfolio_3QRank","2015-02-11_to_2018-02-12_VGPortfolio_3QRank","2015-03-11_to_2018-03-12_VGPortfolio_3QRank","2015-04-13_to_2018-04-12_VGPortfolio_3QRank","2015-05-11_to_2018-05-12_VGPortfolio_3QRank","2015-06-11_to_2018-06-12_VGPortfolio_3QRank","2015-07-13_to_2018-07-12_VGPortfolio_3QRank","2015-08-11_to_2018-08-12_VGPortfolio_3QRank","2015-09-11_to_2018-09-12_VGPortfolio_3QRank","2015-10-12_to_2018-10-12_VGPortfolio_3QRank","2015-11-11_to_2018-11-12_VGPortfolio_3QRank","2015-12-11_to_2018-12-12_VGPortfolio_3QRank","2016-01-11_to_2019-01-12_VGPortfolio_3QRank","2016-02-11_to_2019-02-12_VGPortfolio_3QRank","2016-03-11_to_2019-03-12_VGPortfolio_3QRank","2016-04-11_to_2019-04-12_VGPortfolio_3QRank","2016-05-11_to_2019-05-12_VGPortfolio_3QRank","2016-06-13_to_2019-06-12_VGPortfolio_3QRank","2016-07-11_to_2019-07-12_VGPortfolio_3QRank","2016-08-11_to_2019-08-12_VGPortfolio_3QRank","2016-09-12_to_2019-09-12_VGPortfolio_3QRank","2016-10-11_to_2019-10-12_VGPortfolio_3QRank","2016-11-11_to_2019-11-12_VGPortfolio_3QRank","2016-12-12_to_2019-12-12_VGPortfolio_3QRank","2017-01-11_to_2020-01-12_VGPortfolio_3QRank","2017-02-13_to_2020-02-12_VGPortfolio_3QRank","2017-03-13_to_2020-03-12_VGPortfolio_3QRank","2017-04-11_to_2020-04-12_VGPortfolio_3QRank","2017-05-11_to_2020-05-12_VGPortfolio_3QRank","2017-06-12_to_2020-06-12_VGPortfolio_3QRank","2017-07-11_to_2020-07-12_VGPortfolio_3QRank","2017-08-11_to_2020-08-12_VGPortfolio_3QRank","2017-09-11_to_2020-09-12_VGPortfolio_3QRank","2017-10-11_to_2020-10-12_VGPortfolio_3QRank","2017-11-13_to_2020-11-12_VGPortfolio_3QRank","2017-12-11_to_2020-12-12_VGPortfolio_3QRank","2018-01-11_to_2021-01-12_VGPortfolio_3QRank","2018-02-12_to_2021-02-12_VGPortfolio_3QRank","2018-03-12_to_2021-03-12_VGPortfolio_3QRank","2018-04-11_to_2021-04-12_VGPortfolio_3QRank","2018-05-11_to_2021-05-12_VGPortfolio_3QRank","2018-06-11_to_2021-06-12_VGPortfolio_3QRank","2018-07-11_to_2021-07-12_VGPortfolio_3QRank","2018-08-13_to_2021-08-12_VGPortfolio_3QRank","2018-09-11_to_2021-09-12_VGPortfolio_3QRank","2018-10-11_to_2021-10-12_VGPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.27","0.69","0.86","0.93","0.74","0.83","0.81","1.89","2.22","0.89","0.99","0.97","2.02","1.46","1.35","1.48","1.88","1.17","-0.79","-0.39","0.67","0.61","0.72","0.5","1.98","1.89","1.28","1.2","1.1","1.39","0.69","1.23","0.57","0.69","0.77","0.59","1.13","0.62","0.21","-0.21","0.19","-0.1","-0.48","-0.26","0.14","-0.03","-0.26","0.78","0.53","0.89","0.25","0.68","0.44","1.45","0.66","1.04","0.9","0.95","0.87","0.22","1.18","0.91"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.2","0.45","0.43","0.49","0.38","0.48","0.48","0.77","0.74","0.37","0.43","0.43","0.81","0.41","0.51","0.54","0.42","0.28","-0.16","-0.02","0.21","0.25","0.4","0.29","0.83","0.75","0.42","0.24","0.29","0.26","0.08","0.2","0.06","0.19","0.19","0.14","0.24","0.1","0.04","-0.05","0.05","-0.03","-0.05","-0.09","-0.02","-0.03","-0.18","0.16","0.16","0.3","0.09","0.24","0.23","0.54","0.2","0.38","0.35","0.31","0.28","0.16","0.4","0.18"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.81","0.8","0.84","0.82","0.75","0.74","0.81","0.92","0.91","0.9","0.81","0.85","0.95","0.9","0.94","0.98","0.99","0.96","0.94","0.91","0.93","0.86","0.81","0.86","0.91","1.03","1.13","1.17","1.16","1.21","1.16","1.14","1.17","1.08","1.11","1.06","1.07","1.07","0.98","0.98","1","0.98","0.99","1.04","1.04","1.03","1.04","1.03","1.1","1.07","0.97","1.04","0.87","1.01","1.06","1.02","1.02","1.02","1.14","0.93","1.16","1.18"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","82.24","77.69","82.35","75.46","75.43","70.69","82.38","82.56","83.52","86.74","82.38","81.2","81.41","86.67","83.07","86.57","89.31","91.39","91.02","93.33","90.92","87.49","85.17","88.43","74.81","78.38","83.56","84.07","86.11","87.69","90.38","89.54","85.4","91.17","91.12","90.05","93.48","91.64","95.62","96.43","96.14","94.52","93.68","94.34","96.09","95.31","95.85","95.96","93.98","93.66","96.1","93.38","96.44","93.14","93.74","92.54","92.27","93.26","94.01","94.94","91.68","91.28"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-17.3496","-14.7862","-13.7608","-13.2985","-14.2138","-12.3729","-12.7136","-14.6179","-15.2054","-14.5037","-13.3376","-13.7953","-14.3353","-14.4068","-15.8151","-15.4301","-14.9858","-13.4135","-14.1642","-13.6119","-14.4907","-14.8602","-12.408","-12.1906","-13.4863","-13.3216","-14.6158","-16.4697","-26.3764","-26.9277","-25.2318","-23.6321","-26.1496","-23.8745","-23.8902","-21.6004","-21.6403","-21.9727","-18.9567","-19.4985","-19.2309","-19.5191","-27.7434","-34.3098","-32.5812","-32.7168","-33.5937","-32.8473","-34.7744","-34.4142","-30.9619","-32.0384","-29.6981","-31.8544","-33.232","-31.6197","-31.1435","-30.8019","-33.8585","-32.3521","-34.8096","-34.7187"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-4.0217","-1.4583","-0.4329","0.029399999999999","-0.885900000000001","0.955","0.6143","-1.29","-1.8775","-1.1758","-0.00970000000000049","-0.4674","-1.0074","-1.0789","-2.4872","-2.1022","-1.6579","-0.0856000000000012","-0.8363","-0.284000000000001","-1.1628","-1.5323","0.9199","-0.3544","-1.6501","-1.4854","-3.2022","-5.2969","-6.4171","-6.9684","-5.2725","-3.6728","-6.1903","-3.9152","-3.9309","-1.6411","-1.681","-2.0134","1.0027","0.460799999999999","0.728400000000001","0.440199999999997","-1.7048","-2.7786","-1.05","-1.1856","-2.0625","-1.3161","-3.2432","-2.883","0.569299999999998","-0.507200000000005","1.8331","-0.3232","-1.7008","-0.0885000000000034","0.387699999999999","0.729299999999999","-2.3273","-0.820900000000002","-3.2784","-3.1875"
