"","2017-12-12_to_2019-12-13_ValuePortfolio_20QRank","2018-01-12_to_2020-01-13_ValuePortfolio_20QRank","2018-02-12_to_2020-02-13_ValuePortfolio_20QRank","2018-03-12_to_2020-03-13_ValuePortfolio_20QRank","2018-04-12_to_2020-04-13_ValuePortfolio_20QRank","2018-05-14_to_2020-05-13_ValuePortfolio_20QRank","2018-06-12_to_2020-06-13_ValuePortfolio_20QRank","2018-07-12_to_2020-07-13_ValuePortfolio_20QRank","2018-08-13_to_2020-08-13_ValuePortfolio_20QRank","2018-09-12_to_2020-09-13_ValuePortfolio_20QRank","2018-10-12_to_2020-10-13_ValuePortfolio_20QRank","2018-11-12_to_2020-11-13_ValuePortfolio_20QRank","2018-12-12_to_2020-12-13_ValuePortfolio_20QRank","2019-01-14_to_2021-01-13_ValuePortfolio_20QRank","2019-02-12_to_2021-02-13_ValuePortfolio_20QRank","2019-03-12_to_2021-03-13_ValuePortfolio_20QRank","2019-04-12_to_2021-04-13_ValuePortfolio_20QRank","2019-05-13_to_2021-05-13_ValuePortfolio_20QRank","2019-06-12_to_2021-06-13_ValuePortfolio_20QRank","2019-07-12_to_2021-07-13_ValuePortfolio_20QRank","2019-08-12_to_2021-08-13_ValuePortfolio_20QRank","2019-09-12_to_2021-09-13_ValuePortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","4.949","4.623","6.561","-2.622","-4.014","-4.05","-2.207","-3.357","-1.969","-5.563","-1.786","4.446","11.001","8.059","3.524","7.071","7.682","10.313","12.378","7.797","41.058","36.388"
"B Annualized Returns","9.417","9.222","13.426","0.389","3.995","4.109","6.695","8.963","11.594","10.064","14.85","16.469","19.492","23.319","22.255","20.354","21.449","22.351","23.243","22.776","26.833","25.24"
"AR DIFF(P-B)","-4.468","-4.599","-6.865","-3.011","-8.009","-8.159","-8.902","-12.32","-13.563","-15.627","-16.636","-12.023","-8.491","-15.26","-18.731","-13.283","-13.767","-12.038","-10.865","-14.979","14.225","11.148"
"P Volatility","12.28","11.85","12","13.07","17.34","18.44","18.34","19.78","21.13","21.98","21.55","22.4","25.55","23.93","22.3","23.19","21.89","21.78","22.22","22.16","33.1","33.04"
"B Volatility","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-2.73","-2.8","-2.22","-2.35","-0.0199999999999996","-1.08","-1.31","0.220000000000002","1.38","1.39","1.3","1.87","5.55","4.24","2.55","3.45","2.16","2.95","3.68","3.6","14.75","14.67"
"P Tracking Error","7.22","6.34","5.89","6.52","6.48","6.2","5.98","6.36","6.07","7.21","7.45","8.2","10.22","9.61","10.2","10.92","10.42","11.26","11.65","12.15","19.31","19.11"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.62","-0.73","-1.17","-0.46","-1.24","-1.32","-1.49","-1.94","-2.23","-2.17","-2.23","-1.47","-0.83","-1.59","-1.84","-1.22","-1.32","-1.07","-0.93","-1.23","0.74","0.58"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.2","0","-0.14","-0.23","-0.72","-0.63","-0.79","-0.92","-1.06","-1.44","-1.38","-1.04","-0.92","-1.4","-1.29","-1.02","-0.87","-1.02","-0.91","-0.92","0.13","-0.22"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.72","0.73","0.77","0.77","0.93","0.9","0.89","0.96","1.02","1.01","1","1.02","1.19","1.12","1","1.04","0.98","0.99","1.02","1","1.57","1.58"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","76.11","81.33","82.56","81.67","85.88","89.44","90.34","89.35","91.4","88.73","87.48","85.97","85.43","84.11","78.08","76.87","76.32","72.02","71.23","68.53","74.94","75.74"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-16.0871","-14.6302","-16.3724","-25.1648","-34.2264","-32.6978","-32.7549","-34.812","-37.2497","-37.7829","-37.6452","-38.3294","-38.8785","-39.7242","-37.7379","-38.5097","-36.9824","-38.2289","-39.2962","-38.5047","-39.374","-40.4805"
"B Max Drawdown","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","3.8722","5.3291","3.5869","0.873799999999999","-2.6952","-1.1666","-1.2237","-3.2808","-5.7185","-6.2517","-6.114","-6.7982","-7.3473","-8.193","-6.2067","-6.9785","-5.4512","-6.6977","-7.765","-6.9735","-7.8428","-8.9493"
