"","2014-03-11_to_2017-03-12_GrowthPortfolio_5QRank","2014-04-11_to_2017-04-12_GrowthPortfolio_5QRank","2014-05-12_to_2017-05-12_GrowthPortfolio_5QRank","2014-06-11_to_2017-06-12_GrowthPortfolio_5QRank","2014-07-11_to_2017-07-12_GrowthPortfolio_5QRank","2014-08-11_to_2017-08-12_GrowthPortfolio_5QRank","2014-09-11_to_2017-09-12_GrowthPortfolio_5QRank","2014-10-13_to_2017-10-12_GrowthPortfolio_5QRank","2014-11-11_to_2017-11-12_GrowthPortfolio_5QRank","2014-12-11_to_2017-12-12_GrowthPortfolio_5QRank","2015-01-12_to_2018-01-12_GrowthPortfolio_5QRank","2015-02-11_to_2018-02-12_GrowthPortfolio_5QRank","2015-03-11_to_2018-03-12_GrowthPortfolio_5QRank","2015-04-13_to_2018-04-12_GrowthPortfolio_5QRank","2015-05-11_to_2018-05-12_GrowthPortfolio_5QRank","2015-06-11_to_2018-06-12_GrowthPortfolio_5QRank","2015-07-13_to_2018-07-12_GrowthPortfolio_5QRank","2015-08-11_to_2018-08-12_GrowthPortfolio_5QRank","2015-09-11_to_2018-09-12_GrowthPortfolio_5QRank","2015-10-12_to_2018-10-12_GrowthPortfolio_5QRank","2015-11-11_to_2018-11-12_GrowthPortfolio_5QRank","2015-12-11_to_2018-12-12_GrowthPortfolio_5QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_5QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_5QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_5QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_5QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_5QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_5QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_5QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_5QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_5QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_5QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_5QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_5QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_5QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_5QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_5QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_5QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_5QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_5QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_5QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_5QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_5QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_5QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_5QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_5QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_5QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_5QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_5QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_5QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_5QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_5QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_5QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_5QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_5QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_5QRank"
"P Information Ratio","0.88","2.34","2.3","2.1","2.05","1.46","1.43","1.27","1.29","0.75","0.81","0.94","1.85","1.76","0.6","0.72","0.81","0.98","0.89","1.89","1.47","1.19","1.3","1.39","1.16","1.1","1.18","1.11","1.31","1.47","1.09","1.28","0.64","0.79","1.07","0.83","0.09","0.56","0.75","0.9","0.8","1.26","1.32","0.89","0.8","1.55","1.73","1.87","1.67","1.26","0.85","0.74","1.24","0.93","1.06","1.35"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.69","1.42","1.18","1.44","1.29","0.88","0.92","0.64","0.74","0.5","0.32","0.52","1.12","1.17","0.23","0.22","0.35","0.57","0.4","1.09","0.74","0.47","0.72","0.59","0.6","0.66","0.62","0.71","0.82","0.65","0.56","0.58","0.19","0.15","0.24","0.18","0.09","0.24","0.3","0.33","0.26","0.61","0.85","0.42","0.32","0.9","0.83","1.05","1.14","0.44","0.38","0.33","0.63","0.44","0.35","0.6"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","0.87","0.9","0.88","0.93","0.89","0.97","0.94","0.88","0.89","0.91","0.88","0.89","1","0.86","0.92","0.97","0.86","0.95","1.16","1.32","1.35","1.22","1.29","1.22","1.2","1.24","1.14","1.1","1.04","1.02","1.05","1.12","1.2","1.2","1.28","1.1","1.16","1.2","1.21","1.18","1.19","1.22","1.32","1.18","1.31","1.31","1.3","1.22","1.02","1.02","1.04","1.01","0.99","1.08","0.98"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","68.12","63.55","63.29","55.68","56.88","62.16","64.94","65.58","66.6","79.16","80.61","68.87","60.71","63.45","85.6","86.17","79.49","65.73","72.7","61.82","70","68.75","65.1","72.11","65.8","66.09","66.58","69.5","68.99","80.76","77.25","77.3","83.6","88.96","88.13","86.47","90.28","88.46","88.94","89.05","86.01","86.41","86.06","88.18","91.24","89.15","89.26","86.8","85.24","90.58","90.72","90.18","90.03","89.21","90.76","88.96"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-20.702","-16.8782","-17.2079","-17.1938","-17.8845","-16.8442","-16.7116","-18.2939","-16.0612","-13.5323","-13.3937","-15.1197","-14.3813","-15.8891","-14.1091","-14.4952","-15.0341","-15.512","-15.2343","-15.2116","-17.856","-21.8631","-28.3401","-29.1719","-29.3008","-27.869","-28.5924","-26.6267","-25.308","-22.3839","-22.5844","-22.5343","-22.6102","-23.6897","-23.4049","-26.0016","-28.8975","-34.4229","-34.8055","-34.4461","-33.4304","-35.2527","-35.2324","-38.6567","-35.1353","-35.5284","-35.6002","-33.4027","-31.8906","-30.3221","-30.0761","-31.109","-30.2099","-30.8013","-32.2012","-29.3281"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-7.3741","-3.5503","-3.88","-3.8659","-4.5566","-3.5163","-3.3837","-4.966","-2.7333","-0.2044","-0.0658000000000012","-1.7918","-1.0534","-2.5612","-0.7812","-1.1673","-1.7062","-3.6758","-3.3981","-3.3754","-6.4424","-10.6903","-8.3808","-9.2126","-9.3415","-7.9097","-8.6331","-6.6674","-5.3487","-2.4246","-2.6251","-2.575","-2.6508","-3.7304","-3.4456","-6.0423","-2.8589","-2.8917","-3.2743","-2.9149","-1.8992","-3.7215","-3.7012","-7.1255","-3.6041","-3.9972","-4.069","-1.8715","-0.359400000000001","1.2091","1.4551","0.422199999999997","1.3213","0.729899999999997","-0.670000000000002","2.2031"
