"","2013-09-11_to_2016-09-12_ValuePortfolio_3QRank","2013-10-11_to_2016-10-12_ValuePortfolio_3QRank","2013-11-11_to_2016-11-12_ValuePortfolio_3QRank","2013-12-11_to_2016-12-12_ValuePortfolio_3QRank","2014-01-13_to_2017-01-12_ValuePortfolio_3QRank","2014-02-11_to_2017-02-12_ValuePortfolio_3QRank","2014-03-11_to_2017-03-12_ValuePortfolio_3QRank","2014-04-11_to_2017-04-12_ValuePortfolio_3QRank","2014-05-12_to_2017-05-12_ValuePortfolio_3QRank","2014-06-11_to_2017-06-12_ValuePortfolio_3QRank","2014-07-11_to_2017-07-12_ValuePortfolio_3QRank","2014-08-11_to_2017-08-12_ValuePortfolio_3QRank","2014-09-11_to_2017-09-12_ValuePortfolio_3QRank","2014-10-13_to_2017-10-12_ValuePortfolio_3QRank","2014-11-11_to_2017-11-12_ValuePortfolio_3QRank","2014-12-11_to_2017-12-12_ValuePortfolio_3QRank","2015-01-12_to_2018-01-12_ValuePortfolio_3QRank","2015-02-11_to_2018-02-12_ValuePortfolio_3QRank","2015-03-11_to_2018-03-12_ValuePortfolio_3QRank","2015-04-13_to_2018-04-12_ValuePortfolio_3QRank","2015-05-11_to_2018-05-12_ValuePortfolio_3QRank","2015-06-11_to_2018-06-12_ValuePortfolio_3QRank","2015-07-13_to_2018-07-12_ValuePortfolio_3QRank","2015-08-11_to_2018-08-12_ValuePortfolio_3QRank","2015-09-11_to_2018-09-12_ValuePortfolio_3QRank","2015-10-12_to_2018-10-12_ValuePortfolio_3QRank","2015-11-11_to_2018-11-12_ValuePortfolio_3QRank","2015-12-11_to_2018-12-12_ValuePortfolio_3QRank","2016-01-11_to_2019-01-12_ValuePortfolio_3QRank","2016-02-11_to_2019-02-12_ValuePortfolio_3QRank","2016-03-11_to_2019-03-12_ValuePortfolio_3QRank","2016-04-11_to_2019-04-12_ValuePortfolio_3QRank","2016-05-11_to_2019-05-12_ValuePortfolio_3QRank","2016-06-13_to_2019-06-12_ValuePortfolio_3QRank","2016-07-11_to_2019-07-12_ValuePortfolio_3QRank","2016-08-11_to_2019-08-12_ValuePortfolio_3QRank","2016-09-12_to_2019-09-12_ValuePortfolio_3QRank","2016-10-11_to_2019-10-12_ValuePortfolio_3QRank","2016-11-11_to_2019-11-12_ValuePortfolio_3QRank","2016-12-12_to_2019-12-12_ValuePortfolio_3QRank","2017-01-11_to_2020-01-12_ValuePortfolio_3QRank","2017-02-13_to_2020-02-12_ValuePortfolio_3QRank","2017-03-13_to_2020-03-12_ValuePortfolio_3QRank","2017-04-11_to_2020-04-12_ValuePortfolio_3QRank","2017-05-11_to_2020-05-12_ValuePortfolio_3QRank","2017-06-12_to_2020-06-12_ValuePortfolio_3QRank","2017-07-11_to_2020-07-12_ValuePortfolio_3QRank","2017-08-11_to_2020-08-12_ValuePortfolio_3QRank","2017-09-11_to_2020-09-12_ValuePortfolio_3QRank","2017-10-11_to_2020-10-12_ValuePortfolio_3QRank","2017-11-13_to_2020-11-12_ValuePortfolio_3QRank","2017-12-11_to_2020-12-12_ValuePortfolio_3QRank","2018-01-11_to_2021-01-12_ValuePortfolio_3QRank","2018-02-12_to_2021-02-12_ValuePortfolio_3QRank","2018-03-12_to_2021-03-12_ValuePortfolio_3QRank","2018-04-11_to_2021-04-12_ValuePortfolio_3QRank","2018-05-11_to_2021-05-12_ValuePortfolio_3QRank","2018-06-11_to_2021-06-12_ValuePortfolio_3QRank","2018-07-11_to_2021-07-12_ValuePortfolio_3QRank","2018-08-13_to_2021-08-12_ValuePortfolio_3QRank","2018-09-11_to_2021-09-12_ValuePortfolio_3QRank","2018-10-11_to_2021-10-12_ValuePortfolio_3QRank"
"P Information Ratio","-0.27","-0.17","-0.41","-0.19","-0.2","0.01","-0.19","0.48","0.92","-0.1","0.06","0.41","0.8","1.27","1.41","1.32","1.41","-0.42","-0.73","-0.35","-0.36","-0.34","-0.55","-0.09","0.23","-0.08","0.03","0.36","0.11","0.95","0.27","0.19","0.39","0.39","0.79","0.47","0.86","0.59","-0.5","-0.18","-0.03","-0.68","-0.57","-0.86","-1.06","-1.32","-1.7","-1.78","-1.69","-1.56","-1.65","-1.88","-1.02","0.62","0.23","0.41","0.51","0.46","0.32","-0.59","0.61","0.62"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.09","0.14","0.05","0.02","0.18","0.28","0.11","0.22","0.33","0","0.15","0.27","0.3","0.29","0.65","0.65","0.47","-0.08","-0.29","-0.19","-0.05","0.01","0.05","0.17","0.24","0.09","0.05","0.05","-0.01","0.24","0.08","-0.14","0.03","0.22","0.32","0.18","0.38","0.28","0.18","0.25","0.33","-0.01","-0.2","-0.41","-0.45","-0.41","-0.71","-0.74","-1.37","-0.83","-1","-1.1","-0.39","0.69","0.13","0.46","0.49","0.35","0.1","-0.18","0.25","-0.06"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.68","0.76","0.75","0.73","0.54","0.55","0.65","0.88","0.94","0.92","0.81","0.86","0.93","1.06","1.07","1.07","1.05","0.89","0.94","0.95","0.91","0.82","0.72","0.88","0.84","1.01","0.93","1.05","1.11","1.21","1.18","1.12","1.16","1.11","1.16","1.16","1.04","0.9","0.58","0.61","0.66","0.65","0.74","0.77","0.85","0.85","0.9","0.96","1.13","1.01","0.88","0.86","0.74","1","1.04","1.01","0.98","0.97","1.24","0.9","1.36","1.55"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","67.38","75.17","77.2","69.36","43.36","43.82","61.94","84.94","89.09","86.42","76.48","80.16","83.91","87.75","78.01","74.6","74.16","75.19","74.48","81.45","80.43","76.11","65.33","74.42","68.94","73.61","74.29","73.35","79.3","72.64","73.21","62.72","70.6","78.14","78.15","73.54","83.61","81.3","56.1","68.94","68.74","69.11","78.12","78.5","84.51","87.79","86.19","90.61","86.55","85.32","82.18","83.55","77.43","72.95","74.01","71.9","72.6","76.07","81.77","78.92","81.58","83.49"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-12.3004","-11.6859","-11.8834","-10.384","-10.6041","-11.0813","-13.0083","-10.9246","-13.8623","-11.8304","-11.4717","-11.8071","-11.9394","-17.8466","-17.933","-18.3234","-16.5107","-16.5289","-17.9062","-17.6103","-17.5129","-16.6734","-14.543","-14.6471","-14.6663","-14.2097","-12.6466","-12.4667","-24.4476","-25.3681","-25.2515","-23.184","-24.5129","-23.7606","-25.7006","-23.9761","-20.7857","-18.6693","-11.4123","-12.4871","-12.2753","-11.9944","-23.3958","-28.4306","-29.2459","-28.8552","-29.4473","-33.1046","-41.1701","-38.7342","-35.9456","-37.0196","-31.7999","-33.7271","-34.911","-33.6778","-31.3009","-30.6104","-37.3225","-36.4771","-41.1921","-41.5556"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","1.0275","1.642","1.4445","2.9439","2.7238","2.2466","0.319599999999999","2.4033","-0.5344","1.4975","1.8562","1.5208","1.3885","-4.5187","-4.6051","-4.9955","-3.1828","-3.201","-4.5783","-4.2824","-4.185","-3.3455","-1.2151","-2.8109","-2.8301","-2.3735","-1.233","-1.2939","-4.4883","-5.4088","-5.2922","-3.2247","-4.5536","-3.8013","-5.7413","-4.0168","-0.8264","1.29","8.5471","7.4722","7.684","7.9649","2.6428","3.1006","2.2853","2.676","2.0839","-1.5734","-9.6389","-7.203","-4.4144","-5.4884","-0.268700000000003","-2.1959","-3.3798","-2.1466","0.2303","0.9208","-5.7913","-4.9459","-9.66090000000001","-10.0244"
