"","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","22.468","30.891","24.09","28.194","24.304","22.342","23.42","20.997","22.528","21.616","11.333","9.204","1.682","-4.984","1.66","-0.055","8.509","6.886","0.955","6.406","1.833","2.856","7.925","13.655","18.231","22.579","20.572","-12.365","-3.067","0.359","3.611","8.106","14.774","11.48","21.092","18.923","18.815","19.388","32.316","61.361","50.546","45.694","59.458","42.726","34.564","30.947","19.063","28.465","31.136","25.926","21.536","22.122","25.553","22.217","21.169","23.071","19.405","16.157","10.256","9.929","10.663","10.943","13.87","12.705","10.132","13.41","10.47","11.02","7.966","11.059","10.152","8.631","11.984","-5.148","1.105","2.065","1.98","7.004","8.276","7.38","12.617","16.297","17.908","20.602","26.129","18.888","19.961","21.001","31.974","21.808","24.032","23.732"
"B Annualized Returns","18.104","21.738","12.822","15.012","11.553","13.036","14.212","14.311","15.516","16.434","7.565","9.049","-0.541","-5.623","1.178","0.16","9.702","7.214","4.184","8.589","2.367","3.815","5.047","13.662","19.721","27.891","26.794","0.479","-0.203","8.455","8.375","10.686","20.717","16.806","22.688","19.006","19.875","17.643","18.359","44.413","48.363","39.453","31.987","35.062","32.52","24.246","14.092","19.029","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.072","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.062","20.459","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","4.364","9.153","11.268","13.182","12.751","9.306","9.208","6.686","7.012","5.182","3.768","0.155000000000001","2.223","0.639","0.482","-0.215","-1.193","-0.328","-3.229","-2.183","-0.534","-0.959","2.878","-0.00700000000000145","-1.49","-5.312","-6.222","-12.844","-2.864","-8.096","-4.764","-2.58","-5.943","-5.326","-1.596","-0.083000000000002","-1.06","1.745","13.957","16.948","2.183","6.241","27.471","7.664","2.044","6.701","4.971","9.436","13.84","9.637","8.391","7.756","10.203","8.551","6.788","7.391","6.29","1.685","1.888","3.076","3.003","2.923","3.246","3.023","1.056","1.997","1.425","1.076","0.545","1.18","1.032","-0.772","-1.298","-5.604","-3.559","-3.86","-4.092","-2.551","-2.566","-2.739","-1.773","-0.0689999999999991","-1.89","-2.524","4.067","-1.571","-1.2","-2.002","8.977","-0.638999999999999","-2.449","-1.796"
"P Volatility","5.76","5.8","9.18","11.09","11.69","11.31","11.68","11.89","11.72","11.91","10.91","12.85","13.51","14.14","16.75","16.83","17.3","16.27","18.38","20.46","19.97","20.12","17.51","17.62","13.17","10.8","11.35","14.89","21.94","25.19","26.12","26","27.27","28.11","28.87","29.03","31.48","30.4","32.53","20.57","17.18","17.96","24.48","17.28","15.6","13.36","8.31","6.86","8.64","9.1","9.46","9.5","9.74","9.78","9.52","9.56","8.92","9.9","10.18","12.17","13.57","13.58","13.85","13.27","14.69","15.83","15.51","15.68","14.91","14.98","14.78","13.65","13.42","14.48","18.78","20.79","21.91","21.63","22.6","23.09","23.07","23.19","23.3","21.89","24.81","22.55","22.19","21.97","25.54","21.72","21.91","21.18"
"B Volatility","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","1.58","1.67","4.21","3.46","2.46","2.06","2.28","2.48","1.8","1.65","0.710000000000001","-0.0600000000000005","0.699999999999999","-0.0299999999999994","0.85","1.33","1.77","0.190000000000001","0.939999999999998","2.81","2.61","2.61","1.78","1.8","1.31","0.25","0.84","-0.859999999999999","2.99","2.58","3.75","3.51","4.79","3.87","3.56","3.65","4.97","3.8","9.2","2.57","2.44","2.82","8.9","1.79","2.65","3.03","-0.0499999999999989","1.14","2.32","2.52","1.98","2","2.21","2.44","1.9","1.91","1.41","0.460000000000001","0.83","0.73","1.48","1.4","1.66","0.709999999999999","1.3","2.12","1.78","1.81","1.08","1.16","0.77","-0.0399999999999991","0.17","-0.44","1.69","1.52","2.54","2.32","3.24","2.58","2.92","2.91","3.68","2.59","5.52","3.21","2.95","3.23","6.83","2.98","3.38","2.65"
"P Tracking Error","5.11","5.02","5.93","5.39","5.62","5.02","4.37","4.73","5.51","5.4","4.74","4.52","4.61","3.87","4.17","3.58","4.02","3.18","3.48","4.61","4.97","5.07","5.57","5.59","5.88","5.26","5.45","6.45","7.59","7.32","8.45","8.3","8.66","8.62","9.09","9","10.95","9.66","12.21","9.08","8.41","7.92","11.71","7.72","8.54","7.71","4.37","4.11","5.04","4.35","4.55","4.7","4.65","4.94","5.18","5.04","4.68","4.37","4.24","3.85","4.11","3.91","4.42","3.94","3.99","4.49","4.5","4.47","4.76","4.59","4.62","4.38","4.52","4.89","5.58","5.34","6.42","6.24","6.74","6.63","7.04","7.19","8.49","7.55","9.53","8.23","8","8.31","10.6","8.07","8.53","7.91"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
