"","2014-03-11_to_2017-03-12_CorePortfolio_5QRank","2014-04-11_to_2017-04-12_CorePortfolio_5QRank","2014-05-12_to_2017-05-12_CorePortfolio_5QRank","2014-06-11_to_2017-06-12_CorePortfolio_5QRank","2014-07-11_to_2017-07-12_CorePortfolio_5QRank","2014-08-11_to_2017-08-12_CorePortfolio_5QRank","2014-09-11_to_2017-09-12_CorePortfolio_5QRank","2014-10-13_to_2017-10-12_CorePortfolio_5QRank","2014-11-11_to_2017-11-12_CorePortfolio_5QRank","2014-12-11_to_2017-12-12_CorePortfolio_5QRank","2015-01-12_to_2018-01-12_CorePortfolio_5QRank","2015-02-11_to_2018-02-12_CorePortfolio_5QRank","2015-03-11_to_2018-03-12_CorePortfolio_5QRank","2015-04-13_to_2018-04-12_CorePortfolio_5QRank","2015-05-11_to_2018-05-12_CorePortfolio_5QRank","2015-06-11_to_2018-06-12_CorePortfolio_5QRank","2015-07-13_to_2018-07-12_CorePortfolio_5QRank","2015-08-11_to_2018-08-12_CorePortfolio_5QRank","2015-09-11_to_2018-09-12_CorePortfolio_5QRank","2015-10-12_to_2018-10-12_CorePortfolio_5QRank","2015-11-11_to_2018-11-12_CorePortfolio_5QRank","2015-12-11_to_2018-12-12_CorePortfolio_5QRank","2016-01-11_to_2019-01-12_CorePortfolio_5QRank","2016-02-11_to_2019-02-12_CorePortfolio_5QRank","2016-03-11_to_2019-03-12_CorePortfolio_5QRank","2016-04-11_to_2019-04-12_CorePortfolio_5QRank","2016-05-11_to_2019-05-12_CorePortfolio_5QRank","2016-06-13_to_2019-06-12_CorePortfolio_5QRank","2016-07-11_to_2019-07-12_CorePortfolio_5QRank","2016-08-11_to_2019-08-12_CorePortfolio_5QRank","2016-09-12_to_2019-09-12_CorePortfolio_5QRank","2016-10-11_to_2019-10-12_CorePortfolio_5QRank","2016-11-11_to_2019-11-12_CorePortfolio_5QRank","2016-12-12_to_2019-12-12_CorePortfolio_5QRank","2017-01-11_to_2020-01-12_CorePortfolio_5QRank","2017-02-13_to_2020-02-12_CorePortfolio_5QRank","2017-03-13_to_2020-03-12_CorePortfolio_5QRank","2017-04-11_to_2020-04-12_CorePortfolio_5QRank","2017-05-11_to_2020-05-12_CorePortfolio_5QRank","2017-06-12_to_2020-06-12_CorePortfolio_5QRank","2017-07-11_to_2020-07-12_CorePortfolio_5QRank","2017-08-11_to_2020-08-12_CorePortfolio_5QRank","2017-09-11_to_2020-09-12_CorePortfolio_5QRank","2017-10-11_to_2020-10-12_CorePortfolio_5QRank","2017-11-13_to_2020-11-12_CorePortfolio_5QRank","2017-12-11_to_2020-12-12_CorePortfolio_5QRank","2018-01-11_to_2021-01-12_CorePortfolio_5QRank","2018-02-12_to_2021-02-12_CorePortfolio_5QRank","2018-03-12_to_2021-03-12_CorePortfolio_5QRank","2018-04-11_to_2021-04-12_CorePortfolio_5QRank","2018-05-11_to_2021-05-12_CorePortfolio_5QRank","2018-06-11_to_2021-06-12_CorePortfolio_5QRank","2018-07-11_to_2021-07-12_CorePortfolio_5QRank","2018-08-13_to_2021-08-12_CorePortfolio_5QRank","2018-09-11_to_2021-09-12_CorePortfolio_5QRank","2018-10-11_to_2021-10-12_CorePortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.455","10.119","10.215","9.527","9.812","13.312","12.94","17.545","14.297","16.003","18.436","17.198","15.227","10.535","16.529","16.8","16.914","14.605","18.556","11.166","8.66","9.141","8.902","14.547","11.27","11.437","8.851","9.076","9.776","7.957","11.799","11.55","13.323","11.534","12.355","13.654","3.746","7.537","7.121","8.666","10.764","11.551","8.404","11.932","12.351","10.357","10.382","10.063","9.866","17.919","16.774","17.472","17.696","18.706","13.406","15.936"
"B Annualized Returns","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","3.816","1.294","2.267","2.017","2.564","5.38","5.43","7.339","6.293","6.605","7.14","8.337","4.199","1.96","7.482","7.179","6.819","3.591","4.388","-0.241999999999999","-0.659000000000001","0.505000000000001","-1.321","1.361","0.0759999999999987","-0.768000000000001","-2.832","-2.314","-2.318","-1.589","0.116999999999999","0.0440000000000005","0.463000000000001","-0.796999999999999","-0.895","-0.276","1.604","0.63","-0.622","-0.498999999999999","-0.746","-1.416","-3.742","-1.243","-0.202","-2.223","-1.768","-5.241","-3.45","0.472000000000001","1.465","1.054","-0.382999999999999","0.884999999999998","-4.312","-4.46"
"P Volatility","11.21","11.28","11.12","11.52","11.2","11.31","10.48","10.23","10.39","10.42","10.03","11.1","10.81","10.27","11.79","11.39","11.62","10.59","10.08","8.32","9.45","9.06","10.31","10.15","9.95","10.36","9.91","11.12","11.52","11.54","12.27","11.99","12.12","11.78","11.7","11.49","13.02","14.97","16.18","16.29","16.03","16.4","16.29","16.07","17.41","17.7","17.65","16.92","17.24","19.22","19.72","19.32","19.7","19.52","17.65","17.31"
"B Volatility","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","0.16","0.219999999999999","0.0899999999999999","0.5","0.209999999999999","0.42","-0.369999999999999","-0.619999999999999","-0.459999999999999","-0.49","-0.360000000000001","0.69","0.200000000000001","-0.66","0.859999999999999","0.530000000000001","0.809999999999999","0.42","0.119999999999999","-0.129999999999999","-0.0500000000000007","-0.33","-0.27","-0.98","-0.780000000000001","-0.390000000000001","-1.02","-0.75","-0.75","-0.710000000000001","-0.0800000000000001","-0.279999999999999","-0.15","-0.56","-0.700000000000001","-0.779999999999999","-0.43","0.0400000000000009","-0.390000000000001","-0.370000000000001","-0.649999999999999","-0.490000000000002","-1.22","-1.78","-0.59","-1.08","-0.990000000000002","-1.51","-0.950000000000003","0.969999999999999","1.32","0.91","1.32","1.18","-0.720000000000002","-0.66"
"P Tracking Error","3.11","2.73","2.6","2.5","2.49","2.92","2.94","3.06","3.12","3.73","3.86","3.69","2.56","2.26","3.83","3.58","3.88","3.59","3.2","2.46","2.89","2.94","3.08","2.8","3.1","2.84","3.41","3.44","3.37","2.94","2.89","2.39","2.46","3.16","2.52","3.02","2.75","3.03","2.84","3.01","2.86","3.18","3.89","3.75","3.75","4.13","3.93","5.2","5.28","4.66","5.02","4.58","4.88","4.4","5.43","5.5"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.23","0.47","0.87","0.81","1.03","1.84","1.85","2.4","2.02","1.77","1.85","2.26","1.64","0.87","1.95","2.01","1.76","1","1.37","-0.1","-0.23","0.17","-0.43","0.49","0.02","-0.27","-0.83","-0.67","-0.69","-0.54","0.04","0.02","0.19","-0.25","-0.36","-0.09","0.58","0.21","-0.22","-0.17","-0.26","-0.45","-0.96","-0.33","-0.05","-0.54","-0.45","-1.01","-0.65","0.1","0.29","0.23","-0.08","0.2","-0.79","-0.81"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.33","0.13","0.2","0.14","0.24","0.44","0.48","0.54","0.53","0.63","0.58","0.61","0.27","0.24","0.54","0.54","0.5","0.37","0.37","0.05","-0.04","0.07","0","0.14","0.12","0","-0.07","-0.11","-0.09","-0.06","0.04","0.03","0.09","0.05","0","0.07","0.15","0.02","-0.05","0.02","0.01","-0.08","-0.3","0","0.03","-0.09","-0.1","-0.24","-0.25","0.09","0.04","0.1","-0.07","0.01","-0.18","-0.19"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","0.99","0.98","1.02","0.99","1","0.93","0.9","0.92","0.9","0.9","1.01","0.99","0.92","1.02","1","1.01","0.98","0.96","0.94","0.95","0.92","0.93","0.88","0.89","0.93","0.86","0.9","0.9","0.91","0.97","0.96","0.97","0.92","0.92","0.91","0.95","0.98","0.96","0.96","0.95","0.95","0.91","0.88","0.95","0.92","0.93","0.88","0.91","1.02","1.04","1.02","1.04","1.04","0.92","0.92"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.12","93.99","94.42","95.21","94.92","93.13","92.46","91.85","91.48","87.95","85.92","88.6","94.25","95.75","89.14","89.79","88.55","88.2","89.77","91.33","90.64","89.95","91.29","93.81","91.51","92.84","90.19","91.36","92.29","94.15","94.4","96.09","95.87","93.27","95.87","93.86","95.69","95.8","96.97","96.64","97.04","96.37","95.13","96.13","95.54","95.13","95.52","91.99","91.34","93.99","93.44","94.26","93.81","94.91","90.99","90.36"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.9711","-14.0847","-14.2034","-14.404","-14.0361","-14.7664","-14.0661","-12.4594","-13.38","-14.8344","-14.1169","-13.6701","-13.8529","-11.8331","-13.8433","-13.1691","-14.045","-13.6798","-12.7066","-12.8031","-13.1693","-11.7659","-18.6908","-15.3519","-15.3305","-16.69","-16.2825","-16.9492","-16.5347","-16.8458","-17.5085","-17.8384","-18.6693","-17.6388","-17.7732","-17.2018","-26.3539","-33.391","-33.5445","-33.2816","-33.626","-32.9392","-32.2189","-31.6141","-33.034","-33.2084","-33.1386","-33.6757","-34.4838","-34.9439","-34.9837","-34.3639","-34.9231","-34.6012","-33.7891","-34.1035"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
