"","1 Y 2013-03-12 to 2016-03-13","1 Y 2013-04-12 to 2016-04-13","1 Y 2013-05-13 to 2016-05-13","1 Y 2013-06-12 to 2016-06-13","1 Y 2013-07-12 to 2016-07-13","1 Y 2013-08-12 to 2016-08-13","1 Y 2013-09-12 to 2016-09-13","1 Y 2013-10-14 to 2016-10-13","1 Y 2013-11-12 to 2016-11-13","1 Y 2013-12-12 to 2016-12-13","1 Y 2014-01-13 to 2017-01-13","1 Y 2014-02-12 to 2017-02-13","1 Y 2014-03-12 to 2017-03-13","1 Y 2014-04-14 to 2017-04-13","1 Y 2014-05-12 to 2017-05-13","1 Y 2014-06-12 to 2017-06-13","1 Y 2014-07-14 to 2017-07-13","1 Y 2014-08-12 to 2017-08-13","1 Y 2014-09-12 to 2017-09-13","1 Y 2014-10-13 to 2017-10-13","1 Y 2014-11-12 to 2017-11-13","1 Y 2014-12-12 to 2017-12-13","1 Y 2015-01-12 to 2018-01-13","1 Y 2015-02-12 to 2018-02-13","1 Y 2015-03-12 to 2018-03-13","1 Y 2015-04-13 to 2018-04-13","1 Y 2015-05-12 to 2018-05-13","1 Y 2015-06-12 to 2018-06-13","1 Y 2015-07-13 to 2018-07-13","1 Y 2015-08-12 to 2018-08-13","1 Y 2015-09-14 to 2018-09-13","1 Y 2015-10-12 to 2018-10-13","1 Y 2015-11-12 to 2018-11-13","1 Y 2015-12-14 to 2018-12-13","1 Y 2016-01-12 to 2019-01-13","1 Y 2016-02-12 to 2019-02-13","1 Y 2016-03-14 to 2019-03-13","1 Y 2016-04-12 to 2019-04-13","1 Y 2016-05-12 to 2019-05-13","1 Y 2016-06-13 to 2019-06-13","1 Y 2016-07-12 to 2019-07-13","1 Y 2016-08-12 to 2019-08-13","1 Y 2016-09-12 to 2019-09-13","1 Y 2016-10-12 to 2019-10-13","1 Y 2016-11-14 to 2019-11-13","1 Y 2016-12-12 to 2019-12-13","1 Y 2017-01-12 to 2020-01-13","1 Y 2017-02-13 to 2020-02-13","1 Y 2017-03-13 to 2020-03-13","1 Y 2017-04-12 to 2020-04-13","1 Y 2017-05-12 to 2020-05-13","1 Y 2017-06-12 to 2020-06-13","1 Y 2017-07-12 to 2020-07-13","1 Y 2017-08-14 to 2020-08-13","1 Y 2017-09-12 to 2020-09-13","1 Y 2017-10-12 to 2020-10-13","1 Y 2017-11-13 to 2020-11-13","1 Y 2017-12-12 to 2020-12-13","1 Y 2018-01-12 to 2021-01-13","1 Y 2018-02-12 to 2021-02-13","1 Y 2018-03-12 to 2021-03-13","1 Y 2018-04-12 to 2021-04-13","1 Y 2018-05-14 to 2021-05-13","1 Y 2018-06-12 to 2021-06-13","1 Y 2018-07-12 to 2021-07-13","1 Y 2018-08-13 to 2021-08-13","1 Y 2018-09-12 to 2021-09-13","1 Y 2018-10-12 to 2021-10-13","2 Y 2013-03-12 to 2016-03-13","2 Y 2013-04-12 to 2016-04-13","2 Y 2013-05-13 to 2016-05-13","2 Y 2013-06-12 to 2016-06-13","2 Y 2013-07-12 to 2016-07-13","2 Y 2013-08-12 to 2016-08-13","2 Y 2013-09-12 to 2016-09-13","2 Y 2013-10-14 to 2016-10-13","2 Y 2013-11-12 to 2016-11-13","2 Y 2013-12-12 to 2016-12-13","2 Y 2014-01-13 to 2017-01-13","2 Y 2014-02-12 to 2017-02-13","2 Y 2014-03-12 to 2017-03-13","2 Y 2014-04-14 to 2017-04-13","2 Y 2014-05-12 to 2017-05-13","2 Y 2014-06-12 to 2017-06-13","2 Y 2014-07-14 to 2017-07-13","2 Y 2014-08-12 to 2017-08-13","2 Y 2014-09-12 to 2017-09-13","2 Y 2014-10-13 to 2017-10-13","2 Y 2014-11-12 to 2017-11-13","2 Y 2014-12-12 to 2017-12-13","2 Y 2015-01-12 to 2018-01-13","2 Y 2015-02-12 to 2018-02-13","2 Y 2015-03-12 to 2018-03-13","2 Y 2015-04-13 to 2018-04-13","2 Y 2015-05-12 to 2018-05-13","2 Y 2015-06-12 to 2018-06-13","2 Y 2015-07-13 to 2018-07-13","2 Y 2015-08-12 to 2018-08-13","2 Y 2015-09-14 to 2018-09-13","2 Y 2015-10-12 to 2018-10-13","2 Y 2015-11-12 to 2018-11-13","2 Y 2015-12-14 to 2018-12-13","2 Y 2016-01-12 to 2019-01-13","2 Y 2016-02-12 to 2019-02-13","2 Y 2016-03-14 to 2019-03-13","2 Y 2016-04-12 to 2019-04-13","2 Y 2016-05-12 to 2019-05-13","2 Y 2016-06-13 to 2019-06-13","2 Y 2016-07-12 to 2019-07-13","2 Y 2016-08-12 to 2019-08-13","2 Y 2016-09-12 to 2019-09-13","2 Y 2016-10-12 to 2019-10-13","2 Y 2016-11-14 to 2019-11-13","2 Y 2016-12-12 to 2019-12-13","2 Y 2017-01-12 to 2020-01-13","2 Y 2017-02-13 to 2020-02-13","2 Y 2017-03-13 to 2020-03-13","2 Y 2017-04-12 to 2020-04-13","2 Y 2017-05-12 to 2020-05-13","2 Y 2017-06-12 to 2020-06-13","2 Y 2017-07-12 to 2020-07-13","2 Y 2017-08-14 to 2020-08-13","2 Y 2017-09-12 to 2020-09-13","2 Y 2017-10-12 to 2020-10-13","2 Y 2017-11-13 to 2020-11-13","2 Y 2017-12-12 to 2020-12-13","2 Y 2018-01-12 to 2021-01-13","2 Y 2018-02-12 to 2021-02-13","2 Y 2018-03-12 to 2021-03-13","2 Y 2018-04-12 to 2021-04-13","2 Y 2018-05-14 to 2021-05-13","2 Y 2018-06-12 to 2021-06-13","2 Y 2018-07-12 to 2021-07-13","2 Y 2018-08-13 to 2021-08-13","2 Y 2018-09-12 to 2021-09-13","2 Y 2018-10-12 to 2021-10-13","3 Y 2013-03-12 to 2016-03-13","3 Y 2013-04-12 to 2016-04-13","3 Y 2013-05-13 to 2016-05-13","3 Y 2013-06-12 to 2016-06-13","3 Y 2013-07-12 to 2016-07-13","3 Y 2013-08-12 to 2016-08-13","3 Y 2013-09-12 to 2016-09-13","3 Y 2013-10-14 to 2016-10-13","3 Y 2013-11-12 to 2016-11-13","3 Y 2013-12-12 to 2016-12-13","3 Y 2014-01-13 to 2017-01-13","3 Y 2014-02-12 to 2017-02-13","3 Y 2014-03-12 to 2017-03-13","3 Y 2014-04-14 to 2017-04-13","3 Y 2014-05-12 to 2017-05-13","3 Y 2014-06-12 to 2017-06-13","3 Y 2014-07-14 to 2017-07-13","3 Y 2014-08-12 to 2017-08-13","3 Y 2014-09-12 to 2017-09-13","3 Y 2014-10-13 to 2017-10-13","3 Y 2014-11-12 to 2017-11-13","3 Y 2014-12-12 to 2017-12-13","3 Y 2015-01-12 to 2018-01-13","3 Y 2015-02-12 to 2018-02-13","3 Y 2015-03-12 to 2018-03-13","3 Y 2015-04-13 to 2018-04-13","3 Y 2015-05-12 to 2018-05-13","3 Y 2015-06-12 to 2018-06-13","3 Y 2015-07-13 to 2018-07-13","3 Y 2015-08-12 to 2018-08-13","3 Y 2015-09-14 to 2018-09-13","3 Y 2015-10-12 to 2018-10-13","3 Y 2015-11-12 to 2018-11-13","3 Y 2015-12-14 to 2018-12-13","3 Y 2016-01-12 to 2019-01-13","3 Y 2016-02-12 to 2019-02-13","3 Y 2016-03-14 to 2019-03-13","3 Y 2016-04-12 to 2019-04-13","3 Y 2016-05-12 to 2019-05-13","3 Y 2016-06-13 to 2019-06-13","3 Y 2016-07-12 to 2019-07-13","3 Y 2016-08-12 to 2019-08-13","3 Y 2016-09-12 to 2019-09-13","3 Y 2016-10-12 to 2019-10-13","3 Y 2016-11-14 to 2019-11-13","3 Y 2016-12-12 to 2019-12-13","3 Y 2017-01-12 to 2020-01-13","3 Y 2017-02-13 to 2020-02-13","3 Y 2017-03-13 to 2020-03-13","3 Y 2017-04-12 to 2020-04-13","3 Y 2017-05-12 to 2020-05-13","3 Y 2017-06-12 to 2020-06-13","3 Y 2017-07-12 to 2020-07-13","3 Y 2017-08-14 to 2020-08-13","3 Y 2017-09-12 to 2020-09-13","3 Y 2017-10-12 to 2020-10-13","3 Y 2017-11-13 to 2020-11-13","3 Y 2017-12-12 to 2020-12-13","3 Y 2018-01-12 to 2021-01-13","3 Y 2018-02-12 to 2021-02-13","3 Y 2018-03-12 to 2021-03-13","3 Y 2018-04-12 to 2021-04-13","3 Y 2018-05-14 to 2021-05-13","3 Y 2018-06-12 to 2021-06-13","3 Y 2018-07-12 to 2021-07-13","3 Y 2018-08-13 to 2021-08-13","3 Y 2018-09-12 to 2021-09-13","3 Y 2018-10-12 to 2021-10-13"
"P Information Ratio","0.54","0.57","0.32","0.25","0.13","0.23","-0.38","0.43","1.97","1.36","-0.03","1.78","2.14","1.59","2.83","1.31","1.3","1.03","2.31","2.88","1.46","0.86","1.96","1.8","2.25","1.79","1.54","1.69","1.09","0.93","0.76","0.61","0.08","-0.23","-0.3","0.12","0.45","-0.71","-0.87","-0.56","-0.7","0.35","-0.44","0.1","-0.42","-0.64","-0.95","-0.37","0.8","-0.06","-0.37","0.04","-0.06","0.4","-0.21","-0.89","1.47","0.55","1.63","0.13","2.34","1.46","1.15","1.31","0.25","1.12","1.16","1.45","0.75","0.89","1.07","0.72","0.62","0.73","0.63","0.96","0.94","1.46","0.77","0.73","1.02","1.02","1.6","0.94","0.48","0.49","0.42","2","1.22","0.82","2.28","2.33","1.93","1.66","1.7","2.08","1.43","1.06","1.46","1.41","0.98","0.39","0.59","0.58","0.95","0.8","0.79","0.66","0.53","0.6","-0.09","-0.32","-0.23","-0.32","-0.21","-0.44","0.57","-0.2","-0.23","0.03","0.08","0.15","0.04","-0.56","0.88","0.17","0.75","-0.46","-0.37","0.85","0.44","-0.12","-0.12","0.95","0.51","0.77","1.39","1.18","1.15","0.85","0.75","0.8","0.58","0.81","0.88","1.17","0.66","0.62","0.97","1.07","1.54","1.08","0.84","0.64","0.76","1.6","1.02","1.05","1.63","1.42","1.42","1.27","1.28","1.46","1.05","0.92","1.15","1.17","1.19","0.79","1.21","1.12","0.87","1.04","1.12","0.97","0.84","0.83","0.6","0.3","0.02","-0.03","0.06","-0.15","0.82","0.01","0.01","0.08","0.24","0.13","-0.09","-0.47","0.67","0.13","0.62","-0.23","-0.07","0.51","0.59","-0.22","-0.06","0.51","0.32","0.58"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.62","0.32","0.27","0.21","0.06","0.7","0.27","0.36","0.06","0.34","-0.25","0.17","0.79","0.55","0.58","0.37","0.27","0.38","0.3","1.03","0.79","0.63","1.02","0.02","0.72","0.96","0.5","0.84","0.35","0.35","0.18","0.17","0.24","-0.03","-0.14","0.14","0.08","-0.33","-0.5","-0.32","-0.08","-0.04","-0.12","-0.53","-0.29","-0.51","-0.18","-0.52","-0.16","-0.29","-0.41","-0.03","0.1","-0.15","-0.05","-0.31","0.71","0.52","0.89","-0.28","0.64","0.64","-0.31","0.62","0.47","0.18","-1","-0.89","0.58","0.56","0.54","0.38","0.36","0.43","0.52","0.53","0.47","0.68","0.34","0.39","0.66","0.55","0.72","0.44","0.32","0.62","0.32","0.69","0.28","0.31","0.68","0.41","0.5","0.77","0.64","0.72","0.5","0.48","0.37","0.51","0.44","0.15","0.12","0.15","0.31","0.17","0.17","0.2","0.15","0.07","-0.04","-0.27","-0.06","-0.12","-0.07","-0.15","-0.06","-0.29","-0.43","0","0.06","0.11","0","-0.19","0.2","-0.03","0.16","-0.37","-0.18","0.36","0.12","-0.05","-0.08","0.11","0.11","0.25","0.79","0.84","0.72","0.6","0.38","0.51","0.39","0.49","0.52","0.57","0.36","0.34","0.56","0.57","0.67","0.49","0.42","0.37","0.44","0.59","0.49","0.48","0.65","0.63","0.69","0.64","0.69","0.75","0.6","0.68","0.5","0.4","0.37","0.26","0.26","0.24","0.2","0.27","0.28","0.24","0.22","0.19","0.07","-0.07","0.02","0","0.02","-0.11","0.13","-0.14","-0.16","0.02","0.07","0.01","-0.06","-0.13","0.22","0.04","0.18","-0.11","-0.08","0.13","0.12","-0.11","-0.05","0.18","0.1","0.09"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.88","0.87","0.87","0.86","0.83","0.7","0.82","0.9","1","0.98","1.1","0.87","0.91","1.13","1.07","1.12","1","1.04","1.12","0.98","0.87","0.86","0.65","1.48","1.17","1.06","1.02","1.21","1.27","1.05","1.07","1.03","1.08","1.11","1.06","0.97","1.04","1.13","1.06","1.09","1.09","1.07","1.05","1.15","1.1","1.09","0.91","1.05","0.91","1.08","1.23","1.14","1.1","1.17","1.05","1","1.13","1.18","1.17","1.13","0.97","1.36","1.27","0.88","0.96","1.17","1.52","1.54","0.93","0.94","0.94","0.88","0.86","0.82","0.84","0.82","0.83","0.85","0.83","0.8","0.84","0.89","0.87","0.9","0.85","0.76","0.86","1.01","1.05","0.94","0.91","1.11","1.14","1.01","0.99","1.17","1.2","1.02","1.07","1.04","1.05","1.09","1.11","1","1.05","1.14","1.07","1.09","1.07","1.05","1.05","1.09","1.04","1.03","0.98","0.96","0.96","1.06","1.14","1.08","1.05","1.11","1.03","1","1.08","1.15","1.12","1.06","1.03","1.21","1.14","0.98","1.1","1.13","1.22","1.23","0.96","0.95","0.95","0.91","0.86","0.84","0.84","0.84","0.86","0.89","0.85","0.84","0.88","0.93","0.91","0.92","0.86","0.89","0.9","0.96","0.92","0.88","0.94","0.95","0.91","0.91","0.86","0.95","0.99","0.87","0.96","1.06","1.05","1.05","1.09","1.01","1.06","1.16","1.08","1.09","1.07","1.06","1.06","1.11","1.05","1.04","1.02","0.98","0.96","1.06","1.14","1.07","1.04","1.1","1.04","1","1.05","1.11","1.08","1.02","1","1.16","1.08","0.99","1.09","1.09","1.14","1.19"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","79.18","72.22","78.88","79.21","78.69","83.34","91.85","87.34","95.24","87.47","88.78","73.63","57.13","70.48","63.79","63.15","56.42","55.87","62.69","27.63","29.65","31.97","5.15","54.19","60.44","58.17","63.63","79.03","73.65","63.55","72.61","73.81","85.3","87.85","86.57","90.11","95.43","92.07","92.81","95.81","95.16","92.32","93.05","92.2","88.03","77.19","75.87","70.37","78.13","84.13","89.43","87.95","89.59","88.94","90.34","88.89","91.9","88.65","90.02","89.5","84.72","84.86","83.47","64.74","71.66","68.11","66.19","71.46","75.72","71.7","78.25","76.81","78.37","79.21","78.54","79.92","78.99","78.49","81.8","76.92","75.68","78.78","76.95","79.23","75.52","75.54","84.44","75.32","82.29","81.41","48.53","63.91","64.8","64.03","61.18","69.39","63.41","58.78","64.88","67.35","76.53","80.93","84.4","88.68","91.98","87.61","85.27","89.35","91.14","89.43","91.75","92.24","88.51","86.98","88.56","86.29","86.07","88.46","90.19","89.34","90.14","90.5","91.25","89.5","90.61","87.14","86.66","88.46","89.03","89.23","88.56","81.02","85.3","85.83","83.8","86.33","74.27","64.17","73.06","70.21","74.39","74.2","74.92","75.04","72.15","73.51","77.29","75.19","74.7","76.57","75.77","78.69","77.27","77.67","78.94","79.61","78.7","79.99","75.71","75.38","73.46","74.57","71.54","73.86","72.35","69.64","77.96","77.51","82.26","84.08","82.9","89.03","89.84","85.54","84.16","87.21","87.72","85.79","89.11","90.37","86.72","84.59","86.83","86.07","85.1","87.58","89.26","89.33","90","90.27","90.81","89.71","90.19","88.11","87.79","89.12","89.9","89.19","89","84.1","87.68","87.1","84.27","86.93"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-15.6939","-17.6755","-15.6249","-15.4924","-13.928","-13.3647","-12.6387","-13.6958","-14.9458","-13.8713","-6.4418","-4.138","-3.6633","-4.2929","-4.7369","-4.2949","-3.5538","-3.9375","-2.6293","-3.1687","-2.4357","-2.9056","-3.3257","-9.5906","-9.2712","-9.3313","-8.7797","-9.3834","-9.7949","-9.2263","-9.4826","-9.5914","-11.9715","-14.1894","-23.1134","-19.6927","-20.2376","-22.4647","-22.8021","-22.398","-21.5504","-20.2256","-20.1132","-18.1668","-14.813","-10.9821","-6.2277","-7.5991","-27.6546","-31.6479","-32.8481","-30.6589","-30.4527","-33.0841","-30.0999","-30.7127","-30.1482","-31.0407","-31.3748","-31.3718","-13.215","-8.6669","-8.8739","-7.9937","-9.0714","-8.0117","-7.9232","-8.6881","-15.6939","-17.6755","-15.6249","-15.4924","-13.928","-13.3647","-12.6387","-13.6958","-14.9458","-13.93","-13.1796","-12.403","-14.1803","-14.5944","-15.115","-14.7386","-14.8945","-13.7313","-15.363","-15.3346","-15.1746","-13.4353","-6.0798","-9.5906","-9.2712","-9.3313","-8.7797","-9.3834","-9.7949","-9.2263","-9.4826","-9.5914","-11.9715","-14.1894","-23.1134","-19.6927","-20.2376","-22.4647","-22.8021","-22.398","-21.5504","-20.2256","-20.1132","-22.1096","-20.0798","-19.9622","-19.0696","-19.4556","-27.6546","-31.6479","-32.8481","-30.6589","-30.4527","-33.0841","-30.0999","-30.7127","-30.1482","-31.0407","-31.3748","-31.5684","-29.7472","-31.688","-29.784","-29.7196","-31.9662","-31.3782","-32.6773","-31.7206","-15.6939","-17.6755","-15.6249","-15.4924","-13.928","-13.3647","-12.6387","-13.6958","-14.9458","-13.93","-13.1796","-12.403","-14.1803","-14.5944","-15.115","-14.7386","-14.8945","-13.7313","-15.363","-15.3346","-15.1746","-13.4577","-14.4522","-15.2988","-14.0495","-13.1859","-13.0015","-14.3507","-15.3471","-13.8841","-14.5792","-15.5936","-14.2207","-14.1894","-23.1134","-19.6927","-20.2376","-22.4647","-22.8021","-22.398","-21.5504","-20.2256","-20.1132","-22.1096","-20.0798","-19.9622","-19.0696","-19.4556","-27.6546","-31.6479","-32.8481","-30.6589","-30.4527","-33.0841","-30.0999","-30.7127","-30.1482","-31.0407","-31.3748","-31.5684","-29.7472","-31.688","-29.784","-29.7196","-31.9662","-31.3782","-32.6773","-31.7206"
