"","2014-03-11_to_2016-03-12_CorePortfolio_5QRank","2014-04-11_to_2016-04-12_CorePortfolio_5QRank","2014-05-12_to_2016-05-12_CorePortfolio_5QRank","2014-06-11_to_2016-06-12_CorePortfolio_5QRank","2014-07-11_to_2016-07-12_CorePortfolio_5QRank","2014-08-11_to_2016-08-12_CorePortfolio_5QRank","2014-09-11_to_2016-09-12_CorePortfolio_5QRank","2014-10-13_to_2016-10-12_CorePortfolio_5QRank","2014-11-11_to_2016-11-12_CorePortfolio_5QRank","2014-12-11_to_2016-12-12_CorePortfolio_5QRank","2015-01-12_to_2017-01-12_CorePortfolio_5QRank","2015-02-11_to_2017-02-12_CorePortfolio_5QRank","2015-03-11_to_2017-03-12_CorePortfolio_5QRank","2015-04-13_to_2017-04-12_CorePortfolio_5QRank","2015-05-11_to_2017-05-12_CorePortfolio_5QRank","2015-06-11_to_2017-06-12_CorePortfolio_5QRank","2015-07-13_to_2017-07-12_CorePortfolio_5QRank","2015-08-11_to_2017-08-12_CorePortfolio_5QRank","2015-09-11_to_2017-09-12_CorePortfolio_5QRank","2015-10-12_to_2017-10-12_CorePortfolio_5QRank","2015-11-11_to_2017-11-12_CorePortfolio_5QRank","2015-12-11_to_2017-12-12_CorePortfolio_5QRank","2016-01-11_to_2018-01-12_CorePortfolio_5QRank","2016-02-11_to_2018-02-12_CorePortfolio_5QRank","2016-03-11_to_2018-03-12_CorePortfolio_5QRank","2016-04-11_to_2018-04-12_CorePortfolio_5QRank","2016-05-11_to_2018-05-12_CorePortfolio_5QRank","2016-06-13_to_2018-06-12_CorePortfolio_5QRank","2016-07-11_to_2018-07-12_CorePortfolio_5QRank","2016-08-11_to_2018-08-12_CorePortfolio_5QRank","2016-09-12_to_2018-09-12_CorePortfolio_5QRank","2016-10-11_to_2018-10-12_CorePortfolio_5QRank","2016-11-11_to_2018-11-12_CorePortfolio_5QRank","2016-12-12_to_2018-12-12_CorePortfolio_5QRank","2017-01-11_to_2019-01-12_CorePortfolio_5QRank","2017-02-13_to_2019-02-12_CorePortfolio_5QRank","2017-03-13_to_2019-03-12_CorePortfolio_5QRank","2017-04-11_to_2019-04-12_CorePortfolio_5QRank","2017-05-11_to_2019-05-12_CorePortfolio_5QRank","2017-06-12_to_2019-06-12_CorePortfolio_5QRank","2017-07-11_to_2019-07-12_CorePortfolio_5QRank","2017-08-11_to_2019-08-12_CorePortfolio_5QRank","2017-09-11_to_2019-09-12_CorePortfolio_5QRank","2017-10-11_to_2019-10-12_CorePortfolio_5QRank","2017-11-13_to_2019-11-12_CorePortfolio_5QRank","2017-12-11_to_2019-12-12_CorePortfolio_5QRank","2018-01-11_to_2020-01-12_CorePortfolio_5QRank","2018-02-12_to_2020-02-12_CorePortfolio_5QRank","2018-03-12_to_2020-03-12_CorePortfolio_5QRank","2018-04-11_to_2020-04-12_CorePortfolio_5QRank","2018-05-11_to_2020-05-12_CorePortfolio_5QRank","2018-06-11_to_2020-06-12_CorePortfolio_5QRank","2018-07-11_to_2020-07-12_CorePortfolio_5QRank","2018-08-13_to_2020-08-12_CorePortfolio_5QRank","2018-09-11_to_2020-09-12_CorePortfolio_5QRank","2018-10-11_to_2020-10-12_CorePortfolio_5QRank","2018-11-12_to_2020-11-12_CorePortfolio_5QRank","2018-12-11_to_2020-12-12_CorePortfolio_5QRank","2019-01-11_to_2021-01-12_CorePortfolio_5QRank","2019-02-11_to_2021-02-12_CorePortfolio_5QRank","2019-03-11_to_2021-03-12_CorePortfolio_5QRank","2019-04-11_to_2021-04-12_CorePortfolio_5QRank","2019-05-13_to_2021-05-12_CorePortfolio_5QRank","2019-06-11_to_2021-06-12_CorePortfolio_5QRank","2019-07-11_to_2021-07-12_CorePortfolio_5QRank","2019-08-12_to_2021-08-12_CorePortfolio_5QRank","2019-09-11_to_2021-09-12_CorePortfolio_5QRank"
"P Information Ratio","0.74","0.59","1.04","1.05","1.37","1.79","1.62","1.82","2.1","1.51","1.72","2.57","1.13","0.29","2.33","2.21","2.36","1.5","2.19","1.75","0.65","1.31","-0.53","0.05","-0.91","-0.87","-1.93","-1.81","-1.73","-1.46","0.2","-0.07","0.21","-0.04","0.51","0.69","1.38","1.33","0.72","0.83","0.17","0.68","0.03","0.26","-0.24","-0.33","-0.41","-0.85","-0.68","-0.71","-1","-0.94","-1.25","-0.8","-1.45","-1.38","-0.99","0.16","0.34","0.22","0.26","-0.79","-0.58","-0.71","-0.97","-1.19","-1.2"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.25","0.17","0.27","0.24","0.35","0.41","0.46","0.39","0.37","0.53","0.53","0.52","0.2","0.11","0.46","0.58","0.59","0.54","0.55","0.24","0.09","0.09","0.05","-0.08","-0.1","-0.05","-0.16","-0.26","-0.22","-0.11","-0.03","0.04","0.1","0.09","0.07","0.11","0.34","0.3","0.18","0.23","0.19","0.18","0.08","0.17","0.03","-0.02","0.01","-0.11","-0.23","-0.26","-0.29","-0.21","-0.41","-0.23","-0.62","-0.46","-0.37","-0.01","-0.07","0.11","0.01","-0.27","-0.51","-0.29","-0.43","-0.45","-0.49"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","0.99","0.98","1.02","0.99","1","0.93","0.89","0.9","0.89","0.9","0.96","0.97","0.93","0.99","0.97","0.99","0.93","0.91","1.01","1.05","0.98","0.96","1","0.96","0.94","0.97","0.98","0.99","0.94","0.98","0.93","0.94","0.9","0.92","0.93","0.97","0.97","0.93","0.92","0.89","0.95","0.92","0.89","0.88","0.9","0.88","0.85","0.9","0.96","0.99","0.98","1.01","1","0.93","0.91","0.93","1.04","1.07","1.03","1.08","1.03","1.08","1.01","1","1.01","1.03"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.75","94.78","94.27","95.41","95.21","95.39","94.87","95.86","95.1","91.61","91.82","94.75","95.46","95.99","94.42","91.79","90.83","89.48","91.68","96.14","95.58","95.02","88.49","91.24","91.47","93.57","93.19","93.1","92.88","93.32","94.16","94.37","95.17","91.31","96.56","96.07","95.69","95.51","94.84","95.73","95.27","95.6","93.99","95.07","93.55","95.02","95.9","91.11","93.02","95.04","96.06","96.6","96.63","97.07","94.85","92.89","94.5","94.12","94.07","95.04","94.94","94.08","90.36","92.4","88.77","93.11","92.47"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.9711","-14.0847","-14.2034","-14.404","-14.0361","-14.7664","-14.0661","-12.4594","-13.38","-14.8344","-14.1169","-13.6701","-13.8529","-11.8331","-13.8433","-13.1691","-14.045","-13.6798","-12.7066","-12.8031","-13.1693","-11.7659","-5.666","-9.0966","-9.3505","-9.9119","-11.4332","-11.5435","-11.7247","-11.0711","-11.1832","-10.4787","-10.3539","-10.084","-17.7732","-17.2018","-17.6706","-17.7173","-16.7461","-16.639","-16.1972","-17.1408","-16.4821","-15.6223","-15.9904","-16.6861","-17.002","-16.0483","-26.6515","-34.9439","-34.9837","-34.3639","-34.9231","-34.6012","-33.7891","-34.1035","-35.0447","-34.5384","-34.7744","-33.2433","-34.2781","-34.4635","-36.6432","-34.2434","-35.7396","-34.0819","-35.1356"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.6432","-0.7568","-0.875500000000001","-1.0761","-0.7082","-1.4385","-0.738200000000001","0.868499999999999","-0.0521000000000011","-1.5065","-0.789","-0.3422","-0.525","1.4948","-0.5154","0.158799999999999","-0.7171","-1.8436","-0.8704","-0.966900000000001","-1.7557","-1.2397","-0.5456","1.2418","0.9879","1.2609","-0.260399999999999","-0.370699999999999","-0.5519","0.101700000000001","-0.0103999999999989","0.694100000000001","0.818900000000001","1.0888","2.1861","2.7575","2.2887","2.242","3.2132","3.3203","3.7621","2.8185","3.4772","4.337","3.9689","3.2732","2.9573","3.911","-0.6129","-3.4127","-3.4525","-2.8327","-3.3919","-3.07","-2.2579","-2.5723","-3.5135","-3.0072","-3.2432","-1.7121","-2.7469","-2.93230000000001","-5.112","-2.7122","-4.2084","-2.5507","-3.6044"
