"","2014-03-11_to_2015-03-12_VGPortfolio_5QRank","2014-04-11_to_2015-04-12_VGPortfolio_5QRank","2014-05-12_to_2015-05-12_VGPortfolio_5QRank","2014-06-11_to_2015-06-12_VGPortfolio_5QRank","2014-07-11_to_2015-07-12_VGPortfolio_5QRank","2014-08-11_to_2015-08-12_VGPortfolio_5QRank","2014-09-11_to_2015-09-12_VGPortfolio_5QRank","2014-10-13_to_2015-10-12_VGPortfolio_5QRank","2014-11-11_to_2015-11-12_VGPortfolio_5QRank","2014-12-11_to_2015-12-12_VGPortfolio_5QRank","2015-01-12_to_2016-01-12_VGPortfolio_5QRank","2015-02-11_to_2016-02-12_VGPortfolio_5QRank","2015-03-11_to_2016-03-12_VGPortfolio_5QRank","2015-04-13_to_2016-04-12_VGPortfolio_5QRank","2015-05-11_to_2016-05-12_VGPortfolio_5QRank","2015-06-11_to_2016-06-12_VGPortfolio_5QRank","2015-07-13_to_2016-07-12_VGPortfolio_5QRank","2015-08-11_to_2016-08-12_VGPortfolio_5QRank","2015-09-11_to_2016-09-12_VGPortfolio_5QRank","2015-10-12_to_2016-10-12_VGPortfolio_5QRank","2015-11-11_to_2016-11-12_VGPortfolio_5QRank","2015-12-11_to_2016-12-12_VGPortfolio_5QRank","2016-01-11_to_2017-01-12_VGPortfolio_5QRank","2016-02-11_to_2017-02-12_VGPortfolio_5QRank","2016-03-11_to_2017-03-12_VGPortfolio_5QRank","2016-04-11_to_2017-04-12_VGPortfolio_5QRank","2016-05-11_to_2017-05-12_VGPortfolio_5QRank","2016-06-13_to_2017-06-12_VGPortfolio_5QRank","2016-07-11_to_2017-07-12_VGPortfolio_5QRank","2016-08-11_to_2017-08-12_VGPortfolio_5QRank","2016-09-12_to_2017-09-12_VGPortfolio_5QRank","2016-10-11_to_2017-10-12_VGPortfolio_5QRank","2016-11-11_to_2017-11-12_VGPortfolio_5QRank","2016-12-12_to_2017-12-12_VGPortfolio_5QRank","2017-01-11_to_2018-01-12_VGPortfolio_5QRank","2017-02-13_to_2018-02-12_VGPortfolio_5QRank","2017-03-13_to_2018-03-12_VGPortfolio_5QRank","2017-04-11_to_2018-04-12_VGPortfolio_5QRank","2017-05-11_to_2018-05-12_VGPortfolio_5QRank","2017-06-12_to_2018-06-12_VGPortfolio_5QRank","2017-07-11_to_2018-07-12_VGPortfolio_5QRank","2017-08-11_to_2018-08-12_VGPortfolio_5QRank","2017-09-11_to_2018-09-12_VGPortfolio_5QRank","2017-10-11_to_2018-10-12_VGPortfolio_5QRank","2017-11-13_to_2018-11-12_VGPortfolio_5QRank","2017-12-11_to_2018-12-12_VGPortfolio_5QRank","2018-01-11_to_2019-01-12_VGPortfolio_5QRank","2018-02-12_to_2019-02-12_VGPortfolio_5QRank","2018-03-12_to_2019-03-12_VGPortfolio_5QRank","2018-04-11_to_2019-04-12_VGPortfolio_5QRank","2018-05-11_to_2019-05-12_VGPortfolio_5QRank","2018-06-11_to_2019-06-12_VGPortfolio_5QRank","2018-07-11_to_2019-07-12_VGPortfolio_5QRank","2018-08-13_to_2019-08-12_VGPortfolio_5QRank","2018-09-11_to_2019-09-12_VGPortfolio_5QRank","2018-10-11_to_2019-10-12_VGPortfolio_5QRank","2018-11-12_to_2019-11-12_VGPortfolio_5QRank","2018-12-11_to_2019-12-12_VGPortfolio_5QRank","2019-01-11_to_2020-01-12_VGPortfolio_5QRank","2019-02-11_to_2020-02-12_VGPortfolio_5QRank","2019-03-11_to_2020-03-12_VGPortfolio_5QRank","2019-04-11_to_2020-04-12_VGPortfolio_5QRank","2019-05-13_to_2020-05-12_VGPortfolio_5QRank","2019-06-11_to_2020-06-12_VGPortfolio_5QRank","2019-07-11_to_2020-07-12_VGPortfolio_5QRank","2019-08-12_to_2020-08-12_VGPortfolio_5QRank","2019-09-11_to_2020-09-12_VGPortfolio_5QRank","2019-10-11_to_2020-10-12_VGPortfolio_5QRank","2019-11-11_to_2020-11-12_VGPortfolio_5QRank","2019-12-11_to_2020-12-12_VGPortfolio_5QRank","2020-01-13_to_2021-01-12_VGPortfolio_5QRank","2020-02-11_to_2021-02-12_VGPortfolio_5QRank","2020-03-11_to_2021-03-12_VGPortfolio_5QRank","2020-04-13_to_2021-04-12_VGPortfolio_5QRank","2020-05-11_to_2021-05-12_VGPortfolio_5QRank","2020-06-11_to_2021-06-12_VGPortfolio_5QRank","2020-07-13_to_2021-07-12_VGPortfolio_5QRank","2020-08-11_to_2021-08-12_VGPortfolio_5QRank","2020-09-11_to_2021-09-12_VGPortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.378","21.655","15.632","15.285","12.602","13.901","1.965","14.866","6.849","3.237","1.301","-9.544","0.41","2.963","-0.119","-1.618","3.632","6.978","11.114","8.925","11.493","15.89","29.825","50.091","30.86","25.038","29.7","28.355","27.78","23.929","24.625","29.857","25.231","26.159","28.234","19.272","17.925","15.127","16.16","17.49","16.728","11.839","15.874","5.889","5.994","-0.306","-4.479","4.436","0.288","8.747","7.937","3.882","9.928","4.308","6.005","9.328","13.307","17.666","21.538","19.472","-14.019","-0.688","12.392","13.034","23.811","31.727","29.083","41.018","14.551","30.944","29.315","23.626","80.135","69.87","64.04","57.327","54.829","48.157","52.284"
"B Annualized Returns","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","2.155","7.479","5.815","7.443","7.725","6.957","5.136","8.736","5.793","1.5","4.655","-0.432","1.562","2.878","0.58","-1.433","0.851","1.621","-0.136999999999999","1.851","6.639","5.673","10.763","27.262","13.132","11.676","14.323","11.855","14.638","12.134","9.269","11.384","6.22","7.706","5.391","4.714","1.429","2.316","2.645","3.204","1.976","-4.262","-0.118","-3.766","-0.227","0.071","1.759","1.888","-0.146","-0.673999999999999","1.672","0.0640000000000001","2.022","2.558","1.898","0.971","-0.478","-2.448","-5.755","-6.41","-4.474","-0.532","6.007","3.797","12.109","10.995","12.721","16.373","-3.418","12.07","11.863","4.469","21.084","21.12","24.841","17.176","17.437","17.091","17.351"
"P Volatility","7.56","8.82","8.55","8.14","8.43","7.65","11.51","12.42","14.44","15.21","14.74","12.9","12.14","16.12","13.84","14.46","14.15","13.57","14.23","12.39","11.6","12.88","9.85","10.91","8.65","8.76","7.92","5.81","5.59","6.84","4.87","4.07","2.9","2.98","4.11","7.37","8.2","9.27","9.46","9.99","10.11","9.11","11","10.16","13.63","13.11","14.87","17.15","15.93","16.42","16.79","17.99","18.63","19.28","19.18","18.19","18.4","16.6","13.61","14.24","17.34","19.33","19.56","21.13","21.36","22.27","25.48","26.25","21.42","29.07","29.29","27.4","20.29","17.21","18.43","17.09","16.56","17.67","15.87"
"B Volatility","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-1.74","-1.21","-1.43","-1.81","-1.79","-2.27","-0.44","0.220000000000001","-1.81","-1.07","-0.699999999999999","-2.13","-2.73","-0.189999999999998","-2.43","-1.71","-1.82","-1.15","0.18","2.62","1.69","2.91","1.88","3.37","2.48","2.53","1.68","-0.32","0.0700000000000003","1.39","-0.44","-0.19","-1.25","-1.28","-0.149999999999999","1.8","0.219999999999999","-0.280000000000001","-0.109999999999999","0.300000000000001","0.469999999999999","-1.03","0.550000000000001","-0.27","0.590000000000002","0.0599999999999987","0.0699999999999985","0.689999999999998","-0.140000000000001","0.260000000000002","0.289999999999999","-0.460000000000001","-0.710000000000001","0.23","-0.0100000000000016","0.600000000000001","0.719999999999999","3.14","1.26","1.84","1.16","0.189999999999998","-2.66","-0.380000000000003","-0.23","0.460000000000001","2.36","2.01","-3.2","2.71","2.88","3.51","1.36","1.34","2.34","0.739999999999998","0.489999999999998","3.34","3.79"
"P Tracking Error","3.84","5.1","4.34","5.35","4.5","5.08","4.03","4.48","4.81","3.63","2.3","4.01","4.96","5.36","3.82","4.27","4.57","3.72","4.95","4.09","2.82","3.55","3.54","5.9","5.81","5.91","5.19","3.83","4.37","4","2.36","2.66","2.19","2.63","1.76","2.59","1.08","1.63","2.35","2.47","2.99","2.88","3.57","3.11","2.64","2.47","2.59","3.05","2.42","2.3","3.32","3.67","3.5","3.3","3.18","3.33","4.31","5.49","2.53","2.31","2.54","2.5","4.29","2.4","3.7","2.75","6.75","6.76","5.71","5.76","5.02","6.41","4.66","5.96","7.64","6.6","7.49","8.59","8.97"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.56","1.47","1.34","1.39","1.72","1.37","1.27","1.95","1.2","0.41","2.02","-0.11","0.31","0.54","0.15","-0.34","0.19","0.44","-0.03","0.45","2.35","1.6","3.04","4.62","2.26","1.98","2.76","3.1","3.35","3.03","3.93","4.28","2.84","2.93","3.06","1.82","1.32","1.42","1.13","1.3","0.66","-1.48","-0.03","-1.21","-0.09","0.03","0.68","0.62","-0.06","-0.29","0.5","0.02","0.58","0.78","0.6","0.29","-0.11","-0.45","-2.27","-2.77","-1.76","-0.21","1.4","1.58","3.27","4","1.88","2.42","-0.6","2.1","2.36","0.7","4.52","3.54","3.25","2.6","2.33","1.99","1.93"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.59","0.79","0.53","0.75","0.69","0.64","0.37","0.73","0.39","0.43","0.39","-0.2","0.06","0.25","0.01","-0.1","0.17","0.24","0.03","0.36","0.42","0.28","0.64","0.99","0.85","0.78","0.85","1.33","1.25","0.9","0.92","1.04","1.05","1.26","0.48","-0.03","0.05","0.17","0.32","0.18","0.07","-0.18","-0.09","-0.13","-0.07","0.04","-0.01","0.15","0.15","-0.07","0.03","-0.02","0.25","0.26","0.23","-0.01","-0.08","-0.49","-0.64","-0.73","-0.35","0.02","0.62","0.38","0.68","0.69","1.01","0.99","-0.14","0.75","0.52","0.25","0.89","1.41","1.12","1.28","1.57","1.08","0.96"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.74","0.76","0.77","0.69","0.74","0.67","0.91","0.95","0.85","0.91","0.94","0.83","0.78","0.93","0.83","0.87","0.85","0.89","0.95","1.22","1.14","1.27","1.17","1.24","1.04","1.04","0.96","0.76","0.7","1.02","0.82","0.76","0.6","0.55","0.88","1.27","1.02","0.96","0.96","1","1","0.86","1","0.93","1.03","0.99","0.99","1.03","0.98","1.01","1","0.96","0.95","1","0.99","1.02","1.01","1.18","1.09","1.14","1.06","1","0.87","0.98","0.97","1.01","1.06","1.05","0.85","1.08","1.1","1.12","1.04","1.02","1.04","0.96","0.92","1.08","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","82.24","71.31","79.17","67.96","79.13","71.8","87.43","85.81","90.79","94.66","97.67","93.49","89.71","88.2","95.77","92.86","91.54","93.16","86.8","91.16","95.1","96.49","87.66","70.6","49.93","49.64","52.47","59.22","41.77","62.04","78.08","59.37","72.12","58.58","81.3","90.82","98.12","96.78","93.33","93.21","90.28","91.46","88.32","90.16","95.9","96.07","96.63","96.54","97.48","97.83","95.66","95.6","96.4","96.75","96.97","96.31","93.92","90.17","96.81","98.75","97.99","98.15","97.12","98.63","96.74","98.33","92.59","92.85","95.33","96.28","97.59","95.17","94.33","86.69","81.06","83.55","77.93","74.23","65.03"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-6.7839","-7.7594","-7.985","-7.1274","-7.2832","-7.4023","-12.6542","-13.8366","-12.6544","-12.7474","-12.5492","-14.5989","-13.007","-16.2142","-13.2631","-14.3903","-13.837","-12.7545","-14.0617","-14.4694","-12.9007","-14.0001","-8.0666","-7.3222","-7.1605","-7.1277","-7.1984","-5.8691","-4.0772","-3.904","-3.6179","-2.9821","-2.5309","-2.6521","-2.9553","-9.6111","-9.4393","-10.485","-9.42","-9.9746","-9.3103","-9.5768","-10.8532","-10.5735","-10.9138","-11.4688","-18.9207","-20.4402","-20.2457","-19.5914","-18.7923","-19.2279","-18.4626","-18.7163","-19.2291","-16.8484","-15.3689","-11.3942","-8.2904","-8.1654","-28.0612","-33.4152","-30.7813","-34.2662","-32.3043","-34.7915","-33.3683","-32.2204","-30.3658","-32.6203","-33.9732","-35.1228","-16.5873","-10.4074","-10.3549","-8.7474","-8.6399","-8.8234","-7.2902"
