"","2013-12-11_to_2016-12-12_VGPortfolio_4QRank","2014-01-13_to_2017-01-12_VGPortfolio_4QRank","2014-02-11_to_2017-02-12_VGPortfolio_4QRank","2014-03-11_to_2017-03-12_VGPortfolio_4QRank","2014-04-11_to_2017-04-12_VGPortfolio_4QRank","2014-05-12_to_2017-05-12_VGPortfolio_4QRank","2014-06-11_to_2017-06-12_VGPortfolio_4QRank","2014-07-11_to_2017-07-12_VGPortfolio_4QRank","2014-08-11_to_2017-08-12_VGPortfolio_4QRank","2014-09-11_to_2017-09-12_VGPortfolio_4QRank","2014-10-13_to_2017-10-12_VGPortfolio_4QRank","2014-11-11_to_2017-11-12_VGPortfolio_4QRank","2014-12-11_to_2017-12-12_VGPortfolio_4QRank","2015-01-12_to_2018-01-12_VGPortfolio_4QRank","2015-02-11_to_2018-02-12_VGPortfolio_4QRank","2015-03-11_to_2018-03-12_VGPortfolio_4QRank","2015-04-13_to_2018-04-12_VGPortfolio_4QRank","2015-05-11_to_2018-05-12_VGPortfolio_4QRank","2015-06-11_to_2018-06-12_VGPortfolio_4QRank","2015-07-13_to_2018-07-12_VGPortfolio_4QRank","2015-08-11_to_2018-08-12_VGPortfolio_4QRank","2015-09-11_to_2018-09-12_VGPortfolio_4QRank","2015-10-12_to_2018-10-12_VGPortfolio_4QRank","2015-11-11_to_2018-11-12_VGPortfolio_4QRank","2015-12-11_to_2018-12-12_VGPortfolio_4QRank","2016-01-11_to_2019-01-12_VGPortfolio_4QRank","2016-02-11_to_2019-02-12_VGPortfolio_4QRank","2016-03-11_to_2019-03-12_VGPortfolio_4QRank","2016-04-11_to_2019-04-12_VGPortfolio_4QRank","2016-05-11_to_2019-05-12_VGPortfolio_4QRank","2016-06-13_to_2019-06-12_VGPortfolio_4QRank","2016-07-11_to_2019-07-12_VGPortfolio_4QRank","2016-08-11_to_2019-08-12_VGPortfolio_4QRank","2016-09-12_to_2019-09-12_VGPortfolio_4QRank","2016-10-11_to_2019-10-12_VGPortfolio_4QRank","2016-11-11_to_2019-11-12_VGPortfolio_4QRank","2016-12-12_to_2019-12-12_VGPortfolio_4QRank","2017-01-11_to_2020-01-12_VGPortfolio_4QRank","2017-02-13_to_2020-02-12_VGPortfolio_4QRank","2017-03-13_to_2020-03-12_VGPortfolio_4QRank","2017-04-11_to_2020-04-12_VGPortfolio_4QRank","2017-05-11_to_2020-05-12_VGPortfolio_4QRank","2017-06-12_to_2020-06-12_VGPortfolio_4QRank","2017-07-11_to_2020-07-12_VGPortfolio_4QRank","2017-08-11_to_2020-08-12_VGPortfolio_4QRank","2017-09-11_to_2020-09-12_VGPortfolio_4QRank","2017-10-11_to_2020-10-12_VGPortfolio_4QRank","2017-11-13_to_2020-11-12_VGPortfolio_4QRank","2017-12-11_to_2020-12-12_VGPortfolio_4QRank","2018-01-11_to_2021-01-12_VGPortfolio_4QRank","2018-02-12_to_2021-02-12_VGPortfolio_4QRank","2018-03-12_to_2021-03-12_VGPortfolio_4QRank","2018-04-11_to_2021-04-12_VGPortfolio_4QRank","2018-05-11_to_2021-05-12_VGPortfolio_4QRank","2018-06-11_to_2021-06-12_VGPortfolio_4QRank","2018-07-11_to_2021-07-12_VGPortfolio_4QRank","2018-08-13_to_2021-08-12_VGPortfolio_4QRank","2018-09-11_to_2021-09-12_VGPortfolio_4QRank","2018-10-11_to_2021-10-12_VGPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.096","12.241","11.83","13.102","15.242","12.637","16.596","11.718","15.217","10.27","14.108","10.838","18.841","17.895","17.132","16.735","9.241","9.702","11.434","12.397","12.451","15.756","19.402","16.241","15.686","16.92","23.269","16.881","19.017","17.368","15.024","14.294","12.439","12.871","15.867","13.329","13.325","12.271","13.325","2.294","6.913","7.697","10.329","12.188","15","14.417","12.932","15.2","19.276","19.697","14.675","17.381","16.753","19.523","21.122","16.677","17.436","24.98","28.796"
"B Annualized Returns","7.751","7.502","8.201","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","3.345","4.739","3.629","4.463","6.417","4.689","9.086","4.47","7.285","2.76","3.902","2.834","9.443","6.599","8.271","5.707","0.666","0.654999999999999","1.813","2.302","1.437","1.588","7.994","6.922","7.05","6.697","10.083","5.687","6.812","5.685","3.634","2.2","2.893","1.189","4.361","0.469000000000001","0.994","-0.978999999999999","-0.605","0.152","0.00600000000000023","-0.0460000000000003","1.164","0.678000000000001","2.033","2.271","-0.243","2.647","6.696","7.547","-0.629","4.065","-0.693999999999999","4.214","4.704","-1.402","-0.385000000000002","7.262","8.4"
"P Volatility","10.61","10.45","9.4","9.09","9.78","9.43","10.62","10.35","10.66","10.3","10.71","10","10.8","10.52","11.75","11.8","10.44","9.91","10.39","10.65","9.56","9.13","10.12","11.86","11.94","12.8","14.49","13.49","13.48","13.06","13.9","13.61","14.55","13.58","13.53","12.85","12.54","12.7","12.7","13.7","15.78","17.06","18.17","17.5","17.97","19.06","19.42","19.72","21.39","21.3","17.16","19","16.98","19.54","19.12","17.88","17.78","21.85","21.69"
"B Volatility","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-0.690000000000001","-0.540000000000001","-1.46","-1.96","-1.28","-1.6","-0.4","-0.640000000000001","-0.23","-0.549999999999999","-0.139999999999999","-0.85","-0.109999999999999","0.129999999999999","1.34","1.19","-0.49","-1.02","-0.469999999999999","-0.16","-0.609999999999999","-0.83","1.67","2.36","2.55","2.22","3.36","2.76","2.73","2.13","2.03","1.34","2.3","1.23","1.26","0.58","0.199999999999999","0.299999999999999","0.43","0.25","0.85","0.489999999999998","1.51","0.82","1.08","1.55","1.57","1.72","2.61","2.66","-1.27","0.809999999999999","-1.27","1.14","0.710000000000001","-0.5","-0.559999999999999","3.48","3.72"
"P Tracking Error","5.41","5.24","5.36","4.69","4.67","4.94","4.84","4.27","5.15","4.09","3.81","3.9","4.76","3.43","4.75","4.34","2.69","3.69","2.85","3.17","3.83","3.58","4.49","4.64","4.63","4.89","5.92","5.17","5.52","4.31","3.88","3.15","4.96","3.37","4.21","2.37","2.64","2.62","3.09","3.54","3.81","3.65","4.07","4.08","3.49","4.06","4.51","4.95","5.51","5.59","3.35","4.84","3.37","5.55","5.31","4.1","4.48","6.48","6.79"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
