"","2013-09-11_to_2014-09-12_ValuePortfolio_3QRank","2013-10-11_to_2014-10-12_ValuePortfolio_3QRank","2013-11-11_to_2014-11-12_ValuePortfolio_3QRank","2013-12-11_to_2014-12-12_ValuePortfolio_3QRank","2014-01-13_to_2015-01-12_ValuePortfolio_3QRank","2014-02-11_to_2015-02-12_ValuePortfolio_3QRank","2014-03-11_to_2015-03-12_ValuePortfolio_3QRank","2014-04-11_to_2015-04-12_ValuePortfolio_3QRank","2014-05-12_to_2015-05-12_ValuePortfolio_3QRank","2014-06-11_to_2015-06-12_ValuePortfolio_3QRank","2014-07-11_to_2015-07-12_ValuePortfolio_3QRank","2014-08-11_to_2015-08-12_ValuePortfolio_3QRank","2014-09-11_to_2015-09-12_ValuePortfolio_3QRank","2014-10-13_to_2015-10-12_ValuePortfolio_3QRank","2014-11-11_to_2015-11-12_ValuePortfolio_3QRank","2014-12-11_to_2015-12-12_ValuePortfolio_3QRank","2015-01-12_to_2016-01-12_ValuePortfolio_3QRank","2015-02-11_to_2016-02-12_ValuePortfolio_3QRank","2015-03-11_to_2016-03-12_ValuePortfolio_3QRank","2015-04-13_to_2016-04-12_ValuePortfolio_3QRank","2015-05-11_to_2016-05-12_ValuePortfolio_3QRank","2015-06-11_to_2016-06-12_ValuePortfolio_3QRank","2015-07-13_to_2016-07-12_ValuePortfolio_3QRank","2015-08-11_to_2016-08-12_ValuePortfolio_3QRank","2015-09-11_to_2016-09-12_ValuePortfolio_3QRank","2015-10-12_to_2016-10-12_ValuePortfolio_3QRank","2015-11-11_to_2016-11-12_ValuePortfolio_3QRank","2015-12-11_to_2016-12-12_ValuePortfolio_3QRank","2016-01-11_to_2017-01-12_ValuePortfolio_3QRank","2016-02-11_to_2017-02-12_ValuePortfolio_3QRank","2016-03-11_to_2017-03-12_ValuePortfolio_3QRank","2016-04-11_to_2017-04-12_ValuePortfolio_3QRank","2016-05-11_to_2017-05-12_ValuePortfolio_3QRank","2016-06-13_to_2017-06-12_ValuePortfolio_3QRank","2016-07-11_to_2017-07-12_ValuePortfolio_3QRank","2016-08-11_to_2017-08-12_ValuePortfolio_3QRank","2016-09-12_to_2017-09-12_ValuePortfolio_3QRank","2016-10-11_to_2017-10-12_ValuePortfolio_3QRank","2016-11-11_to_2017-11-12_ValuePortfolio_3QRank","2016-12-12_to_2017-12-12_ValuePortfolio_3QRank","2017-01-11_to_2018-01-12_ValuePortfolio_3QRank","2017-02-13_to_2018-02-12_ValuePortfolio_3QRank","2017-03-13_to_2018-03-12_ValuePortfolio_3QRank","2017-04-11_to_2018-04-12_ValuePortfolio_3QRank","2017-05-11_to_2018-05-12_ValuePortfolio_3QRank","2017-06-12_to_2018-06-12_ValuePortfolio_3QRank","2017-07-11_to_2018-07-12_ValuePortfolio_3QRank","2017-08-11_to_2018-08-12_ValuePortfolio_3QRank","2017-09-11_to_2018-09-12_ValuePortfolio_3QRank","2017-10-11_to_2018-10-12_ValuePortfolio_3QRank","2017-11-13_to_2018-11-12_ValuePortfolio_3QRank","2017-12-11_to_2018-12-12_ValuePortfolio_3QRank","2018-01-11_to_2019-01-12_ValuePortfolio_3QRank","2018-02-12_to_2019-02-12_ValuePortfolio_3QRank","2018-03-12_to_2019-03-12_ValuePortfolio_3QRank","2018-04-11_to_2019-04-12_ValuePortfolio_3QRank","2018-05-11_to_2019-05-12_ValuePortfolio_3QRank","2018-06-11_to_2019-06-12_ValuePortfolio_3QRank","2018-07-11_to_2019-07-12_ValuePortfolio_3QRank","2018-08-13_to_2019-08-12_ValuePortfolio_3QRank","2018-09-11_to_2019-09-12_ValuePortfolio_3QRank","2018-10-11_to_2019-10-12_ValuePortfolio_3QRank","2018-11-12_to_2019-11-12_ValuePortfolio_3QRank","2018-12-11_to_2019-12-12_ValuePortfolio_3QRank","2019-01-11_to_2020-01-12_ValuePortfolio_3QRank","2019-02-11_to_2020-02-12_ValuePortfolio_3QRank","2019-03-11_to_2020-03-12_ValuePortfolio_3QRank","2019-04-11_to_2020-04-12_ValuePortfolio_3QRank","2019-05-13_to_2020-05-12_ValuePortfolio_3QRank","2019-06-11_to_2020-06-12_ValuePortfolio_3QRank","2019-07-11_to_2020-07-12_ValuePortfolio_3QRank","2019-08-12_to_2020-08-12_ValuePortfolio_3QRank","2019-09-11_to_2020-09-12_ValuePortfolio_3QRank","2019-10-11_to_2020-10-12_ValuePortfolio_3QRank","2019-11-11_to_2020-11-12_ValuePortfolio_3QRank","2019-12-11_to_2020-12-12_ValuePortfolio_3QRank","2020-01-13_to_2021-01-12_ValuePortfolio_3QRank","2020-02-11_to_2021-02-12_ValuePortfolio_3QRank","2020-03-11_to_2021-03-12_ValuePortfolio_3QRank","2020-04-13_to_2021-04-12_ValuePortfolio_3QRank","2020-05-11_to_2021-05-12_ValuePortfolio_3QRank","2020-06-11_to_2021-06-12_ValuePortfolio_3QRank","2020-07-13_to_2021-07-12_ValuePortfolio_3QRank","2020-08-11_to_2021-08-12_ValuePortfolio_3QRank","2020-09-11_to_2021-09-12_ValuePortfolio_3QRank"
"P Information Ratio","-1.28","-0.37","-1.12","0.08","0.52","0.39","-0.03","1","1.99","0.88","2.01","1.28","1.77","3.28","2.61","2.15","2.05","-0.41","-0.08","-0.27","-0.27","-0.25","0.26","0.39","0.74","0.22","1.08","1.66","1.41","2.5","1.04","0.74","1.15","1.47","1.16","1.31","2.67","0.89","-1.74","-0.71","-1.23","-1.41","-4.19","-2.32","-2.17","-1.56","-0.82","-2.14","-1.55","-1.16","-0.78","-1.03","-0.27","0.08","-0.48","-0.56","-0.06","-0.08","-0.6","0.81","-0.39","-1.19","-0.04","-0.12","-1.16","-1.03","-1.21","-0.37","0.59","0.93","-0.63","1.98","0.84","1.7","-2.54","-1.9","-1.15","-0.77","1.68","1.09","2.65","1.52","1.31","1.3","1.31"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.07","-0.01","0.02","0.17","-0.29","0.75","0.31","0.58","0.72","0.41","0.76","0.69","0.54","0.63","0.96","1.19","0.96","-0.45","-0.24","-0.33","0","-0.19","0.52","0.53","0.43","0.55","0.45","0.6","0.73","0.86","0.33","-0.11","0.2","0.66","1.05","0.77","0.88","0.53","-1.07","0.25","0.43","-0.15","-1.07","-0.83","-0.71","-0.51","-0.53","-0.78","-0.9","-0.31","-0.52","-0.7","-0.28","0.28","-0.23","0.13","-0.06","-0.3","-0.45","0.54","-0.22","-1.19","-0.49","-1.48","-1.43","-1.54","-0.25","0.16","0.73","0.53","-0.5","0.98","1.04","1.04","-1.8","-1.87","-1.15","-0.95","1.47","2.01","2.37","2.91","2.51","1.97","1.59"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.7","0.84","0.9","0.81","1.01","0.51","0.63","0.92","0.86","0.85","0.72","0.76","0.95","1.05","0.96","1.01","1","0.93","0.97","0.98","0.97","0.81","0.73","0.89","0.85","1.12","1.03","1.26","1.21","1.36","1.47","1.5","1.37","1.24","0.77","1.22","1","0.69","1.27","0.66","0.52","0.72","0.96","0.79","0.89","0.83","0.84","0.97","0.88","0.88","0.69","0.6","0.74","0.67","0.67","0.69","0.75","0.75","0.96","0.94","1.1","1.4","1.36","1.66","1.43","1.6","1.31","1.14","1.04","1.19","0.86","1.2","1.32","1.23","0.79","1.04","1.18","1.13","0.93","1","0.92","0.82","0.93","1.25","1.29"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","65.17","69.68","74.76","78.12","60.6","34.62","53.2","71.75","83.14","79.61","76.42","71.02","84.73","92.25","88.9","87.94","83.38","82.93","74.96","85.25","81.27","78.5","71.55","78.24","76.59","83.48","74.69","78.53","60.34","37.58","35.28","30.96","30.69","46","8.13","20.55","56.75","44.66","53.21","34.96","9.42","54.92","82.86","58.97","57.88","65.84","49.22","75.97","68.24","68.71","63.07","53.72","56.03","63.7","56.82","57.92","62.19","73.52","84.18","88.36","84.63","92.48","91.41","91.99","94.87","91.75","91.75","84.76","88.41","89.46","69.33","89.63","82.59","82.63","85.44","84.49","89.64","79.72","46.39","26.1","29.31","23.28","28.23","37.39","27.23"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-4.8647","-4.7838","-4.8799","-4.911","-4.2815","-4.4004","-5.6349","-6.5231","-5.7723","-6.335","-4.6896","-5.5511","-11.1347","-11.9456","-12.1948","-12.9498","-13.2326","-16.5289","-17.9062","-17.6103","-17.5129","-16.6734","-14.543","-14.6471","-14.6663","-14.2097","-10.7987","-11.3438","-8.9125","-12.6795","-13.3721","-12.8376","-11.7792","-7.2559","-7.5074","-7.0101","-3.961","-3.5093","-3.2647","-3.3923","-3.2651","-9.0582","-8.6291","-12.2677","-13.919","-12.0357","-13.4894","-13.6063","-13.8293","-13.3399","-14.6331","-14.7805","-16.3625","-13.6642","-14.2481","-14.3865","-15.1402","-15.2997","-19.0703","-16.1321","-19.9129","-18.1284","-15.6169","-11.7246","-10.4102","-12.6112","-34.3469","-35.4543","-33.7853","-37.8856","-32.6365","-37.6677","-36.5047","-32.9759","-33.8234","-38.959","-41.0395","-39.8194","-22.2101","-21.6337","-20.4006","-10.573","-11.2417","-12.8218","-12.5824"
"B Max Drawdown","-6.2539","-6.2539","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","1.3892","1.4701","2.6299","2.5988","3.2283","3.1094","1.8749","0.9868","1.7375","1.1748","2.8202","1.9587","2.1932","1.3823","1.1331","0.3781","0.0952999999999999","-3.201","-4.5783","-4.2824","-4.185","-3.3455","-1.2151","-2.8109","-2.8301","-2.3735","0.6149","-0.817600000000001","-3.7921","-7.5591","-8.2517","-7.7172","-6.6587","-2.4091","-2.8646","-2.3673","0.1254","-0.2769","-0.3614","-0.489","-0.3618","1.2802","1.7093","-1.0949","-2.7462","-0.8629","-2.3166","-2.4335","-2.6565","-2.1671","-3.4603","-3.6077","3.5968","6.2951","5.7112","5.5728","4.8191","4.6596","0.888999999999999","3.8272","0.0463999999999984","-1.3868","0.1957","-0.2262","-2.7411","-4.9421","-8.3083","-3.92310000000001","-2.2541","-6.3544","-1.1053","-6.13650000000001","-4.9735","-1.4447","-2.2922","-7.4278","-9.5083","-8.2882","-6.2709","-11.1316","-9.8985","-0.0709","-0.739699999999999","-2.3197","-4.6498"
