"","2015-12-11_to_2018-12-12_CorePortfolio_12QRank","2016-01-11_to_2019-01-12_CorePortfolio_12QRank","2016-02-11_to_2019-02-12_CorePortfolio_12QRank","2016-03-11_to_2019-03-12_CorePortfolio_12QRank","2016-04-11_to_2019-04-12_CorePortfolio_12QRank","2016-05-11_to_2019-05-12_CorePortfolio_12QRank","2016-06-13_to_2019-06-12_CorePortfolio_12QRank","2016-07-11_to_2019-07-12_CorePortfolio_12QRank","2016-08-11_to_2019-08-12_CorePortfolio_12QRank","2016-09-12_to_2019-09-12_CorePortfolio_12QRank","2016-10-11_to_2019-10-12_CorePortfolio_12QRank","2016-11-11_to_2019-11-12_CorePortfolio_12QRank","2016-12-12_to_2019-12-12_CorePortfolio_12QRank","2017-01-11_to_2020-01-12_CorePortfolio_12QRank","2017-02-13_to_2020-02-12_CorePortfolio_12QRank","2017-03-13_to_2020-03-12_CorePortfolio_12QRank","2017-04-11_to_2020-04-12_CorePortfolio_12QRank","2017-05-11_to_2020-05-12_CorePortfolio_12QRank","2017-06-12_to_2020-06-12_CorePortfolio_12QRank","2017-07-11_to_2020-07-12_CorePortfolio_12QRank","2017-08-11_to_2020-08-12_CorePortfolio_12QRank","2017-09-11_to_2020-09-12_CorePortfolio_12QRank","2017-10-11_to_2020-10-12_CorePortfolio_12QRank","2017-11-13_to_2020-11-12_CorePortfolio_12QRank","2017-12-11_to_2020-12-12_CorePortfolio_12QRank","2018-01-11_to_2021-01-12_CorePortfolio_12QRank","2018-02-12_to_2021-02-12_CorePortfolio_12QRank","2018-03-12_to_2021-03-12_CorePortfolio_12QRank","2018-04-11_to_2021-04-12_CorePortfolio_12QRank","2018-05-11_to_2021-05-12_CorePortfolio_12QRank","2018-06-11_to_2021-06-12_CorePortfolio_12QRank","2018-07-11_to_2021-07-12_CorePortfolio_12QRank","2018-08-13_to_2021-08-12_CorePortfolio_12QRank","2018-09-11_to_2021-09-12_CorePortfolio_12QRank","2018-10-11_to_2021-10-12_CorePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","9.731","10.472","14.414","12.497","11.775","10.967","9.791","10.768","7.367","10.447","10.644","11.904","12.648","11.789","12.635","-0.115","4.458","3.109","5.392","8.413","9.373","9.177","12.146","10.221","11.568","13.686","15.997","13.726","18.45","17.803","18.612","17.927","18.981","19.502","22.525"
"B Annualized Returns","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","1.095","0.248999999999999","1.228","1.303","-0.43","-0.715999999999999","-1.599","-1.326","-2.179","-1.235","-0.862","-0.956","0.317","-1.461","-1.295","-2.257","-2.449","-4.634","-3.773","-3.097","-3.594","-2.969","-1.029","-2.332","-1.012","1.536","0.693","0.41","1.003","2.494","2.194","-0.152000000000001","1.16","1.784","2.129"
"P Volatility","9.8","10.25","10.44","10.28","10.5","10.58","10.91","11.01","10.97","11.06","11.25","11.93","11.31","11.34","10.82","12.28","14.46","15.6","15.26","15.14","15.65","16.04","17.09","17.34","19.48","19.74","19","18.73","18.64","18.74","18.33","18.94","18.48","19.54","19.46"
"B Volatility","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","0.41","-0.33","-0.690000000000001","-0.450000000000001","-0.25","-0.35","-0.959999999999999","-1.26","-1.28","-1.29","-1.02","-0.34","-1.03","-1.06","-1.45","-1.17","-0.469999999999999","-0.970000000000001","-1.4","-1.54","-1.24","-1.47","-0.760000000000002","-0.66","0.699999999999999","1.1","0.57","0.539999999999999","0.390000000000001","0.34","-0.0800000000000018","0.560000000000002","0.140000000000001","1.17","1.49"
"P Tracking Error","2.91","2.65","2.37","2.35","2.95","2.72","3.01","3.19","3.68","3.53","3.51","2.98","3.01","3.4","3.72","3.88","3.84","4.09","3.71","3.76","3.66","4.13","3.46","3.86","4.44","4.38","4.42","4.28","4.6","4.84","4.79","5","4.62","5.01","4.73"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.38","0.09","0.52","0.55","-0.15","-0.26","-0.53","-0.42","-0.59","-0.35","-0.25","-0.32","0.11","-0.43","-0.35","-0.58","-0.64","-1.13","-1.02","-0.82","-0.98","-0.72","-0.3","-0.6","-0.23","0.35","0.16","0.1","0.22","0.52","0.46","-0.03","0.25","0.36","0.45"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.06","0.11","0.1","0.18","-0.02","0.02","-0.03","0.03","-0.08","0.05","0.07","-0.01","0.13","0.03","0.04","-0.09","-0.21","-0.28","-0.21","-0.15","-0.19","-0.17","-0.02","-0.14","-0.12","-0.02","0.11","-0.02","0.16","0.17","0.25","-0.01","0.11","0.12","0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1","0.94","0.92","0.93","0.94","0.94","0.89","0.87","0.86","0.86","0.88","0.94","0.89","0.88","0.84","0.88","0.94","0.91","0.89","0.89","0.91","0.89","0.94","0.94","1.01","1.03","1","1","0.99","0.98","0.96","0.99","0.98","1.03","1.05"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
