"","2014-03-11_to_2016-03-12_VGPortfolio_5QRank","2014-04-11_to_2016-04-12_VGPortfolio_5QRank","2014-05-12_to_2016-05-12_VGPortfolio_5QRank","2014-06-11_to_2016-06-12_VGPortfolio_5QRank","2014-07-11_to_2016-07-12_VGPortfolio_5QRank","2014-08-11_to_2016-08-12_VGPortfolio_5QRank","2014-09-11_to_2016-09-12_VGPortfolio_5QRank","2014-10-13_to_2016-10-12_VGPortfolio_5QRank","2014-11-11_to_2016-11-12_VGPortfolio_5QRank","2014-12-11_to_2016-12-12_VGPortfolio_5QRank","2015-01-12_to_2017-01-12_VGPortfolio_5QRank","2015-02-11_to_2017-02-12_VGPortfolio_5QRank","2015-03-11_to_2017-03-12_VGPortfolio_5QRank","2015-04-13_to_2017-04-12_VGPortfolio_5QRank","2015-05-11_to_2017-05-12_VGPortfolio_5QRank","2015-06-11_to_2017-06-12_VGPortfolio_5QRank","2015-07-13_to_2017-07-12_VGPortfolio_5QRank","2015-08-11_to_2017-08-12_VGPortfolio_5QRank","2015-09-11_to_2017-09-12_VGPortfolio_5QRank","2015-10-12_to_2017-10-12_VGPortfolio_5QRank","2015-11-11_to_2017-11-12_VGPortfolio_5QRank","2015-12-11_to_2017-12-12_VGPortfolio_5QRank","2016-01-11_to_2018-01-12_VGPortfolio_5QRank","2016-02-11_to_2018-02-12_VGPortfolio_5QRank","2016-03-11_to_2018-03-12_VGPortfolio_5QRank","2016-04-11_to_2018-04-12_VGPortfolio_5QRank","2016-05-11_to_2018-05-12_VGPortfolio_5QRank","2016-06-13_to_2018-06-12_VGPortfolio_5QRank","2016-07-11_to_2018-07-12_VGPortfolio_5QRank","2016-08-11_to_2018-08-12_VGPortfolio_5QRank","2016-09-12_to_2018-09-12_VGPortfolio_5QRank","2016-10-11_to_2018-10-12_VGPortfolio_5QRank","2016-11-11_to_2018-11-12_VGPortfolio_5QRank","2016-12-12_to_2018-12-12_VGPortfolio_5QRank","2017-01-11_to_2019-01-12_VGPortfolio_5QRank","2017-02-13_to_2019-02-12_VGPortfolio_5QRank","2017-03-13_to_2019-03-12_VGPortfolio_5QRank","2017-04-11_to_2019-04-12_VGPortfolio_5QRank","2017-05-11_to_2019-05-12_VGPortfolio_5QRank","2017-06-12_to_2019-06-12_VGPortfolio_5QRank","2017-07-11_to_2019-07-12_VGPortfolio_5QRank","2017-08-11_to_2019-08-12_VGPortfolio_5QRank","2017-09-11_to_2019-09-12_VGPortfolio_5QRank","2017-10-11_to_2019-10-12_VGPortfolio_5QRank","2017-11-13_to_2019-11-12_VGPortfolio_5QRank","2017-12-11_to_2019-12-12_VGPortfolio_5QRank","2018-01-11_to_2020-01-12_VGPortfolio_5QRank","2018-02-12_to_2020-02-12_VGPortfolio_5QRank","2018-03-12_to_2020-03-12_VGPortfolio_5QRank","2018-04-11_to_2020-04-12_VGPortfolio_5QRank","2018-05-11_to_2020-05-12_VGPortfolio_5QRank","2018-06-11_to_2020-06-12_VGPortfolio_5QRank","2018-07-11_to_2020-07-12_VGPortfolio_5QRank","2018-08-13_to_2020-08-12_VGPortfolio_5QRank","2018-09-11_to_2020-09-12_VGPortfolio_5QRank","2018-10-11_to_2020-10-12_VGPortfolio_5QRank","2018-11-12_to_2020-11-12_VGPortfolio_5QRank","2018-12-11_to_2020-12-12_VGPortfolio_5QRank","2019-01-11_to_2021-01-12_VGPortfolio_5QRank","2019-02-11_to_2021-02-12_VGPortfolio_5QRank","2019-03-11_to_2021-03-12_VGPortfolio_5QRank","2019-04-11_to_2021-04-12_VGPortfolio_5QRank","2019-05-13_to_2021-05-12_VGPortfolio_5QRank","2019-06-11_to_2021-06-12_VGPortfolio_5QRank","2019-07-11_to_2021-07-12_VGPortfolio_5QRank","2019-08-12_to_2021-08-12_VGPortfolio_5QRank","2019-09-11_to_2021-09-12_VGPortfolio_5QRank"
"P Information Ratio","0.59","1.54","1.21","1.12","1.05","0.95","0.86","1.03","0.95","0.9","0.93","0.45","0.95","1.38","0.09","-0.08","-0.28","0.39","0.19","1.5","2.39","2.2","2.84","3.56","3.08","2.7","2.79","3.23","2.79","2.2","1.34","1.3","1.01","1.77","1.63","0.92","-0.28","-0.73","-0.26","-0.53","-0.02","-0.88","-0.26","-0.77","-0.52","-0.38","-0.86","0.23","0.03","-0.63","0.13","-0.3","-0.04","-0.34","1.24","1.52","0.71","-0.47","-0.15","-0.25","0.29","1.28","1.38","1.56","1.76","1.87","1.63"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.33","0.67","0.52","0.55","0.47","0.43","0.36","0.41","0.34","0.3","0.15","0.14","0.43","0.63","0.08","0.08","0.06","0.22","0.07","0.4","0.5","0.36","0.72","0.75","0.82","0.71","0.82","0.92","0.82","0.58","0.45","0.34","0.19","0.34","0.29","0.26","-0.02","-0.15","-0.09","-0.19","-0.13","-0.21","-0.07","-0.23","-0.18","-0.07","-0.15","0.02","0.01","-0.1","-0.01","-0.05","0.14","-0.03","0.55","0.5","0.24","-0.21","-0.12","-0.19","0.1","0.6","0.86","0.72","0.79","0.71","0.68"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.79","0.83","0.83","0.76","0.79","0.78","0.88","0.95","0.93","0.95","1.02","0.91","0.87","0.94","0.84","0.87","0.85","0.89","0.94","1.15","1.08","1.18","1.03","1.18","1.15","1.14","1.11","1.07","1.04","1.03","0.93","0.99","0.99","1.06","1.02","1.04","1","0.99","1.01","1.03","1.07","0.98","1.02","1.05","1.03","1","0.98","1.01","0.98","0.98","0.9","0.93","0.92","0.95","1.08","1.13","1.09","1.04","0.99","1.06","1.01","1.1","1.04","1.15","1.13","1.14","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","88.11","84.51","84.78","81.3","84.13","84.99","88.39","87.02","90.79","94.18","94.51","90.76","85.39","83.31","94.78","92.47","90.93","91.3","86.4","81.55","84.03","85.67","70.09","70.28","71.65","77.18","73.33","80.69","76.03","80.76","82.13","83.2","91.63","91.12","95.69","94.87","95.83","96.15","93.2","94.08","93.85","95","95.21","94.63","96.46","96.52","97.57","96.24","97.82","98.63","97.4","96.99","96.03","96.66","94.4","94.56","96.23","94.64","96.21","96.57","95.57","90.96","84.89","88.21","87.95","88.52","87.71"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.2813","-13.7361","-13.8103","-13.4492","-13.9915","-12.7531","-12.9787","-15.3958","-14.2405","-12.7474","-13.6221","-14.5989","-13.007","-16.2142","-13.2631","-14.3903","-13.837","-12.7545","-14.0617","-14.4694","-12.9007","-14.0001","-8.0666","-9.8976","-9.6827","-11.1068","-9.3329","-9.3531","-9.0819","-9.7795","-9.6799","-10.7802","-11.2543","-12.033","-19.6966","-20.8495","-19.8257","-20.0177","-20.8475","-20.9276","-21.2352","-20.2029","-21.009","-21.9302","-21.4866","-20.4109","-18.9207","-20.4402","-26.4968","-30.8926","-30.6176","-31.6268","-31.4969","-32.1782","-34.0171","-33.6214","-32.3859","-33.3165","-32.6662","-34.8037","-33.6511","-33.4152","-30.7813","-34.2662","-32.3043","-34.7915","-33.3683"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.9534","-0.408200000000001","-0.4824","-0.1213","-0.663600000000001","0.5748","0.3492","-2.0679","-0.912600000000001","0.580499999999999","-0.2942","-1.271","0.3209","-2.8863","0.0648","-1.0624","-0.5091","-0.9183","-2.2255","-2.6332","-1.4871","-3.4739","-2.9462","0.440799999999999","0.6557","0.0660000000000007","1.8399","1.8197","2.0909","1.3933","1.4929","0.3926","-0.0815000000000001","-0.860199999999999","0.262699999999999","-0.8902","0.133599999999998","-0.0584000000000024","-0.888200000000001","-0.968300000000003","-1.2759","-0.243600000000001","-1.0497","-1.9709","-1.5273","-0.451600000000003","1.0386","-0.480900000000002","-0.458200000000001","0.638599999999997","0.913599999999999","-0.095600000000001","0.0342999999999982","-0.646999999999998","-2.4859","-2.0902","-0.854700000000001","-1.7853","-1.13500000000001","-3.2725","-2.1199","-1.884","0.749899999999997","-2.735","-0.773099999999999","-3.2603","-1.8371"
