"","2013-12-11_to_2015-12-12_ValuePortfolio_4QRank","2014-01-13_to_2016-01-12_ValuePortfolio_4QRank","2014-02-11_to_2016-02-12_ValuePortfolio_4QRank","2014-03-11_to_2016-03-12_ValuePortfolio_4QRank","2014-04-11_to_2016-04-12_ValuePortfolio_4QRank","2014-05-12_to_2016-05-12_ValuePortfolio_4QRank","2014-06-11_to_2016-06-12_ValuePortfolio_4QRank","2014-07-11_to_2016-07-12_ValuePortfolio_4QRank","2014-08-11_to_2016-08-12_ValuePortfolio_4QRank","2014-09-11_to_2016-09-12_ValuePortfolio_4QRank","2014-10-13_to_2016-10-12_ValuePortfolio_4QRank","2014-11-11_to_2016-11-12_ValuePortfolio_4QRank","2014-12-11_to_2016-12-12_ValuePortfolio_4QRank","2015-01-12_to_2017-01-12_ValuePortfolio_4QRank","2015-02-11_to_2017-02-12_ValuePortfolio_4QRank","2015-03-11_to_2017-03-12_ValuePortfolio_4QRank","2015-04-13_to_2017-04-12_ValuePortfolio_4QRank","2015-05-11_to_2017-05-12_ValuePortfolio_4QRank","2015-06-11_to_2017-06-12_ValuePortfolio_4QRank","2015-07-13_to_2017-07-12_ValuePortfolio_4QRank","2015-08-11_to_2017-08-12_ValuePortfolio_4QRank","2015-09-11_to_2017-09-12_ValuePortfolio_4QRank","2015-10-12_to_2017-10-12_ValuePortfolio_4QRank","2015-11-11_to_2017-11-12_ValuePortfolio_4QRank","2015-12-11_to_2017-12-12_ValuePortfolio_4QRank","2016-01-11_to_2018-01-12_ValuePortfolio_4QRank","2016-02-11_to_2018-02-12_ValuePortfolio_4QRank","2016-03-11_to_2018-03-12_ValuePortfolio_4QRank","2016-04-11_to_2018-04-12_ValuePortfolio_4QRank","2016-05-11_to_2018-05-12_ValuePortfolio_4QRank","2016-06-13_to_2018-06-12_ValuePortfolio_4QRank","2016-07-11_to_2018-07-12_ValuePortfolio_4QRank","2016-08-11_to_2018-08-12_ValuePortfolio_4QRank","2016-09-12_to_2018-09-12_ValuePortfolio_4QRank","2016-10-11_to_2018-10-12_ValuePortfolio_4QRank","2016-11-11_to_2018-11-12_ValuePortfolio_4QRank","2016-12-12_to_2018-12-12_ValuePortfolio_4QRank","2017-01-11_to_2019-01-12_ValuePortfolio_4QRank","2017-02-13_to_2019-02-12_ValuePortfolio_4QRank","2017-03-13_to_2019-03-12_ValuePortfolio_4QRank","2017-04-11_to_2019-04-12_ValuePortfolio_4QRank","2017-05-11_to_2019-05-12_ValuePortfolio_4QRank","2017-06-12_to_2019-06-12_ValuePortfolio_4QRank","2017-07-11_to_2019-07-12_ValuePortfolio_4QRank","2017-08-11_to_2019-08-12_ValuePortfolio_4QRank","2017-09-11_to_2019-09-12_ValuePortfolio_4QRank","2017-10-11_to_2019-10-12_ValuePortfolio_4QRank","2017-11-13_to_2019-11-12_ValuePortfolio_4QRank","2017-12-11_to_2019-12-12_ValuePortfolio_4QRank","2018-01-11_to_2020-01-12_ValuePortfolio_4QRank","2018-02-12_to_2020-02-12_ValuePortfolio_4QRank","2018-03-12_to_2020-03-12_ValuePortfolio_4QRank","2018-04-11_to_2020-04-12_ValuePortfolio_4QRank","2018-05-11_to_2020-05-12_ValuePortfolio_4QRank","2018-06-11_to_2020-06-12_ValuePortfolio_4QRank","2018-07-11_to_2020-07-12_ValuePortfolio_4QRank","2018-08-13_to_2020-08-12_ValuePortfolio_4QRank","2018-09-11_to_2020-09-12_ValuePortfolio_4QRank","2018-10-11_to_2020-10-12_ValuePortfolio_4QRank","2018-11-12_to_2020-11-12_ValuePortfolio_4QRank","2018-12-11_to_2020-12-12_ValuePortfolio_4QRank","2019-01-11_to_2021-01-12_ValuePortfolio_4QRank","2019-02-11_to_2021-02-12_ValuePortfolio_4QRank","2019-03-11_to_2021-03-12_ValuePortfolio_4QRank","2019-04-11_to_2021-04-12_ValuePortfolio_4QRank","2019-05-13_to_2021-05-12_ValuePortfolio_4QRank","2019-06-11_to_2021-06-12_ValuePortfolio_4QRank","2019-07-11_to_2021-07-12_ValuePortfolio_4QRank","2019-08-12_to_2021-08-12_ValuePortfolio_4QRank","2019-09-11_to_2021-09-12_ValuePortfolio_4QRank"
"P Information Ratio","-0.24","-0.1","0.19","0.02","0.01","0.35","0.65","0.23","-0.01","0.01","0.78","0.35","1.93","1.71","0.57","0.1","-0.32","-0.8","-0.22","-0.36","-0.29","-0.17","-0.12","0.23","1.09","1.04","1.91","1.02","0.96","0.85","0.79","0.46","0.8","0.13","0.81","0.17","1.09","0.18","-0.89","-0.61","-1.08","-1.39","-1.1","-1.18","-0.93","-0.82","-0.74","-1.33","-1.02","-1.13","-1.06","-0.95","-0.8","0.18","0.18","-1.79","-1.38","0.45","0.57","-0.31","-0.48","-0.39","-0.36","-0.13","1.25","1.37","1.46","1.31","1.66","-0.55"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.11","0.01","0.1","-0.05","0.18","0.31","0.29","0.13","0.14","0.08","0.34","0.1","0.7","0.52","0.17","0.07","-0.16","-0.2","0.1","0","-0.12","-0.04","0","0.07","0.2","0.45","0.6","0.49","0.22","0.19","0.36","0.1","0.47","0.06","0.21","0.26","0.49","0.18","-0.32","-0.09","-0.26","-0.57","-0.46","-0.55","-0.37","-0.27","-0.06","-0.64","-0.43","-0.24","-0.12","-0.63","-0.39","0.26","0.14","-0.81","-0.55","0.41","0.14","-0.32","-0.78","-0.78","-0.53","-0.24","0.95","1.19","1.04","1","1.13","-0.15"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.67","0.66","0.52","0.54","0.61","0.63","0.74","0.76","0.72","0.82","1.04","0.94","1.01","1.13","1.21","1.06","0.94","0.73","0.83","0.91","0.97","0.94","1.15","1.03","1.16","1.09","1.18","1.15","1.22","1.2","1.19","1.07","1.02","1.07","1.02","0.8","0.82","0.86","0.69","0.67","0.81","0.84","0.8","0.76","0.9","0.8","0.85","0.95","0.91","0.84","0.7","0.83","0.87","0.78","0.8","0.87","0.92","1.12","1.32","1.2","1.28","1.21","1.22","1.13","1.42","1.41","1.52","1.37","1.37","0.93"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","77.09","79.65","62.76","66.4","71.82","72.81","89.42","89.05","79.62","85.74","93.99","87.7","87.41","86.77","83.67","79.74","85.46","69.85","82.32","85.57","70.89","69.88","77.71","72.96","66.64","44.36","42.86","48.11","51.07","59.72","58.67","57.32","47.13","63.6","64.62","78.79","74.02","83.87","68.53","68.7","78.88","76.79","77.19","73.54","86.05","85.37","84.23","84.83","85.69","83.75","76.02","81.58","81.73","80.71","82.29","87.65","89.12","87.25","90.67","89.21","88.3","88.95","86.86","84.15","81.03","75.64","75.36","72.81","73.51","74.67"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.7177","-11.6763","-12.6372","-13.6415","-10.4982","-10.3902","-11.3979","-11.1685","-13.0001","-13.0556","-13.6137","-13.8762","-14.7788","-18.0855","-18.4921","-18.6301","-16.0559","-16.3338","-13.5782","-14.56","-15.8857","-15.572","-14.7165","-10.9403","-11.3176","-8.2967","-11.9192","-12.2914","-12.7215","-12.2661","-13.1217","-13.4698","-10.8282","-12.4988","-11.448","-10.9978","-10.9753","-14.6202","-13.7498","-13.227","-14.6314","-17.2612","-17.8369","-17.1352","-18.1508","-17.3424","-18.2395","-23.0604","-21.2039","-19.5034","-14.9474","-25.5139","-33.0244","-32.585","-32.7927","-32.9447","-34.598","-35.5225","-38.6152","-39.7496","-41.416","-40.9616","-41.3044","-39.0707","-38.9986","-37.9561","-39.4496","-34.4929","-36.5716","-35.3472"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","2.6102","1.6516","0.6907","-0.313600000000001","2.8297","2.9377","1.93","2.1594","0.3278","0.2723","-0.2858","-0.548300000000001","-1.4509","-4.7576","-5.1642","-5.3022","-2.728","-3.0059","-0.250300000000001","-1.2321","-4.0495","-3.7358","-2.8803","0.4733","-0.791400000000001","-3.1763","-1.5808","-1.953","-1.5487","-1.0933","-1.9489","-2.297","0.3446","-1.326","-0.2752","0.175000000000001","0.1975","5.3391","6.2095","6.7323","5.3279","2.6981","2.1224","2.8241","1.8085","2.6169","1.7198","-3.1011","-1.2446","0.4559","5.0119","0.524699999999999","-1.4932","-1.0538","-1.26150000000001","-1.4135","-3.0668","-3.9913","-7.084","-8.2184","-9.8848","-9.4304","-9.7732","-7.5395","-7.4674","-6.4249","-7.9184","-2.9617","-5.0404","-3.816"
