"","2013-06-11_to_2016-06-12_VGPortfolio_2QRank","2013-07-11_to_2016-07-12_VGPortfolio_2QRank","2013-08-12_to_2016-08-12_VGPortfolio_2QRank","2013-09-11_to_2016-09-12_VGPortfolio_2QRank","2013-10-11_to_2016-10-12_VGPortfolio_2QRank","2013-11-11_to_2016-11-12_VGPortfolio_2QRank","2013-12-11_to_2016-12-12_VGPortfolio_2QRank","2014-01-13_to_2017-01-12_VGPortfolio_2QRank","2014-02-11_to_2017-02-12_VGPortfolio_2QRank","2014-03-11_to_2017-03-12_VGPortfolio_2QRank","2014-04-11_to_2017-04-12_VGPortfolio_2QRank","2014-05-12_to_2017-05-12_VGPortfolio_2QRank","2014-06-11_to_2017-06-12_VGPortfolio_2QRank","2014-07-11_to_2017-07-12_VGPortfolio_2QRank","2014-08-11_to_2017-08-12_VGPortfolio_2QRank","2014-09-11_to_2017-09-12_VGPortfolio_2QRank","2014-10-13_to_2017-10-12_VGPortfolio_2QRank","2014-11-11_to_2017-11-12_VGPortfolio_2QRank","2014-12-11_to_2017-12-12_VGPortfolio_2QRank","2015-01-12_to_2018-01-12_VGPortfolio_2QRank","2015-02-11_to_2018-02-12_VGPortfolio_2QRank","2015-03-11_to_2018-03-12_VGPortfolio_2QRank","2015-04-13_to_2018-04-12_VGPortfolio_2QRank","2015-05-11_to_2018-05-12_VGPortfolio_2QRank","2015-06-11_to_2018-06-12_VGPortfolio_2QRank","2015-07-13_to_2018-07-12_VGPortfolio_2QRank","2015-08-11_to_2018-08-12_VGPortfolio_2QRank","2015-09-11_to_2018-09-12_VGPortfolio_2QRank","2015-10-12_to_2018-10-12_VGPortfolio_2QRank","2015-11-11_to_2018-11-12_VGPortfolio_2QRank","2015-12-11_to_2018-12-12_VGPortfolio_2QRank","2016-01-11_to_2019-01-12_VGPortfolio_2QRank","2016-02-11_to_2019-02-12_VGPortfolio_2QRank","2016-03-11_to_2019-03-12_VGPortfolio_2QRank","2016-04-11_to_2019-04-12_VGPortfolio_2QRank","2016-05-11_to_2019-05-12_VGPortfolio_2QRank","2016-06-13_to_2019-06-12_VGPortfolio_2QRank","2016-07-11_to_2019-07-12_VGPortfolio_2QRank","2016-08-11_to_2019-08-12_VGPortfolio_2QRank","2016-09-12_to_2019-09-12_VGPortfolio_2QRank","2016-10-11_to_2019-10-12_VGPortfolio_2QRank","2016-11-11_to_2019-11-12_VGPortfolio_2QRank","2016-12-12_to_2019-12-12_VGPortfolio_2QRank","2017-01-11_to_2020-01-12_VGPortfolio_2QRank","2017-02-13_to_2020-02-12_VGPortfolio_2QRank","2017-03-13_to_2020-03-12_VGPortfolio_2QRank","2017-04-11_to_2020-04-12_VGPortfolio_2QRank","2017-05-11_to_2020-05-12_VGPortfolio_2QRank","2017-06-12_to_2020-06-12_VGPortfolio_2QRank","2017-07-11_to_2020-07-12_VGPortfolio_2QRank","2017-08-11_to_2020-08-12_VGPortfolio_2QRank","2017-09-11_to_2020-09-12_VGPortfolio_2QRank","2017-10-11_to_2020-10-12_VGPortfolio_2QRank","2017-11-13_to_2020-11-12_VGPortfolio_2QRank","2017-12-11_to_2020-12-12_VGPortfolio_2QRank","2018-01-11_to_2021-01-12_VGPortfolio_2QRank","2018-02-12_to_2021-02-12_VGPortfolio_2QRank","2018-03-12_to_2021-03-12_VGPortfolio_2QRank","2018-04-11_to_2021-04-12_VGPortfolio_2QRank","2018-05-11_to_2021-05-12_VGPortfolio_2QRank","2018-06-11_to_2021-06-12_VGPortfolio_2QRank","2018-07-11_to_2021-07-12_VGPortfolio_2QRank","2018-08-13_to_2021-08-12_VGPortfolio_2QRank","2018-09-11_to_2021-09-12_VGPortfolio_2QRank","2018-10-11_to_2021-10-12_VGPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.079","13.775","13.061","11.859","10.889","12.021","13.568","12.17","12.168","11.25","15.777","15.248","16.588","17.995","17.554","13.388","21.273","10.825","14.401","16.21","9.311","19.061","14.514","11.574","12.59","13.376","12.635","15.769","20.662","15.003","13.738","16.032","18.97","14.625","18.662","14.31","15.179","16.934","10.999","13.565","12.776","12.249","12.622","11.966","13.741","1.112","7.636","9.14","11.856","14.129","16.274","16.17","12.587","15.294","15.402","10.302","23.513","17.576","23.291","12.792","16.746","17.983","18.765","22.653","25.793"
"B Annualized Returns","8.113","8.165","8.521","8.219","7.8","6.6","7.751","7.502","8.201","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","5.966","5.61","4.54","3.64","3.089","5.421","5.817","4.668","3.967","2.611","6.952","7.3","9.078","10.747","9.622","5.878","11.067","2.821","5.003","4.914","0.449999999999999","8.033","5.939","2.527","2.969","3.281","1.621","1.601","9.254","5.684","5.102","5.809","5.784","3.431","6.457","2.627","3.789","4.84","1.453","1.883","1.27","-0.610999999999999","0.291","-1.284","-0.189","-1.03","0.729","1.397","2.691","2.619","3.307","4.024","-0.588000000000001","2.741","2.822","-1.848","8.209","4.26","5.844","-2.517","0.327999999999999","-0.0960000000000001","0.943999999999999","4.935","5.397"
"P Volatility","12.52","11.92","10.75","9.67","10.49","10.6","10.56","10.28","9.95","10.43","10.94","11","10.82","12.31","11.65","11.17","12.05","10.67","10.71","10.09","10.6","11.7","11.36","9.98","9.86","10.07","10.05","10.16","10.15","11.6","12.74","13.73","13.65","11.94","12.64","12.74","13.29","14.29","13.38","13.15","13.82","12.48","12.85","12.82","12.62","14.06","15.98","17.62","17.75","17.57","18.38","19.3","17.86","18.55","21.25","17.1","19.66","19.97","19.84","17.86","17.16","17.5","17.53","21.59","22.02"
"B Volatility","11.91","11.66","11.55","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","0.609999999999999","0.26","-0.800000000000001","-1.86","-0.799999999999999","-0.67","-0.74","-0.710000000000001","-0.91","-0.620000000000001","-0.120000000000001","-0.0299999999999994","-0.199999999999999","1.32","0.76","0.32","1.2","-0.18","-0.199999999999999","-0.300000000000001","0.19","1.09","0.43","-0.949999999999999","-1","-0.74","-0.119999999999999","0.199999999999999","1.7","2.1","3.35","3.15","2.52","1.21","1.89","1.81","1.42","2.02","1.13","0.800000000000001","1.55","0.210000000000001","0.51","0.42","0.35","0.610000000000001","1.05","1.05","1.09","0.890000000000001","1.49","1.79","0.00999999999999801","0.550000000000001","2.47","-1.54","1.23","1.78","1.59","-0.539999999999999","-1.25","-0.879999999999999","-0.809999999999999","3.22","4.05"
"P Tracking Error","6.41","6.23","5.14","4.99","4.73","5.11","5.72","5.08","5.03","4.29","3.6","4.43","4.7","5.11","4.2","3.91","4.62","3.39","3.56","3.16","2.9","4.97","4.91","3.74","4.03","3.74","3.15","3.47","4.71","4.61","5.47","5.61","5.1","3.79","4.79","4.52","3.97","4.17","3.46","2.92","3.22","3","3.3","2.6","2.97","3.54","3.28","3.77","3.68","3.6","3.99","4.38","3.71","4.51","6.47","4.09","4.88","5.37","5.36","3.75","3.21","3.41","3.81","6.91","7.38"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.93","0.9","0.88","0.73","0.65","1.06","1.02","0.92","0.79","0.61","1.93","1.65","1.93","2.1","2.29","1.5","2.4","0.83","1.41","1.56","0.16","1.62","1.21","0.68","0.74","0.88","0.51","0.46","1.96","1.23","0.93","1.04","1.13","0.91","1.35","0.58","0.95","1.16","0.42","0.64","0.39","-0.2","0.09","-0.49","-0.06","-0.29","0.22","0.37","0.73","0.73","0.83","0.92","-0.16","0.61","0.44","-0.45","1.68","0.79","1.09","-0.67","0.1","-0.03","0.25","0.71","0.73"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.57","0.48","0.45","0.41","0.39","0.59","0.53","0.39","0.38","0.38","0.62","0.57","0.78","0.79","0.74","0.49","0.75","0.25","0.5","0.36","0.03","0.62","0.53","0.3","0.33","0.38","0.22","0.16","0.73","0.38","0.14","0.32","0.21","0.25","0.32","0.09","0.24","0.24","0.07","0.12","0.01","-0.03","0.01","-0.09","-0.05","-0.02","0.04","0.02","0.17","0.09","0.2","0.27","0.02","0.2","0.14","-0.1","0.6","0.27","0.38","-0.18","0.1","0.13","0.15","0.23","0.13"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.91","0.88","0.83","0.76","0.84","0.84","0.81","0.83","0.81","0.87","0.94","0.92","0.89","1.02","1","0.97","1.03","0.93","0.93","0.93","0.98","1","0.94","0.86","0.84","0.87","0.94","0.96","1.07","1.13","1.25","1.2","1.15","1.06","1.09","1.09","1.07","1.12","1.06","1.04","1.1","0.99","1.01","1.01","1","1.01","1.05","1.04","1.04","1.03","1.06","1.08","0.98","1","1.08","0.9","1.03","1.06","1.05","0.95","0.92","0.94","0.94","1.12","1.17"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","73.78","73.32","79.7","81.1","81.94","79.06","74.08","78.21","77.97","84.54","89.27","83.99","81.82","82.28","86.57","87.53","84.92","90.02","89.18","90.52","92.33","81.36","81.09","88.04","85.86","87.66","90.24","88.13","78.15","84.82","84.49","85.32","87.05","89.91","85.86","87.69","91.23","92.35","93.37","95.05","95.22","94.06","93.19","95.78","94.28","93.49","95.86","95.43","95.75","95.77","95.51","95.2","95.59","93.92","90.99","95.42","93.75","92.86","92.66","95.72","97.17","96.56","95.61","90.51","90.32"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-19.1633","-17.1854","-14.7752","-12.7421","-13.9971","-14.5318","-13.5729","-12.2479","-12.644","-13.6111","-14.1742","-14.6895","-14.5318","-18.1291","-16.0692","-15.051","-14.7646","-16.1185","-14.8119","-14.2625","-15.1841","-15.2752","-14.4554","-13.8461","-13.2963","-13.6546","-15.6047","-15.3624","-13.5048","-14.1909","-17.724","-26.5139","-24.9924","-22.3572","-22.511","-23.2582","-21.7585","-22.5501","-21.8744","-19.9129","-21.471","-19.4212","-19.9602","-20.6376","-20.2794","-29.2159","-33.2387","-33.169","-32.0049","-32.0793","-33.7545","-33.774","-33.2921","-32.9713","-34.2915","-30.9149","-30.6546","-33.0631","-31.6717","-32.2673","-30.4699","-29.2701","-31.5976","-33.6811","-32.9261"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-5.8354","-3.8575","-1.4473","0.585799999999999","-0.6692","-1.2039","-0.245000000000001","1.08","0.6839","-0.283200000000001","-0.846300000000001","-1.3616","-1.2039","-4.8012","-2.7413","-1.7231","-1.4367","-2.7906","-1.484","-0.9346","-1.8562","-1.9473","-1.1275","-0.5182","0.0315999999999992","-0.326700000000001","-3.7685","-3.5262","-1.6686","-2.7773","-6.5512","-6.5546","-5.0331","-2.3979","-2.5517","-3.2989","-1.7992","-2.5908","-1.9151","0.0463999999999984","-1.5117","0.5382","-0.000900000000001455","-0.6783","-0.3201","-3.1773","-1.7075","-1.6378","-0.473700000000001","-0.548100000000005","-2.2233","-2.2428","-1.7609","-1.4401","-2.7603","0.616299999999999","0.8766","-1.5319","-0.140500000000003","-0.7361","1.0613","2.2611","-0.0664000000000016","-2.1499","-1.3949"
