"","2014-06-11_to_2017-06-12_CorePortfolio_6QRank","2014-07-11_to_2017-07-12_CorePortfolio_6QRank","2014-08-11_to_2017-08-12_CorePortfolio_6QRank","2014-09-11_to_2017-09-12_CorePortfolio_6QRank","2014-10-13_to_2017-10-12_CorePortfolio_6QRank","2014-11-11_to_2017-11-12_CorePortfolio_6QRank","2014-12-11_to_2017-12-12_CorePortfolio_6QRank","2015-01-12_to_2018-01-12_CorePortfolio_6QRank","2015-02-11_to_2018-02-12_CorePortfolio_6QRank","2015-03-11_to_2018-03-12_CorePortfolio_6QRank","2015-04-13_to_2018-04-12_CorePortfolio_6QRank","2015-05-11_to_2018-05-12_CorePortfolio_6QRank","2015-06-11_to_2018-06-12_CorePortfolio_6QRank","2015-07-13_to_2018-07-12_CorePortfolio_6QRank","2015-08-11_to_2018-08-12_CorePortfolio_6QRank","2015-09-11_to_2018-09-12_CorePortfolio_6QRank","2015-10-12_to_2018-10-12_CorePortfolio_6QRank","2015-11-11_to_2018-11-12_CorePortfolio_6QRank","2015-12-11_to_2018-12-12_CorePortfolio_6QRank","2016-01-11_to_2019-01-12_CorePortfolio_6QRank","2016-02-11_to_2019-02-12_CorePortfolio_6QRank","2016-03-11_to_2019-03-12_CorePortfolio_6QRank","2016-04-11_to_2019-04-12_CorePortfolio_6QRank","2016-05-11_to_2019-05-12_CorePortfolio_6QRank","2016-06-13_to_2019-06-12_CorePortfolio_6QRank","2016-07-11_to_2019-07-12_CorePortfolio_6QRank","2016-08-11_to_2019-08-12_CorePortfolio_6QRank","2016-09-12_to_2019-09-12_CorePortfolio_6QRank","2016-10-11_to_2019-10-12_CorePortfolio_6QRank","2016-11-11_to_2019-11-12_CorePortfolio_6QRank","2016-12-12_to_2019-12-12_CorePortfolio_6QRank","2017-01-11_to_2020-01-12_CorePortfolio_6QRank","2017-02-13_to_2020-02-12_CorePortfolio_6QRank","2017-03-13_to_2020-03-12_CorePortfolio_6QRank","2017-04-11_to_2020-04-12_CorePortfolio_6QRank","2017-05-11_to_2020-05-12_CorePortfolio_6QRank","2017-06-12_to_2020-06-12_CorePortfolio_6QRank","2017-07-11_to_2020-07-12_CorePortfolio_6QRank","2017-08-11_to_2020-08-12_CorePortfolio_6QRank","2017-09-11_to_2020-09-12_CorePortfolio_6QRank","2017-10-11_to_2020-10-12_CorePortfolio_6QRank","2017-11-13_to_2020-11-12_CorePortfolio_6QRank","2017-12-11_to_2020-12-12_CorePortfolio_6QRank","2018-01-11_to_2021-01-12_CorePortfolio_6QRank","2018-02-12_to_2021-02-12_CorePortfolio_6QRank","2018-03-12_to_2021-03-12_CorePortfolio_6QRank","2018-04-11_to_2021-04-12_CorePortfolio_6QRank","2018-05-11_to_2021-05-12_CorePortfolio_6QRank","2018-06-11_to_2021-06-12_CorePortfolio_6QRank","2018-07-11_to_2021-07-12_CorePortfolio_6QRank","2018-08-13_to_2021-08-12_CorePortfolio_6QRank","2018-09-11_to_2021-09-12_CorePortfolio_6QRank","2018-10-11_to_2021-10-12_CorePortfolio_6QRank"
"P Information Ratio","1.91","0.7","1.06","1.9","2.84","2.3","2.1","2.03","1.17","1.55","1.44","2.24","0.95","1.92","0.6","1.53","-0.4","-0.18","0.11","-0.23","0.97","0.72","-0.35","-0.76","-0.49","-0.37","-0.52","-0.39","-0.43","-0.77","-0.77","-0.79","0.1","-0.19","-0.05","-0.95","-0.61","-1.1","-0.65","-0.83","0.2","-0.04","0.28","0.92","0.32","-0.61","-0.73","-0.07","-0.34","-0.04","0.15","0.19","-0.89"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.45","0.18","0.29","0.49","0.62","0.49","0.55","0.53","0.29","0.28","0.3","0.62","0.18","0.52","0.27","0.41","-0.07","-0.04","0.07","0.05","0.19","0.24","0.03","-0.04","-0.05","0.02","-0.04","-0.01","0","-0.09","-0.09","-0.11","0.08","0","-0.03","-0.23","-0.11","-0.17","-0.13","-0.25","0.1","0.01","0.09","0.18","0.16","-0.19","-0.09","-0.01","0.01","0.03","0.05","0.07","-0.24"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.01","0.99","0.95","0.99","0.96","1.01","0.96","0.93","0.94","0.97","0.98","1.05","0.98","1.01","0.9","0.97","0.99","0.94","0.89","0.91","0.92","0.92","0.87","0.88","0.88","0.88","0.86","0.91","0.92","0.91","0.91","0.93","0.94","0.96","0.97","0.98","0.97","0.95","0.95","0.91","0.95","0.97","1","1","1","0.91","0.92","0.92","0.91","0.97","1","1.02","0.93"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.4","94.42","92.23","91.85","91.77","92.88","92.57","89.14","92.65","93.69","94.84","89.27","95.56","89.35","93.97","88.66","89.63","90.17","87.94","90.45","95.36","92.64","89.05","91.14","91.61","91.44","91.49","93.17","95.26","92.25","91.75","92.98","94.76","95.34","96.49","95.78","97.36","96.81","96.02","95.16","96.68","95.84","95.05","95.39","94.94","93.2","92.63","91.84","91.09","92.19","93.37","93.27","90.67"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.1395","-14.7003","-15.03","-15.2945","-14.3386","-14.8704","-13.8173","-13.6445","-13.8561","-14.1584","-14.0376","-15.0213","-13.2172","-13.3839","-12.893","-12.2652","-13.4906","-13.6516","-12.2538","-19.1563","-16.0825","-15.6546","-15.3451","-16.0343","-15.9322","-15.0687","-15.2972","-16.282","-16.9924","-17.7552","-17.2326","-17.699","-18.5497","-26.5217","-33.5489","-35.1014","-33.4143","-33.32","-33.4501","-33.0039","-33.2478","-34.0278","-34.2606","-33.464","-34.0862","-33.4707","-33.4615","-33.9949","-33.2172","-33.9204","-33.569","-34.5123","-33.9813"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.8116","-1.3724","-1.7021","-1.9666","-1.0107","-1.5425","-0.4894","-0.316600000000001","-0.5282","-0.830500000000001","-0.7097","-1.6934","0.1107","-0.0560000000000009","-1.0568","-0.429","-1.6544","-2.238","-1.081","0.802999999999997","3.8768","4.3047","4.6142","3.925","4.0271","4.8906","4.6621","3.6773","2.9669","2.2042","2.7267","2.2603","1.4096","-0.4831","-2.0177","-3.5702","-1.8831","-1.7888","-1.9189","-1.4727","-1.7166","-2.4966","-2.7294","-1.9328","-2.555","-1.9395","-1.9303","-2.4637","-1.686","-2.3892","-2.0378","-2.9811","-2.4501"
