"","2013-03-12_to_2014-03-13_ALLPortfolio_1QRank","2013-04-12_to_2014-04-13_ALLPortfolio_1QRank","2013-05-13_to_2014-05-13_ALLPortfolio_1QRank","2013-06-12_to_2014-06-13_ALLPortfolio_1QRank","2013-07-12_to_2014-07-13_ALLPortfolio_1QRank","2013-08-12_to_2014-08-13_ALLPortfolio_1QRank","2013-09-12_to_2014-09-13_ALLPortfolio_1QRank","2013-10-14_to_2014-10-13_ALLPortfolio_1QRank","2013-11-12_to_2014-11-13_ALLPortfolio_1QRank","2013-12-12_to_2014-12-13_ALLPortfolio_1QRank","2014-01-13_to_2015-01-13_ALLPortfolio_1QRank","2014-02-12_to_2015-02-13_ALLPortfolio_1QRank","2014-03-12_to_2015-03-13_ALLPortfolio_1QRank","2014-04-14_to_2015-04-13_ALLPortfolio_1QRank","2014-05-12_to_2015-05-13_ALLPortfolio_1QRank","2014-06-12_to_2015-06-13_ALLPortfolio_1QRank","2014-07-14_to_2015-07-13_ALLPortfolio_1QRank","2014-08-12_to_2015-08-13_ALLPortfolio_1QRank","2014-09-12_to_2015-09-13_ALLPortfolio_1QRank","2014-10-13_to_2015-10-13_ALLPortfolio_1QRank","2014-11-12_to_2015-11-13_ALLPortfolio_1QRank","2014-12-12_to_2015-12-13_ALLPortfolio_1QRank","2015-01-12_to_2016-01-13_ALLPortfolio_1QRank","2015-02-12_to_2016-02-13_ALLPortfolio_1QRank","2015-03-12_to_2016-03-13_ALLPortfolio_1QRank","2015-04-13_to_2016-04-13_ALLPortfolio_1QRank","2015-05-12_to_2016-05-13_ALLPortfolio_1QRank","2015-06-12_to_2016-06-13_ALLPortfolio_1QRank","2015-07-13_to_2016-07-13_ALLPortfolio_1QRank","2015-08-12_to_2016-08-13_ALLPortfolio_1QRank","2015-09-14_to_2016-09-13_ALLPortfolio_1QRank","2015-10-12_to_2016-10-13_ALLPortfolio_1QRank","2015-11-12_to_2016-11-13_ALLPortfolio_1QRank","2015-12-14_to_2016-12-13_ALLPortfolio_1QRank","2016-01-12_to_2017-01-13_ALLPortfolio_1QRank","2016-02-12_to_2017-02-13_ALLPortfolio_1QRank","2016-03-14_to_2017-03-13_ALLPortfolio_1QRank","2016-04-12_to_2017-04-13_ALLPortfolio_1QRank","2016-05-12_to_2017-05-13_ALLPortfolio_1QRank","2016-06-13_to_2017-06-13_ALLPortfolio_1QRank","2016-07-12_to_2017-07-13_ALLPortfolio_1QRank","2016-08-12_to_2017-08-13_ALLPortfolio_1QRank","2016-09-12_to_2017-09-13_ALLPortfolio_1QRank","2016-10-12_to_2017-10-13_ALLPortfolio_1QRank","2016-11-14_to_2017-11-13_ALLPortfolio_1QRank","2016-12-12_to_2017-12-13_ALLPortfolio_1QRank","2017-01-12_to_2018-01-13_ALLPortfolio_1QRank","2017-02-13_to_2018-02-13_ALLPortfolio_1QRank","2017-03-13_to_2018-03-13_ALLPortfolio_1QRank","2017-04-12_to_2018-04-13_ALLPortfolio_1QRank","2017-05-12_to_2018-05-13_ALLPortfolio_1QRank","2017-06-12_to_2018-06-13_ALLPortfolio_1QRank","2017-07-12_to_2018-07-13_ALLPortfolio_1QRank","2017-08-14_to_2018-08-13_ALLPortfolio_1QRank","2017-09-12_to_2018-09-13_ALLPortfolio_1QRank","2017-10-12_to_2018-10-13_ALLPortfolio_1QRank","2017-11-13_to_2018-11-13_ALLPortfolio_1QRank","2017-12-12_to_2018-12-13_ALLPortfolio_1QRank","2018-01-12_to_2019-01-13_ALLPortfolio_1QRank","2018-02-12_to_2019-02-13_ALLPortfolio_1QRank","2018-03-12_to_2019-03-13_ALLPortfolio_1QRank","2018-04-12_to_2019-04-13_ALLPortfolio_1QRank","2018-05-14_to_2019-05-13_ALLPortfolio_1QRank","2018-06-12_to_2019-06-13_ALLPortfolio_1QRank","2018-07-12_to_2019-07-13_ALLPortfolio_1QRank","2018-08-13_to_2019-08-13_ALLPortfolio_1QRank","2018-09-12_to_2019-09-13_ALLPortfolio_1QRank","2018-10-12_to_2019-10-13_ALLPortfolio_1QRank","2018-11-12_to_2019-11-13_ALLPortfolio_1QRank","2018-12-12_to_2019-12-13_ALLPortfolio_1QRank","2019-01-14_to_2020-01-13_ALLPortfolio_1QRank","2019-02-12_to_2020-02-13_ALLPortfolio_1QRank","2019-03-12_to_2020-03-13_ALLPortfolio_1QRank","2019-04-12_to_2020-04-13_ALLPortfolio_1QRank","2019-05-13_to_2020-05-13_ALLPortfolio_1QRank","2019-06-12_to_2020-06-13_ALLPortfolio_1QRank","2019-07-12_to_2020-07-13_ALLPortfolio_1QRank","2019-08-12_to_2020-08-13_ALLPortfolio_1QRank","2019-09-12_to_2020-09-13_ALLPortfolio_1QRank","2019-10-14_to_2020-10-13_ALLPortfolio_1QRank","2019-11-12_to_2020-11-13_ALLPortfolio_1QRank","2019-12-12_to_2020-12-13_ALLPortfolio_1QRank","2020-01-13_to_2021-01-13_ALLPortfolio_1QRank","2020-02-12_to_2021-02-13_ALLPortfolio_1QRank","2020-03-12_to_2021-03-13_ALLPortfolio_1QRank","2020-04-13_to_2021-04-13_ALLPortfolio_1QRank","2020-05-12_to_2021-05-13_ALLPortfolio_1QRank","2020-06-12_to_2021-06-13_ALLPortfolio_1QRank","2020-07-13_to_2021-07-13_ALLPortfolio_1QRank","2020-08-12_to_2021-08-13_ALLPortfolio_1QRank","2020-09-14_to_2021-09-13_ALLPortfolio_1QRank"
"P Information Ratio","2.79","1.66","1.34","1.16","1.08","0.89","0.45","0.31","0.76","0.51","0.5","0.32","0.77","1.21","1.28","1.37","2.43","1.01","1.2","1","0.67","0.87","0.76","0.34","0.72","0.7","0.58","0.49","0.37","0.69","0.31","0.53","1.86","1.79","1.92","3.13","1.04","1.4","2.69","1.81","1.29","1.24","2","2.08","0.63","0.76","0.94","0.7","1.68","0.78","1.22","0.37","1.07","-0.4","-0.34","-0.2","0.17","-0.09","0.17","0.43","0.88","-0.74","0.94","-0.4","0.15","0.29","-0.28","-0.19","-0.47","-0.35","-0.97","-1.21","0.7","0.06","-0.65","-0.18","0.45","0.02","0.53","-0.17","0.7","0.65","1.2","0.7","0.61","0.82","2.34","0.81","0.46","0.57","0.47"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.39","1.78","0.99","0.91","0.67","0.56","0.3","-0.01","0.49","0.19","-0.41","0.02","0.22","0.48","0.51","0.38","0.72","0.41","0.4","0.43","0.53","0.77","0.82","0.41","0.52","0.32","0.43","0.45","0.29","0.88","0.44","0.37","0.15","0.44","0.61","0.44","0.11","0.31","0.23","0.49","0.31","0.37","-0.01","0.13","-0.1","0.09","-0.27","-0.19","0.14","0.25","0.33","0.25","0.21","-0.06","-0.31","-0.13","0.18","0.09","-0.16","0.3","0.2","-0.19","0.04","-0.37","0.08","-0.01","-0.07","-0.27","-0.22","-0.47","-0.18","-0.78","-0.15","-0.2","-0.41","-0.28","0.17","-0.44","0.35","-0.1","0.3","0.63","0.62","-0.24","1.32","1.23","0.98","0.97","0.64","0.64","0.24"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.01","0.9","0.98","0.93","0.79","0.84","0.86","1.08","1.14","1.18","1.39","0.94","1.08","1.05","1.1","1.09","0.95","0.96","1.12","0.99","0.85","0.85","0.91","0.87","0.83","0.85","0.8","0.85","0.88","0.79","0.91","1.03","1.01","1","0.95","0.93","1.15","1.33","1.15","1.06","1","1.13","1.3","1.26","1.3","1.19","1.24","1.16","1.16","1.02","1.06","1.02","1.05","1.02","1.05","1.03","0.89","0.9","0.86","0.94","0.94","1","0.87","0.97","1.05","0.98","0.95","1.04","1.05","1.12","0.96","1.08","0.86","1.12","1.19","1.21","1.24","1.17","1.23","1.06","1.17","1.28","1.18","1.3","1.11","1.09","1.01","0.93","0.93","0.94","1.08"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","71.32","42.78","54.1","44.31","51.22","42.29","55.7","60.99","48.5","58.63","63.69","59.75","68.13","68.84","72.68","77.88","84.87","74.27","85.99","74.85","76.96","77.39","77.7","77.15","76.01","81.78","78.31","78.86","80.04","83.61","92.47","86.81","90.79","88.97","72.86","86.52","84.02","72.57","83.28","67.89","53.71","53.42","65.71","66.61","63.98","51.91","59.9","70.65","82.83","79.1","81.69","89.62","88.43","87.67","86.49","84.97","88.5","86.37","90.36","92.66","94","94.96","92.66","90.04","94.11","91.36","87.24","89.97","92.23","80.62","75.23","78.67","81.18","86.53","91.29","85.69","89.53","88.92","91.82","89.78","90.32","86.36","90.14","91.53","77.47","62.66","55.72","66.36","75.03","52.59","38.65"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-4.1897","-7.6432","-6.7217","-6.1302","-5.2965","-5.2727","-5.4385","-5.3948","-7.5355","-7.5108","-7.1826","-7.7461","-8.2436","-7.7007","-7.9904","-7.7877","-7.255","-7.9367","-11.4931","-11.4096","-12.1675","-11.5417","-12.0801","-15.2988","-14.0495","-13.1859","-13.0015","-14.3507","-15.3471","-13.8841","-14.5792","-15.5936","-14.2207","-13.5184","-6.277","-4.8155","-4.5806","-4.9322","-4.1793","-3.9789","-3.7661","-3.3344","-3.843","-3.1297","-3.4312","-3.6731","-3.1613","-9.5025","-9.9512","-10.083","-10.1424","-10.1529","-10.1057","-10.5373","-10.612","-11.0585","-10.1223","-11.1047","-17.8647","-18.2519","-17.2105","-19.7147","-17.6208","-19.0346","-19.4991","-18.0164","-17.9197","-15.2407","-13.9447","-10.5711","-7.2331","-7.9724","-27.3542","-31.7305","-32.8644","-34.3721","-33.4845","-32.0429","-32.5734","-30.7452","-32.364","-34.318","-32.2888","-32.7262","-15.6019","-9.0078","-8.8832","-8.1757","-8.0544","-7.5356","-6.8288"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1204","-5.1205","-5.1205","-5.1204","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-10.5021","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
