"","2013-09-11_to_2014-09-12_ALLPortfolio_3QRank","2013-10-11_to_2014-10-12_ALLPortfolio_3QRank","2013-11-11_to_2014-11-12_ALLPortfolio_3QRank","2013-12-11_to_2014-12-12_ALLPortfolio_3QRank","2014-01-13_to_2015-01-12_ALLPortfolio_3QRank","2014-02-11_to_2015-02-12_ALLPortfolio_3QRank","2014-03-11_to_2015-03-12_ALLPortfolio_3QRank","2014-04-11_to_2015-04-12_ALLPortfolio_3QRank","2014-05-12_to_2015-05-12_ALLPortfolio_3QRank","2014-06-11_to_2015-06-12_ALLPortfolio_3QRank","2014-07-11_to_2015-07-12_ALLPortfolio_3QRank","2014-08-11_to_2015-08-12_ALLPortfolio_3QRank","2014-09-11_to_2015-09-12_ALLPortfolio_3QRank","2014-10-13_to_2015-10-12_ALLPortfolio_3QRank","2014-11-11_to_2015-11-12_ALLPortfolio_3QRank","2014-12-11_to_2015-12-12_ALLPortfolio_3QRank","2015-01-12_to_2016-01-12_ALLPortfolio_3QRank","2015-02-11_to_2016-02-12_ALLPortfolio_3QRank","2015-03-11_to_2016-03-12_ALLPortfolio_3QRank","2015-04-13_to_2016-04-12_ALLPortfolio_3QRank","2015-05-11_to_2016-05-12_ALLPortfolio_3QRank","2015-06-11_to_2016-06-12_ALLPortfolio_3QRank","2015-07-13_to_2016-07-12_ALLPortfolio_3QRank","2015-08-11_to_2016-08-12_ALLPortfolio_3QRank","2015-09-11_to_2016-09-12_ALLPortfolio_3QRank","2015-10-12_to_2016-10-12_ALLPortfolio_3QRank","2015-11-11_to_2016-11-12_ALLPortfolio_3QRank","2015-12-11_to_2016-12-12_ALLPortfolio_3QRank","2016-01-11_to_2017-01-12_ALLPortfolio_3QRank","2016-02-11_to_2017-02-12_ALLPortfolio_3QRank","2016-03-11_to_2017-03-12_ALLPortfolio_3QRank","2016-04-11_to_2017-04-12_ALLPortfolio_3QRank","2016-05-11_to_2017-05-12_ALLPortfolio_3QRank","2016-06-13_to_2017-06-12_ALLPortfolio_3QRank","2016-07-11_to_2017-07-12_ALLPortfolio_3QRank","2016-08-11_to_2017-08-12_ALLPortfolio_3QRank","2016-09-12_to_2017-09-12_ALLPortfolio_3QRank","2016-10-11_to_2017-10-12_ALLPortfolio_3QRank","2016-11-11_to_2017-11-12_ALLPortfolio_3QRank","2016-12-12_to_2017-12-12_ALLPortfolio_3QRank","2017-01-11_to_2018-01-12_ALLPortfolio_3QRank","2017-02-13_to_2018-02-12_ALLPortfolio_3QRank","2017-03-13_to_2018-03-12_ALLPortfolio_3QRank","2017-04-11_to_2018-04-12_ALLPortfolio_3QRank","2017-05-11_to_2018-05-12_ALLPortfolio_3QRank","2017-06-12_to_2018-06-12_ALLPortfolio_3QRank","2017-07-11_to_2018-07-12_ALLPortfolio_3QRank","2017-08-11_to_2018-08-12_ALLPortfolio_3QRank","2017-09-11_to_2018-09-12_ALLPortfolio_3QRank","2017-10-11_to_2018-10-12_ALLPortfolio_3QRank","2017-11-13_to_2018-11-12_ALLPortfolio_3QRank","2017-12-11_to_2018-12-12_ALLPortfolio_3QRank","2018-01-11_to_2019-01-12_ALLPortfolio_3QRank","2018-02-12_to_2019-02-12_ALLPortfolio_3QRank","2018-03-12_to_2019-03-12_ALLPortfolio_3QRank","2018-04-11_to_2019-04-12_ALLPortfolio_3QRank","2018-05-11_to_2019-05-12_ALLPortfolio_3QRank","2018-06-11_to_2019-06-12_ALLPortfolio_3QRank","2018-07-11_to_2019-07-12_ALLPortfolio_3QRank","2018-08-13_to_2019-08-12_ALLPortfolio_3QRank","2018-09-11_to_2019-09-12_ALLPortfolio_3QRank","2018-10-11_to_2019-10-12_ALLPortfolio_3QRank","2018-11-12_to_2019-11-12_ALLPortfolio_3QRank","2018-12-11_to_2019-12-12_ALLPortfolio_3QRank","2019-01-11_to_2020-01-12_ALLPortfolio_3QRank","2019-02-11_to_2020-02-12_ALLPortfolio_3QRank","2019-03-11_to_2020-03-12_ALLPortfolio_3QRank","2019-04-11_to_2020-04-12_ALLPortfolio_3QRank","2019-05-13_to_2020-05-12_ALLPortfolio_3QRank","2019-06-11_to_2020-06-12_ALLPortfolio_3QRank","2019-07-11_to_2020-07-12_ALLPortfolio_3QRank","2019-08-12_to_2020-08-12_ALLPortfolio_3QRank","2019-09-11_to_2020-09-12_ALLPortfolio_3QRank","2019-10-11_to_2020-10-12_ALLPortfolio_3QRank","2019-11-11_to_2020-11-12_ALLPortfolio_3QRank","2019-12-11_to_2020-12-12_ALLPortfolio_3QRank","2020-01-13_to_2021-01-12_ALLPortfolio_3QRank","2020-02-11_to_2021-02-12_ALLPortfolio_3QRank","2020-03-11_to_2021-03-12_ALLPortfolio_3QRank","2020-04-13_to_2021-04-12_ALLPortfolio_3QRank","2020-05-11_to_2021-05-12_ALLPortfolio_3QRank","2020-06-11_to_2021-06-12_ALLPortfolio_3QRank","2020-07-13_to_2021-07-12_ALLPortfolio_3QRank","2020-08-11_to_2021-08-12_ALLPortfolio_3QRank","2020-09-11_to_2021-09-12_ALLPortfolio_3QRank"
"P Information Ratio","0.28","0.34","0.5","0.71","0.13","0.55","0.52","1.55","1.92","1.88","2.82","1.47","1.32","1.41","0.86","1.09","1.32","0.28","0.15","0.32","0.35","0.14","0.42","0.51","0.22","1.68","2.43","2.08","2.85","3.39","1.54","1.23","2.12","2.24","1.77","1.52","2.45","1.68","0.7","0.62","0.88","1.44","1.19","1.12","0.86","1.09","0.43","-0.51","-0.33","0.39","0.04","0.29","0.53","0.82","-0.13","-0.21","0.31","-0.13","-0.13","0.39","0.05","-0.53","-0.13","-0.77","-1.24","-1.52","-1.96","-0.15","-0.64","0.19","-0.38","0.55","0.3","1.16","-0.88","-0.52","0.82","0.23","2.8","0.93","1.85","1.29","1.13","0.95","0.84"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.26","-0.02","0.28","0.32","-0.53","0.23","0.2","0.54","0.71","0.47","0.95","0.64","0.43","0.63","0.55","0.92","0.78","0.31","0.25","0.18","0.23","0.03","0.36","0.84","0.59","0.74","0.36","0.43","0.44","0.63","0.17","0.21","0.17","0.48","0.29","0.37","0.15","0.55","-0.07","0.22","-0.1","-0.19","-0.05","0.31","0.21","0.41","-0.03","-0.03","-0.08","0.05","0.19","0.17","0.07","0.26","0.01","0.15","-0.15","-0.21","0.08","0.2","0.09","-0.5","-0.15","-0.56","-0.38","-0.69","-0.15","-0.29","-0.27","0.13","-0.15","0.29","0.16","0.45","-0.64","-0.36","0.46","-0.49","0.92","1.17","0.8","1.33","1.29","0.9","0.57"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.83","1.08","1.15","1.02","1.36","0.75","0.99","1.15","1.01","1.01","0.83","0.79","1.08","0.97","0.86","0.9","0.9","0.86","0.87","0.81","0.85","0.78","0.77","0.7","0.8","0.86","0.87","0.92","0.94","1.01","1.28","1.28","1.3","1.14","1.12","1.25","1.25","0.96","1.25","1.01","1.11","1.22","1.12","0.96","0.98","0.99","1","0.93","0.95","0.95","0.94","0.9","0.92","0.9","0.93","0.94","0.92","0.94","1.04","0.99","1.02","1.08","1.07","1.05","1.01","0.98","0.88","1.04","1.11","1.16","1.06","1.21","1.22","1.13","1.07","1.13","1.24","1.26","1.09","1.13","1.07","0.94","0.93","1.02","1.08"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","55.89","59.23","55.82","52.8","59.94","43.51","70.31","76.91","78.04","79.92","77.79","65.18","81.96","72.49","77.66","77.26","77.92","80.98","79.64","79.21","81.43","77.82","76.86","85.04","92.13","92.11","90.93","92.56","78.61","71.41","78.3","70.56","75.64","73.56","64.56","59","66.82","49.83","66.82","57.35","62.63","69.27","81.2","79.28","86.65","87.92","89.13","87.19","87.2","83.21","90.8","89.43","92.84","95.1","92.88","95.63","92.04","93.09","93.56","91.44","89.73","90.13","90.16","79.64","73.83","74.21","82.43","86.44","90.56","87.45","86.91","87.99","90.96","92.13","89.55","87.37","91.41","89.42","74.44","64.21","61.4","58.21","56.48","48.33","35.89"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.128","-5.342","-7.195","-7.2101","-6.9757","-7.2115","-7.3711","-8.1729","-7.5776","-7.6774","-7.0429","-7.6118","-11.6968","-11.4829","-11.6877","-11.7828","-12.014","-13.3852","-13.6728","-13.2941","-14.003","-14.1347","-12.5325","-12.5186","-13.3825","-13.2959","-12.7188","-12.7061","-6.8817","-5.145","-4.6466","-5.1679","-5.3325","-4.0226","-3.9168","-3.8958","-2.9368","-2.6152","-3.0644","-2.8219","-2.8076","-8.9796","-8.9517","-9.1342","-9.8222","-9.567","-10.1303","-9.8522","-10.0797","-9.6475","-10.2317","-10.3021","-17.9738","-17.7394","-17.7531","-17.9569","-18.477","-18.8743","-19.8454","-18.352","-19.5321","-16.2646","-14.0644","-10.7148","-7.4321","-7.4696","-27.2965","-30.7874","-31.3426","-32.3509","-29.4467","-32.7649","-32.485","-30.96","-31.5821","-32.0216","-33.1093","-32.8329","-15.069","-8.7767","-8.632","-8.7661","-9.0283","-8.3365","-6.7368"
"B Max Drawdown","-6.2539","-6.2539","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1205","-5.1204","-5.1205","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
"MD DIFF(P-B)","1.1259","0.9119","0.2519","0.236800000000001","0.471200000000001","0.2354","0.0758000000000001","-0.726","-0.1307","-0.230499999999999","0.404","-0.164899999999999","1.6311","1.845","1.6402","1.5451","1.3139","-0.0572999999999997","-0.344900000000001","0.0337999999999994","-0.6751","-0.806800000000001","0.795399999999999","-0.682399999999999","-1.5463","-1.4597","-1.3052","-2.1799","-1.7613","-0.0245999999999995","0.4739","-0.0475000000000003","-0.212","0.8242","0.438","0.459","0.8599","0.325","-0.1611","0.0814000000000004","0.0957000000000003","0.7615","0.789399999999999","1.4469","0.758899999999999","1.0141","0.450799999999999","0.728899999999999","0.501399999999999","0.933599999999998","0.349399999999999","0.279","1.9855","2.2199","2.2062","2.0024","1.4823","1.085","0.113899999999997","1.6073","0.427199999999999","0.476999999999997","1.7482","0.7836","0.237","0.1995","-8.7684","0.743799999999997","0.188599999999997","-0.819700000000005","2.0845","-1.2337","-0.953800000000001","0.571199999999997","-0.0509000000000022","-0.490400000000001","-1.5781","-1.3017","0.981499999999999","1.7254","1.8701","1.736","1.4737","2.1656","1.0743"
