"","2017-12-12_to_2019-12-13_GrowthPortfolio_20QRank","2018-01-12_to_2020-01-13_GrowthPortfolio_20QRank","2018-02-12_to_2020-02-13_GrowthPortfolio_20QRank","2018-03-12_to_2020-03-13_GrowthPortfolio_20QRank","2018-04-12_to_2020-04-13_GrowthPortfolio_20QRank","2018-05-14_to_2020-05-13_GrowthPortfolio_20QRank","2018-06-12_to_2020-06-13_GrowthPortfolio_20QRank","2018-07-12_to_2020-07-13_GrowthPortfolio_20QRank","2018-08-13_to_2020-08-13_GrowthPortfolio_20QRank","2018-09-12_to_2020-09-13_GrowthPortfolio_20QRank","2018-10-12_to_2020-10-13_GrowthPortfolio_20QRank","2018-11-12_to_2020-11-13_GrowthPortfolio_20QRank","2018-12-12_to_2020-12-13_GrowthPortfolio_20QRank","2019-01-14_to_2021-01-13_GrowthPortfolio_20QRank","2019-02-12_to_2021-02-13_GrowthPortfolio_20QRank","2019-03-12_to_2021-03-13_GrowthPortfolio_20QRank","2019-04-12_to_2021-04-13_GrowthPortfolio_20QRank","2019-05-13_to_2021-05-13_GrowthPortfolio_20QRank","2019-06-12_to_2021-06-13_GrowthPortfolio_20QRank","2019-07-12_to_2021-07-13_GrowthPortfolio_20QRank","2019-08-12_to_2021-08-13_GrowthPortfolio_20QRank","2019-09-12_to_2021-09-13_GrowthPortfolio_20QRank"
"P Alpha Stat","0.5","0.25","0.33","0.58","0.67","0.48","0.6","1.17","1.12","0.85","1.13","1.58","1.44","1.51","0.89","0.71","0.61","0.68","0.67","0.96","0.64","0.98"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.14","1.05","1.06","0.99","1.03","1.08","1.08","1.09","1.1","1.07","0.99","1.17","1.12","1.19","0.97","0.96","0.97","0.91","0.91","0.91","0.95","0.91"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","84.47","88.21","86.15","85.17","87.08","90.6","89.24","90.57","91.28","92.47","93.42","86.58","86.73","86.09","89.18","90.6","89.42","87.57","88.39","86.73","86.81","90.41"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.1852","-23.0017","-22.6169","-27.695","-32.9478","-33.2542","-33.3156","-33.5567","-32.9447","-30.9894","-29.7794","-31.6961","-31.3751","-32.5744","-30.507","-30.2376","-30.4181","-30.3493","-30","-29.682","-30.7288","-30.1941"
"B Max Drawdown","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-3.2259","-3.0424","-2.6576","-1.6564","-1.4166","-1.723","-1.78440000000001","-2.0255","-1.4135","0.541799999999999","1.7518","-0.164900000000003","0.156099999999999","-1.0432","1.0242","1.2936","1.1131","1.1819","1.5312","1.8492","0.802399999999999","1.3371"
