"","2014-06-11_to_2017-06-12_VGPortfolio_6QRank","2014-07-11_to_2017-07-12_VGPortfolio_6QRank","2014-08-11_to_2017-08-12_VGPortfolio_6QRank","2014-09-11_to_2017-09-12_VGPortfolio_6QRank","2014-10-13_to_2017-10-12_VGPortfolio_6QRank","2014-11-11_to_2017-11-12_VGPortfolio_6QRank","2014-12-11_to_2017-12-12_VGPortfolio_6QRank","2015-01-12_to_2018-01-12_VGPortfolio_6QRank","2015-02-11_to_2018-02-12_VGPortfolio_6QRank","2015-03-11_to_2018-03-12_VGPortfolio_6QRank","2015-04-13_to_2018-04-12_VGPortfolio_6QRank","2015-05-11_to_2018-05-12_VGPortfolio_6QRank","2015-06-11_to_2018-06-12_VGPortfolio_6QRank","2015-07-13_to_2018-07-12_VGPortfolio_6QRank","2015-08-11_to_2018-08-12_VGPortfolio_6QRank","2015-09-11_to_2018-09-12_VGPortfolio_6QRank","2015-10-12_to_2018-10-12_VGPortfolio_6QRank","2015-11-11_to_2018-11-12_VGPortfolio_6QRank","2015-12-11_to_2018-12-12_VGPortfolio_6QRank","2016-01-11_to_2019-01-12_VGPortfolio_6QRank","2016-02-11_to_2019-02-12_VGPortfolio_6QRank","2016-03-11_to_2019-03-12_VGPortfolio_6QRank","2016-04-11_to_2019-04-12_VGPortfolio_6QRank","2016-05-11_to_2019-05-12_VGPortfolio_6QRank","2016-06-13_to_2019-06-12_VGPortfolio_6QRank","2016-07-11_to_2019-07-12_VGPortfolio_6QRank","2016-08-11_to_2019-08-12_VGPortfolio_6QRank","2016-09-12_to_2019-09-12_VGPortfolio_6QRank","2016-10-11_to_2019-10-12_VGPortfolio_6QRank","2016-11-11_to_2019-11-12_VGPortfolio_6QRank","2016-12-12_to_2019-12-12_VGPortfolio_6QRank","2017-01-11_to_2020-01-12_VGPortfolio_6QRank","2017-02-13_to_2020-02-12_VGPortfolio_6QRank","2017-03-13_to_2020-03-12_VGPortfolio_6QRank","2017-04-11_to_2020-04-12_VGPortfolio_6QRank","2017-05-11_to_2020-05-12_VGPortfolio_6QRank","2017-06-12_to_2020-06-12_VGPortfolio_6QRank","2017-07-11_to_2020-07-12_VGPortfolio_6QRank","2017-08-11_to_2020-08-12_VGPortfolio_6QRank","2017-09-11_to_2020-09-12_VGPortfolio_6QRank","2017-10-11_to_2020-10-12_VGPortfolio_6QRank","2017-11-13_to_2020-11-12_VGPortfolio_6QRank","2017-12-11_to_2020-12-12_VGPortfolio_6QRank","2018-01-11_to_2021-01-12_VGPortfolio_6QRank","2018-02-12_to_2021-02-12_VGPortfolio_6QRank","2018-03-12_to_2021-03-12_VGPortfolio_6QRank","2018-04-11_to_2021-04-12_VGPortfolio_6QRank","2018-05-11_to_2021-05-12_VGPortfolio_6QRank","2018-06-11_to_2021-06-12_VGPortfolio_6QRank","2018-07-11_to_2021-07-12_VGPortfolio_6QRank","2018-08-13_to_2021-08-12_VGPortfolio_6QRank","2018-09-11_to_2021-09-12_VGPortfolio_6QRank","2018-10-11_to_2021-10-12_VGPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","10.989","16.803","15.723","11.541","12.528","11.793","12.26","14.541","16.913","17.234","15.084","7.327","17.42","9.999","15.775","14.283","18.72","15.939","15.296","17.169","21.038","15.113","19.184","19.407","16.985","17.751","14.77","16.279","15.479","16.95","16.983","16.882","14.265","3.987","7.523","10.801","9.882","14.447","13.995","14.672","11.09","11.071","11.72","9.733","14.405","18.025","22.153","17.601","19.425","18.428","17.524","17.489","28.705"
"B Annualized Returns","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","3.479","9.555","7.791","4.031","2.322","3.789","2.862","3.245","8.052","6.206","6.509","-1.72","7.799","-0.0960000000000001","4.761","0.115","7.312","6.62","6.66","6.946","7.852","3.919","6.979","7.724","5.595","5.657","5.224","4.597","3.973","4.09","4.652","3.632","0.335000000000001","1.845","0.616","3.058","0.717000000000001","2.937","1.028","2.526","-2.085","-1.482","-0.859999999999999","-2.417","-0.899000000000001","4.709","4.706","2.292","3.007","0.349","-0.297000000000001","-0.228999999999999","8.309"
"P Volatility","9.47","10.01","10.59","9.4","9.9","9.23","9.86","10.47","11.46","11.04","11.13","9.78","11.33","10.26","11.02","9.85","10.13","11.73","12.31","13.18","14.34","13.76","14.12","13.65","14.73","15.36","15.33","14.46","13.94","13.31","13.21","12.75","12.4","13.27","15.38","16.38","16.86","17.25","17.51","19.79","18.3","17.97","18.98","18.31","18.18","20.33","20.7","20.31","20.38","18.99","18.23","18.56","21.43"
"B Volatility","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-1.55","-0.98","-0.300000000000001","-1.45","-0.949999999999999","-1.62","-1.05","0.0800000000000001","1.05","0.43","0.200000000000001","-1.15","0.470000000000001","-0.550000000000001","0.85","-0.110000000000001","1.68","2.23","2.92","2.6","3.21","3.03","3.37","2.72","2.86","3.09","3.08","2.11","1.67","1.04","0.870000000000001","0.35","0.130000000000001","-0.18","0.450000000000001","-0.190000000000001","0.199999999999999","0.57","0.620000000000001","2.28","0.449999999999999","-0.0300000000000011","0.199999999999999","-0.330000000000002","-0.25","2.14","2.45","1.91","1.97","0.609999999999999","-0.109999999999999","0.189999999999998","3.46"
"P Tracking Error","4.3","4.94","5.16","4.08","3.79","4.19","3.97","3.47","4.72","4.46","4.15","3.58","5.04","2.99","4.27","3.29","4.42","4.47","4.83","5.18","5.48","5.39","5.79","5.16","5.04","5.47","5.49","4.71","4.27","3.71","3.76","3.31","2.78","3","2.95","3.24","3.37","3.08","3.38","4.63","4.26","3.31","3.1","2.65","3.12","5.28","5.9","5.61","5.12","2.96","3.53","4.21","6.64"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
