"","2013-09-11_to_2015-09-12_GrowthPortfolio_3QRank","2013-10-11_to_2015-10-12_GrowthPortfolio_3QRank","2013-11-11_to_2015-11-12_GrowthPortfolio_3QRank","2013-12-11_to_2015-12-12_GrowthPortfolio_3QRank","2014-01-13_to_2016-01-12_GrowthPortfolio_3QRank","2014-02-11_to_2016-02-12_GrowthPortfolio_3QRank","2014-03-11_to_2016-03-12_GrowthPortfolio_3QRank","2014-04-11_to_2016-04-12_GrowthPortfolio_3QRank","2014-05-12_to_2016-05-12_GrowthPortfolio_3QRank","2014-06-11_to_2016-06-12_GrowthPortfolio_3QRank","2014-07-11_to_2016-07-12_GrowthPortfolio_3QRank","2014-08-11_to_2016-08-12_GrowthPortfolio_3QRank","2014-09-11_to_2016-09-12_GrowthPortfolio_3QRank","2014-10-13_to_2016-10-12_GrowthPortfolio_3QRank","2014-11-11_to_2016-11-12_GrowthPortfolio_3QRank","2014-12-11_to_2016-12-12_GrowthPortfolio_3QRank","2015-01-12_to_2017-01-12_GrowthPortfolio_3QRank","2015-02-11_to_2017-02-12_GrowthPortfolio_3QRank","2015-03-11_to_2017-03-12_GrowthPortfolio_3QRank","2015-04-13_to_2017-04-12_GrowthPortfolio_3QRank","2015-05-11_to_2017-05-12_GrowthPortfolio_3QRank","2015-06-11_to_2017-06-12_GrowthPortfolio_3QRank","2015-07-13_to_2017-07-12_GrowthPortfolio_3QRank","2015-08-11_to_2017-08-12_GrowthPortfolio_3QRank","2015-09-11_to_2017-09-12_GrowthPortfolio_3QRank","2015-10-12_to_2017-10-12_GrowthPortfolio_3QRank","2015-11-11_to_2017-11-12_GrowthPortfolio_3QRank","2015-12-11_to_2017-12-12_GrowthPortfolio_3QRank","2016-01-11_to_2018-01-12_GrowthPortfolio_3QRank","2016-02-11_to_2018-02-12_GrowthPortfolio_3QRank","2016-03-11_to_2018-03-12_GrowthPortfolio_3QRank","2016-04-11_to_2018-04-12_GrowthPortfolio_3QRank","2016-05-11_to_2018-05-12_GrowthPortfolio_3QRank","2016-06-13_to_2018-06-12_GrowthPortfolio_3QRank","2016-07-11_to_2018-07-12_GrowthPortfolio_3QRank","2016-08-11_to_2018-08-12_GrowthPortfolio_3QRank","2016-09-12_to_2018-09-12_GrowthPortfolio_3QRank","2016-10-11_to_2018-10-12_GrowthPortfolio_3QRank","2016-11-11_to_2018-11-12_GrowthPortfolio_3QRank","2016-12-12_to_2018-12-12_GrowthPortfolio_3QRank","2017-01-11_to_2019-01-12_GrowthPortfolio_3QRank","2017-02-13_to_2019-02-12_GrowthPortfolio_3QRank","2017-03-13_to_2019-03-12_GrowthPortfolio_3QRank","2017-04-11_to_2019-04-12_GrowthPortfolio_3QRank","2017-05-11_to_2019-05-12_GrowthPortfolio_3QRank","2017-06-12_to_2019-06-12_GrowthPortfolio_3QRank","2017-07-11_to_2019-07-12_GrowthPortfolio_3QRank","2017-08-11_to_2019-08-12_GrowthPortfolio_3QRank","2017-09-11_to_2019-09-12_GrowthPortfolio_3QRank","2017-10-11_to_2019-10-12_GrowthPortfolio_3QRank","2017-11-13_to_2019-11-12_GrowthPortfolio_3QRank","2017-12-11_to_2019-12-12_GrowthPortfolio_3QRank","2018-01-11_to_2020-01-12_GrowthPortfolio_3QRank","2018-02-12_to_2020-02-12_GrowthPortfolio_3QRank","2018-03-12_to_2020-03-12_GrowthPortfolio_3QRank","2018-04-11_to_2020-04-12_GrowthPortfolio_3QRank","2018-05-11_to_2020-05-12_GrowthPortfolio_3QRank","2018-06-11_to_2020-06-12_GrowthPortfolio_3QRank","2018-07-11_to_2020-07-12_GrowthPortfolio_3QRank","2018-08-13_to_2020-08-12_GrowthPortfolio_3QRank","2018-09-11_to_2020-09-12_GrowthPortfolio_3QRank","2018-10-11_to_2020-10-12_GrowthPortfolio_3QRank","2018-11-12_to_2020-11-12_GrowthPortfolio_3QRank","2018-12-11_to_2020-12-12_GrowthPortfolio_3QRank","2019-01-11_to_2021-01-12_GrowthPortfolio_3QRank","2019-02-11_to_2021-02-12_GrowthPortfolio_3QRank","2019-03-11_to_2021-03-12_GrowthPortfolio_3QRank","2019-04-11_to_2021-04-12_GrowthPortfolio_3QRank","2019-05-13_to_2021-05-12_GrowthPortfolio_3QRank","2019-06-11_to_2021-06-12_GrowthPortfolio_3QRank","2019-07-11_to_2021-07-12_GrowthPortfolio_3QRank","2019-08-12_to_2021-08-12_GrowthPortfolio_3QRank","2019-09-11_to_2021-09-12_GrowthPortfolio_3QRank"
"P Information Ratio","1.27","1.59","1.56","1.64","1.13","0.52","0.64","1.5","1.4","0.86","0.91","0.67","1.13","0.77","0.3","0.36","0.62","1.27","-0.07","-0.13","0.69","0.49","0.58","0.8","2.39","2.28","1.99","1.55","1.6","1.7","1.47","1.9","1.74","1.04","0.3","0.08","1.22","1.32","1.24","-0.07","0.47","0.6","0.31","0.65","0.94","0.49","0.51","0.9","0.82","0.88","0.95","0.75","1.1","0.96","0.01","0.73","0.62","0.54","1.14","1.15","1.63","1.29","0.54","0.3","2.18","-0.83","-0.17","0.05","-0.56","-0.55","-0.25","-0.07","-0.02"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.8","1.19","1.11","1.3","0.9","0.5","0.8","0.96","0.78","0.57","0.53","0.33","0.72","0.43","0.11","0.31","0.24","0.55","-0.01","0.21","0.25","0.29","0.26","0.56","1.54","1.27","1.15","0.94","1.14","0.83","0.5","1.16","0.67","0.62","0.24","0.15","0.25","0.67","0.31","-0.15","-0.04","0.24","0.19","0.23","0.35","0.14","0.08","0.4","0.72","0.43","0.6","0.5","0.33","0.15","0.08","0.29","0.14","0.32","0.67","0.48","0.8","0.63","0.37","0.38","1.16","-0.1","0.42","0.48","-0.11","0.16","0.18","0.19","0.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.84","0.82","0.81","0.77","0.78","0.91","0.95","0.97","0.9","0.89","0.82","0.84","0.99","0.74","0.8","0.88","0.91","0.94","0.92","0.83","0.89","0.82","0.8","0.77","0.84","0.95","1.09","1.01","0.82","1.09","1.1","0.98","1.07","0.9","0.99","0.97","1.08","0.98","1.21","1.25","1.26","1.21","1.25","1.2","1.21","1.2","1.13","1.07","0.98","0.98","1.04","1.04","1.03","1.08","1.09","1.01","1.05","1.09","1.06","0.94","0.98","0.83","0.84","0.89","1.03","0.77","0.61","0.73","0.89","0.79","0.87","0.91","0.99"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","52.34","46.78","53.63","49.11","48.45","51.2","62.4","70.18","70.63","73.62","69.06","68.57","77.12","72.61","77.4","82.67","84.46","78.12","79.45","81.56","82.51","83.55","78.46","70.93","51.83","46.3","48.73","46.12","24.04","38.97","54.01","48.87","61.24","51.48","49.5","59.36","75.83","66.25","81.59","85.5","89.33","81.9","79.89","76.19","82.23","86.44","86.58","81.82","79.01","78.99","80.43","80.67","87.5","90.61","87.96","90.22","92.26","91.01","91.18","90.74","90.46","93.32","91.82","77.8","83.42","84.86","76.03","86.36","88.28","86.5","89.19","91.3","91.76"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.9053","-12.4885","-13.2382","-13.1652","-13.8343","-18.3263","-18.6631","-17.9237","-16.4554","-17.2693","-15.9377","-17.5148","-17.1173","-12.5659","-14.3753","-12.4988","-13.543","-15.1392","-13.5734","-13.0327","-16.703","-15.6976","-16.3845","-14.7862","-18.0299","-17.2239","-17.406","-15.7873","-9.7776","-9.4707","-8.8741","-8.9224","-10.4713","-9.2248","-9.3238","-11.0365","-11.3354","-10.2516","-15.2036","-17.651","-26.5575","-26.3155","-26.3998","-26.6138","-25.5724","-24.5943","-22.3848","-21.2497","-20.0783","-20.2956","-21.7257","-21.2693","-23.6123","-23.7718","-28.0866","-29.7417","-30.9847","-31.2724","-30.7032","-29.3312","-28.827","-28.6719","-28.9891","-31.7613","-29.5149","-31.7163","-26.9434","-28.2632","-32.3891","-31.259","-29.9349","-32.251","-32.9904"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.577400000000001","0.839399999999999","0.0896999999999988","0.162699999999999","-0.506400000000001","-4.9984","-5.3352","-4.5958","-3.1275","-3.9414","-2.6098","-4.1869","-3.7894","0.762","-1.0474","0.8291","-0.2151","-1.8113","-0.2455","0.295199999999999","-3.3751","-2.3697","-3.0566","-2.95","-6.1937","-5.3877","-5.9924","-5.2611","-4.6572","0.867699999999999","1.4643","2.2504","0.701500000000001","1.948","1.849","0.1363","-0.162599999999999","0.921200000000001","-4.0308","-6.4782","-6.5982","-6.3562","-6.4405","-6.6545","-5.6131","-4.635","-2.4255","-1.2904","-0.119","-0.336300000000001","-1.7664","-1.31","-3.653","-3.8125","-2.048","1.7895","0.546499999999998","0.258799999999997","0.827999999999999","2.2","2.7042","2.8593","2.5421","-0.2301","2.0163","-0.185100000000002","4.5878","3.268","-0.857900000000001","0.272199999999998","1.5963","-0.719799999999999","-1.4592"
