"","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.893","23.874","44.237","18.006","12.868","9.925","19.317","18.51","12.543","12.571","20.908","11.708","9.445","18.48","13.571","14.697","11.11","13.891","16.253","11.826","12.328","12.714","3.325","4.025","-3.019","-7.125","2.521","1.732","-1.688","0.889","-6.101","3.537","-2.411","-1.151","0.493","7.83","11.482","14.809","7.879","-18.197","-9.533","-12.012","1.921","-13.533","-9.6","-15.694","-4.513","-10.214","-6.287","-1.703","5.514","89.867","67.067","81.457","61.48","66.273","47.392","54.017"
"B Annualized Returns","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","8.676","4.812","21.408","0.277999999999999","-0.494","-5.452","2.817","5.368","0.747999999999999","-2.785","2.435","-7.303","-9.008","-4.363","-0.987","-1.799","-1.701","0.375999999999999","1.967","-2.926","-3.773","-3.278","-6.33","-2.196","-2.642","-0.887","-0.0270000000000001","1.298","-11.109","-5.376","-9.919","-4.369","-4.161","-5.258","-7.864","-5.955","-8.632","-12.484","-18.003","-8.652","-9.377","-18.397","-7.316","-25.235","-30.332","-32.056","-29.158","-28.183","-25.161","-19.155","-13.643","30.816","18.317","42.258","21.329","28.881","16.326","19.084"
"P Volatility","10.58","10.5","13.74","8.33","9.32","9.1","12.53","12.89","11.09","11.79","11.17","5.52","5.62","5.45","6.21","10.18","12.15","11.24","10.91","12.11","12.36","11.19","11.66","12.94","13.17","13.97","14.63","13.76","15.36","16.94","19.51","17.99","20.23","20.74","21.03","21.18","17.15","10.89","12","16.92","20.41","22.02","25.67","20.85","21.86","21.29","20.79","21.5","31.55","32","28.41","20.85","19.01","21.81","19.23","19.75","23.73","24.4"
"B Volatility","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","0.609999999999999","2.53","6.2","2.16","3.09","2.86","6.4","7.37","5.64","6.48","6.91","1.37","1.36","1.19","0.64","2.2","2.6","1.67","1.22","2.47","2.22","0.74","1.23","-0.0999999999999996","0.119999999999999","-0.83","-1.83","-2.31","-0.800000000000001","0.440000000000001","1.06","-1.35","1.18","1.55","3.44","3.5","3.69","-1.46","-0.4","0.740000000000002","1.27","-0.199999999999999","4.16","-0.739999999999998","0.0500000000000007","-1.83","-3.45","-3.12","5.19","5.59","4.52","1.92","3.14","5.72","2.88","3.68","9.4","12.32"
"P Tracking Error","7.72","5.95","9.71","5.29","5.54","5.34","10","11.47","9.62","10.07","9.2","3.57","3.56","4.09","3.76","4.44","5.67","5.33","5.15","6.43","7.08","5.09","5.6","5.64","5.68","6.32","5.47","4.91","5.88","5.6","6.61","5.97","7.4","8.27","7.95","7.24","8.04","5.63","6.97","4.55","6.09","9.16","8.31","9.5","9.75","8.52","8.17","9.35","14.31","13.81","12.21","15.77","15.68","17.87","16.26","16.92","17.9","20.02"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
