"","1 Y 2013-06-11 to 2015-06-12","1 Y 2013-07-11 to 2015-07-12","1 Y 2013-08-12 to 2015-08-12","1 Y 2013-09-11 to 2015-09-12","1 Y 2013-10-11 to 2015-10-12","1 Y 2013-11-11 to 2015-11-12","1 Y 2013-12-11 to 2015-12-12","1 Y 2014-01-13 to 2016-01-12","1 Y 2014-02-11 to 2016-02-12","1 Y 2014-03-11 to 2016-03-12","1 Y 2014-04-11 to 2016-04-12","1 Y 2014-05-12 to 2016-05-12","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2013-06-11 to 2015-06-12","2 Y 2013-07-11 to 2015-07-12","2 Y 2013-08-12 to 2015-08-12","2 Y 2013-09-11 to 2015-09-12","2 Y 2013-10-11 to 2015-10-12","2 Y 2013-11-11 to 2015-11-12","2 Y 2013-12-11 to 2015-12-12","2 Y 2014-01-13 to 2016-01-12","2 Y 2014-02-11 to 2016-02-12","2 Y 2014-03-11 to 2016-03-12","2 Y 2014-04-11 to 2016-04-12","2 Y 2014-05-12 to 2016-05-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.425","4.788","4.741","-5.503","3.478","0.026","0.327","-3.877","-5.983","-0.897","2.308","3.854","2.308","4.081","5.15","12.405","18.678","8.918","16.723","26.951","33.029","20.418","9.96","13.222","11.208","3.613","7.364","12.92","20.369","14.903","17.034","29.763","25.117","19.532","23.361","23.419","27.235","21.791","9.899","7.777","1.074","5.527","8.075","-0.204","-0.804","4.483","10.204","1.321","-7.723","0.156","-0.23","0.902","6.246","7.215","11.021","16.004","24.063","-9.973","1.331","-5.29","-0.484","-4.448","5.095","31.564","47.459","9.32","18.311","21.763","33.391","86.332","47.377","79.979","73.555","53.86","58.108","46.814","21.405","14.443","8.113","2.116","5.052","5.747","7.218","4.227","4.549","3.839","10.779","12.455","10.556","11.525","11.157","11.072","14.08","1.476","15.87","16.23","6.454","9.06","4.868","6.095","7.926","4.291","6.914","12.912","15.477","11.836","19.292","28.959","35.486","24.742","25.148","24.055","28.159","25.66","5.959","8.291","7.514","8.759","12.798","7.384","6.018","4.671","7.935","1.487","-1.127","4.709","3.597","6.621","5.945","5.578","1.97","1.306","12.634","-5.444","1.42","-0.693","2.405","-0.656","1.922","11.491","21.873","10.028","18.985","22.224","28.738","27.53","19.038","44.463","41.03","38.509","44.315","39.368"
"B Annualized Returns","7.842","5.055","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","12.529","10.342","10.247","6.736","8.481","7.617","7.303","3.425","1.912","4.38","6.23","4.358","3.731","4.139","5.679","4.053","6.291","2.937","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","13.925","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.835","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.225","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.396"
"AR DIFF(P-B)","7.583","-0.266999999999999","-2.203","-2.332","-2.652","-1.03","-1.41","-0.523","3.129","0.255","2.223","4.553","2.493","1.3","-0.207","1.154","11.604","4.064","6.506","7.889","10.2","1","-3.402","-2.155","-5.292","-9.529","-4.431","-2.436","1.896","-3.838","-1.419","6.92","10.558","3.036","10.55","9.904","12.949","7.039","-6.36","-8.215","-8.581","-0.694","8.452","6.034","-3.352","4.049","0.783000000000001","-5.189","-11.541","-7.75","-1.98","-3.205","-2.111","-6.57","-9.093","-11.191","-1.819","-0.428000000000001","1.487","-11.675","-9.721","-16.15","-15.637","15.202","22.814","-8.649","-0.562999999999999","4.311","14.234","27.281","-1.373","40.78","33.404","16.468","27.042","16.226","8.876","4.101","-2.134","-4.62","-3.429","-1.87","-0.085","0.802","2.637","-0.541","4.549","8.097","6.825","7.386","5.478","7.019","7.789","-1.461","9.815","10.141","0.605","0.574","-1.649","-0.943000000000001","0.143","-3.546","-1.584","-0.375","2.848","0.919","5.025","8.021","16.913","7.752","12.062","9.568","12.773","11.716","-7.966","-7.383","-6.464","-3.642","4.167","0.546","-2.361","-3.485","-3.168","-8.348","-10.053","-6.568","-4.843","-3.268","-2.015","-4.365","-7.42","-7.919","-0.984","-1.471","-3.237","-5.605","-4.507","-10.791","-9.788","1.427","6.683","-5.957","-0.507000000000001","-0.794","6.604","7.584","-2.129","22.772","17.787","15.616","18.522","13.972"
"P Volatility","9.02","8.4","7.38","8.52","8.42","9.58","10.79","11.31","8.84","10.72","16.92","17.36","15.19","18.35","16.79","16.74","13.83","10.34","13.96","9.04","10.4","5.27","5.96","6.65","6.95","4.88","6.23","7.53","5.11","3.84","7.03","6.26","11.18","9","12.47","11.02","12.19","10.86","9.11","10.55","9.85","8.77","11.47","14.01","13.58","12.29","14.21","16.66","19.05","19.76","19.94","21.56","16.52","16.48","10.32","7.37","8.4","14.07","18.51","18.45","18.01","18.37","23.85","32.21","37.77","28.17","33.12","32.37","29.41","19.52","16.01","33.65","35.25","35.13","29.42","29.05","8.63","8.05","7.48","7.9","7.5","8.72","9.12","9.2","8.7","10.2","13.97","13.87","12.33","15.02","15.08","14.6","15.31","12.3","15.1","15.22","14.94","14.39","11.24","10.7","10.05","10.51","10.59","11.81","9.63","9.41","11.16","10.75","12.5","11.19","13","12.56","10.86","9.47","7.3","8.52","7.23","6.97","8.76","10.85","11.56","11.2","12.22","13.6","15.01","15.37","14.98","16.52","14.73","13.7","13.67","12.02","11.77","14.21","16.5","17.35","17.31","18.87","21.84","28.09","30.81","26.21","28.52","25.76","25.8","24.66","20.28","28.34","29.3","29.35","31.55","30.66"
"B Volatility","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","9.65","9.48","9.04","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-0.93","-1.82","-2.54","-3.43","-3.78","-6.67","-5.49","-4.13","-6.19","-4.15","0.610000000000003","1.09","-0.980000000000002","2.38","2.07","2.69","4.06","0.43","3.99","1.07","2.86","-0.9","-0.27","0.41","0.82","-0.64","0.78","2.22","0.850000000000001","-0.31","2.77","2","5.61","1.02","2.92","1.45","2.5","1.22","-1.03","0.100000000000001","-0.58","-4.27","-1.58","-0.790000000000001","-2.88","-3.78","-1.95","0.16","0.600000000000001","0.420000000000002","0.890000000000001","2.37","-1.07","-1.2","-3.14","-4.98","-4","-2.11","-0.629999999999999","-3.77","-3.5","-3.22","2.04","9.09","13.53","3.55","6.76","5.96","5.52","0.59","0.140000000000002","17.56","18.9","19.06","15.09","16.97","-1.02","-1.43","-1.56","-2.41","-2.71","-3.53","-3.11","-2.63","-3.53","-2.05","0.98","0.93","-0.6","2.11","2.16","1.71","2.44","-0.549999999999999","2.13","2.76","3.06","2.43","-0.709999999999999","-1.25","-1.74","-1.21","-0.0299999999999994","1.64","1.93","1.73","3.63","4.64","5.89","4.32","5.29","4.83","3.1","1.94","-0.48","0.609999999999999","-0.409999999999999","-2.54","-0.700000000000001","-1.06","-0.979999999999999","-1.41","-0.44","0.69","0.9","0.6","0.210000000000001","1.63","-0.139999999999999","-1.16","-1.34","-2.63","-2.45","-1.21","-0.859999999999999","-2.17","-2.34","-0.689999999999998","2.09","7.5","10.56","5.68","8.52","6.07","6.05","4.92","0.550000000000001","9.51","10.76","10.79","13.2","12.29"
"P Tracking Error","5.12","3.92","5.27","6.64","6.78","8.24","7.53","7.08","8.73","6.19","4.19","4.69","5.27","7.4","6.35","6.76","6.29","4.07","6.8","4.56","4.74","3.74","4.01","5.48","4.3","3.02","3.63","4.61","3.94","2.04","5.49","5.85","7.79","6.19","6.68","5.1","5.16","4.38","6.41","5.16","3.74","9.3","7.47","7.96","7.81","5.34","4.51","4.25","5.16","4.3","5","5.27","2.56","4.69","6.83","6.86","8.79","6.39","3.42","6.38","6.05","5.73","6.73","13.08","16.43","10.13","11.74","8.65","9.04","5.19","4.93","20.99","22.13","22.91","19.19","21.06","6.7","6.58","4.75","5.51","5.56","6.02","5.56","5.82","6.85","5.23","4.2","4.38","5.3","5.94","5.33","5.62","5.92","4.57","6.05","6.59","6.6","7.4","5.78","6.91","6.36","5.36","4.12","4.97","4.37","4.14","6.49","7.7","9.32","8.13","9.71","8.9","6.01","5.56","4.93","4.76","3.88","6.78","6.38","6.2","6.21","5.31","4.68","4.92","5.62","5.35","5.58","5.34","5.16","6.42","8.01","7.69","8.59","8.01","7.23","6.84","6.39","6.1","5.94","11.34","13.12","9.89","12.51","8.33","8.65","7.52","6.9","15.79","16.13","16.74","18.11","17.48"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
