"","1 Y 2017-12-12 to 2020-12-13","1 Y 2018-01-12 to 2021-01-13","1 Y 2018-02-12 to 2021-02-13","1 Y 2018-03-12 to 2021-03-13","1 Y 2018-04-12 to 2021-04-13","1 Y 2018-05-14 to 2021-05-13","1 Y 2018-06-12 to 2021-06-13","1 Y 2018-07-12 to 2021-07-13","1 Y 2018-08-13 to 2021-08-13","1 Y 2018-09-12 to 2021-09-13","1 Y 2018-10-12 to 2021-10-13","2 Y 2017-12-12 to 2020-12-13","2 Y 2018-01-12 to 2021-01-13","2 Y 2018-02-12 to 2021-02-13","2 Y 2018-03-12 to 2021-03-13","2 Y 2018-04-12 to 2021-04-13","2 Y 2018-05-14 to 2021-05-13","2 Y 2018-06-12 to 2021-06-13","2 Y 2018-07-12 to 2021-07-13","2 Y 2018-08-13 to 2021-08-13","2 Y 2018-09-12 to 2021-09-13","2 Y 2018-10-12 to 2021-10-13","3 Y 2017-12-12 to 2020-12-13","3 Y 2018-01-12 to 2021-01-13","3 Y 2018-02-12 to 2021-02-13","3 Y 2018-03-12 to 2021-03-13","3 Y 2018-04-12 to 2021-04-13","3 Y 2018-05-14 to 2021-05-13","3 Y 2018-06-12 to 2021-06-13","3 Y 2018-07-12 to 2021-07-13","3 Y 2018-08-13 to 2021-08-13","3 Y 2018-09-12 to 2021-09-13","3 Y 2018-10-12 to 2021-10-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","30.859","33.248","30.178","69.03","58.816","53.468","49.086","44.898","39.914","29.552","30.427","24.766","28.608","26.655","23.875","27.7","25.676","27.892","27.896","32.566","24.774","25.452","16.439","17.018","18.726","16.496","20.72","18.385","18.607","20.995","20.716","16.8","18.921"
"B Annualized Returns","19.875","17.452","18.359","44.413","48.75","39.199","31.987","37.392","31.066","24.246","24.246","19.798","23.018","22.062","20.459","21.51","21.691","22.997","23.117","25.793","27.388","27.388","12.478","11.931","15.176","13.376","17.122","15.292","16.353","17.684","17.821","17.779","20.2"
"AR DIFF(P-B)","10.984","15.796","11.819","24.617","10.066","14.269","17.099","7.506","8.848","5.306","6.181","4.968","5.59","4.593","3.416","6.19","3.985","4.895","4.779","6.773","-2.614","-1.936","3.961","5.087","3.55","3.12","3.598","3.093","2.254","3.311","2.895","-0.978999999999999","-1.279"
"P Volatility","33.34","33.15","31.61","23.75","22.15","21.99","21.8","22.19","17.74","13.86","13.56","24.13","23.62","23.96","23.94","24.7","23.71","23.33","23.98","23.53","21.78","21.43","21.53","21.18","21.17","20.89","21.62","21.59","21.39","21.95","21.83","20.71","20.21"
"B Volatility","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33","10.33","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53","18.53","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","6.83","6.55","8.28","5.75","7.41","6.85","6.22","6.7","4.79","3.53","3.23","4.51","4.32","4.67","4.6","5.46","4.97","4.62","5.24","5","3.25","2.9","3.2","2.95","3.19","3.13","3.82","3.58","3.35","3.95","3.85","2.72","2.65"
"P Tracking Error","10.56","10.34","10.88","9.25","9.49","9.95","9.42","9.99","9.02","7.68","7.28","8.35","8.36","8.64","8.54","8.72","8.96","8.54","8.98","8.7","7.77","7.37","7.03","7.01","7.21","7.1","7.43","7.63","7.35","7.67","7.47","6.82","6.59"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
