"","2014-03-11_to_2017-03-12_VGPortfolio_5QRank","2014-04-11_to_2017-04-12_VGPortfolio_5QRank","2014-05-12_to_2017-05-12_VGPortfolio_5QRank","2014-06-11_to_2017-06-12_VGPortfolio_5QRank","2014-07-11_to_2017-07-12_VGPortfolio_5QRank","2014-08-11_to_2017-08-12_VGPortfolio_5QRank","2014-09-11_to_2017-09-12_VGPortfolio_5QRank","2014-10-13_to_2017-10-12_VGPortfolio_5QRank","2014-11-11_to_2017-11-12_VGPortfolio_5QRank","2014-12-11_to_2017-12-12_VGPortfolio_5QRank","2015-01-12_to_2018-01-12_VGPortfolio_5QRank","2015-02-11_to_2018-02-12_VGPortfolio_5QRank","2015-03-11_to_2018-03-12_VGPortfolio_5QRank","2015-04-13_to_2018-04-12_VGPortfolio_5QRank","2015-05-11_to_2018-05-12_VGPortfolio_5QRank","2015-06-11_to_2018-06-12_VGPortfolio_5QRank","2015-07-13_to_2018-07-12_VGPortfolio_5QRank","2015-08-11_to_2018-08-12_VGPortfolio_5QRank","2015-09-11_to_2018-09-12_VGPortfolio_5QRank","2015-10-12_to_2018-10-12_VGPortfolio_5QRank","2015-11-11_to_2018-11-12_VGPortfolio_5QRank","2015-12-11_to_2018-12-12_VGPortfolio_5QRank","2016-01-11_to_2019-01-12_VGPortfolio_5QRank","2016-02-11_to_2019-02-12_VGPortfolio_5QRank","2016-03-11_to_2019-03-12_VGPortfolio_5QRank","2016-04-11_to_2019-04-12_VGPortfolio_5QRank","2016-05-11_to_2019-05-12_VGPortfolio_5QRank","2016-06-13_to_2019-06-12_VGPortfolio_5QRank","2016-07-11_to_2019-07-12_VGPortfolio_5QRank","2016-08-11_to_2019-08-12_VGPortfolio_5QRank","2016-09-12_to_2019-09-12_VGPortfolio_5QRank","2016-10-11_to_2019-10-12_VGPortfolio_5QRank","2016-11-11_to_2019-11-12_VGPortfolio_5QRank","2016-12-12_to_2019-12-12_VGPortfolio_5QRank","2017-01-11_to_2020-01-12_VGPortfolio_5QRank","2017-02-13_to_2020-02-12_VGPortfolio_5QRank","2017-03-13_to_2020-03-12_VGPortfolio_5QRank","2017-04-11_to_2020-04-12_VGPortfolio_5QRank","2017-05-11_to_2020-05-12_VGPortfolio_5QRank","2017-06-12_to_2020-06-12_VGPortfolio_5QRank","2017-07-11_to_2020-07-12_VGPortfolio_5QRank","2017-08-11_to_2020-08-12_VGPortfolio_5QRank","2017-09-11_to_2020-09-12_VGPortfolio_5QRank","2017-10-11_to_2020-10-12_VGPortfolio_5QRank","2017-11-13_to_2020-11-12_VGPortfolio_5QRank","2017-12-11_to_2020-12-12_VGPortfolio_5QRank","2018-01-11_to_2021-01-12_VGPortfolio_5QRank","2018-02-12_to_2021-02-12_VGPortfolio_5QRank","2018-03-12_to_2021-03-12_VGPortfolio_5QRank","2018-04-11_to_2021-04-12_VGPortfolio_5QRank","2018-05-11_to_2021-05-12_VGPortfolio_5QRank","2018-06-11_to_2021-06-12_VGPortfolio_5QRank","2018-07-11_to_2021-07-12_VGPortfolio_5QRank","2018-08-13_to_2021-08-12_VGPortfolio_5QRank","2018-09-11_to_2021-09-12_VGPortfolio_5QRank","2018-10-11_to_2021-10-12_VGPortfolio_5QRank"
"P Information Ratio","0.64","1.8","1.84","1.68","1.68","1.04","1.19","1.12","1.23","0.82","1.06","0.22","1.4","1.7","0.21","0.27","0.13","0.56","0.39","1.36","1.54","1.4","1.61","1.57","1.14","1.24","1.38","1.26","1.3","1.17","0.83","0.79","0.21","0.9","0.86","0.33","-0.49","-0.18","-0.13","-0.26","-0.13","-0.01","0.68","0.13","-0.39","0.76","1.15","1.38","1.06","-0.26","-0.06","-0.26","0.15","-0.12","1.14","1.15"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.38","0.75","0.65","0.81","0.73","0.5","0.45","0.37","0.38","0.29","0.18","0.12","0.53","0.66","0.12","0.11","0.16","0.26","0.14","0.46","0.42","0.24","0.46","0.31","0.32","0.29","0.41","0.43","0.39","0.27","0.17","0.12","0.07","0.19","0.17","0.03","-0.06","-0.04","-0.06","-0.1","-0.1","-0.03","0.2","0.01","-0.12","0.21","0.24","0.47","0.37","-0.01","0.04","0.01","0.21","0.09","0.36","0.3"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.84","0.84","0.85","0.78","0.81","0.78","0.89","0.94","0.92","0.94","1","0.9","0.93","1.03","0.88","0.92","0.91","0.89","0.94","1.15","1.15","1.2","1.13","1.24","1.21","1.15","1.19","1.16","1.15","1.12","1.05","1.03","0.97","1.02","1","1.03","0.97","0.99","0.99","1.01","1.02","1.02","1.1","1.1","1.01","1.1","1.07","1.12","1.09","0.96","0.92","0.92","0.92","0.93","1.11","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","86.59","82.84","83.59","76.57","77.62","81.05","85.57","85.78","87.41","92.73","93.46","90.66","83.2","82.25","93.97","93.34","91.25","88.6","87.45","82.29","86.86","87.16","86.86","87.7","85.39","85.68","84.08","89.26","88.87","92.37","93.85","94.91","93.24","93.02","95.78","93.28","96.21","96.81","95.83","95.59","93.95","95.68","94.8","94.41","96.46","94.97","94.98","93.99","94.14","97.73","96.9","95.65","94.9","94.52","92.29","91.38"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.2813","-13.7361","-13.8103","-13.4492","-13.9915","-12.7531","-12.9787","-15.3958","-14.2405","-12.7474","-13.6221","-14.5989","-13.007","-16.2142","-13.2631","-14.3903","-13.837","-12.7545","-14.0617","-14.4694","-13.7865","-16.3766","-24.3824","-26.5877","-26.3259","-24.4174","-25.5347","-24.8282","-24.5931","-22.8668","-22.291","-21.4464","-19.2041","-20.2933","-19.6966","-20.8495","-26.9959","-32.3831","-32.5349","-32.6224","-31.7558","-33.2269","-34.5448","-34.9265","-33.1128","-32.7314","-32.893","-32.693","-31.8104","-30.8926","-30.6176","-31.6268","-31.4969","-32.1782","-34.0171","-33.6214"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.9534","-0.408200000000001","-0.4824","-0.1213","-0.663600000000001","0.5748","0.3492","-2.0679","-0.912600000000001","0.580499999999999","-0.2942","-1.271","0.3209","-2.8863","0.0648","-1.0624","-0.5091","-0.9183","-2.2255","-2.6332","-2.3729","-5.2038","-4.4231","-6.6284","-6.3666","-4.4581","-5.5754","-4.8689","-4.6338","-2.9075","-2.3317","-1.4871","0.755299999999998","-0.334","0.262699999999999","-0.8902","-0.9573","-0.851900000000001","-1.0037","-1.0912","-0.224600000000002","-1.6957","-3.0136","-3.3953","-1.5816","-1.2002","-1.3618","-1.1618","-0.279200000000003","0.638599999999997","0.913599999999999","-0.095600000000001","0.0342999999999982","-0.646999999999998","-2.4859","-2.0902"
