"","2014-03-11_to_2016-03-12_ALLPortfolio_5QRank","2014-04-11_to_2016-04-12_ALLPortfolio_5QRank","2014-05-12_to_2016-05-12_ALLPortfolio_5QRank","2014-06-11_to_2016-06-12_ALLPortfolio_5QRank","2014-07-11_to_2016-07-12_ALLPortfolio_5QRank","2014-08-11_to_2016-08-12_ALLPortfolio_5QRank","2014-09-11_to_2016-09-12_ALLPortfolio_5QRank","2014-10-13_to_2016-10-12_ALLPortfolio_5QRank","2014-11-11_to_2016-11-12_ALLPortfolio_5QRank","2014-12-11_to_2016-12-12_ALLPortfolio_5QRank","2015-01-12_to_2017-01-12_ALLPortfolio_5QRank","2015-02-11_to_2017-02-12_ALLPortfolio_5QRank","2015-03-11_to_2017-03-12_ALLPortfolio_5QRank","2015-04-13_to_2017-04-12_ALLPortfolio_5QRank","2015-05-11_to_2017-05-12_ALLPortfolio_5QRank","2015-06-11_to_2017-06-12_ALLPortfolio_5QRank","2015-07-13_to_2017-07-12_ALLPortfolio_5QRank","2015-08-11_to_2017-08-12_ALLPortfolio_5QRank","2015-09-11_to_2017-09-12_ALLPortfolio_5QRank","2015-10-12_to_2017-10-12_ALLPortfolio_5QRank","2015-11-11_to_2017-11-12_ALLPortfolio_5QRank","2015-12-11_to_2017-12-12_ALLPortfolio_5QRank","2016-01-11_to_2018-01-12_ALLPortfolio_5QRank","2016-02-11_to_2018-02-12_ALLPortfolio_5QRank","2016-03-11_to_2018-03-12_ALLPortfolio_5QRank","2016-04-11_to_2018-04-12_ALLPortfolio_5QRank","2016-05-11_to_2018-05-12_ALLPortfolio_5QRank","2016-06-13_to_2018-06-12_ALLPortfolio_5QRank","2016-07-11_to_2018-07-12_ALLPortfolio_5QRank","2016-08-11_to_2018-08-12_ALLPortfolio_5QRank","2016-09-12_to_2018-09-12_ALLPortfolio_5QRank","2016-10-11_to_2018-10-12_ALLPortfolio_5QRank","2016-11-11_to_2018-11-12_ALLPortfolio_5QRank","2016-12-12_to_2018-12-12_ALLPortfolio_5QRank","2017-01-11_to_2019-01-12_ALLPortfolio_5QRank","2017-02-13_to_2019-02-12_ALLPortfolio_5QRank","2017-03-13_to_2019-03-12_ALLPortfolio_5QRank","2017-04-11_to_2019-04-12_ALLPortfolio_5QRank","2017-05-11_to_2019-05-12_ALLPortfolio_5QRank","2017-06-12_to_2019-06-12_ALLPortfolio_5QRank","2017-07-11_to_2019-07-12_ALLPortfolio_5QRank","2017-08-11_to_2019-08-12_ALLPortfolio_5QRank","2017-09-11_to_2019-09-12_ALLPortfolio_5QRank","2017-10-11_to_2019-10-12_ALLPortfolio_5QRank","2017-11-13_to_2019-11-12_ALLPortfolio_5QRank","2017-12-11_to_2019-12-12_ALLPortfolio_5QRank","2018-01-11_to_2020-01-12_ALLPortfolio_5QRank","2018-02-12_to_2020-02-12_ALLPortfolio_5QRank","2018-03-12_to_2020-03-12_ALLPortfolio_5QRank","2018-04-11_to_2020-04-12_ALLPortfolio_5QRank","2018-05-11_to_2020-05-12_ALLPortfolio_5QRank","2018-06-11_to_2020-06-12_ALLPortfolio_5QRank","2018-07-11_to_2020-07-12_ALLPortfolio_5QRank","2018-08-13_to_2020-08-12_ALLPortfolio_5QRank","2018-09-11_to_2020-09-12_ALLPortfolio_5QRank","2018-10-11_to_2020-10-12_ALLPortfolio_5QRank","2018-11-12_to_2020-11-12_ALLPortfolio_5QRank","2018-12-11_to_2020-12-12_ALLPortfolio_5QRank","2019-01-11_to_2021-01-12_ALLPortfolio_5QRank","2019-02-11_to_2021-02-12_ALLPortfolio_5QRank","2019-03-11_to_2021-03-12_ALLPortfolio_5QRank","2019-04-11_to_2021-04-12_ALLPortfolio_5QRank","2019-05-13_to_2021-05-12_ALLPortfolio_5QRank","2019-06-11_to_2021-06-12_ALLPortfolio_5QRank","2019-07-11_to_2021-07-12_ALLPortfolio_5QRank","2019-08-12_to_2021-08-12_ALLPortfolio_5QRank","2019-09-11_to_2021-09-12_ALLPortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","6.799","12.436","9.83","9.709","9.348","10.87","7.181","10.966","7.052","9.361","9.587","8.086","11.749","12.08","8.577","9.159","8.577","10.505","14.435","18.371","18.775","19.669","28.324","31.298","29.17","23.126","25.457","25.773","22.84","20.192","20.308","17.416","15.872","12.535","10.523","10.614","8.519","10.54","9.603","7.749","11.284","6.814","9.166","6.076","8.744","8.282","7.107","13.31","-4.491","2.748","4.95","5.175","8.687","9.937","13.977","20.3","17.695","17.839","22.244","21.551","21.71","27.356","29.333","32.626","32.379","36.665","34.172"
"B Annualized Returns","3.621","5.718","4.406","4.118","3.851","6.054","4.263","6.268","3.006","4.723","6.055","5.695","8.343","6.657","6.882","7.525","7.488","8.48","13.075","12.503","11.014","14.092","19.494","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.117","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.854","20.593","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","3.178","6.718","5.424","5.591","5.497","4.816","2.918","4.698","4.046","4.638","3.532","2.391","3.406","5.423","1.695","1.634","1.089","2.025","1.36","5.868","7.761","5.577","8.83","14.002","12.881","9.981","11.091","10.423","9.174","5.811","4.628","4.301","1.4","4.167","3.67","2.954","0.499000000000001","-0.0840000000000014","-0.0790000000000006","-1.327","-0.129","-2.231","-0.778","-1.345","-1.135","-0.837999999999999","-2.296","0.0280000000000005","-4.947","-1.916","-0.975","-0.942","-0.868","-0.905000000000001","3.858","5.91","1.329","-1.959","-0.882000000000001","-1.303","1.117","6.195","6.33","9.629","9.932","10.184","8.644"
"P Volatility","12","12.78","12.8","12.12","12.18","11.96","12.64","13.3","12.92","12.98","13.19","12.12","12.02","12.54","11.63","11.84","11.6","9.68","10.12","9.49","9.1","9.15","6.92","8.64","9.45","9.73","9.66","9.44","9.41","9.6","8.93","8.79","9.45","9.79","12.2","12.7","12.45","12.37","12.82","14.15","15.08","14.33","14.73","15.04","14.9","14.61","13.82","13.56","14.64","18.27","19.9","20.74","20.68","21.33","24.25","24.54","24.21","23.97","22.8","23.85","23.32","24.69","23.23","24.35","24.05","24.25","23.44"
"B Volatility","12.78","13.49","13.46","13.43","13.41","13.42","13.4","13.44","13.23","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","-0.779999999999999","-0.710000000000001","-0.66","-1.31","-1.23","-1.46","-0.76","-0.139999999999999","-0.31","-0.369999999999999","0.0700000000000003","-0.620000000000001","-0.75","-0.210000000000001","-1.1","-0.65","-0.790000000000001","-1.53","-0.67","1.01","0.609999999999999","0.790000000000001","1.2","2.32","2.87","2.25","2.16","1.91","2.07","1.98","1.28","1.28","0.00999999999999979","0.44","0.76","0.609999999999999","0.27","0.18","0.26","0.76","1.37","0.6","0.860000000000001","1.21","1.08","0.6","0.130000000000001","0.31","-0.279999999999999","1.18","0.629999999999999","1.37","1.37","1.97","3.74","4.39","3.93","4.35","3.5","4.56","3.98","5.45","4.49","5.64","5.31","5.72","4.91"
"P Tracking Error","5.83","6.14","6.18","6.5","6.3","6.15","5.98","6","5.66","5.33","5.5","5.54","5.83","5.81","5.51","5.37","5.45","5.2","4.19","4.47","3.95","3.97","4.11","4.96","4.89","4.91","5.14","4.57","4.88","4.81","4.26","4.08","3.22","3.24","3.62","3.35","3.31","3.11","3.88","4.06","4.22","4.2","4.32","5.03","4.58","4.6","4.13","4.4","4.4","4.86","4.75","5.78","6.01","6.3","7.32","7.7","7.45","8.34","7.88","8.51","8.39","8.86","9.06","9.62","9.47","10.18","9.51"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.55","1.09","0.88","0.86","0.87","0.78","0.49","0.78","0.71","0.87","0.64","0.43","0.58","0.93","0.31","0.3","0.2","0.39","0.32","1.31","1.96","1.4","2.15","2.82","2.63","2.03","2.16","2.28","1.88","1.21","1.09","1.05","0.43","1.29","1.01","0.88","0.15","-0.03","-0.02","-0.33","-0.03","-0.53","-0.18","-0.27","-0.25","-0.18","-0.56","0.01","-1.12","-0.39","-0.21","-0.16","-0.14","-0.14","0.53","0.77","0.18","-0.23","-0.11","-0.15","0.13","0.7","0.7","1","1.05","1","0.91"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.38","0.61","0.46","0.47","0.48","0.44","0.47","0.41","0.34","0.33","0.3","0.27","0.5","0.51","0.22","0.22","0.19","0.55","0.24","0.49","0.48","0.45","0.54","0.5","0.38","0.57","0.65","0.7","0.56","0.36","0.21","0.22","0.29","0.39","0.24","0.18","0.09","-0.02","-0.08","-0.14","-0.08","-0.2","-0.06","-0.21","-0.09","-0.05","-0.11","-0.02","-0.04","-0.33","-0.23","-0.09","0.05","-0.05","0.29","0.27","-0.05","-0.3","-0.26","-0.39","-0.09","0.36","0.47","0.37","0.49","0.32","0.39"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.84","0.84","0.85","0.79","0.8","0.79","0.85","0.89","0.88","0.89","0.92","0.86","0.84","0.88","0.82","0.86","0.84","0.77","0.86","0.99","0.97","0.99","0.97","1.13","1.26","1.13","1.09","1.1","1.1","1.1","1.03","1.04","0.94","0.99","1.02","1.01","0.99","0.98","0.97","1.01","1.06","1","1.02","1.03","1.03","0.99","0.96","0.97","0.94","1.03","1","1.03","1.03","1.05","1.14","1.17","1.15","1.16","1.11","1.17","1.13","1.22","1.15","1.21","1.2","1.21","1.17"
