"","1 Y 2013-09-11 to 2015-09-12","1 Y 2013-10-11 to 2015-10-12","1 Y 2013-11-11 to 2015-11-12","1 Y 2013-12-11 to 2015-12-12","1 Y 2014-01-13 to 2016-01-12","1 Y 2014-02-11 to 2016-02-12","1 Y 2014-03-11 to 2016-03-12","1 Y 2014-04-11 to 2016-04-12","1 Y 2014-05-12 to 2016-05-12","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2013-09-11 to 2015-09-12","2 Y 2013-10-11 to 2015-10-12","2 Y 2013-11-11 to 2015-11-12","2 Y 2013-12-11 to 2015-12-12","2 Y 2014-01-13 to 2016-01-12","2 Y 2014-02-11 to 2016-02-12","2 Y 2014-03-11 to 2016-03-12","2 Y 2014-04-11 to 2016-04-12","2 Y 2014-05-12 to 2016-05-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","2.611","15.572","8.959","9.91","4.768","-1.951","6.25","5.907","5.017","-0.81","2.207","7.329","16.483","6.388","6.996","11.265","22.909","32.002","15.944","10.887","15.177","15.655","9.311","12.286","29.394","31.132","30.457","26.984","34.578","26.112","28.307","23.709","21.357","21.198","19.441","16.401","21.304","13.597","5.354","-0.538","-4.382","0.448","-2.748","3.629","2.926","-3.127","3.042","3.895","5.181","9.373","12.425","14.899","23.065","26.589","-10.547","2.755","11.28","14.032","16.031","14.274","29.432","40.824","18.538","26.631","38.886","17.295","89.864","71.393","61.75","62.634","39.763","44.508","37.716","10.439","14.731","13.016","14.339","9.217","6.655","8.467","13.896","12.592","7.507","10.124","10.75","10.619","11.393","8.377","11.791","12.754","10.316","7.292","5.942","8.079","7.873","7.55","10.545","23.751","21.814","19.77","22.148","31.077","33.399","26.79","23.429","24.639","23.426","20.687","19.141","23.013","19.538","14.3","9.722","8.424","9.573","7.324","9.82","9.35","7.494","9.326","9.485","10.255","8.629","10.076","7.701","9.247","15.218","-5.58","6.349","7.347","8.827","11.935","10.881","15.929","20.425","15.777","20.043","30.82","16.836","29.962","31.175","30.86","35.539","21.721","37.542","32.227"
"B Annualized Returns","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","6.736","8.481","7.617","7.303","3.425","1.912","4.38","6.23","4.358","3.731","4.139","5.679","4.053","6.291","2.937","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","13.925","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.835","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.225","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.396"
"AR DIFF(P-B)","5.782","9.442","7.903","8.173","8.122","7.161","7.402","5.822","5.716","-0.625","-0.574","1.972","5.232","-0.686","2.142","1.048","3.847","9.173","-3.474","-2.475","-0.200000000000001","-0.845000000000001","-3.831","0.491","14.038","12.659","11.716","8.531","11.735","11.553","11.811","10.898","7.842","6.912","4.689","0.141999999999999","5.312","3.942","-0.867","-0.161","1.856","-2.1","-3.182","-5.792","-3.584","-6.945","-4.864","2.145","1.074","1.016","-1.36","-5.215","-4.13","0.706999999999997","-1.002","2.911","4.895","4.795","4.329","-6.458","13.07","16.179","0.568999999999999","7.757","21.434","-1.862","30.813","22.643","22.551","22.483","2.371","13.442","7.128","3.703","6.25","5.399","7.036","5.792","4.743","4.087","7.666","8.234","3.776","5.985","5.071","6.566","5.102","5.44","5.736","6.665","4.467","-1.194","-0.575","1.041","0.0899999999999999","-0.287","2.047","10.464","9.185","8.853","7.881","10.139","14.826","9.8","10.343","10.152","8.04","6.743","5.216","7.339","5.56","1.899","1.091","1.586","1.194","-0.832000000000001","-1.283","-0.485000000000001","-1.432","-1.951","1.045","0.366000000000001","0.669","0.133000000000001","-1.689","0.0220000000000002","1.6","-1.607","1.692","2.435","1.915","1.8","-0.829000000000001","5.865","5.235","-0.208","0.550999999999998","7.802","-5.298","10.016","10.008","9.169","12.296","-1.172","11.749","6.831"
"P Volatility","10.11","10.12","12.61","11.98","10.75","12.25","12.61","15.12","15.98","15.13","13.35","13.47","14.84","11.34","13.33","13.06","8.91","8.66","7.26","6.69","6.26","5.29","5.27","5.51","6.6","4.71","6.01","5.56","5.53","8.39","9.32","11.26","11.91","10.92","10.82","10.37","11.26","11.42","11.56","12.71","14.27","15.92","17.01","17.07","17.94","19.47","20.41","19.83","18.72","17.27","16.85","12.53","9.66","9.91","15.32","17.89","20.15","19.93","23.48","21.37","28.1","29.43","24.57","29.09","30.54","25.42","21.42","21.29","24.18","24.36","14","20.08","18.43","8.98","9.33","10.45","10.19","9.16","10","10.47","12.85","12.65","12.11","11","11.78","13.01","12.38","13.16","13.59","12.98","11.76","11.94","11.07","11.52","10.18","9.63","9.32","9.81","8.55","8.88","9.04","7.25","8.69","8.59","9.54","10.06","8.54","8.35","8.72","8.51","8.11","9","9.15","12.1","12.51","13.26","13.32","14.2","15.1","15.44","15.31","14.56","14.6","14.53","14.26","13.23","12.55","14.52","15.97","18.07","18.7","21.01","19.25","24.11","23.99","20.63","21.95","22.59","20.56","22.37","21.7","22.68","22.79","16.69","23.19","23.43"
"B Volatility","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-1.84","-2.08","-3.64","-4.3","-4.69","-2.78","-2.26","-1.19","-0.289999999999999","-1.04","-2.62","-1.25","0.789999999999999","1.57","3.42","3.09","0.94","1.12","1.09","0.46","0.0199999999999996","-0.84","-0.25","0.0599999999999996","1.29","0.45","1.86","1.3","1.27","2.82","1.34","1.71","2.34","1.23","1.18","0.229999999999999","0.81","0.99","-1.48","-0.34","-0.530000000000001","-0.540000000000001","0.940000000000001","0.91","1.44","1.02","1.07","0.779999999999998","-0.470000000000002","-0.32","-0.829999999999998","-0.930000000000001","-2.69","-2.49","-0.859999999999999","-1.25","-2.07","-1.58","1.89","-0.439999999999998","4.98","5.19","-0.0500000000000007","2.73","4.13","1.53","2.49","5.42","8.09","8.01","-2.07","5.75","6.35","-1.33","-0.880000000000001","-1.8","-2.04","-2.67","-2.23","-1.78","-0.140000000000001","-0.289999999999999","-0.82","-1.91","-1.14","0.119999999999999","-0.489999999999998","0.31","0.619999999999999","0.52","-0.120000000000001","-0.0200000000000014","-0.879999999999999","-0.43","-1.61","-2.09","-1.3","-0.359999999999999","0.850000000000001","1.2","1.51","1.14","2.08","1.72","1.83","2.33","0.779999999999999","0.819999999999999","0.94","0.6","0.47","-0.51","-0.31","0.19","-0.0299999999999994","0.65","0.66","1.29","0.99","0.67","0.540000000000001","-0.33","-0.27","-0.33","-0.75","-1.42","-1.67","-0.9","-1.39","-1.45","-0.949999999999999","1.45","-0.5","3.52","3.74","0.0999999999999979","1.95","2.9","0.809999999999999","2.63","1.97","3.85","4.25","-1.87","4.84","5.06"
"P Tracking Error","4.08","5.18","6.06","6.31","6.61","5.33","5.15","5.12","4.74","4.55","5.12","4.63","4.09","3.09","4.69","4.34","2.62","2.66","2.89","2.24","3.22","3.04","3.45","3.28","5.8","5.04","5.45","5.18","4.87","4.2","3.53","3.31","4.52","3.96","3.96","3.32","4.04","4.79","3.2","2.21","2.33","2.92","3.57","4.31","3.79","3.86","4.3","3.36","3.14","3.01","3.06","3.49","4.22","3.93","2.46","2.56","3.42","3.3","4.39","3.37","7.3","7.53","3.37","5.73","5.63","7.85","7.79","8.42","11.06","10.9","5.45","9.15","9.47","4.75","5.4","5.51","5.96","6.3","6.18","4.85","5.02","5.06","4.49","5.28","5.09","4.32","4.21","5.22","4.26","3.55","3.15","3.54","3.04","3.58","4.26","4.56","3.52","5.02","3.75","3.96","4.05","3.96","4.52","3.91","4.35","4.93","3.27","3.74","4.25","3.32","3.77","2.65","2.2","2.44","2.72","3.3","3.8","3.55","3.5","3.57","3.18","2.87","3.24","2.95","3.34","3.38","3.12","3.09","3.09","3.58","3.4","3.66","3.7","6.17","6.29","2.65","4.94","4.87","5.42","6.66","6.54","8.03","7.81","5.11","7.98","8.08"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
