"","2014-12-11_to_2017-12-12_CorePortfolio_8QRank","2015-01-12_to_2018-01-12_CorePortfolio_8QRank","2015-02-11_to_2018-02-12_CorePortfolio_8QRank","2015-03-11_to_2018-03-12_CorePortfolio_8QRank","2015-04-13_to_2018-04-12_CorePortfolio_8QRank","2015-05-11_to_2018-05-12_CorePortfolio_8QRank","2015-06-11_to_2018-06-12_CorePortfolio_8QRank","2015-07-13_to_2018-07-12_CorePortfolio_8QRank","2015-08-11_to_2018-08-12_CorePortfolio_8QRank","2015-09-11_to_2018-09-12_CorePortfolio_8QRank","2015-10-12_to_2018-10-12_CorePortfolio_8QRank","2015-11-11_to_2018-11-12_CorePortfolio_8QRank","2015-12-11_to_2018-12-12_CorePortfolio_8QRank","2016-01-11_to_2019-01-12_CorePortfolio_8QRank","2016-02-11_to_2019-02-12_CorePortfolio_8QRank","2016-03-11_to_2019-03-12_CorePortfolio_8QRank","2016-04-11_to_2019-04-12_CorePortfolio_8QRank","2016-05-11_to_2019-05-12_CorePortfolio_8QRank","2016-06-13_to_2019-06-12_CorePortfolio_8QRank","2016-07-11_to_2019-07-12_CorePortfolio_8QRank","2016-08-11_to_2019-08-12_CorePortfolio_8QRank","2016-09-12_to_2019-09-12_CorePortfolio_8QRank","2016-10-11_to_2019-10-12_CorePortfolio_8QRank","2016-11-11_to_2019-11-12_CorePortfolio_8QRank","2016-12-12_to_2019-12-12_CorePortfolio_8QRank","2017-01-11_to_2020-01-12_CorePortfolio_8QRank","2017-02-13_to_2020-02-12_CorePortfolio_8QRank","2017-03-13_to_2020-03-12_CorePortfolio_8QRank","2017-04-11_to_2020-04-12_CorePortfolio_8QRank","2017-05-11_to_2020-05-12_CorePortfolio_8QRank","2017-06-12_to_2020-06-12_CorePortfolio_8QRank","2017-07-11_to_2020-07-12_CorePortfolio_8QRank","2017-08-11_to_2020-08-12_CorePortfolio_8QRank","2017-09-11_to_2020-09-12_CorePortfolio_8QRank","2017-10-11_to_2020-10-12_CorePortfolio_8QRank","2017-11-13_to_2020-11-12_CorePortfolio_8QRank","2017-12-11_to_2020-12-12_CorePortfolio_8QRank","2018-01-11_to_2021-01-12_CorePortfolio_8QRank","2018-02-12_to_2021-02-12_CorePortfolio_8QRank","2018-03-12_to_2021-03-12_CorePortfolio_8QRank","2018-04-11_to_2021-04-12_CorePortfolio_8QRank","2018-05-11_to_2021-05-12_CorePortfolio_8QRank","2018-06-11_to_2021-06-12_CorePortfolio_8QRank","2018-07-11_to_2021-07-12_CorePortfolio_8QRank","2018-08-13_to_2021-08-12_CorePortfolio_8QRank","2018-09-11_to_2021-09-12_CorePortfolio_8QRank","2018-10-11_to_2021-10-12_CorePortfolio_8QRank"
"P Information Ratio","2.14","1.92","2","1.4","0.98","1.68","1.94","1.74","-0.25","1.29","0.03","0.23","0.2","0.11","0.28","0.46","-0.26","-0.35","-0.17","-0.16","-0.32","-0.09","-0.29","-0.77","-0.38","-0.11","-0.4","-0.32","-0.56","-0.74","-0.74","-0.66","-0.88","-0.96","-1.03","-1.17","0.25","0.39","-0.71","0.12","0.52","0.54","0.45","0.36","-0.19","0.6","0.59"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.63","0.49","0.51","0.21","0.23","0.41","0.46","0.43","0.03","0.27","-0.02","0.02","0.02","0.13","0.09","0.21","0.05","0.09","0.05","0.08","0","0.12","0.02","-0.11","-0.01","0.06","0.01","0","-0.17","-0.15","-0.16","-0.11","-0.19","-0.26","-0.23","-0.36","0.04","0","-0.09","-0.05","0.2","0.17","0.18","0.14","0.04","0.21","0.14"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.96","0.93","1.01","1","0.99","1.04","1.07","1.08","1.01","1.06","1.04","0.99","0.96","0.9","0.9","0.91","0.86","0.84","0.87","0.87","0.88","0.86","0.91","0.96","0.96","0.91","0.89","0.9","0.97","0.94","0.97","0.95","0.96","1","0.9","0.96","1.04","1","0.93","1.03","1","1","1.01","0.99","0.91","1.03","1.03"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.02","90.47","89.88","94.88","94.48","91.15","91.98","91.07","94.18","89.87","92.07","93.9","91.02","93.26","93.62","92.24","89.46","91.09","92.38","93.78","93.14","93.36","93.47","95.16","94.91","93.33","93.21","94.44","95.44","96.25","95.94","96.5","96.03","97.05","94.52","94.97","97.77","96.14","95.74","94.84","94.93","93.87","93.84","93.07","92.45","93.58","92.98"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.4762","-13.2079","-14.7528","-14.8215","-15.102","-15.1175","-14.0712","-14.1608","-14.3548","-14.2519","-13.7391","-13.5084","-12.626","-15.7736","-16.1689","-15.5736","-15.6283","-15.4772","-15.8584","-15.2064","-15.5523","-15.5269","-16.9291","-18.4803","-18.5134","-17.0873","-16.5167","-27.1492","-34.9656","-34.8576","-34.4999","-34.0315","-34.0307","-34.2416","-34.0186","-34.5538","-33.2975","-33.552","-33.8959","-35.1201","-33.3264","-34.1024","-34.1882","-33.7814","-33.2752","-34.0845","-33.8754"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-1.1483","0.119999999999999","-1.4249","-1.4936","-1.7741","-1.7896","-0.7433","-0.8329","-2.5186","-2.4157","-1.9029","-2.0948","-1.4532","4.1857","3.7904","4.3857","4.331","4.4821","4.1009","4.7529","4.407","4.4324","3.0302","1.4791","1.4459","2.872","3.4426","-1.1106","-3.4344","-3.3264","-2.9687","-2.5003","-2.4995","-2.7104","-2.4874","-3.0226","-1.7663","-2.0208","-2.3647","-3.5889","-1.7952","-2.5712","-2.657","-2.2502","-1.744","-2.5533","-2.3442"
