"","2014-12-11_to_2015-12-12_ALLPortfolio_8QRank","2015-01-12_to_2016-01-12_ALLPortfolio_8QRank","2015-02-11_to_2016-02-12_ALLPortfolio_8QRank","2015-03-11_to_2016-03-12_ALLPortfolio_8QRank","2015-04-13_to_2016-04-12_ALLPortfolio_8QRank","2015-05-11_to_2016-05-12_ALLPortfolio_8QRank","2015-06-11_to_2016-06-12_ALLPortfolio_8QRank","2015-07-13_to_2016-07-12_ALLPortfolio_8QRank","2015-08-11_to_2016-08-12_ALLPortfolio_8QRank","2015-09-11_to_2016-09-12_ALLPortfolio_8QRank","2015-10-12_to_2016-10-12_ALLPortfolio_8QRank","2015-11-11_to_2016-11-12_ALLPortfolio_8QRank","2015-12-11_to_2016-12-12_ALLPortfolio_8QRank","2016-01-11_to_2017-01-12_ALLPortfolio_8QRank","2016-02-11_to_2017-02-12_ALLPortfolio_8QRank","2016-03-11_to_2017-03-12_ALLPortfolio_8QRank","2016-04-11_to_2017-04-12_ALLPortfolio_8QRank","2016-05-11_to_2017-05-12_ALLPortfolio_8QRank","2016-06-13_to_2017-06-12_ALLPortfolio_8QRank","2016-07-11_to_2017-07-12_ALLPortfolio_8QRank","2016-08-11_to_2017-08-12_ALLPortfolio_8QRank","2016-09-12_to_2017-09-12_ALLPortfolio_8QRank","2016-10-11_to_2017-10-12_ALLPortfolio_8QRank","2016-11-11_to_2017-11-12_ALLPortfolio_8QRank","2016-12-12_to_2017-12-12_ALLPortfolio_8QRank","2017-01-11_to_2018-01-12_ALLPortfolio_8QRank","2017-02-13_to_2018-02-12_ALLPortfolio_8QRank","2017-03-13_to_2018-03-12_ALLPortfolio_8QRank","2017-04-11_to_2018-04-12_ALLPortfolio_8QRank","2017-05-11_to_2018-05-12_ALLPortfolio_8QRank","2017-06-12_to_2018-06-12_ALLPortfolio_8QRank","2017-07-11_to_2018-07-12_ALLPortfolio_8QRank","2017-08-11_to_2018-08-12_ALLPortfolio_8QRank","2017-09-11_to_2018-09-12_ALLPortfolio_8QRank","2017-10-11_to_2018-10-12_ALLPortfolio_8QRank","2017-11-13_to_2018-11-12_ALLPortfolio_8QRank","2017-12-11_to_2018-12-12_ALLPortfolio_8QRank","2018-01-11_to_2019-01-12_ALLPortfolio_8QRank","2018-02-12_to_2019-02-12_ALLPortfolio_8QRank","2018-03-12_to_2019-03-12_ALLPortfolio_8QRank","2018-04-11_to_2019-04-12_ALLPortfolio_8QRank","2018-05-11_to_2019-05-12_ALLPortfolio_8QRank","2018-06-11_to_2019-06-12_ALLPortfolio_8QRank","2018-07-11_to_2019-07-12_ALLPortfolio_8QRank","2018-08-13_to_2019-08-12_ALLPortfolio_8QRank","2018-09-11_to_2019-09-12_ALLPortfolio_8QRank","2018-10-11_to_2019-10-12_ALLPortfolio_8QRank","2018-11-12_to_2019-11-12_ALLPortfolio_8QRank","2018-12-11_to_2019-12-12_ALLPortfolio_8QRank","2019-01-11_to_2020-01-12_ALLPortfolio_8QRank","2019-02-11_to_2020-02-12_ALLPortfolio_8QRank","2019-03-11_to_2020-03-12_ALLPortfolio_8QRank","2019-04-11_to_2020-04-12_ALLPortfolio_8QRank","2019-05-13_to_2020-05-12_ALLPortfolio_8QRank","2019-06-11_to_2020-06-12_ALLPortfolio_8QRank","2019-07-11_to_2020-07-12_ALLPortfolio_8QRank","2019-08-12_to_2020-08-12_ALLPortfolio_8QRank","2019-09-11_to_2020-09-12_ALLPortfolio_8QRank","2019-10-11_to_2020-10-12_ALLPortfolio_8QRank","2019-11-11_to_2020-11-12_ALLPortfolio_8QRank","2019-12-11_to_2020-12-12_ALLPortfolio_8QRank","2020-01-13_to_2021-01-12_ALLPortfolio_8QRank","2020-02-11_to_2021-02-12_ALLPortfolio_8QRank","2020-03-11_to_2021-03-12_ALLPortfolio_8QRank","2020-04-13_to_2021-04-12_ALLPortfolio_8QRank","2020-05-11_to_2021-05-12_ALLPortfolio_8QRank","2020-06-11_to_2021-06-12_ALLPortfolio_8QRank","2020-07-13_to_2021-07-12_ALLPortfolio_8QRank","2020-08-11_to_2021-08-12_ALLPortfolio_8QRank","2020-09-11_to_2021-09-12_ALLPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","4.254","3.639","-7.719","1.233","3.436","3.352","1.477","2.55","10.086","8.23","8.987","10.824","15.667","27.538","38.58","24.62","20.16","22.904","24.806","20.988","19.615","25.758","27.58","25.483","23.741","26.659","17.823","23.649","19.009","16.812","15.826","18.54","15.77","18.38","10.067","11.289","0.622","-5.853","2.032","0.477","4.514","6.221","1.88","5.701","1.452","3.392","4.969","12.514","19.212","20.592","19.14","-15.728","-2.514","1.775","7.627","12.644","23.716","22.428","34.386","15.964","18.437","28.324","26.989","78.664","61.271","60.551","52.435","49.982","43.183","43.608"
"B Annualized Returns","1.741","-4.163","-8.783","-1.446","-0.893","-0.738","0.552","2.209","5.298","12.344","6.405","3.607","9.383","16.38","22.52","17.753","14.76","15.467","16.955","13.025","11.632","14.93","18.951","19.843","18.104","21.738","11.418","14.792","11.553","13.273","14.212","14.311","16.08","16.434","7.565","9.628","-0.541","-6.245","1.178","0.16","9.702","5.836","4.184","8.589","3.739","3.815","7.278","13.662","19.721","28.636","26.794","0.479","-0.156","8.455","8.375","10.532","20.717","16.806","21.097","19.006","19.875","17.643","18.359","44.413","48.22","39.453","40.072","36.05","32.52","34.146"
"AR DIFF(P-B)","2.513","7.802","1.064","2.679","4.329","4.09","0.925","0.341","4.788","-4.114","2.582","7.217","6.284","11.158","16.06","6.867","5.4","7.437","7.851","7.963","7.983","10.828","8.629","5.64","5.637","4.921","6.405","8.857","7.456","3.539","1.614","4.229","-0.309999999999999","1.946","2.502","1.661","1.163","0.392","0.854","0.317","-5.188","0.385","-2.304","-2.888","-2.287","-0.423","-2.309","-1.148","-0.509","-8.044","-7.654","-16.207","-2.358","-6.68","-0.748","2.112","2.999","5.622","13.289","-3.042","-1.438","10.681","8.63","34.251","13.051","21.098","12.363","13.932","10.663","9.462"
"P Volatility","14.86","15.48","14.77","14.35","15.53","15.15","14.83","14.91","11.73","11.33","9.83","10.52","10.85","8.23","8.85","7.97","9","9.1","8.64","8.74","7.79","7.74","5.96","5.45","5.08","5.38","7.61","9.92","10.67","10.84","10.36","10.51","10.11","10.64","10.81","12.25","12.13","13.41","15.23","14.88","16.2","15.82","17.14","18.57","18.37","18.55","17.99","17.97","13.99","11.47","11.96","15.72","22.76","26.77","27.7","27.04","27.7","29.52","30.72","28.42","30.48","31.54","29.78","20.89","19.29","18.21","17.95","17.61","18.11","16.62"
"B Volatility","16.07","15.63","16.43","16.36","17.68","17.59","17.35","17.09","15.7","15.06","11.26","11.26","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","-1.21","-0.15","-1.66","-2.01","-2.15","-2.44","-2.52","-2.18","-3.97","-3.73","-1.43","-0.74","-0.460000000000001","0.86","1.45","1.97","2.94","3","2.65","3.28","2.45","2.89","1.71","1.23","0.9","1.25","2.64","2.29","1.44","1.59","0.959999999999999","1.1","0.19","0.380000000000001","0.610000000000001","-0.66","-0.68","-0.76","-0.67","-0.619999999999999","0.67","-0.259999999999998","-0.300000000000001","0.920000000000002","1.01","1.04","2.26","2.15","2.13","0.92","1.45","-0.0299999999999994","3.81","4.16","5.33","4.55","5.22","5.28","5.41","3.04","3.97","4.94","6.45","2.89","4.55","3.07","2.37","2.12","5.16","6.29"
"P Tracking Error","7.77","7.41","7.28","7.89","7.61","7.44","7.97","7.65","6.6","5.03","3.44","3.41","3.36","4.07","4.82","4.17","5.35","5.11","4.97","5.62","5.08","4.94","4.36","4.24","3.72","3.58","4.27","3.96","4.26","4.3","3.72","3.44","3.35","3.7","3.47","3.52","3.59","3.3","3.88","3.04","3.92","3.93","4.27","4.41","4.8","4.98","4.74","5.45","5.49","4.69","5.08","5.43","7.48","7.76","9.87","9.08","9.49","9.33","9.57","8.2","9.36","8.77","9.85","9.31","9.79","10.43","10.45","11.44","12.03","12.42"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
