"","2013-12-11_to_2016-12-12_ValuePortfolio_4QRank","2014-01-13_to_2017-01-12_ValuePortfolio_4QRank","2014-02-11_to_2017-02-12_ValuePortfolio_4QRank","2014-03-11_to_2017-03-12_ValuePortfolio_4QRank","2014-04-11_to_2017-04-12_ValuePortfolio_4QRank","2014-05-12_to_2017-05-12_ValuePortfolio_4QRank","2014-06-11_to_2017-06-12_ValuePortfolio_4QRank","2014-07-11_to_2017-07-12_ValuePortfolio_4QRank","2014-08-11_to_2017-08-12_ValuePortfolio_4QRank","2014-09-11_to_2017-09-12_ValuePortfolio_4QRank","2014-10-13_to_2017-10-12_ValuePortfolio_4QRank","2014-11-11_to_2017-11-12_ValuePortfolio_4QRank","2014-12-11_to_2017-12-12_ValuePortfolio_4QRank","2015-01-12_to_2018-01-12_ValuePortfolio_4QRank","2015-02-11_to_2018-02-12_ValuePortfolio_4QRank","2015-03-11_to_2018-03-12_ValuePortfolio_4QRank","2015-04-13_to_2018-04-12_ValuePortfolio_4QRank","2015-05-11_to_2018-05-12_ValuePortfolio_4QRank","2015-06-11_to_2018-06-12_ValuePortfolio_4QRank","2015-07-13_to_2018-07-12_ValuePortfolio_4QRank","2015-08-11_to_2018-08-12_ValuePortfolio_4QRank","2015-09-11_to_2018-09-12_ValuePortfolio_4QRank","2015-10-12_to_2018-10-12_ValuePortfolio_4QRank","2015-11-11_to_2018-11-12_ValuePortfolio_4QRank","2015-12-11_to_2018-12-12_ValuePortfolio_4QRank","2016-01-11_to_2019-01-12_ValuePortfolio_4QRank","2016-02-11_to_2019-02-12_ValuePortfolio_4QRank","2016-03-11_to_2019-03-12_ValuePortfolio_4QRank","2016-04-11_to_2019-04-12_ValuePortfolio_4QRank","2016-05-11_to_2019-05-12_ValuePortfolio_4QRank","2016-06-13_to_2019-06-12_ValuePortfolio_4QRank","2016-07-11_to_2019-07-12_ValuePortfolio_4QRank","2016-08-11_to_2019-08-12_ValuePortfolio_4QRank","2016-09-12_to_2019-09-12_ValuePortfolio_4QRank","2016-10-11_to_2019-10-12_ValuePortfolio_4QRank","2016-11-11_to_2019-11-12_ValuePortfolio_4QRank","2016-12-12_to_2019-12-12_ValuePortfolio_4QRank","2017-01-11_to_2020-01-12_ValuePortfolio_4QRank","2017-02-13_to_2020-02-12_ValuePortfolio_4QRank","2017-03-13_to_2020-03-12_ValuePortfolio_4QRank","2017-04-11_to_2020-04-12_ValuePortfolio_4QRank","2017-05-11_to_2020-05-12_ValuePortfolio_4QRank","2017-06-12_to_2020-06-12_ValuePortfolio_4QRank","2017-07-11_to_2020-07-12_ValuePortfolio_4QRank","2017-08-11_to_2020-08-12_ValuePortfolio_4QRank","2017-09-11_to_2020-09-12_ValuePortfolio_4QRank","2017-10-11_to_2020-10-12_ValuePortfolio_4QRank","2017-11-13_to_2020-11-12_ValuePortfolio_4QRank","2017-12-11_to_2020-12-12_ValuePortfolio_4QRank","2018-01-11_to_2021-01-12_ValuePortfolio_4QRank","2018-02-12_to_2021-02-12_ValuePortfolio_4QRank","2018-03-12_to_2021-03-12_ValuePortfolio_4QRank","2018-04-11_to_2021-04-12_ValuePortfolio_4QRank","2018-05-11_to_2021-05-12_ValuePortfolio_4QRank","2018-06-11_to_2021-06-12_ValuePortfolio_4QRank","2018-07-11_to_2021-07-12_ValuePortfolio_4QRank","2018-08-13_to_2021-08-12_ValuePortfolio_4QRank","2018-09-11_to_2021-09-12_ValuePortfolio_4QRank","2018-10-11_to_2021-10-12_ValuePortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.06","-0.26","-0.25","-0.49","-0.47","-0.35","-0.09","-0.29","-0.59","-0.64","0.06","0.14","1.3","1.71","0.52","-0.02","-0.41","-0.86","-0.45","-0.32","-0.29","-0.33","-0.28","0.14","0.44","0.48","0.98","0.48","0.26","0.3","-0.03","0.03","0.21","-0.24","0.17","0.03","0.42","-0.12","-0.95","-0.46","-0.66","-1.17","-1.45","-1.44","-1.2","-1.59","-1.34","-1.82","-1.21","-1.06","-1.23","-1.15","-1.24","0.6","0.5","-1.19","-0.82","0.73","0.78"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.09","0.06","0.1","-0.04","-0.03","0.09","0.07","0.02","-0.07","-0.14","0.04","0.06","0.53","0.46","0.05","-0.01","-0.17","-0.19","0","0.02","-0.04","-0.05","-0.06","0.1","0.06","0.21","0.25","0.25","-0.13","-0.01","-0.06","-0.06","0.02","-0.15","0","0.07","0.37","0.2","-0.16","-0.15","-0.3","-0.54","-0.62","-0.67","-0.49","-0.72","-0.48","-0.94","-0.82","-0.55","-0.44","-0.61","-0.36","0.58","0.41","-0.48","-0.28","0.42","0.2"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.72","0.71","0.59","0.62","0.64","0.65","0.79","0.81","0.74","0.84","1.02","0.93","0.99","1.1","1.15","1.02","0.93","0.73","0.83","0.92","0.95","0.9","1.07","0.92","1.08","1.08","1.2","1.16","1.16","1.13","1.16","1.08","1.15","1.04","1.02","0.91","0.78","0.76","0.63","0.68","0.81","0.78","0.9","0.78","0.88","0.87","0.83","0.86","1.02","0.91","0.78","0.74","0.78","0.99","0.99","0.83","0.85","1.17","1.36"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","68.01","64.6","51.96","57.22","59.05","66.67","81.2","85.24","77.98","83.97","90.55","86.84","80.81","80.13","81.87","79.22","84.1","65.05","77.97","80.43","72.12","70.64","78.4","75.48","73.92","74.56","73.77","73.59","65.69","75.33","77.14","79.43","73.16","77.65","79.36","87.84","79.44","78.91","62.64","69.35","81.44","82","84.29","78.37","86.79","88.15","84.14","84.57","84.8","83.3","78.46","76.7","77.92","72.42","75.04","80.24","78.8","79.58","82.84"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.7177","-11.6763","-12.6372","-13.6415","-10.4982","-10.3902","-11.3979","-11.1685","-13.0001","-13.0556","-13.6137","-13.8762","-14.7788","-18.0855","-18.4921","-18.6301","-16.0559","-16.3338","-13.5782","-14.56","-15.8857","-15.572","-14.7165","-13.4501","-13.3464","-21.1615","-25.075","-23.1222","-25.2135","-23.7459","-24.9989","-22.5787","-23.7634","-22.0856","-21.1231","-18.3882","-15.0117","-14.6202","-13.7498","-23.476","-30.3838","-29.6303","-34.0356","-28.4662","-29.4949","-33.2694","-33.2427","-33.4395","-37.0037","-35.4593","-34.4873","-33.5025","-33.0244","-32.585","-32.7927","-32.9447","-34.598","-35.5225","-38.6152"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","2.6102","1.6516","0.6907","-0.313600000000001","2.8297","2.9377","1.93","2.1594","0.3278","0.2723","-0.2858","-0.548300000000001","-1.4509","-4.7576","-5.1642","-5.3022","-2.728","-3.0059","-0.250300000000001","-1.2321","-4.0495","-3.7358","-2.8803","-2.0365","-2.1736","-1.2022","-5.1157","-3.1629","-5.2542","-3.7866","-5.0396","-2.6194","-3.8041","-2.1263","-1.1638","1.5712","4.9476","5.3391","6.2095","2.5626","1.1474","1.9009","-2.5044","3.065","2.0363","-1.7382","-1.7115","-1.9083","-5.4725","-3.9281","-2.9561","-1.9713","-1.4932","-1.0538","-1.26150000000001","-1.4135","-3.0668","-3.9913","-7.084"
