"","2014-12-11_to_2016-12-12_ALLPortfolio_8QRank","2015-01-12_to_2017-01-12_ALLPortfolio_8QRank","2015-02-11_to_2017-02-12_ALLPortfolio_8QRank","2015-03-11_to_2017-03-12_ALLPortfolio_8QRank","2015-04-13_to_2017-04-12_ALLPortfolio_8QRank","2015-05-11_to_2017-05-12_ALLPortfolio_8QRank","2015-06-11_to_2017-06-12_ALLPortfolio_8QRank","2015-07-13_to_2017-07-12_ALLPortfolio_8QRank","2015-08-11_to_2017-08-12_ALLPortfolio_8QRank","2015-09-11_to_2017-09-12_ALLPortfolio_8QRank","2015-10-12_to_2017-10-12_ALLPortfolio_8QRank","2015-11-11_to_2017-11-12_ALLPortfolio_8QRank","2015-12-11_to_2017-12-12_ALLPortfolio_8QRank","2016-01-11_to_2018-01-12_ALLPortfolio_8QRank","2016-02-11_to_2018-02-12_ALLPortfolio_8QRank","2016-03-11_to_2018-03-12_ALLPortfolio_8QRank","2016-04-11_to_2018-04-12_ALLPortfolio_8QRank","2016-05-11_to_2018-05-12_ALLPortfolio_8QRank","2016-06-13_to_2018-06-12_ALLPortfolio_8QRank","2016-07-11_to_2018-07-12_ALLPortfolio_8QRank","2016-08-11_to_2018-08-12_ALLPortfolio_8QRank","2016-09-12_to_2018-09-12_ALLPortfolio_8QRank","2016-10-11_to_2018-10-12_ALLPortfolio_8QRank","2016-11-11_to_2018-11-12_ALLPortfolio_8QRank","2016-12-12_to_2018-12-12_ALLPortfolio_8QRank","2017-01-11_to_2019-01-12_ALLPortfolio_8QRank","2017-02-13_to_2019-02-12_ALLPortfolio_8QRank","2017-03-13_to_2019-03-12_ALLPortfolio_8QRank","2017-04-11_to_2019-04-12_ALLPortfolio_8QRank","2017-05-11_to_2019-05-12_ALLPortfolio_8QRank","2017-06-12_to_2019-06-12_ALLPortfolio_8QRank","2017-07-11_to_2019-07-12_ALLPortfolio_8QRank","2017-08-11_to_2019-08-12_ALLPortfolio_8QRank","2017-09-11_to_2019-09-12_ALLPortfolio_8QRank","2017-10-11_to_2019-10-12_ALLPortfolio_8QRank","2017-11-13_to_2019-11-12_ALLPortfolio_8QRank","2017-12-11_to_2019-12-12_ALLPortfolio_8QRank","2018-01-11_to_2020-01-12_ALLPortfolio_8QRank","2018-02-12_to_2020-02-12_ALLPortfolio_8QRank","2018-03-12_to_2020-03-12_ALLPortfolio_8QRank","2018-04-11_to_2020-04-12_ALLPortfolio_8QRank","2018-05-11_to_2020-05-12_ALLPortfolio_8QRank","2018-06-11_to_2020-06-12_ALLPortfolio_8QRank","2018-07-11_to_2020-07-12_ALLPortfolio_8QRank","2018-08-13_to_2020-08-12_ALLPortfolio_8QRank","2018-09-11_to_2020-09-12_ALLPortfolio_8QRank","2018-10-11_to_2020-10-12_ALLPortfolio_8QRank","2018-11-12_to_2020-11-12_ALLPortfolio_8QRank","2018-12-11_to_2020-12-12_ALLPortfolio_8QRank","2019-01-11_to_2021-01-12_ALLPortfolio_8QRank","2019-02-11_to_2021-02-12_ALLPortfolio_8QRank","2019-03-11_to_2021-03-12_ALLPortfolio_8QRank","2019-04-11_to_2021-04-12_ALLPortfolio_8QRank","2019-05-13_to_2021-05-12_ALLPortfolio_8QRank","2019-06-11_to_2021-06-12_ALLPortfolio_8QRank","2019-07-11_to_2021-07-12_ALLPortfolio_8QRank","2019-08-12_to_2021-08-12_ALLPortfolio_8QRank","2019-09-11_to_2021-09-12_ALLPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.28","0.37","0.31","0.49","0.44","0.37","0.27","0.25","0.94","0.4","0.6","0.55","0.56","0.54","0.5","0.19","0.54","0.46","0.54","0.38","0.43","0.26","0.42","0.43","0.41","0.17","0.14","0.2","0.11","-0.03","-0.05","0.03","-0.09","0.15","-0.07","0.15","0.01","-0.01","-0.12","-0.07","-0.5","-0.42","-0.22","-0.25","-0.09","-0.31","-0.23","0.08","0.04","-0.12","-0.48","-0.24","0.34","0.12","0.16","0.19","0.15","0.22"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.84","0.9","0.84","0.82","0.81","0.8","0.78","0.8","0.71","0.75","0.88","0.92","0.91","0.97","1.12","1.27","1.13","1.16","1.14","1.17","1.02","1.05","0.98","0.93","0.95","1","1.05","1.06","1.04","1.03","0.99","1.04","1","1","1.01","0.93","0.94","0.96","0.91","0.89","1.04","1.03","1.04","1.08","1.12","1.06","1.11","1.13","1.25","1.2","1.14","1.12","1.25","1.23","1.26","1.22","1.23","1.2"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","80.52","82.45","80.51","78.12","78.25","79.43","76.26","76.2","69.31","82.06","74.04","77.45","79.21","62.14","67.04","78.76","73.4","74.45","76.29","74.37","68.71","70.41","69.06","78.56","84.75","91.48","91.02","92.04","91.44","92.01","93.15","94.03","91.8","91.89","91.94","88.61","90.2","90.52","86.31","89.75","89.7","93.8","92.25","92.19","91.67","92.11","92.02","91.68","89.33","88.81","88.77","86.77","89.4","86.38","85.72","86.46","85.29","84.66"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.0701","-14.4325","-13.6351","-12.8598","-12.7615","-12.639","-13.3458","-13.6582","-12.0918","-12.2333","-13.0339","-12.6189","-12.7029","-7.1849","-9.5852","-9.6115","-9.6159","-9.6666","-9.5894","-9.7232","-9.7872","-9.6398","-9.7284","-10.6544","-10.8013","-19.8486","-20.4169","-20.8897","-20.5891","-20.1882","-19.5042","-20.0284","-19.0155","-18.8089","-19.5194","-18.1442","-18.0909","-18.7443","-18.1866","-25.256","-31.5737","-30.7681","-30.4348","-31.2819","-32.415","-31.5127","-32.0627","-31.3063","-33.1832","-32.7148","-32.4955","-32.5442","-32.3848","-32.4579","-32.5187","-31.445","-31.238","-31.2641"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-9.7412","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.7422","-1.1046","-0.3072","0.4681","0.5664","0.6889","-0.0179000000000009","-0.330300000000001","-0.255599999999999","-0.3971","-1.1977","-1.2053","-2.1767","-2.0645","0.155999999999999","0.1296","0.965199999999999","0.914499999999999","0.9917","0.857899999999999","0.793899999999999","0.9413","0.852699999999999","-0.0733000000000015","-0.2202","0.110699999999998","-0.457599999999999","-0.930400000000002","-0.629799999999999","-0.228899999999999","0.455099999999998","-0.0691000000000024","0.9438","1.1504","0.439899999999998","1.8151","1.8684","1.215","1.7727","-5.2967","-0.0425000000000004","0.763099999999998","1.0964","0.249299999999998","-0.883800000000001","0.0184999999999995","-0.531500000000001","0.224899999999998","-1.652","-1.1836","-0.964300000000001","-1.013","-0.8536","-0.926700000000004","-0.987500000000004","0.0861999999999981","0.293199999999999","0.267099999999999"
