"","2013-06-11_to_2015-06-12_VGPortfolio_2QRank","2013-07-11_to_2015-07-12_VGPortfolio_2QRank","2013-08-12_to_2015-08-12_VGPortfolio_2QRank","2013-09-11_to_2015-09-12_VGPortfolio_2QRank","2013-10-11_to_2015-10-12_VGPortfolio_2QRank","2013-11-11_to_2015-11-12_VGPortfolio_2QRank","2013-12-11_to_2015-12-12_VGPortfolio_2QRank","2014-01-13_to_2016-01-12_VGPortfolio_2QRank","2014-02-11_to_2016-02-12_VGPortfolio_2QRank","2014-03-11_to_2016-03-12_VGPortfolio_2QRank","2014-04-11_to_2016-04-12_VGPortfolio_2QRank","2014-05-12_to_2016-05-12_VGPortfolio_2QRank","2014-06-11_to_2016-06-12_VGPortfolio_2QRank","2014-07-11_to_2016-07-12_VGPortfolio_2QRank","2014-08-11_to_2016-08-12_VGPortfolio_2QRank","2014-09-11_to_2016-09-12_VGPortfolio_2QRank","2014-10-13_to_2016-10-12_VGPortfolio_2QRank","2014-11-11_to_2016-11-12_VGPortfolio_2QRank","2014-12-11_to_2016-12-12_VGPortfolio_2QRank","2015-01-12_to_2017-01-12_VGPortfolio_2QRank","2015-02-11_to_2017-02-12_VGPortfolio_2QRank","2015-03-11_to_2017-03-12_VGPortfolio_2QRank","2015-04-13_to_2017-04-12_VGPortfolio_2QRank","2015-05-11_to_2017-05-12_VGPortfolio_2QRank","2015-06-11_to_2017-06-12_VGPortfolio_2QRank","2015-07-13_to_2017-07-12_VGPortfolio_2QRank","2015-08-11_to_2017-08-12_VGPortfolio_2QRank","2015-09-11_to_2017-09-12_VGPortfolio_2QRank","2015-10-12_to_2017-10-12_VGPortfolio_2QRank","2015-11-11_to_2017-11-12_VGPortfolio_2QRank","2015-12-11_to_2017-12-12_VGPortfolio_2QRank","2016-01-11_to_2018-01-12_VGPortfolio_2QRank","2016-02-11_to_2018-02-12_VGPortfolio_2QRank","2016-03-11_to_2018-03-12_VGPortfolio_2QRank","2016-04-11_to_2018-04-12_VGPortfolio_2QRank","2016-05-11_to_2018-05-12_VGPortfolio_2QRank","2016-06-13_to_2018-06-12_VGPortfolio_2QRank","2016-07-11_to_2018-07-12_VGPortfolio_2QRank","2016-08-11_to_2018-08-12_VGPortfolio_2QRank","2016-09-12_to_2018-09-12_VGPortfolio_2QRank","2016-10-11_to_2018-10-12_VGPortfolio_2QRank","2016-11-11_to_2018-11-12_VGPortfolio_2QRank","2016-12-12_to_2018-12-12_VGPortfolio_2QRank","2017-01-11_to_2019-01-12_VGPortfolio_2QRank","2017-02-13_to_2019-02-12_VGPortfolio_2QRank","2017-03-13_to_2019-03-12_VGPortfolio_2QRank","2017-04-11_to_2019-04-12_VGPortfolio_2QRank","2017-05-11_to_2019-05-12_VGPortfolio_2QRank","2017-06-12_to_2019-06-12_VGPortfolio_2QRank","2017-07-11_to_2019-07-12_VGPortfolio_2QRank","2017-08-11_to_2019-08-12_VGPortfolio_2QRank","2017-09-11_to_2019-09-12_VGPortfolio_2QRank","2017-10-11_to_2019-10-12_VGPortfolio_2QRank","2017-11-13_to_2019-11-12_VGPortfolio_2QRank","2017-12-11_to_2019-12-12_VGPortfolio_2QRank","2018-01-11_to_2020-01-12_VGPortfolio_2QRank","2018-02-12_to_2020-02-12_VGPortfolio_2QRank","2018-03-12_to_2020-03-12_VGPortfolio_2QRank","2018-04-11_to_2020-04-12_VGPortfolio_2QRank","2018-05-11_to_2020-05-12_VGPortfolio_2QRank","2018-06-11_to_2020-06-12_VGPortfolio_2QRank","2018-07-11_to_2020-07-12_VGPortfolio_2QRank","2018-08-13_to_2020-08-12_VGPortfolio_2QRank","2018-09-11_to_2020-09-12_VGPortfolio_2QRank","2018-10-11_to_2020-10-12_VGPortfolio_2QRank","2018-11-12_to_2020-11-12_VGPortfolio_2QRank","2018-12-11_to_2020-12-12_VGPortfolio_2QRank","2019-01-11_to_2021-01-12_VGPortfolio_2QRank","2019-02-11_to_2021-02-12_VGPortfolio_2QRank","2019-03-11_to_2021-03-12_VGPortfolio_2QRank","2019-04-11_to_2021-04-12_VGPortfolio_2QRank","2019-05-13_to_2021-05-12_VGPortfolio_2QRank","2019-06-11_to_2021-06-12_VGPortfolio_2QRank","2019-07-11_to_2021-07-12_VGPortfolio_2QRank","2019-08-12_to_2021-08-12_VGPortfolio_2QRank","2019-09-11_to_2021-09-12_VGPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","22.687","19.953","17.174","11.347","13.32","14.139","15.284","10.627","5.748","6.851","12.639","11.696","11.038","11.696","12.909","9.432","13.928","4.583","10.344","11.028","6.057","12.254","9.459","9.548","9.792","9.518","8.634","14.213","22.208","19.67","22.615","30.389","32.896","25.525","25.458","21.491","23.111","23.487","17.872","17.824","16.154","12.045","10.145","6.197","8.44","8.07","11.539","10.795","10.707","12.423","10.022","11.194","7.672","9.721","7.594","7.599","15.639","-5.596","5.467","2.512","7.691","9.653","11.749","12.619","21.786","11.405","16.173","31.29","23.564","21.28","19.093","33.335","33.253","32.71","35.72","30.325"
"B Annualized Returns","12.076","10.342","10.247","6.736","8.481","7.483","7.303","3.425","1.851","4.379","6.631","4.419","3.731","4.425","5.983","3.8","6.291","2.909","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","10.611","9.611","6.927","4.611","4.839","6.656","7.981","7.202","3.897","2.472","6.008","7.277","7.307","7.271","6.926","5.632","7.637","1.674","5.2","5.084","0.208","3.768","2.942","2.697","2.426","1.681","0.0700000000000003","0.943999999999999","9.915","8.753","9.184","10.501","14.001","8.535","11.836","7.004","7.725","9.242","3.947","2.15","2.161","-0.356","1.514","-0.641","0.0609999999999999","-0.0860000000000003","0.587999999999999","0.959999999999999","1.781","0.791","1.582","1.095","-0.288","-0.222","-1.969","-1.626","2.021","-1.265","0.81","-2.463","0.951","-0.481999999999999","0.0389999999999997","2.554","5.706","-4.44","-3.593","8.665","0.518000000000001","0.792000000000002","-2.417","11.644","10.199","9.593","8.973","4.929"
"P Volatility","10.12","9.34","8.01","8.73","9.42","10.5","10.29","10.18","10.8","11.17","12.37","12.2","11.91","14.06","13.54","13.17","13.85","12.42","12.61","12.02","12.11","12.12","11.33","10.51","10.37","10.6","10.36","10.08","8.72","8.81","9.4","8.05","8.72","8.08","9.37","9.31","8.86","8.76","7.82","8.57","8","8.92","10","12.21","12.98","12.8","13.52","14.17","15.03","15.21","15.17","15.74","15.73","14.64","14.79","13.24","13.34","15.35","16.96","19.27","18.6","18.32","18.87","22.95","23.76","19.4","19.94","22.15","19.84","19.26","17.64","22.61","24.01","23.35","24.18","24.24"
"B Volatility","9.65","9.48","9.04","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","0.469999999999999","-0.140000000000001","-1.03","-1.58","-0.790000000000001","-1.75","-1.94","-1.65","-1.43","-1.08","-0.620000000000001","-0.74","-1.02","1.15","0.619999999999999","0.279999999999999","0.98","-0.43","-0.360000000000001","-0.440000000000001","0.229999999999999","0.159999999999998","-0.619999999999999","-1.44","-1.42","-1.12","-0.26","-0.0899999999999999","1.02","1.13","1.87","1.94","2.11","1.21","1.66","1.58","1.1","1.23","0.04","0.66","0.36","-0.59","0.539999999999999","0.300000000000001","0.440000000000001","0.190000000000001","0.859999999999999","1.26","0.92","0.440000000000001","0.4","0.85","0.860000000000001","-0.219999999999999","-0.220000000000001","-1.41","-0.880000000000001","-0.0700000000000003","-0.399999999999999","-0.25","-1.05","-1.24","-0.879999999999999","2.36","3.51","-1.13","-0.0599999999999987","2.46","0.0899999999999999","-0.479999999999997","-2.09","3.78","5.47","4.79","5.83","5.87"
"P Tracking Error","6.62","6.78","5.73","5.18","4.81","5.93","6.26","5.33","5.54","4.83","3.51","4.68","4.78","5.24","3.99","4.32","4.25","3.67","3.92","3.35","3.49","4.44","4.78","4.38","4.47","4.03","2.84","3.09","4.19","3.81","4.11","4.4","4.73","3.68","4.44","4.32","3.32","3.61","3.61","3.03","2.94","2.91","2.96","2.57","2.34","2.78","3.11","3.81","3.71","3.36","3.49","3.22","3.28","3.23","3.38","3.39","2.58","3.52","3.2","3.5","2.69","3.37","3.47","6.06","6.27","4.59","5.59","4.82","4.1","4.59","4.46","8.1","8.7","8.29","9.25","9.57"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
