"","2013-12-11_to_2016-12-12_CorePortfolio_4QRank","2014-01-13_to_2017-01-12_CorePortfolio_4QRank","2014-02-11_to_2017-02-12_CorePortfolio_4QRank","2014-03-11_to_2017-03-12_CorePortfolio_4QRank","2014-04-11_to_2017-04-12_CorePortfolio_4QRank","2014-05-12_to_2017-05-12_CorePortfolio_4QRank","2014-06-11_to_2017-06-12_CorePortfolio_4QRank","2014-07-11_to_2017-07-12_CorePortfolio_4QRank","2014-08-11_to_2017-08-12_CorePortfolio_4QRank","2014-09-11_to_2017-09-12_CorePortfolio_4QRank","2014-10-13_to_2017-10-12_CorePortfolio_4QRank","2014-11-11_to_2017-11-12_CorePortfolio_4QRank","2014-12-11_to_2017-12-12_CorePortfolio_4QRank","2015-01-12_to_2018-01-12_CorePortfolio_4QRank","2015-02-11_to_2018-02-12_CorePortfolio_4QRank","2015-03-11_to_2018-03-12_CorePortfolio_4QRank","2015-04-13_to_2018-04-12_CorePortfolio_4QRank","2015-05-11_to_2018-05-12_CorePortfolio_4QRank","2015-06-11_to_2018-06-12_CorePortfolio_4QRank","2015-07-13_to_2018-07-12_CorePortfolio_4QRank","2015-08-11_to_2018-08-12_CorePortfolio_4QRank","2015-09-11_to_2018-09-12_CorePortfolio_4QRank","2015-10-12_to_2018-10-12_CorePortfolio_4QRank","2015-11-11_to_2018-11-12_CorePortfolio_4QRank","2015-12-11_to_2018-12-12_CorePortfolio_4QRank","2016-01-11_to_2019-01-12_CorePortfolio_4QRank","2016-02-11_to_2019-02-12_CorePortfolio_4QRank","2016-03-11_to_2019-03-12_CorePortfolio_4QRank","2016-04-11_to_2019-04-12_CorePortfolio_4QRank","2016-05-11_to_2019-05-12_CorePortfolio_4QRank","2016-06-13_to_2019-06-12_CorePortfolio_4QRank","2016-07-11_to_2019-07-12_CorePortfolio_4QRank","2016-08-11_to_2019-08-12_CorePortfolio_4QRank","2016-09-12_to_2019-09-12_CorePortfolio_4QRank","2016-10-11_to_2019-10-12_CorePortfolio_4QRank","2016-11-11_to_2019-11-12_CorePortfolio_4QRank","2016-12-12_to_2019-12-12_CorePortfolio_4QRank","2017-01-11_to_2020-01-12_CorePortfolio_4QRank","2017-02-13_to_2020-02-12_CorePortfolio_4QRank","2017-03-13_to_2020-03-12_CorePortfolio_4QRank","2017-04-11_to_2020-04-12_CorePortfolio_4QRank","2017-05-11_to_2020-05-12_CorePortfolio_4QRank","2017-06-12_to_2020-06-12_CorePortfolio_4QRank","2017-07-11_to_2020-07-12_CorePortfolio_4QRank","2017-08-11_to_2020-08-12_CorePortfolio_4QRank","2017-09-11_to_2020-09-12_CorePortfolio_4QRank","2017-10-11_to_2020-10-12_CorePortfolio_4QRank","2017-11-13_to_2020-11-12_CorePortfolio_4QRank","2017-12-11_to_2020-12-12_CorePortfolio_4QRank","2018-01-11_to_2021-01-12_CorePortfolio_4QRank","2018-02-12_to_2021-02-12_CorePortfolio_4QRank","2018-03-12_to_2021-03-12_CorePortfolio_4QRank","2018-04-11_to_2021-04-12_CorePortfolio_4QRank","2018-05-11_to_2021-05-12_CorePortfolio_4QRank","2018-06-11_to_2021-06-12_CorePortfolio_4QRank","2018-07-11_to_2021-07-12_CorePortfolio_4QRank","2018-08-13_to_2021-08-12_CorePortfolio_4QRank","2018-09-11_to_2021-09-12_CorePortfolio_4QRank","2018-10-11_to_2021-10-12_CorePortfolio_4QRank"
"P Information Ratio","1.56","1.23","1.35","0.82","0.88","1.68","0.68","1.86","1.25","2.18","2.43","2.35","0.62","1.48","1.03","1.61","2.04","2","1.85","1.45","1.12","1.26","-0.58","-0.26","0.02","-0.17","0.19","0.28","-0.32","-0.29","-0.07","0.46","0.23","0.73","-0.33","0.23","0.23","0.5","0.37","0.24","0.12","-0.31","-0.63","-0.56","-0.88","-0.91","-0.2","-0.67","-0.92","-0.74","0.27","-0.53","0.1","-0.36","-0.65","0.2","0.18","-0.83","-0.91"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.41","0.31","0.31","0.18","0.2","0.34","0.15","0.5","0.32","0.58","0.57","0.59","0.21","0.41","0.3","0.35","0.62","0.52","0.5","0.46","0.38","0.31","-0.13","-0.04","0.01","0.06","0.07","0.13","-0.02","0.04","0.04","0.13","0.12","0.2","-0.01","0.16","0.15","0.17","0.13","0.08","0.01","-0.06","-0.07","-0.03","-0.16","-0.26","0.02","-0.21","-0.26","-0.24","0.09","-0.21","0.03","-0.14","-0.13","0.06","0.03","-0.18","-0.25"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","0.99","1.04","1.04","1.01","1.04","0.96","0.95","0.94","0.94","0.92","0.96","0.93","0.93","0.92","0.92","0.99","1.04","0.99","0.99","0.99","1.02","0.99","0.94","0.92","0.94","0.91","0.93","0.93","0.93","0.93","0.97","0.91","0.95","0.94","0.93","0.94","0.93","0.93","0.94","0.95","0.95","0.92","0.95","0.93","0.93","0.91","0.9","0.91","0.89","1.04","0.97","1.05","0.96","0.96","1.02","1.03","0.9","0.92"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.14","91.74","92.16","93.71","93.29","93.99","93.95","92.14","92.8","91.43","90.95","91.18","94.9","90.55","90.9","92.64","89.14","90.29","90.05","88.14","89.11","89.73","89.43","90.13","90.45","92.42","92.65","92.36","90.49","93.79","94.25","94.67","96","95.75","95.37","94.88","93.59","94.97","96.27","95.86","97.06","96.78","96.46","96.8","96.34","96.46","97.54","93.03","92.87","93.67","95.37","93.74","95.05","94.58","93.88","93.33","94.62","90.91","90.94"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.2469","-13.906","-15.3046","-14.8571","-14.6879","-15.0918","-13.8494","-13.457","-14.0724","-13.8318","-13.0615","-14.3836","-14.278","-13.2166","-13.0411","-12.6905","-14.4465","-14.4575","-13.3602","-13.0921","-12.7","-13.0709","-12.8729","-12.8711","-12.0116","-17.775","-15.3836","-16.2902","-16.1889","-17.2724","-17.0242","-17.8318","-16.7254","-17.6332","-18.1925","-17.3407","-17.9079","-17.5525","-16.9392","-26.3584","-33.4963","-33.6375","-32.5601","-32.6128","-32.8746","-32.5492","-31.1715","-34.2677","-33.852","-33.6982","-33.9621","-34.3188","-34.6522","-34.2069","-34.6754","-35.1975","-34.8724","-34.0569","-33.5327"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.0809999999999995","-0.578100000000001","-1.9767","-1.5292","-1.36","-1.7639","-0.5215","-0.129100000000001","-0.7445","-0.5039","0.266399999999999","-1.0557","-0.950100000000001","0.1113","0.286799999999999","0.6374","-1.1186","-1.1296","-0.0323000000000011","0.235799999999999","-0.863799999999999","-1.2347","-1.0367","-1.4575","-0.838799999999999","2.1843","4.5757","3.6691","3.7704","2.6869","2.9351","2.1275","3.2339","2.3261","1.7668","2.6187","2.0514","2.4068","3.0201","-0.319800000000001","-1.9651","-2.1063","-1.0289","-1.0816","-1.3434","-1.018","0.359699999999997","-2.7365","-2.3208","-2.167","-2.4309","-2.7876","-3.121","-2.6757","-3.1442","-3.6663","-3.3412","-2.5257","-2.0015"
