"","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","3.193","4.554","-8.042","1.4","3.841","3.751","0.501","1.058","11.285","7.246","9.198","11.767","16.975","29.838","42.715","25.857","22.069","25.112","26.689","22.782","21.925","28.042","29.691","27.885","25.794","27.492","19.258","25.545","20.749","17.861","16.299","20.627","16.592","20.292","11.377","12.977","0.937","-5.867","1.47","0.046","2.657","5.703","0.86","4.598","0.412","2.738","3.993","12.781","19.961","19.892","18.424","-16.839","-1.544","2.562","8.931","15.311","26.676","26.628","41.139","16.279","17.702","32.413","31.265","84.488","66.032","64.988","55.584","54.12","46.391","46.702"
"B Annualized Returns","1.741","-4.163","-8.783","-1.446","-0.893","-0.738","0.552","2.209","5.298","12.344","6.405","3.607","9.383","16.38","22.52","17.753","14.76","15.467","16.955","13.025","11.632","14.93","18.951","19.843","18.104","21.738","11.418","14.792","11.553","13.273","14.212","14.311","16.08","16.434","7.565","9.628","-0.541","-6.245","1.178","0.16","9.702","5.836","4.184","8.589","3.739","3.815","7.278","13.662","19.721","28.636","26.794","0.479","-0.156","8.455","8.375","10.532","20.717","16.806","21.097","19.006","19.875","17.643","18.359","44.413","48.22","39.453","40.072","36.05","32.52","34.146"
"AR DIFF(P-B)","1.452","8.717","0.741","2.846","4.734","4.489","-0.051","-1.151","5.987","-5.098","2.793","8.16","7.592","13.458","20.195","8.104","7.309","9.645","9.734","9.757","10.293","13.112","10.74","8.042","7.69","5.754","7.84","10.753","9.196","4.588","2.087","6.316","0.512","3.858","3.812","3.349","1.478","0.378","0.292","-0.114","-7.045","-0.133","-3.324","-3.991","-3.327","-1.077","-3.285","-0.881","0.239999999999998","-8.744","-8.37","-17.318","-1.388","-5.893","0.555999999999999","4.779","5.959","9.822","20.042","-2.727","-2.173","14.77","12.906","40.075","17.812","25.535","15.512","18.07","13.871","12.556"
"P Volatility","14.65","15.61","14.46","13.86","15.32","14.78","14.31","14.42","11.43","10.82","9.69","10.65","11","8.68","9.5","8.43","9.7","9.83","9.15","9.55","8.15","8.13","6.06","5.53","4.88","5.36","8.19","10.25","11.1","11.37","10.59","10.79","10.11","10.83","11.27","12.5","12.22","13.47","15.46","14.89","16.96","16.38","17.6","19.12","18.82","19.13","18.72","18.26","14.24","11.48","12.13","15.9","22.86","26.86","28.01","27.03","27.79","29.81","31.4","27.96","29.41","31.47","30.02","21.19","20.07","18.82","18.63","18.14","19.07","17.27"
"B Volatility","16.07","15.63","16.43","16.36","17.68","17.59","17.35","17.09","15.7","15.06","11.26","11.26","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","-1.42","-0.0200000000000014","-1.97","-2.5","-2.36","-2.81","-3.04","-2.67","-4.27","-4.24","-1.57","-0.609999999999999","-0.31","1.31","2.1","2.43","3.64","3.73","3.16","4.09","2.81","3.28","1.81","1.31","0.7","1.23","3.22","2.62","1.87","2.12","1.19","1.38","0.19","0.57","1.07","-0.41","-0.59","-0.699999999999999","-0.44","-0.609999999999999","1.43","0.300000000000001","0.16","1.47","1.46","1.62","2.99","2.44","2.38","0.93","1.62","0.15","3.91","4.25","5.64","4.54","5.31","5.57","6.09","2.58","2.9","4.87","6.69","3.19","5.33","3.68","3.05","2.65","6.12","6.94"
"P Tracking Error","8.18","7.57","7.41","8.34","8.05","7.8","8.69","8.31","7.08","5.93","3.86","3.88","3.69","4.91","5.78","5.1","6.53","6.2","5.82","6.71","5.87","5.66","5","4.94","4.08","4","4.91","4.5","4.74","4.82","4.15","3.7","3.56","4.05","4.02","3.73","3.49","3.22","4.12","3.13","4.65","4.28","4.63","4.62","5.11","5.26","5.13","5.77","5.63","4.64","4.92","5.32","7.48","7.86","10.25","9.27","9.79","9.88","10.28","7.98","8.76","8.36","9.86","9.48","10.1","10.81","10.81","11.87","12.81","13.13"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
