"","2013-06-11_to_2016-06-12_ALLPortfolio_2QRank","2013-07-11_to_2016-07-12_ALLPortfolio_2QRank","2013-08-12_to_2016-08-12_ALLPortfolio_2QRank","2013-09-11_to_2016-09-12_ALLPortfolio_2QRank","2013-10-11_to_2016-10-12_ALLPortfolio_2QRank","2013-11-11_to_2016-11-12_ALLPortfolio_2QRank","2013-12-11_to_2016-12-12_ALLPortfolio_2QRank","2014-01-13_to_2017-01-12_ALLPortfolio_2QRank","2014-02-11_to_2017-02-12_ALLPortfolio_2QRank","2014-03-11_to_2017-03-12_ALLPortfolio_2QRank","2014-04-11_to_2017-04-12_ALLPortfolio_2QRank","2014-05-12_to_2017-05-12_ALLPortfolio_2QRank","2014-06-11_to_2017-06-12_ALLPortfolio_2QRank","2014-07-11_to_2017-07-12_ALLPortfolio_2QRank","2014-08-11_to_2017-08-12_ALLPortfolio_2QRank","2014-09-11_to_2017-09-12_ALLPortfolio_2QRank","2014-10-13_to_2017-10-12_ALLPortfolio_2QRank","2014-11-11_to_2017-11-12_ALLPortfolio_2QRank","2014-12-11_to_2017-12-12_ALLPortfolio_2QRank","2015-01-12_to_2018-01-12_ALLPortfolio_2QRank","2015-02-11_to_2018-02-12_ALLPortfolio_2QRank","2015-03-11_to_2018-03-12_ALLPortfolio_2QRank","2015-04-13_to_2018-04-12_ALLPortfolio_2QRank","2015-05-11_to_2018-05-12_ALLPortfolio_2QRank","2015-06-11_to_2018-06-12_ALLPortfolio_2QRank","2015-07-13_to_2018-07-12_ALLPortfolio_2QRank","2015-08-11_to_2018-08-12_ALLPortfolio_2QRank","2015-09-11_to_2018-09-12_ALLPortfolio_2QRank","2015-10-12_to_2018-10-12_ALLPortfolio_2QRank","2015-11-11_to_2018-11-12_ALLPortfolio_2QRank","2015-12-11_to_2018-12-12_ALLPortfolio_2QRank","2016-01-11_to_2019-01-12_ALLPortfolio_2QRank","2016-02-11_to_2019-02-12_ALLPortfolio_2QRank","2016-03-11_to_2019-03-12_ALLPortfolio_2QRank","2016-04-11_to_2019-04-12_ALLPortfolio_2QRank","2016-05-11_to_2019-05-12_ALLPortfolio_2QRank","2016-06-13_to_2019-06-12_ALLPortfolio_2QRank","2016-07-11_to_2019-07-12_ALLPortfolio_2QRank","2016-08-11_to_2019-08-12_ALLPortfolio_2QRank","2016-09-12_to_2019-09-12_ALLPortfolio_2QRank","2016-10-11_to_2019-10-12_ALLPortfolio_2QRank","2016-11-11_to_2019-11-12_ALLPortfolio_2QRank","2016-12-12_to_2019-12-12_ALLPortfolio_2QRank","2017-01-11_to_2020-01-12_ALLPortfolio_2QRank","2017-02-13_to_2020-02-12_ALLPortfolio_2QRank","2017-03-13_to_2020-03-12_ALLPortfolio_2QRank","2017-04-11_to_2020-04-12_ALLPortfolio_2QRank","2017-05-11_to_2020-05-12_ALLPortfolio_2QRank","2017-06-12_to_2020-06-12_ALLPortfolio_2QRank","2017-07-11_to_2020-07-12_ALLPortfolio_2QRank","2017-08-11_to_2020-08-12_ALLPortfolio_2QRank","2017-09-11_to_2020-09-12_ALLPortfolio_2QRank","2017-10-11_to_2020-10-12_ALLPortfolio_2QRank","2017-11-13_to_2020-11-12_ALLPortfolio_2QRank","2017-12-11_to_2020-12-12_ALLPortfolio_2QRank","2018-01-11_to_2021-01-12_ALLPortfolio_2QRank","2018-02-12_to_2021-02-12_ALLPortfolio_2QRank","2018-03-12_to_2021-03-12_ALLPortfolio_2QRank","2018-04-11_to_2021-04-12_ALLPortfolio_2QRank","2018-05-11_to_2021-05-12_ALLPortfolio_2QRank","2018-06-11_to_2021-06-12_ALLPortfolio_2QRank","2018-07-11_to_2021-07-12_ALLPortfolio_2QRank","2018-08-13_to_2021-08-12_ALLPortfolio_2QRank","2018-09-11_to_2021-09-12_ALLPortfolio_2QRank","2018-10-11_to_2021-10-12_ALLPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.468","13.475","13.119","11.564","11.216","11.89","13.345","11.607","12.234","11.416","14.347","14.42","15.735","16.028","16.174","13.354","19.604","11.823","15.082","16.54","10.228","17.763","14.094","12.4","13.407","13.526","13.058","15.778","18.736","15.494","12.538","14.676","17.867","14.537","17.023","14.282","14.93","15.734","11.476","14.01","12.766","12.461","12.503","12.686","13.712","1.677","7.65","8.539","10.593","12.696","14.59","14.454","12.346","14.293","14.486","11.137","20.945","16.593","20.895","14.196","16.674","17.642","18.366","21.139","23.818"
"B Annualized Returns","8.386","7.97","8.572","8.557","7.641","6.67","7.473","7.578","8.098","8.544","8.655","7.97","7.617","6.829","7.876","7.371","10.341","8.065","9.282","11.044","7.849","10.471","8.266","8.966","9.593","9.718","11.306","14.186","10.832","10.473","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","6.082","5.505","4.547","3.007","3.575","5.22","5.872","4.029","4.136","2.872","5.692","6.45","8.118","9.199","8.298","5.983","9.263","3.758","5.8","5.496","2.379","7.292","5.828","3.434","3.814","3.808","1.752","1.592","7.904","5.021","3.558","4.44","5.176","3.354","5.037","2.701","3.436","3.786","1.199","2.432","1.628","-0.526999999999999","0.472","-0.691000000000001","0.00699999999999967","-3.855","0.736000000000001","0.103","1.851","1.577","2.524","2.269","0.282","1.405","1.892","-1.069","5.769","3.217","3.688","-1.917","0.297999999999998","0.00900000000000034","0.718","3.366","3.355"
"P Volatility","13.16","12.48","11.46","10.65","11.16","11.2","11.16","10.93","10.78","11.29","11.61","11.74","11.62","12.46","11.96","11.4","12.06","11.19","11.24","10.84","11.24","12.16","11.71","10.7","10.74","11.04","9.98","10.12","9.9","10.98","11.72","12.57","13.02","12.09","12.44","12.53","13.11","13.82","12.94","12.75","13.02","12.27","12.58","12.6","12.24","13.41","16.68","18.78","19.2","18.95","19.54","20.61","19.46","19.92","22.38","19.39","20.79","21.11","21.06","19.79","19.15","19.63","19.73","22.31","22.51"
"B Volatility","12","11.82","11.72","11.7","11.5","11.44","11.47","11.28","11.23","11.41","11.41","11.39","11.38","11.35","11.25","11.23","11.23","11.15","11.21","10.91","10.97","11.11","11.42","11.41","11.28","11.21","10.51","10.31","8.86","9.89","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","1.16","0.66","-0.26","-1.05","-0.34","-0.24","-0.31","-0.35","-0.450000000000001","-0.120000000000001","0.199999999999999","0.35","0.239999999999998","1.11","0.710000000000001","0.17","0.83","0.0399999999999991","0.0299999999999994","-0.0700000000000003","0.27","1.05","0.290000000000001","-0.710000000000001","-0.539999999999999","-0.170000000000002","-0.529999999999999","-0.190000000000001","1.04","1.09","1.93","2.41","2.24","1.73","2.07","1.89","1.82","2.39","1.51","1.25","1.55","0.809999999999999","1.03","1.01","0.779999999999999","0.4","2.01","2.45","2.8","2.49","2.97","3.19","1.71","2.12","4.05","1.16","2.81","3.35","3.26","1.78","1.11","1.63","1.75","4.32","4.95"
"P Tracking Error","7.12","6.91","6.04","5.96","5.65","5.9","6.11","5.64","5.7","5.36","5.39","5.77","5.86","6.12","5.81","5.22","5.49","4.99","5.11","4.9","4.65","5.8","5.85","5.17","5.36","5.3","4.98","4.24","5.2","4.63","5.04","5.05","4.79","4.31","4.81","4.86","4.78","4.94","4.42","4.4","4.23","4.38","4.71","4.36","4.55","5.07","5.79","5.95","6.45","6.37","6.39","6.4","6","6.48","8.42","6.42","7.04","7.26","7.18","6.65","6.24","6.35","6.87","8.54","8.61"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
