"","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","8.272","18.482","36.438","36.695","31.264","28.203","23.702","24.832","39.015","28.159","43.398","51.064","41.476","44.035","36.442","39.751","38.188","35.277","35.968","33.018","31.559","30.581","20.221","8.849","3.901","-3.727","1.99","-5.068","4.423","6.759","1.278","7.993","0.94","6.777","9.141","19.464","20.426","29.276","29.245","-5.75","-1.216","12.094","20.632","21.319","51.021","30.86","45.166","61.318","67.735","65.325","28.844","67.747","57.849","34.464","39.496","36.153","32.806","30.326","10.677","13.177","12.799","19.713","18.426","17.262","11.685","11.226","25.976","17.49","27.722","28.492","26.93","36.019","38.392","34.205","31.662","33.883","32.442","28.558","29.81","31.979","29.115","22.26","17.93","13.857","15.212","13.914","17.53","16.272","12.289","18.745","12.605","17.821","11.806","15.648","10.853","11.477","15.87","-3.017","2.724","8.258","11.458","14.777","22.796","16.461","23.771","37.909","42.132","45.993","28.076","25.204","29.138","21.818","25.134","25.658","30.917","30.775"
"B Annualized Returns","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","13.925","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.835","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.225","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.396"
"AR DIFF(P-B)","-1.945","-0.580000000000002","13.609","17.277","17.902","12.826","7.202","11.69","27.22","12.803","24.925","32.323","23.023","21.192","21.883","23.255","25.377","21.762","21.682","18.266","15.3","14.589","10.566","2.628","4.278","2.511","-0.558","-5.502","-4.998","0.249000000000001","-2.54","0.0870000000000006","-0.81","2.67","0.784000000000001","5.679","0.311999999999998","2.081","3.363","3.795","-1.06","5.709","11.395","9.617","30.289","14.498","20.521","43.349","48.861","47.873","9.687","8.696","9.099","-4.735","-0.655000000000001","-1.239","1.74","-0.262","4.622","7.088","6.95","11.227","11.909","10.224","3.902","3.389","17.478","4.203","15.093","17.575","12.663","15.081","19.819","17.215","18.576","19.396","17.056","14.614","15.885","16.305","15.137","9.859","9.299","7.019","6.833","5.758","6.427","6.437","3.363","7.468","4.165","7.932","3.846","5.705","1.463","2.252","2.252","0.956","-1.933","3.346","4.546","4.642","11.086","6.397","8.581","21.924","22.64","22.975","5.942","5.258","7.971","0.127000000000002","1.891","2.765","5.124","5.379"
"P Volatility","13.64","8.74","10.45","8.27","7.58","7.54","6.59","6.47","8.53","7.01","8.05","8.33","8.23","8.22","14.13","15.1","16.29","16.16","15.4","14.75","14.81","14.94","14.23","19.35","17.96","15.53","20.55","21.46","20.34","20.82","20.18","22.91","22.02","20.93","18.95","18.15","15.65","16.95","16.5","17.91","20.49","23.21","23.79","25.74","27.16","25.49","27.57","31.09","31.54","31.72","20.38","19.22","17.28","14.2","15.62","15.43","13.38","12.21","13.42","12.92","12.94","12.67","12.96","12.16","11.26","10.96","11.61","9.25","9.64","10.7","10.41","8.41","11.19","11.42","12.08","12.26","11.78","11.44","11.48","11.47","11.53","14.79","13.85","14.77","17.07","17.73","17.12","16.89","16.59","18.02","18.05","17.32","18.01","17.28","16.86","18.85","18.16","18.1","20.66","21.9","22.59","23.59","24.59","23.62","22.94","24.15","23.28","22.98","16.71","18.28","18.9","16.85","17.66","17.59","17.85","17.82"
"B Volatility","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","3.67","0.77","2.91","2.1","1.35","1.3","0.46","0.95","3.08","1.7","3.79","4.18","3.97","3.96","8.56","7.12","6.74","6.59","5.71","5.11","4.67","4.49","3.8","6.31","4.91","0.729999999999999","4.09","5.39","4.18","4.32","1.73","3.57","2.97","1.74","1.36","0.469999999999999","2.19","4.6","4.1","1.73","1.35","0.990000000000002","2.28","4.15","5.35","2.37","3.33","6.47","5.18","5.31","-3.51","0.289999999999999","1.41","-1.89","-0.730000000000002","-0.640000000000001","-0.949999999999999","0.130000000000001","0.449999999999999","0.459999999999999","1.06","0.709999999999999","1.01","0.210000000000001","-0.529999999999999","-0.76","0.99","-0.92","1.94","3.02","2.88","2.3","4.58","4.55","4.37","4.53","4.02","3.91","3.7","3.56","3.89","5.28","4.39","2.86","4.53","5.12","4.46","3.98","2.48","3.25","3.28","2.43","3.14","2.42","1.85","4.2","3.94","2.68","3.3","2.38","2.94","4.03","4.84","3.03","2.69","3.62","3.28","3.29","-3.04","-1.46","-0.830000000000002","-1.98","-0.879999999999999","-0.969999999999999","-0.5","-0.550000000000001"
"P Tracking Error","5.35","2.62","6.78","5.73","7.05","6.78","6.51","6.52","9.12","7.01","8.58","9","9.11","8.87","10.6","10.02","10.58","9.83","8.74","7.79","10.16","9.66","9.6","10.1","8.63","6.3","7.33","7.86","7.02","7.1","5.28","5.61","5.59","5.4","4.47","4.13","3.65","6.06","6.47","5.04","4.61","4.02","5.61","6.76","7.89","4.22","5.65","11.11","10.08","8.86","6.48","6.51","7.35","5.78","3.65","3.88","3.97","4.07","7.32","6.85","7.49","6.97","7.55","6.77","7.08","6.91","8.2","6.35","6.49","6.84","6.89","6.71","8.2","7.86","8.27","8.08","7.72","7.12","8.84","8.36","9.11","9.3","8.28","7.27","8.23","8.51","8.26","7.14","6.41","6.66","7.21","6.9","7.04","6.79","4.23","7.23","6.35","5.89","6.06","5.46","5.83","6.24","7.56","5.39","5.39","9.53","9.27","8.98","5.83","5.99","6.26","6.29","5.55","5.75","5.45","5.26"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
