"","2013-03-12_to_2016-03-13_GrowthPortfolio_1QRank","2013-04-12_to_2016-04-13_GrowthPortfolio_1QRank","2013-05-13_to_2016-05-13_GrowthPortfolio_1QRank","2013-06-12_to_2016-06-13_GrowthPortfolio_1QRank","2013-07-12_to_2016-07-13_GrowthPortfolio_1QRank","2013-08-12_to_2016-08-13_GrowthPortfolio_1QRank","2013-09-12_to_2016-09-13_GrowthPortfolio_1QRank","2013-10-14_to_2016-10-13_GrowthPortfolio_1QRank","2013-11-12_to_2016-11-13_GrowthPortfolio_1QRank","2013-12-12_to_2016-12-13_GrowthPortfolio_1QRank","2014-01-13_to_2017-01-13_GrowthPortfolio_1QRank","2014-02-12_to_2017-02-13_GrowthPortfolio_1QRank","2014-03-12_to_2017-03-13_GrowthPortfolio_1QRank","2014-04-14_to_2017-04-13_GrowthPortfolio_1QRank","2014-05-12_to_2017-05-13_GrowthPortfolio_1QRank","2014-06-12_to_2017-06-13_GrowthPortfolio_1QRank","2014-07-14_to_2017-07-13_GrowthPortfolio_1QRank","2014-08-12_to_2017-08-13_GrowthPortfolio_1QRank","2014-09-12_to_2017-09-13_GrowthPortfolio_1QRank","2014-10-13_to_2017-10-13_GrowthPortfolio_1QRank","2014-11-12_to_2017-11-13_GrowthPortfolio_1QRank","2014-12-12_to_2017-12-13_GrowthPortfolio_1QRank","2015-01-12_to_2018-01-13_GrowthPortfolio_1QRank","2015-02-12_to_2018-02-13_GrowthPortfolio_1QRank","2015-03-12_to_2018-03-13_GrowthPortfolio_1QRank","2015-04-13_to_2018-04-13_GrowthPortfolio_1QRank","2015-05-12_to_2018-05-13_GrowthPortfolio_1QRank","2015-06-12_to_2018-06-13_GrowthPortfolio_1QRank","2015-07-13_to_2018-07-13_GrowthPortfolio_1QRank","2015-08-12_to_2018-08-13_GrowthPortfolio_1QRank","2015-09-14_to_2018-09-13_GrowthPortfolio_1QRank","2015-10-12_to_2018-10-13_GrowthPortfolio_1QRank","2015-11-12_to_2018-11-13_GrowthPortfolio_1QRank","2015-12-14_to_2018-12-13_GrowthPortfolio_1QRank","2016-01-12_to_2019-01-13_GrowthPortfolio_1QRank","2016-02-12_to_2019-02-13_GrowthPortfolio_1QRank","2016-03-14_to_2019-03-13_GrowthPortfolio_1QRank","2016-04-12_to_2019-04-13_GrowthPortfolio_1QRank","2016-05-12_to_2019-05-13_GrowthPortfolio_1QRank","2016-06-13_to_2019-06-13_GrowthPortfolio_1QRank","2016-07-12_to_2019-07-13_GrowthPortfolio_1QRank","2016-08-12_to_2019-08-13_GrowthPortfolio_1QRank","2016-09-12_to_2019-09-13_GrowthPortfolio_1QRank","2016-10-12_to_2019-10-13_GrowthPortfolio_1QRank","2016-11-14_to_2019-11-13_GrowthPortfolio_1QRank","2016-12-12_to_2019-12-13_GrowthPortfolio_1QRank","2017-01-12_to_2020-01-13_GrowthPortfolio_1QRank","2017-02-13_to_2020-02-13_GrowthPortfolio_1QRank","2017-03-13_to_2020-03-13_GrowthPortfolio_1QRank","2017-04-12_to_2020-04-13_GrowthPortfolio_1QRank","2017-05-12_to_2020-05-13_GrowthPortfolio_1QRank","2017-06-12_to_2020-06-13_GrowthPortfolio_1QRank","2017-07-12_to_2020-07-13_GrowthPortfolio_1QRank","2017-08-14_to_2020-08-13_GrowthPortfolio_1QRank","2017-09-12_to_2020-09-13_GrowthPortfolio_1QRank","2017-10-12_to_2020-10-13_GrowthPortfolio_1QRank","2017-11-13_to_2020-11-13_GrowthPortfolio_1QRank","2017-12-12_to_2020-12-13_GrowthPortfolio_1QRank","2018-01-12_to_2021-01-13_GrowthPortfolio_1QRank","2018-02-12_to_2021-02-13_GrowthPortfolio_1QRank","2018-03-12_to_2021-03-13_GrowthPortfolio_1QRank","2018-04-12_to_2021-04-13_GrowthPortfolio_1QRank","2018-05-14_to_2021-05-13_GrowthPortfolio_1QRank","2018-06-12_to_2021-06-13_GrowthPortfolio_1QRank","2018-07-12_to_2021-07-13_GrowthPortfolio_1QRank","2018-08-13_to_2021-08-13_GrowthPortfolio_1QRank","2018-09-12_to_2021-09-13_GrowthPortfolio_1QRank","2018-10-12_to_2021-10-13_GrowthPortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.887","22.63","18.894","15.384","11.572","17.497","14.991","15.742","17.713","16.864","12.622","15.67","19.6","16.141","17.08","10.936","14.524","14.977","15.113","12.758","11.803","11.885","24.665","26.255","28.555","25.796","16.473","17.458","14.574","25.528","30.387","23.478","19.719","16.97","19.291","7.891","7.355","17.65","18.638","18.286","15.24","18.556","17.845","16.362","12.952","10.97","13.375","16.617","13.756","14.383","20.43","18.647","18.369","19.042","20.169","15.579","23.043","12.341","15.333","15.542","16.41","19.945","17.255","16.145","21.328","31.957","17.67","22.426"
"B Annualized Returns","8.686","8.899","7.367","8.092","8.081","8.521","7.825","7.528","6.688","8.211","7.552","8.44","8.592","8.29","7.948","7.927","7.135","7.978","7.741","10.233","8.019","10.016","11.296","8.613","10.316","8.465","9.169","9.755","10.121","10.795","14.381","11.408","9.746","9.216","9.928","13.059","11.534","11.851","10.717","11.527","11.895","10.166","11.642","11.494","13.023","12.347","13.582","13.802","5.475","6.849","7.213","9.165","10.856","12.571","12.006","13.095","12.96","12.464","12.089","15.304","13.316","17.307","15.715","16.395","17.614","17.883","17.724","19.762"
"AR DIFF(P-B)","7.201","13.731","11.527","7.292","3.491","8.976","7.166","8.214","11.025","8.653","5.07","7.23","11.008","7.851","9.132","3.009","7.389","6.999","7.372","2.525","3.784","1.869","13.369","17.642","18.239","17.331","7.304","7.703","4.453","14.733","16.006","12.07","9.973","7.754","9.363","-5.168","-4.179","5.799","7.921","6.759","3.345","8.39","6.203","4.868","-0.0709999999999997","-1.377","-0.207000000000001","2.815","8.281","7.534","13.217","9.482","7.513","6.471","8.163","2.484","10.083","-0.123000000000001","3.244","0.238","3.094","2.638","1.54","-0.25","3.714","14.074","-0.0539999999999985","2.664"
"P Volatility","14.87","15.06","13.34","13.44","13.78","13.33","12.93","13.65","13.1","13.02","11.75","12.89","12.15","10.59","10.32","11.12","12.23","12.73","12.12","10.75","10.51","9.31","11.96","13.62","14.32","15.23","12.06","12.74","12.16","12.49","12.86","12.31","14.73","14.89","15.08","10.47","10.17","13.95","15.48","14.94","15.07","15.56","16.74","18.32","18.13","17.77","17.03","15.57","15.7","15.7","19","17.35","19.21","18.39","18.73","17.88","19.7","21.58","20.58","20.1","19.52","18.28","17.32","17.52","18.5","20.12","15.45","16.13"
"B Volatility","11.58","12.02","11.99","11.91","11.66","11.55","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","3.29","3.04","1.35","1.53","2.12","1.78","1.4","2.36","1.83","1.72","0.76","2.03","1.1","-0.470000000000001","-0.709999999999999","0.0999999999999996","1.24","1.84","1.27","-0.0999999999999996","-0.34","-1.6","1.57","3.21","3.71","4.3","1.13","1.88","1.35","2.32","2.9","3.86","5.23","5.5","4.5","-0.66","-0.56","3.2","4.55","3.07","2.8","3.31","4.39","6.05","5.86","5.43","4.63","3.3","2.25","0.77","2.43","0.690000000000001","2.53","1.5","1.22","0.0299999999999976","1.7","2.8","1.94","1.67","1.33","0.0300000000000011","-1.08","-0.890000000000001","0.120000000000001","1.78","-2.92","-1.84"
"P Tracking Error","8.05","11.78","8.16","7.97","7.45","7.91","8.46","8.05","7.83","6.86","6.89","8.27","7.83","6.81","5.73","4.06","6.3","5.65","5.93","3.95","5.08","5.62","7.23","8.23","8.89","9.12","5.92","5.73","5.54","8.17","7.79","7.81","8.38","8.77","8.77","8.72","5.57","6.78","7.49","6.33","5.45","6.55","6.34","8.12","7.87","7.92","7.22","6.7","7.13","7.18","7.75","5.2","6.33","4.95","8.01","6.54","6.26","6.08","5.09","5.41","5.34","5.14","4.76","5.71","5.18","9.54","6.95","6.68"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
