"","2013-12-11_to_2014-12-12_GrowthPortfolio_4QRank","2014-01-13_to_2015-01-12_GrowthPortfolio_4QRank","2014-02-11_to_2015-02-12_GrowthPortfolio_4QRank","2014-03-11_to_2015-03-12_GrowthPortfolio_4QRank","2014-04-11_to_2015-04-12_GrowthPortfolio_4QRank","2014-05-12_to_2015-05-12_GrowthPortfolio_4QRank","2014-06-11_to_2015-06-12_GrowthPortfolio_4QRank","2014-07-11_to_2015-07-12_GrowthPortfolio_4QRank","2014-08-11_to_2015-08-12_GrowthPortfolio_4QRank","2014-09-11_to_2015-09-12_GrowthPortfolio_4QRank","2014-10-13_to_2015-10-12_GrowthPortfolio_4QRank","2014-11-11_to_2015-11-12_GrowthPortfolio_4QRank","2014-12-11_to_2015-12-12_GrowthPortfolio_4QRank","2015-01-12_to_2016-01-12_GrowthPortfolio_4QRank","2015-02-11_to_2016-02-12_GrowthPortfolio_4QRank","2015-03-11_to_2016-03-12_GrowthPortfolio_4QRank","2015-04-13_to_2016-04-12_GrowthPortfolio_4QRank","2015-05-11_to_2016-05-12_GrowthPortfolio_4QRank","2015-06-11_to_2016-06-12_GrowthPortfolio_4QRank","2015-07-13_to_2016-07-12_GrowthPortfolio_4QRank","2015-08-11_to_2016-08-12_GrowthPortfolio_4QRank","2015-09-11_to_2016-09-12_GrowthPortfolio_4QRank","2015-10-12_to_2016-10-12_GrowthPortfolio_4QRank","2015-11-11_to_2016-11-12_GrowthPortfolio_4QRank","2015-12-11_to_2016-12-12_GrowthPortfolio_4QRank","2016-01-11_to_2017-01-12_GrowthPortfolio_4QRank","2016-02-11_to_2017-02-12_GrowthPortfolio_4QRank","2016-03-11_to_2017-03-12_GrowthPortfolio_4QRank","2016-04-11_to_2017-04-12_GrowthPortfolio_4QRank","2016-05-11_to_2017-05-12_GrowthPortfolio_4QRank","2016-06-13_to_2017-06-12_GrowthPortfolio_4QRank","2016-07-11_to_2017-07-12_GrowthPortfolio_4QRank","2016-08-11_to_2017-08-12_GrowthPortfolio_4QRank","2016-09-12_to_2017-09-12_GrowthPortfolio_4QRank","2016-10-11_to_2017-10-12_GrowthPortfolio_4QRank","2016-11-11_to_2017-11-12_GrowthPortfolio_4QRank","2016-12-12_to_2017-12-12_GrowthPortfolio_4QRank","2017-01-11_to_2018-01-12_GrowthPortfolio_4QRank","2017-02-13_to_2018-02-12_GrowthPortfolio_4QRank","2017-03-13_to_2018-03-12_GrowthPortfolio_4QRank","2017-04-11_to_2018-04-12_GrowthPortfolio_4QRank","2017-05-11_to_2018-05-12_GrowthPortfolio_4QRank","2017-06-12_to_2018-06-12_GrowthPortfolio_4QRank","2017-07-11_to_2018-07-12_GrowthPortfolio_4QRank","2017-08-11_to_2018-08-12_GrowthPortfolio_4QRank","2017-09-11_to_2018-09-12_GrowthPortfolio_4QRank","2017-10-11_to_2018-10-12_GrowthPortfolio_4QRank","2017-11-13_to_2018-11-12_GrowthPortfolio_4QRank","2017-12-11_to_2018-12-12_GrowthPortfolio_4QRank","2018-01-11_to_2019-01-12_GrowthPortfolio_4QRank","2018-02-12_to_2019-02-12_GrowthPortfolio_4QRank","2018-03-12_to_2019-03-12_GrowthPortfolio_4QRank","2018-04-11_to_2019-04-12_GrowthPortfolio_4QRank","2018-05-11_to_2019-05-12_GrowthPortfolio_4QRank","2018-06-11_to_2019-06-12_GrowthPortfolio_4QRank","2018-07-11_to_2019-07-12_GrowthPortfolio_4QRank","2018-08-13_to_2019-08-12_GrowthPortfolio_4QRank","2018-09-11_to_2019-09-12_GrowthPortfolio_4QRank","2018-10-11_to_2019-10-12_GrowthPortfolio_4QRank","2018-11-12_to_2019-11-12_GrowthPortfolio_4QRank","2018-12-11_to_2019-12-12_GrowthPortfolio_4QRank","2019-01-11_to_2020-01-12_GrowthPortfolio_4QRank","2019-02-11_to_2020-02-12_GrowthPortfolio_4QRank","2019-03-11_to_2020-03-12_GrowthPortfolio_4QRank","2019-04-11_to_2020-04-12_GrowthPortfolio_4QRank","2019-05-13_to_2020-05-12_GrowthPortfolio_4QRank","2019-06-11_to_2020-06-12_GrowthPortfolio_4QRank","2019-07-11_to_2020-07-12_GrowthPortfolio_4QRank","2019-08-12_to_2020-08-12_GrowthPortfolio_4QRank","2019-09-11_to_2020-09-12_GrowthPortfolio_4QRank","2019-10-11_to_2020-10-12_GrowthPortfolio_4QRank","2019-11-11_to_2020-11-12_GrowthPortfolio_4QRank","2019-12-11_to_2020-12-12_GrowthPortfolio_4QRank","2020-01-13_to_2021-01-12_GrowthPortfolio_4QRank","2020-02-11_to_2021-02-12_GrowthPortfolio_4QRank","2020-03-11_to_2021-03-12_GrowthPortfolio_4QRank","2020-04-13_to_2021-04-12_GrowthPortfolio_4QRank","2020-05-11_to_2021-05-12_GrowthPortfolio_4QRank","2020-06-11_to_2021-06-12_GrowthPortfolio_4QRank","2020-07-13_to_2021-07-12_GrowthPortfolio_4QRank","2020-08-11_to_2021-08-12_GrowthPortfolio_4QRank","2020-09-11_to_2021-09-12_GrowthPortfolio_4QRank"
"P Information Ratio","0.42","0.55","0.01","0.47","1.39","2.04","2.02","1.85","1.65","1.1","1.58","0.55","0.5","0.64","0.28","0.06","1.14","1.05","0.29","0.61","0.41","-0.1","2.07","2.52","1.6","1.58","4.1","1.81","1.67","3.9","1.91","1.42","1.96","1.37","1.68","1.76","1.68","3.02","2.73","3.3","4.05","2.43","2.53","1.59","1.09","1.01","0.15","0.68","1.49","1.06","1.04","0.39","0.61","-0.28","0.24","0.32","0.07","0.06","0.43","0.2","-0.63","-0.31","-0.93","0.48","0.65","0.58","0.21","0.07","-1.04","0.17","0.38","1.06","1.16","4.46","5.12","1","0.89","0.18","1.45","1.03","1.39","1.08"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.44","-1.34","0.16","1.11","0.86","0.94","1.24","1.22","0.84","0.63","0.93","0.35","0.64","0.39","0.06","0.09","0.88","0.48","0.12","-0.02","0.33","0.2","0.92","0.9","0.53","0.59","1.42","1.26","1.67","1.44","1.6","1.05","1.51","1.15","2.25","0.95","0.8","0.68","0.35","1.54","1.64","1.14","1.23","0.71","0.52","0.5","0","0.72","1","0.44","0.36","0.6","0.2","-0.21","0.24","0.42","0.05","0.17","0.25","0.29","0.33","0.59","0.15","0.16","0.14","0.35","0.63","0.28","-0.44","0.01","0.83","0.59","0.59","2.07","1.97","0.09","-0.08","0.27","0.03","0.61","0.11","0.11"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.87","1.96","0.54","0.74","0.99","0.73","0.96","0.88","0.85","0.84","0.83","0.66","0.65","0.66","0.7","0.86","0.85","0.88","0.96","0.89","0.73","0.74","1.09","1.19","1.13","1.03","0.85","0.55","0.56","0.66","0.6","0.61","0.58","0.69","0.17","0.65","0.75","0.85","1.69","1.14","1.2","1.21","1.24","1.12","1.03","1.17","1.11","1.2","1.25","0.99","1.11","1.02","1.13","1.13","1.05","1.08","1.02","1.17","0.91","0.8","0.71","0.64","0.57","0.68","0.76","0.74","0.74","0.8","0.87","0.86","0.79","0.92","1.09","1.25","1.07","1.24","1.3","1.11","1.15","0.98","1.04","1.03"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","16.72","45.68","3.89","31.98","58.46","47.39","52.08","50.75","55.9","65.14","65.34","68.69","71.26","74.62","70.05","76.38","86.38","83.47","89.62","92.3","87.71","91.93","85.65","85","88.61","61.67","53.51","17.96","18.12","45.15","14.53","7.63","12.51","8.6","-10.23","29.48","42.76","53.05","70.98","53.44","72.73","64.09","64.98","66","57.94","65.42","67.42","70.33","73.63","72.04","86.73","81.43","88.77","88.83","86.17","92.21","91.6","89.29","90.24","84.42","73.51","66.07","76.82","72.11","86.68","87.23","86.58","87.27","88.63","94.19","88.78","93.5","94.82","95.51","95.55","84.18","79.44","71.44","81.98","76.15","79.31","73.32"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.1116","-12.9074","-11.9152","-10.5194","-11.1498","-10.3023","-10.8616","-11.0887","-10.3809","-14.7475","-13.9604","-13.691","-11.6865","-11.3375","-13.2581","-13.4154","-14.1129","-17.4105","-17.3153","-16.417","-15.4492","-14.3915","-17.5106","-16.8629","-15.9601","-10.7778","-4.9797","-4.6023","-5.5171","-4.1513","-4.102","-5.0093","-3.9273","-4.6533","-4.9153","-3.2306","-5.0013","-5.2733","-8.1853","-8.2826","-9.5061","-10.2775","-10.0505","-9.6469","-9.6625","-10.4603","-10.1651","-13.0561","-15.7397","-23.1899","-23.2462","-21.6851","-22.9193","-23.3296","-22.9953","-23.3751","-23.1688","-26.0772","-19.5234","-15.495","-12.4413","-7.1549","-6.8118","-22.7397","-29.1864","-28.7792","-27.6002","-27.5762","-31.6892","-30.3359","-28.8113","-31.9964","-36.4343","-33.3985","-31.5529","-14.5436","-14.7863","-13.2175","-12.4983","-11.7168","-12.7632","-11.6642"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-5.6018","-5.3976","-4.4054","-3.0096","-3.6399","-2.7925","-3.3518","-3.5789","-2.8711","-1.4196","-0.6325","-0.363100000000001","1.6414","1.9904","0.069799999999999","-0.0875000000000004","-0.785","-4.0826","-3.9874","-3.0891","-3.613","-2.5553","-5.6744","-5.4493","-5.4339","-5.6574","0.1407","0.5181","-0.3967","0.9692","0.7448","-0.366499999999999","0.7155","-0.5669","-1.6829","-0.3273","-2.098","-2.37","2.1531","2.0558","1.6667","0.895300000000001","1.1223","1.5259","1.5103","0.7125","1.0077","-1.8833","-4.5669","-3.2306","-3.2869","-1.7258","-2.96","-3.3703","-3.036","-3.4158","-3.2095","-6.1179","-2.7818","0.317600000000001","-0.9429","0.514200000000001","0.8573","3.2989","2.3448","2.752","3.931","3.955","-0.158000000000001","1.1953","2.7199","-0.465200000000003","-4.9031","-1.8673","-0.0217000000000027","1.3956","-4.2842","-2.7154","-1.9962","-1.2148","-2.2611","-3.7316"
