"","1 Y 2013-06-11 to 2015-06-12","1 Y 2013-07-11 to 2015-07-12","1 Y 2013-08-12 to 2015-08-12","1 Y 2013-09-11 to 2015-09-12","1 Y 2013-10-11 to 2015-10-12","1 Y 2013-11-11 to 2015-11-12","1 Y 2013-12-11 to 2015-12-12","1 Y 2014-01-13 to 2016-01-12","1 Y 2014-02-11 to 2016-02-12","1 Y 2014-03-11 to 2016-03-12","1 Y 2014-04-11 to 2016-04-12","1 Y 2014-05-12 to 2016-05-12","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2013-06-11 to 2015-06-12","2 Y 2013-07-11 to 2015-07-12","2 Y 2013-08-12 to 2015-08-12","2 Y 2013-09-11 to 2015-09-12","2 Y 2013-10-11 to 2015-10-12","2 Y 2013-11-11 to 2015-11-12","2 Y 2013-12-11 to 2015-12-12","2 Y 2014-01-13 to 2016-01-12","2 Y 2014-02-11 to 2016-02-12","2 Y 2014-03-11 to 2016-03-12","2 Y 2014-04-11 to 2016-04-12","2 Y 2014-05-12 to 2016-05-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.461","19.916","22.31","12.511","25.343","21.943","21.784","18.585","-0.295","6.381","6.438","5.188","7.594","8.633","15.249","11.217","8.53","6.266","4.749","13.201","21.453","28.978","24.758","22.438","24.317","26.261","17.838","23.165","43.166","45.719","36.692","43.807","25.737","28.846","28.941","15.734","11.226","17.733","23.431","24.065","12.954","1.679","-9.038","-13.749","-1.232","-8.655","1.916","10.075","8.173","8.817","4.181","5.174","7.721","16.33","20.631","25.012","29.679","-12.309","1.285","7.71","17.929","27.228","32.875","23.529","36.541","14.941","13.581","60.64","9.226","43.479","40.279","39.497","48.294","40.136","31.151","27.421","25.38","25.221","25.584","19.868","21.023","22.323","22.821","16.677","6.996","9.511","13.542","10.987","11.518","11.216","14.117","8.242","13.776","7.619","6.802","5.965","5.659","15.36","13.866","13.476","12.379","14.506","10.228","15.525","29.379","27.021","25.314","34.711","27.209","26.303","24.486","18.871","17.849","20.192","28.689","26.642","24.194","15.237","7.426","4.996","10.809","11.365","15.684","19.38","21.393","18.602","16.091","15.268","9.372","13.714","12.571","13.544","18.568","-5.118","9.364","5.496","12.696","19.073","20.778","13.291","19.997","12.526","12.97","40.348","16.291","13.448","18.686","21.189","25.054","25.878","24.805","20.614"
"B Annualized Returns","7.842","5.055","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","12.529","10.342","10.247","6.736","8.481","7.617","7.303","3.425","1.912","4.38","6.23","4.358","3.731","4.139","5.679","4.053","6.291","2.937","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","13.925","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.835","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.225","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.396"
"AR DIFF(P-B)","10.619","14.861","15.366","15.682","19.213","20.887","20.047","21.939","8.817","7.533","6.353","5.887","7.779","5.852","9.892","-0.0339999999999989","1.456","1.412","-5.468","-5.861","-1.376","9.56","11.396","7.061","7.817","13.119","6.043","7.809","24.693","26.978","18.239","20.964","11.178","12.35","16.13","2.219","-3.06","2.981","7.172","8.073","3.299","-4.542","-8.661","-7.511","-3.78","-9.089","-7.505","3.565","4.355","0.911","2.431","1.067","-0.635999999999999","2.545","0.516999999999999","-2.183","3.797","-2.764","1.441","1.325","8.692","15.526","12.143","7.167","11.896","-3.028","-5.293","43.188","-9.931","-15.572","-8.471","0.298000000000002","8.14299999999999","2.744","0.0850000000000009","-3.167","12.851","14.879","15.337","13.132","12.542","14.706","15.518","13.252","5.084","5.131","7.312","6.629","7.787","7.077","8.438","4.189","7.485","4.682","0.747","-0.124000000000001","-0.19","6.874","7.349","6.438","4.596","6.669","1.73","2.238","16.75","16.104","11.047","13.773","8.636","9.313","11.4","4.384","2.463","6.248","14.764","10.968","10.216","2.836","-1.205","-1.842","2.43","3.209","4.581","9.545","12.467","7.325","7.651","5.379","1.412","3.771","3.181","4.319","4.95","-1.145","4.707","0.584000000000001","5.784","8.938","9.068","3.227","4.807","-3.459","-6.522","17.33","-5.843","-6.498","-2.481","-0.501999999999999","1.811","2.985","-0.988","-4.782"
"P Volatility","11.77","10.87","9.47","11.24","14.04","15.34","14.4","15.9","17.88","16.82","13.76","13.91","14.27","16.87","14.19","13.06","12.48","13.03","11.53","9.17","9.15","8.92","7.97","6.23","5.98","6.89","6","7.18","9.12","9.53","8.8","10","11.5","12.97","14.77","12.36","11.19","12.02","12.57","13.16","12.74","16.95","18.52","17.19","21.16","19.09","19.96","19.2","19.6","19.98","19.6","19.23","18.83","18.03","16.24","13.13","15.34","18.33","18.45","23.29","22.88","19.67","18.89","22.51","22.52","17.95","18.4","28.28","18.12","11.87","12.52","14.32","16.45","16.63","14.19","14.53","12.55","11.69","10.94","11.66","12.98","13.98","13.67","13.82","15.42","14","11.42","11.57","12.3","14.41","12.59","12.36","13.35","13.28","11.53","10.8","11.37","11.74","11.99","11.52","12.5","12.29","11.37","10.11","10.02","10.53","10.36","9.65","9.82","9.74","11.07","10.82","9.42","10.15","9.94","10.42","10.36","12.6","13.92","15.61","16.68","16.07","16.41","16.53","17.03","17.05","17.32","17","18.23","17.34","17.71","16.23","17.57","18.57","18.84","22.08","21.33","18.79","17","18.96","18.05","14.79","13.28","20.27","15.27","14.68","16.49","18.44","20.54","19.99","18.45","19.13"
"B Volatility","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","9.65","9.48","9.04","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","1.82","0.649999999999999","-0.449999999999999","-0.709999999999999","1.84","-0.91","-1.88","0.460000000000001","2.85","1.95","-2.55","-2.36","-1.9","0.9","-0.530000000000001","-0.99","2.71","3.12","1.56","1.2","1.61","2.75","1.74","-0.00999999999999979","-0.149999999999999","1.37","0.55","1.87","4.86","5.38","4.54","5.74","5.93","4.99","5.22","2.79","1.5","2.38","2.43","2.71","2.31","3.91","5.47","2.39","4.7","3.02","3.8","2.7","1.15","0.640000000000001","0.550000000000001","0.0399999999999991","1.24","0.350000000000001","2.78","0.780000000000001","2.94","2.15","-0.690000000000001","1.07","1.37","-1.92","-2.92","-0.609999999999999","-1.72","-6.67","-7.96","1.87","-5.77","-7.06","-3.35","-1.77","0.0999999999999979","0.559999999999999","-0.140000000000001","2.45","2.9","2.21","1.9","1.35","2.77","1.73","1.44","1.99","3.19","1.75","-1.57","-1.37","-0.629999999999999","1.5","-0.33","-0.530000000000001","0.48","0.43","-1.44","-1.66","-0.510000000000002","-0.220000000000001","0.0400000000000009","-0.43","0.710000000000001","0.569999999999999","0.75","-0.0600000000000005","2.32","2.85","2.83","3.54","3.21","2.87","3.36","3.09","1.66","2.62","2.16","2.51","2.72","3.09","4.46","3.7","4.14","3.46","3.75","3.62","2.92","2.28","2.55","2.11","3.36","2.48","2.7","1.58","3.35","3.15","1.48","2.56","1.68","-0.77","-2.75","-1.63","-2.2","-5.74","-6.72","0.579999999999998","-4.48","-5.06","-3.24","-0.389999999999997","2","1.43","0.0999999999999979","0.759999999999998"
"P Tracking Error","5.46","6.85","7.4","5.64","5.99","8.55","8.57","5.34","8.52","8.91","5.58","7.9","7.41","8.34","4.83","4.86","4.59","3.91","2.95","4.23","3.32","4.51","5.33","3.48","6.19","6.94","5.32","7.3","9.92","9.7","9.03","10.24","9.65","8.87","9.91","6.78","5.38","4.95","6.28","6.51","6.16","7.11","8.54","5.94","7.51","6.28","7.27","8.04","6.28","3.73","4.48","4.89","5.54","5.44","5.26","4.22","4.74","4.99","3.35","2.63","6.61","5.97","6.26","3.8","5.53","10.03","11.58","6.23","8.71","10.75","7.78","4.2","5.25","3.94","5.33","5.03","8.41","8.68","9.45","8.36","8.16","9.46","10.36","9.73","10.1","8.62","5.11","7.37","6.17","7.65","4.82","5.06","5.36","5.12","6.21","6.5","6.11","5.96","5.1","4.37","6.57","6.47","5.14","5.8","7.52","7.5","6.82","7.68","7.81","7.14","7.88","7.73","6.05","5.9","6.08","5.69","6.01","5.69","7.25","6.32","6.88","7.03","7.34","8.03","7.75","7.61","7.63","7.35","7.16","6.82","5.94","6.03","6.66","6.39","5.15","5.12","6.44","5.31","5.71","5.32","6.38","9.81","10.44","8.55","8.59","9.01","7.2","4.96","5.93","5.64","5.16","4.77"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
